|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓁹 𓃀 𓇋 𓈞 𓄑 𓏛 𓏥||set a good example|make Binsen(Weisheit)  DE / mai(ke) binzuters? binzters? / make pin-stars? /
𓁹 𓄂 𓏏 𓏤||get in front of|make cHead  / eye port
𓁹 𓄋 𓊪 𓏏 𓀁 𓎛 𓈖 𓂝||punish|make töpt con ... GR  / τύπτ beat, strike, wound, inflict punishment / τύƥτ ty?beat ⇔ töte ? / tanbih : admonition /  punishment @AR / ←?> τιμωρέ punish : ζemio  / ἐƥιτιmiα epi.timia ←ƒ> timo:deem/esteem ⇔ damn? / ⇔mihhna : trial /  punishment, / vs אםאם 'âsham ashame
𓁹 𓈞 𓏏 𓁐|marryn|take a wife, to marry|maik brünt vrouwn well wife / Braut ⇔ Bread ⇔ breast
𓁹 𓉔 𓂋 𓏜||take care|maikhour ~ make-care --
𓁹 𓊩||(divinity) Osiris|Eye-seer Osiris 
𓁹 𓋹 𓈖 𓐍||make provision for (someone)|make anker schenken
𓁹 𓌕 𓈖|merchand|do trade  X|meyk taxen,tachen⇔tauschen DE ⇔ Erz achetén  FR
𓁹 𓏏 𓍯 𓏏 𓈐||to escort|maik trot-pass / Trott  / HM quem com šm sym simi same 今 现 vs HeuMilk KuhMilk comme Sahne HM⇔Rahm rama
𓁼 𓁼||rise   EN|rezuritsh / resurrect  / reißen=catch sadins?
𓂉 𓏏 𓉐||prison|← / neztor ? / bugtor (➙einbuchten) / "Bucht"  / prith / snter? / sntpr ⇔ prsn : prison  / nispr ⇔ prnison ⇔ garnison 
𓂉 𓏏 𓏤 𓉐 𓏤||prison, fortress|nestitor / "Bucht"  / Burg?
𓂋||farsi ~ pharthi ... ? OK  ^^|rotarian ⇔ Rotary (noble)  / root ⇔ heir (rooted)  / Roat ⇔ Roth-Schild ? / heiro-tai ? / ➙ erotic ?
𓂋 𓂋||fruit  ← fart veairt|
𓂋 𓂞 𓁷 𓏤 𓐛 𓏤||be partial, be biased, fell (an enemy)|reich ob part 
𓂋 𓅓 𓍿 𓈓||mankind, Egyptians|Ramosser  ← / ⇔ / RenMinTc / rivertrai ← river tribe / riverther / reverser
𓂋 𓅱 𓅱 𓏏||departure|route ENDE / rout~raus / road / root / rent / rund / ⇔
𓂋 𓅱 𓇋 𓂻||expel / drive off / remove (someone, something), leave (a place), escape (harm)|root ➙ rotten DE / ruins
𓂋 𓅱 𓇋 𓂻||escape (harm)|run, renne  ENDE
𓂋 𓆱 𓐍 𓏏 𓂻||under the authority of|RECHT ... / à Achter ...  DE / ar escortir
𓂋 𓇉 𓄿 𓁶||behind|rear
𓂋 𓇋 𓆵 𓇳||time|ال وقت ouaqpt = epoche / TIME / ouaqpt ⇔ "WHAT?" TIME QED ⇔ quad PT / riter ⇔ itera 
𓂋 𓇥 𓂋|||a core : to the limit , completely / limit = الحدّ Al Hades  
𓂋 𓈎 𓏥||opponent|⇔reckon with / equion '='  ← / קים 'qîym קומם teqômêm  ← / Rächer / raquill / equippo ~ horse? / ➙requiem? quiēs=quiet
𓂋 𓈖||young one (of animals)|Ren  ENDE
𓂋 𓈖 𓂢||shoulder, arm, uprights (of ladder), side|ARM = arm  ENDE
𓂋 𓈖 𓊪 𓇋 𓇋 𓏏||herbs, vegetables|green-phyto  / renpys ⇔ ranken Reben
𓂋 𓈖 𓊪 𓏏 𓆰 𓏥 𓆶||herbs, vegetables|'renpt' green-phyto  DAHER ←  / reeds / jutan ⇔ Juten Juden-buche
𓂋 𓈖 𓏲 𓏏 𓏏 𓆗||(divinity) Renenutet (the Harvest- goddess)|"also transliterated Ernūtet" ... / Erntet 
𓂋 𓈙 𓂉 𓊗 𓏮||rejoice|reschnoize : rejoice LOL  / rash-buggie ? / re_luck
𓂋 𓉔 𓈖 𓂼||wade|rondar = umherstreifen ES ⇔ run / herum rondieren wie ein Heron /   VIVA ESPANA / heron-doer
𓂋 𓊪 𓄛||rot|rot* = rotier  ENDEFR
𓂋 𓋴 𓋴||quite, entirely, at all|rest, der Rest  EN/DE
𓂋 𓋴 𓌘 𓁹||wake, be watchful, vigilant|res:rise  EN / vs rest
𓂋 𓋴 𓌙 𓄛 𓍑 𓏏 𓏴||vigilance|resantiement ressentiment 
𓂋 𓋴 𓌙 𓄛 𓍑 𓏏 𓏴||vigilance|resantiement ressentiment 
𓂋 𓎡 𓎛 𓊮 𓏒||(festival of ) Burning|Räucher-Fest 
𓂋 𓐍 𓏏 𓂝||wash (clothes)|rachats@HEB  ^^rock←rage ⇔ dirty regs? <<  / recto
𓂋 𓐝 𓍿 𓀀 𓁐||(collective n.) man, men, mankind, Egyptians|Ramesser  ← >>> Mizraim / RenMinCa ?? / re-parther / Remsi ⇔
𓂋𓊮||Köcher -Fest |
𓂎||three quarters Zähnt duzent=2vs 2*3*4 --|creῖth ⇔ treish  TC too? thr,shr,chr OK / τrεjς drein tres threein trio  DE/EN/ES/LAT/IT  ← / 3 thalath = 3 @ AR / 3 shlsh / chlth @ PHO / 3 shalash Akk / трех trech @ russia / quinze = ƒƒ / pent = 5 / expect(??) 3 / kepent = 3 ® ?? / ex-pen-ter= ter ? / expand? / vs khund Huntêhund (Gothic)  / uno 1'rd order 1 / DEka 2'rd order / CENtr3'rd order / taus 4 / pent 5
𓂓 𓂋 𓇋 𓇋 𓇭 𓀀||gardener|Kar¨tenner / Gärtner  DE/EN / 'kery ⇔ Acker / ⇔ Akkadian kirû (kiriu) ← Sumerian KIRI
𓂓 𓏤 𓆓 𓈖 𓂾 𓂻||charioteer| kar-𓏤-jotner /  Kutschener 
𓂓 𓏤 𓅷 𓏤 𓈖 𓄿 𓂾 𓂻||charioteer|Kutschener kar…iotaner 
𓂚 𓄿||fish (lates niloticus)|phoair = perch 
𓂚 𓄿 𓀁||take care|tochair : take care EN PUN
𓂜||ναός via and niou ← CN/GR |nαic naos a temple, shrine (nice) / gneiss ~ stein ~ shrine ⇔ ignorant  / Kaspern-Tor --
𓂜 𓃹 𓈖 𓏏||there is/are not|no sant / nich find << no phund 
𓂜𓈖 𓈝 𓄿||spleen|kein Schimmer ←  / non-steer
𓂝||hinder parts (of man), anus|ors,arse ⇔ mors
𓂝 𓂋 𓈎 𓍼 𓏛||don (a garment)|?? ⇔ / or-quzie : / kiswa : clothes, garment covering ← סת kesûth kes-ooth' ⇔ KAS / orqu fest / fest ziehen? / ⇔ torque? torch?
𓂝 𓂋 𓈎 𓍼 𓏛||be wise, skilled (in)|orquziter ?  / organisiert / ? ja?
𓂝 𓂝 𓅱 𓏮 𓁺||sleep|a'rouhn ruhen  DE
𓂝 𓃀 𓅱 𓄐 𓏛 𓏥||offerings| opus ophwa ⇔ Opfer offerings 
𓂝 𓃀 𓅱 𓄐||purification, purity| obpu[𓄐ra?] obhen-ob / open up? 
𓂝 𓃀 𓅱 𓏏 𓉽||staff of Office  U|Obwart  ward Wärter
𓂝 𓃀 𓅱 𓏏 𓉽||staff of Office  U|Obhut 
𓂝 𓃹 𓈖 𓏌 𓏲 𓀜||plunderer|arsoner
𓂝 𓅓 𓄈 𓀁||swallow, breathe in, absorb, know|OHM ~ATHEM 
𓂝 𓅱 𓎼 𓊮||parch (grain)|parch  / (al'Pa)
𓂝 𓅱 𓏏 𓃲 𓈓||goats|pan.ς  / arüth anter ⇔ aries = ram QED
𓂝 𓆑 𓆑 𓅭||fly|ophthen  opter GR / fai 飞 fēi feiissen fllieggen ⇔ fetch ? / vs vie : eifern / ⇔
𓂝 𓆑 𓆑 𓆤||buzz (of insect)|ophthen 
𓂝 𓆓 𓎙 𓏌 𓏥||fat, grease|edge (rand,Ranz ) / OT: samin : fat ⇔ semen
𓂝 𓆓 𓎚||perceive|perceived AR ~edge / ~er.haschen?
𓂝 𓆓 𓎚 𓈇||edge, margin (of cultivation)|adj = edge 
𓂝 𓆱||wooden rod|ast  DE
𓂝 𓈎 𓂭 𓂭 𓏜||(adj.) precise, accurate|aqur akurat ENDE  / accurate
𓂝 𓈎 𓂻||enter (into)|arqu : έρχο enter GR  / ⇔ shaqur / urge a'kur?
𓂝 𓈖 𓂝 𓇋 𓇋 𓀁||complain, complaint|annoy  EN/PR: / onoy  / ⇔
𓂝 𓈖 𓂧 𓅱 𓇰||dawn|1n dawn  EN
𓂝 𓈗||dyke|Damm 
𓂝 𓈙 𓀁||summon|usher  < kreisch
𓂝 𓈙 𓆈||lizard|Echse 
𓂝 𓈙 𓇫||cedar|Esche < beech 
𓂝 𓈙 𓇫||cedar|escheda? ash plane QED 
𓂝 𓈙 𓐎||cedar|ash plane Esche/Platane ➙ Zeder Wacholder Juniperus  
𓂝 𓈙 𓐎||cedar|ash plane Esche/Platane ➙ Zeder Wacholder Juniperus   / ← / CHEMAGIE  :: / PhLA??? ← vLo mvoi/vol/pul ?? ⇔ pille  plain ? 'uio⇔yew? / plantanne platane plane plateau pellet flee flight follow blunder pure? Pflanzeder / paladin phalanx ⇔ pantex Panzer? plain(simple,single,pl1:alone) ⇔ pain plan ... plate, Platte
𓂝 𓊪 𓂋 𓅱 𓐢 𓀀 𓏥||sailors, workmen|Afrikan@Kahn? < oar-fru / ?
𓂝 𓊪 𓂋 𓐢 𓏜||provide, equip (with), man (a vessel), aquire, incur (injury)|offer  aphuire aquire equiper <<
𓂝 𓊪 𓂻||traverse (a waterway), pass (by)| over quer / off-ir <<
𓂝 𓊪 𓆷 𓄿 𓇋 𓇋 𓆣||beetle|hanphusae الخنفسة Arabian Kneifer / scarabeetle scarabée @ LATFR
𓂝 𓍯 𓄿 𓂝 𓁹 𓂋 𓆑||brigand|a robber-o mayrsin / mercenary / 
𓂝 𓏤||item, piece|am um ein 'a'   dam dem idem item  <<
𓂝 𓏏||house|house 'oth / ort / hut / Ort / Hort / Fort / Kurt  hAimat   <<
𓂝 𓏏 𓈖||orchard|Garten ærden / garden Eden 
𓂝 𓏤 𓈉 𓏏||desert region| da.shr.et dashred desert
𓂝 𓏤 𓈗||dyke|DAMM  Ort Meer / Arret Meer
𓂝 𓐍 𓐍 𓏲 𓇰||twilight| occult
𓂟|PORta| put, place, appoint, cause, permit, give, grant|PORt / prethent   𒁀𒊏𒅈𒋾 𓅓𓂝𓈙𓂋𓃭𓅱𓇶 parther𓃭 partir𓇶 ...
𓂟 𓊄 𓂻|PR.ZNt.IR|~present, bring, bring away booty, extend (hand), take (aim)|pre.sent.ier / presentier 
𓂠 𓄞 𓂧 𓏏|phordt|ford| Posten𓄞  <<
𓂟 𓉔 𓏮 𓅪|forhetful|be forgetful, neglectful   -vål|por(t)hoty-vål / forghoty-vål / forgetful /  WOW 
𓎛 𓆰 𓈖 𓎡 𓂠||make offering (to)| schenk
𓎛 𓆰 𓈖 𓎡 𓏲 𓂠 𓏤||(diplomatic) gifts|schenk  DE
𓎛 𓆰 𓈖 𓎡 𓇋 𓇋 𓏏 𓂢 𓋳||bed, bier|shank, Schenke  DEEN
𓂟 𓈖 𓅘 𓎛 𓇱||wax|neigH / Nacht  ? venux 𓅘𓎛 wax? <<
𓂧||beg = bagh baqa ... @ SEM |sbeg~speak ⇔ s'prechen=prec,preach,pray=ask@LAT ⇔ inter.proga frage pregunta
𓂧||neigear ➙ Neger~Pygmy |
𓂧||front ~~ δrhont -|
𓂧 𓁷 𓂋 𓄛||leather, hide|Leder ob Tier OK / leader (ober=leader  JA / leather / PUN?
𓂧 𓃀 𓄏||horn (of animal), wing (of army)|shabbur : horn AR  / dabbur : hornet  ←
𓂧 𓃀 𓈖 𓂂 𓂻||go round (a place), travel round (a region)|drobænor / δοιπορon @ GR  --  ? / trabail ⇔ travaill  FR / ⇔ beeilen / ⇔ ὁδεύ (p)Oden  / ⇔ ἐμπορεύο emporon ⇔ empire?
𓂧 𓄿 𓂋 𓌗 𓏝||(goods)|chêreos FR/GR
𓂧 𓄿 𓅯||~shake, tremble| 𓅯=∑Q
𓂧 𓄿 𓎼 𓀀||pygmy, dwarf|δwairg dwarf Zwerg cheirg  ENDE  / ⇔
𓂧 𓄿 𓎼 𓀀||pygmy, dwarf|δwairg dwarf Zwerg cheirg  ENDE  / ⇔
𓂧 𓄿 𓎼 𓀀||pygmy, dwarf|δwairg dwarf Zwerg cheirg  DE  vs: ?
𓂧 𓅓 𓌪||be sharp, sharpen, pierce (sky)|de'Messer / chierper ⇔ sharp, schärfer sharpen
𓂧 𓈎 𓂋 𓂷 𓈒 𓏥||fruit, fruit - trees|cheir.quer ➙ Kirsche ? cheir.quer = Hand.hoch / chaqara ⇔ / shajara : tree Ind syajrat, Per shajare, Tur secere / quer ⇔ gir: giraffe, grow   ← / sigra : zirkade? Zikade / ←?>
𓂧 𓈖 𓂧 𓈖 𓀜||be angry|zürn  / zorn / sensen
𓂧 𓈖 𓂧 𓈖 𓂻||traverse (a place, a way)|ziehen   ← / drehn ⇔ tran,train,tram,tra'verse  ← / cheiren ➙ queren? WTF too far
𓂧 𓈖 𓇋 𓍸 𓀜||dam (water), construct (dam), hold back, restrain (someone), revet (earthen banks)|dam  / dameta / dammit  / δanit / sanitär
𓂧 𓈖 𓇋 𓏏 𓈗 𓈘 𓈇 𓏤||ditch, canal|δanitheal canal ? ⇔ sanitär  / ⇔ Schnitt?
𓂧 𓈖 𓇋 𓏏 𓐡||basket|tânaph טנף basket taw-naf  HE / δanit / ssann : basket / ←?>
𓂧 𓈖 𓋴 𓍖 𓊌||heavy, irksome, burdensome (of years), overburdened (of stomach), weighty|δwairen__ ⇔ schwer  vs DE / dense 
𓂧 𓈖 𓋴 𓍖 𓏜||heavy|δwairen_ ⇔ schwer  vs DE / dense_  EN
𓂧 𓈖 𓎛 𓆃||wing|δjanahh AR wing Aze cinah, Per janahh] / Dauner ⇔ down vs feather / "Du δw
𓂧 𓊪 𓄓 𓀁||taste (verb), experience|tongue  ← 
𓂧 𓊪 𓏏 𓊛||ship|SHĮPht EN/AR  ®®®®®®®®® ← / Sha.Phoi.Tei abbrevation for / ال سفينتين / س ف ي ن ت ي ن / al ShiPhoiniTian NO KIDDING / Boot ← Pott / cheiroit ➙ Kreutzer-- / vs / From the same as /  white: - white. צי tsîy tsee / From /  a ship (as a fixture): - ship. ציבא tsîybâ' tsee-baw'
𓂧 𓋬 𓅓 𓆓 𓅱 𓏛 𓀭 𓏥||crowd|die.Massen  DE  / demaath
𓂧 𓋴 𓌪||knife|Degen , dash  DE EN / δes ⇔ swiss knife  / bascut / das cut? / dash ⇔ Taschen.messer ?? (Inverse etymology)
𓂧 𓍯 𓄿 𓇋 𓇋 𓏏 𓇼 𓇳 𓏮||morning|Druiten ←⇔ ?????????? / droerytuanras / ⇔dawn? / ←~~~~~~>
𓂧 𓎛 𓏏 𓏮 𓈓||lead|leahd 
𓂧 𓎯||see, behold|δeya δeva ~ sehwan ← 
𓂧 𓎼 𓁹||look (at)|duqei Heb (look)   II : / δeigher ~ sehen, zeigen  GOTH / gaiern / gaffen / geifern
𓂧 𓎼 𓄿 𓇋||hide|ducken  DE / ⇔duq=look duck=walk
𓂧 𓎼 𓄿 𓋴 𓁺||walk|δwager ⇔ swagger swalg walk schwelgen / δeig ~ στοιχέ walk GR / sτοιchøī Storch to stork stalk steigen stolz.ieren(gehen) QED  DE/EN / sair : run, walk / duck (Beiner) / דה dâdâh daw-daw' A doubtful root /  to walk
𓂧 𓏇 𓇋 𓂢||be joined (to), accrue (to), cleave (to), suit (someone), befall (someone)|~da-mit, symmet ...  / ~schmied / ~D-mittel / dromitel ⇔ dromeda @ Medin / ⇔
𓂧 𓏇 𓇋 𓈇 𓀀 𓏥||fellow - citizens|demot ← demit  GR
𓂧 𓏇 𓇋 𓈇 𓏤||town, quarter (of town), abode, vicinity, quay|demit ➙ demos GR  / summit mittel / ⇔
𓂧 𓏇 𓇋 𓊳||(ornamental) fruit dish|damir ➙ thamar @AR 
𓂧 𓏏 𓏤||hand|churttum : trunk  AR / droit ⇔ trag .. trunk ⇔ trinken / hand™ ⇔ handle cheir ... / ψηλαφά feel, touch, handle, grope for / psėlαphά spelapha ⇔ spiel
𓂧 𓏮 𓈐||here, there|there / da / thy-pass / dry-pass / le.ther._ 2 ➙ / there
𓂸  𓎛𓈞𓋴||hinis penis/Hannes/Heinz |
𓂸 𓆇||bolus, lump, pill|PNeii = Pneu penil / bull➙bolus ⇔ bälle  / bolus  große Pille / ⇔ aPiss pins Pinsel Penis
𓂸 𓏏 𓌙 𓌙 𓏜||straight, precise|straight stratum / ⇔    accurate / maqtywac meduiac מדויק  ⇔ מד matter vs tyw  / exactly ⇔ echt ⇔ recht ⇔ straight / ←>
𓂺||homosessual |Brünnet
𓃀||Kuren  χορός GR|
𓃀     …||Eaƥδt Eavt Eat East vs Vest Vearb Färb… ??|Aleavut levant vs Vest 
𓃀 𓂝 𓃀 𓂝 𓈗||drink|boire  FR / borbor / baba / vs ab L⇔R 
𓃀 𓂧 𓂧 𓅱 𓂸 𓅱 𓆰 𓏥||water - melon|battich@AR melon  / beddkannt/cunt / water bottich : squash?
𓃀 𓄑 𓈞 𓇋 𓇋 𓏏 𓈉||firmament|Zenit zenith 
𓃀 𓄑 𓈞 𓈉||heaven, firmament|Zenit zenith  / Brunn-Za ⇔ Bonanza  ⇔ Byzans?
𓃀 𓅡 𓂓 𓇼||morning|bvaka ~ wake  Sanscrit/ EN / ⇔ fuck?
𓃀 𓅡 𓄿 𓄛||leopard|Pfau'ter Panther / Power-Tier pa'Ather = (leo)pard ⇔ paw  /   ←
𓃀 𓅡 𓄿 𓍒 𓏌||jar|Flasche  / bvaza : vase  / vs Pfeiler :(
𓃀 𓅡 𓄿 𓎼 𓁹||sight ?|blick DE/GR  / βλέπ / βλεψ
𓃀 𓅮 𓄿 𓂋 𓏤 𓎡 𓄿 𓍘 𓇋||lake|bairkati Arabic 'Birket'  بركة vs البحيرة -- very shallow reading
𓃀 𓅱 𓎛 𓂋 𓅨 𓅱 𓅪||evil    -vål|bane sharr.evil / being sharru/evil  AREN / bonkervoul ←?> bãd.foul / bent.foul
𓃀 𓅱 𓎛 𓅪||poverty   @ eloquent peasant|pover   EN ⇔ Bauer / pouer = poor 
𓃀 𓅱 𓎟 𓀀 𓏥 𓁐||everyone, everybody|bün-all / being-all (all beings) / bandalln (with d wegen badan : body) / ⇔ panta  ← / 'all sons'?
𓃀 𓇋 𓅱 𓆤 𓏨||wasp|Biene   DE ← / biün / bien
𓃀 𓇋 𓈖 𓅪||(adj.) bad, evil   -vål|bane der Ruin kein Pl.  / bane der Fluch Pl.: die Flüche / bane das Verderben kein Pl. / ⇔ ← Kobana@LeBanon/AlBane  / ⇔ / vane, vain, vaiin
𓃀 𓇋 𓎡 𓅅||falcon|bicht: Harbicht  / beak ⇔ bird, pick ... / beak ⇔ horn / phek ←?> falcon
𓃀 𓇋 𓎡 𓊛||'falcon' ship (of the king)|'beak' bark barkasse 
𓃀 𓇋 𓏏 𓄑||character, qualities|better  / besser  / pod,bott,piza,vita,Witz / bizzar / ← / BfėTai BroT, PiTa flat bread ⇔ Büffet ⇔ buff: A blow or cuff as per hand  / ⇔pTeig πίτα pie pitta, probably from Latin picta, from pictus ƒ /  / a loaf   ⇔ broad vs tight / bheid ➙ / bâtard FR / brifeton/ brignolet / bricheton / bread / Brot / pan / pain(FR) boulot m.
𓃀 𓇜 𓈖||sweet, pleasant|bien / bon / bene 
𓃀 𓈖 𓇋 𓏲 𓏌 𓏥||date - wine|vine__  / bonito bineur
𓃀 𓈖 𓏏 𓏮||two baboons (which greet the morning sun)|Viannas  ⇔ Venus ←, / bantaoonos bonobos bonoboth (dual)  ← / ⇔  Anera = morning ⇔ muarn ⇔ multi
𓃀 𓈙 𓂐||spit, spit out|bsh ⇔ sb~sp / πτύ ƥthu bthu ~ beshpu FLIP-FLOP proven  / bshpu ? bespucken? / schbit / spit / sputare / pluć / cuspir / escupir vowel-flip proven  / плева́ть / postillonner
𓃀 𓈙 𓏏 𓏲 𓂉||rebellion|beschtun ~ paschtun / beshtel ⇔ Tell Bethlam?  ← 
𓃀 𓈞 𓄑||consisting of bronze|brunnze = bronze QED*2  / bünth = bronze
𓃀 𓋴||jar|base vase 
𓃀 𓋴 𓆛 𓂻||introduce (someone into)|beg in _ / beginnen / basin  / basieren
𓃀 𓋴 𓆛 𓏛||instal|base / basin  / basieren
𓃀 𓎁 𓏏||run|vezit >> wetzt, wetzen / vest ➙ fast 
𓃀 𓎛 𓈖 𓏌 𓅱 𓄑||howl (of dog)|behren ⇔ barken Bellen plärren  (phleg) DE / gab.griso @ Greek kaff @ HE kläff @ DE
𓃀 𓎛 𓋴 𓂾||hunt|bherg ⇔ Pirsch  perser / panther bhun'hers  / ferchen fersen
𓃀 𓎛 𓏮 𓂡||forced labour|berg ⇔ hunted^^ mountain^ slaves QED  (see Akad./Sumer) / buckeln ~ sklaverei
𓃀 𓏏 𓍔 𓄿 𓂾 𓂻||run|vettier, wetzer wetzen  / beater
𓃀𓂋||burn / boil |
𓃀𓄲||^^ very similar on second look: ƥłδ  disambiguifies? no:(|____
𓃀𓄲||bless  |
𓃀𓈖𓈖𓏏   𓈒𓈒𓈒||~Band (Arm-,Hals- )  DE|bnLet ⇔ ArmuLet   ←
𓃀𓏏𓄹  𓃀𓅌𓏏  𓏏𓏏||büste breast b*rust =tit DE|'beet-bein' /
𓃀𓏮 𓋸||senduals / |
𓃁 𓄐||purification|pur'pur / ⇔ purpur purple clever 
𓃂 𓂝 𓇋 𓇋 𓏏 𓆇||(pl.) meat offerings|pure roit / pure roh-eat /  ⇔ 肉 (⺼) ròu
𓃛 𓅱 𓂝 𓂝 𓏏 𓄯 𓏛 𓏥||inheritance, heritage|GENERATIONS N / ⇔ Schenk
𓃛 𓅱 𓂝 𓂝 𓏏 𓄯 𓏛 𓏥||inheritance, heritage|genorations  ENDE
𓃛 𓅱 𓂝 𓅱 𓄯 𓄹||thigh, leg (of beef)|Schenkel  DE / shank
𓃛 𓅱 𓈖||pillared hall|Genn ⇔ Gang  DE
𓃭 𓂋 𓇋 𓇋 𓏏 𓉐||court of law, hall|LAW & RIGHT-tor / LAW & O'RDER  / lorytor ←  
𓃶 𓀀||noble, dignitary|αἰγάδ a'goat GOOD ἀγαθ ⇔ Goth gaet ...  / euGENES εὐγενής ⇔ 𐁁𐀼=aiγank 'αἰγάδες a'goat.es gαίγαn "Eugen" / ⲌⲈⲚⲚⲈⲞⲤ ⲍⲉⲛⲛⲁⲓⲟⲥ 🇬🇷 noble ⇔ generous  good genes / heirkunft
𓃹 𓈖 𓐍 𓅱 𓍼 𓋳||clothing|⇔ anziehn ἐνδύ @ greek   / ⇔
𓄁||navel - string, navel|skor SEM  / surra : navel Per sorre / shor ⇔ Schnur DE  / ⇔ Schnurr Haare @ shore??
𓄂 𓏏 𓏤 𓋴 𓆓 𓎛 𓂾||shinbone|Fore Schienbein 
𓄈||~nmachrugh محروق AR nacken-ruhig|
𓄋 𓈐 𓈐 𓈐 𓀭||(divinity) Wepwawet|Upways / OpaWeiss / Jupiter  / IO-upather / Ja / associated with Anubis, considered his son. Seen as a jackal, he also was said to be Set's son. / often is confused / Asyut in Upper Egypt (Lycopolis in the Greco-Roman period) / Lyco wolf
𓄋 𓊪 𓅱 𓏏 𓀀 𓁐 𓏥||household, crowd|gones  / γονεύς = parent / gents / count / ... / ←
𓄋 𓊪 𓅱 𓏏 𓏮 𓂻 𓀀||messenger, agent, commissioner, bystander|OFFICER  ⇔ opifex ‎(“doer of work") / Boote  / a'gent
𓄋 𓊪 𓅱 𓏏 𓏮 𓂻 𓀀||messenger, agent, commissioner, bystander|OFFICER  ⇔ opifex ‎(“doer of work") / 'Boote  / a'gent / ⇔
𓄋 𓊪 𓅱 𓏴 𓁷 𓏤||except, but| / counter ← / BUoT / opou ~ aber, a'but
𓄋 𓊪 𓏏 𓀀 𓁐 𓏥||household, crowd|copht / cowd ⇔ crowd / opter KÖPFE ←  / Schopf ←
𓄋 𓊪 𓏴||open, open up, inaugurate, part, separate, divide, judge, discern, distinguish, take|opphen open QED  EN / offen / to off / off-tick / optik
𓄋 𓏏 𓏤 𓏠 𓈖 𓏏 𓂾 𓂾||the space between anus and genitals|nude:gymna  EN/GR
𓄍 𓎱||New Year's Day (and its Festival)|Gnu-Years-Feast ? ← 
𓄏  𓎛𓆰𓈖𓄏  角早  𓊋||JhOrn=قرن=carn,κέραn Horn 角jiǎo早zǎo join/journ/morn crn|⇔ kerben
𓄑||bien.deed : δeeδ teeth  EN*EN*2|⇔ δeeδ : tit(zeit) Tat(doing) dee.ma timo ⇔ esteem ... ←
𓄑||ma'thaq@Heb ↭ ma.tooth ma. MahlZeit|الغذاء al ghreatera ⇔ eat gräten / AKL : food Per akl Heb ma'akal Ger Mahl açan  ma'thaq meat maträtt@SWE ⇔ hrane carne tseydah? / ←???> <<
𓄔||attr attrash AR deaf Per attrush|
𓄔 𓅓 𓇋 𓇋 𓅱 𓀀 𓏥||judge, hearers|hear-foreigners / "listen-to-others"  / hearer-freya? / here-for-y-unners / here-for-Iana's / ieners : Iannas / Ind-Ianers
𓄔 𓌻||atar as Taur vs Mer |⇔ / ihhtaris : precaution
𓄔 𓏤||leaf|'ear'  / Ähre, Ohr
𓄖 𓅱 𓅂||the far north|Hohen Angeln (WinkelSaxen) / Achtern Angeln  / Bactria
𓄚 𓈖 𓏌 𓅱||brook|Rinnen 
