word,transcription,definition,note
𐀀-𐀆-𐀳,a-de-te,•binder? riveter ⇔ (*-te *-te-re) a-ke-te-re a3-te-re ko-re-te-re ma-te-re pi-ri-je-te-re ra-pte-re tu-ka-te-re •dual of a-de-te  ,
𐀀-𐀆-𐀸,a-de-we,,
𐀀-𐀆-𐁈,a-de-ra2,•anthroponym ,
𐀀-𐀇-𐀋-𐀺,a-di-je-wo,•anthroponym genitive ⇔ a2-di-je-u ,
𐀀-𐀇-𐀪-𐀊-𐀳,a-di-ri-ja-te,,
𐀀-𐀇-𐀪-𐀊-𐀳,a-di-ri-ja-te,inlaid with a figure of a man,
𐀀-𐀇-𐀪-𐀍,a-di-ri-jo,•anthroponym KN Do: ko-te-u anthroponym KN Do: se-to-i-ja ,
𐀀-𐀇-𐁅-𐀲,a-di-nwa-ta,•anthroponym ,
𐀀-𐀇-𐁒-𐀭,a-di-*22-sa,•obscure (i.e. not known) KN F: GRA+PE NI ,
𐀀-𐀈-𐀸,a-do-we,•single word inscribed on jars anthroponym? ,
𐀀-𐀉-𐀡-𐀵,a-du-po-to,•anthroponym ,
𐀀-𐀉-𐀬-𐀡-𐀵,a-du-ru-po-to,•anthroponym ,
𐀀-𐀊-𐀕-𐀙,a-ja-me-na,with symbols,
𐀀-𐀊-𐀕-𐀜,a-ja-me-no,•inlaid masculine nominative singular a) aplicado a cajas de carros (KN Sf) b) un nombre de materia ⇔ e-re-pa-te pa-ra-ku-we ku-ru-so etc. c) la parte del objeto afectada o del motivo empleado aplicado a piezas de mobiliario ⇔ a-di-ri-ja-pi po-ni-ki-pi etc. inlaid always followed by a material in the instrumental •feminine nominative singular el mismo que a-ja-me-no   (editors Yves Duhoux and Anna Morpurgo Davies)   kar WNXIV.164 participle candidates,
𐀀-𐀎-𐀔-𐀙-𐀐,a-*65-ma-na-ke,•recipient of offerings theonym? KN Fs: HORD NI ,
𐀀-𐀎-𐀙,a-*65-na,•obscure (i.e. not defined) ,
𐀀-𐀏,a-ka,Van Spitael & Faure 1977: toponym classical Ἀχάρνα •1. anthroponym 2. toponym 1. probablemente neutro en -ας ⇔ a-ka-i-jo. En la misma región que ru-ki-to y pu-so. 2. probablemente hipocorístico de Άλκᾶς (PY An) a-ka (KN Dn): pu-sotoponym ru-ki-totoponym (where a-ka is a toponym) KN Da: a-ko-ro-qo-rohapax au-ri-joku-ta-to su-ri-mo wi-na-to e-ki-nohapax e-ne-ke-se-uhapax ka-ne-u-tahapax o-ku-nohapax po-i-te-uhapax KN Da KN Dn: OVIS Auro Jorro Francisco 1985 Diccionario Micénico vol. I  Van Spitael Marie-Anne and Paul Faure 1977 ΚΡΗΤΟΛΟΓΙΑ 5 «Villes et villages de la Crète centrale. Listes inédites de l'époque Vénetienne comparées aux tablettes de Knosos»,
𐀀-𐀏-𐀂-𐀍,a-ka-i-jo,•anthroponym •feminine adjectival formation on a-ka-i-jo? a-ka-i-jo appears in the owner / collector position with ko-ti / pa-i-to on KN De 1084. Appears as a-ka-i-je-ja  du-qo-te-ja LANA 2 on TH Of 27. Appears as (a)-ka-i-je-ja  pu2-ke-qi-ri-ne-ja LANA 2 on TH Of 27. LANA: TH Of OVIS: KN De pa-i-to: KN De ,
𐀀-𐀏-𐀆,a-ka-de,•anthroponym ,
𐀀-𐀏-𐀔-𐀍,a-ka-ma-jo,•anthroponym dative ⇔ Ἀλκμαίων ,
𐀀-𐀏-𐀔-𐀜,a-ka-ma-no,(as a-ka-(ma)-no) •anthroponym ⇔ Ἀλκμήνωρ ,
𐀀-𐀏-𐀔-𐀺,a-ka-ma-wo,•anthroponym ⇔ Ἀλκμάων PY Cn 131 (context: pa-ro & OVIS): a-no-poPY Va a-ri-wo-ne a-ta-ma-ne-we a-we-ke-se-we do-qo-nohapax [[e-ti-ra-wo]]PY Sa gen. [[ke-ro-wo]]PY Ae ke-sa-me-noPY Fn ko-roKN De ko-ru-no ku-pi-ri-joKN Fh KN Ga PY Jn PY Un me-te-wehapax ne-ri-tohapax [[o-ku-ka]] [[pi-me-ta]]hapax po-ke-wehapax po-ko-ro po-ro-u-te-wePY Jn gen.; KN Dc PY Jn nom. ra-pa-sa-ko se-noPY Es [[wo-ki-to]]hapax ,
𐀀-𐀏-𐀕-𐀚,a-ka-me-ne,(as a-ka-me-ne[) •anthroponym? ⇔ Ἀχαιμένης Ἀλκαμένης ,
𐀀-𐀏-𐀙-𐀍,a-ka-na-jo,•toponym or adjective describing sheep and goats? ⇔ a3-ka-na-jo ,
𐀀-𐀏-𐀨-𐀜,a-ka-ra-no,'without a top' showing that as one would expect the different components of a table (top legs etc.) were separate pieces and they were assembled only when the table had to be used. •adjective describing a table 'headless'? ⇔ ἀκάρηνος  ,
𐀀-𐀏-𐀩-𐀄,a-ka-re-u,•anthroponym AROM: KN Ga pa-i-to: KN Ga ,
𐀀-𐀏-𐀩-𐀄-𐀳,a-ka-re-u-te,•toponym in dative-locative? ⇔ a-ke-re-u-te ,
𐀀-𐀏-𐀭-𐀜,a-ka-sa-no,•anthroponym ⇔ Ἀλχσήνορ ,
𐀀-𐀏-𐀯-𐀍-𐀚,a-ka-si-jo-ne,•toponym locative? ,
𐀀-𐀏-𐀲-𐀍,a-ka-ta-jo,by the coast,
𐀀-𐀏-𐀲-𐀍,a-ka-ta-jo,•anthroponym •genitive of a-ka-ta-jo KN Dv: OVIS PY Eo: GRA KN Dv: da-*83-ja ,
𐀀-𐀏-𐀲-𐀨-𐀳-𐀰-𐀆,a-ka-ta-ra-te-so-de,toponym allative •toponym? allative?  ,
𐀀-𐀏-𐀵,a-ka-to,Ilievski 1996: anthroponym ⇔ Ἄγαθος Ἀγάθων Ἄχαστος Ἄχανθος BIG: KN Sc EQU: KN Sc OVIS: KN Dv TUN: KN Sc ra-to: KN Dv Ilievski Petar Hr. 1996 Attí e memorie del secondo congresso internazionale di micenologia vol. 1 Filologia “The Mycenaean Personal Names in -to with regard to the derivatives from verbal adjectives,
𐀀-𐀏-𐀵-𐀷,a-ka-to-wa,•anthroponym •genitive of a-ka-to-wa Appears as a-ka-to-wa-o / au-to-te-qa-jo (O)[ on TH Ug 4. Appears as a-ka-to-wa-o / ka-e-sa-me-no  au-ri-jo O[ on TH Ug 5. ,
𐀀-𐀏-𐀹-𐀊-𐀆,a-ka-wi-ja-de,•toponym probably allative  toponym in -ία ⇔ common Cretan village name Attic Ἀχαΐα Risch 1965: toponym *Ἀχαιƒία region of the Achaeans in -ία derivative of ethnic *Ἀχαιƒός  Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien Risch Ernst 1965 Museum helveticum (MH) 22 «Ein Gang durch die Geschichte der griechischen Ortsnamen»,
𐀀-𐀏-𐀹-𐀊-𐀆,a-ka-wi-ja-de,name of a feast,
𐀀-𐀏-𐀺,a-ka-wo,•anthroponym •dative of a-ka-wo AUR: PY Jo MA: PY Un ,
𐀀-𐀐,a-ke,•3rd singular present indicative active voice of ἄγω? ,
𐀀-𐀐,a-ke,leads/guides,
𐀀-𐀐-𐀁-𐀵,a-ke-e-to,antropónimo masculino nominativo •anthroponym In a ra-su-to context on KN Da: a-me-a KN Da: ra-su-to KN Da: OVIS  ,
𐀀-𐀐-𐀃,a-ke-o,•anthroponym •genitive of a-ke-o Appears as a-ke-o  ka-wi-jo VIR 1 on PY An 192. Appears as a-ke-o  a-ke-re on PY Cc 660.a. Appears as a-te-re-wi-ja () pa-ro  e-wi-te-we  a-ke-o-jo OVISf 70 on PY Cn 40. Appears as [[u-po-ra-ki-ri-ja]]  pa-ro  pe-qe-we  a-ke-o-jo OVISf 65 on PY Cn 45. Appears as pu-ro [[ra-wa-ra-ti-jo]]  pa-ro  a-ko-to-wo  a-ke-o-jo CAPf 50 on PY Cn 45. Appears as pu-ro [[ra-wa-ra-ti-jo]]  ka-ra-wa-ni-ta  a-ke-o-jo CAPm 100 on PY Cn 45. Appears as [[u-po-ra-ki-ri-ja]]  [[wi-ja-te-u|wi-ja-te-we]]  a-ke-o-jo CAPf 1(5) on PY Cn 45. Appears as pu-ro  [[ra-wa-ra-ti-jo]]  ka-ra-wa-ni-ta  a-ke-o-jo CAPm 100 on PY Cn 45. Appears as a-si-ja-ti-ja[]pa-ro  [[i-sa-na-o-ti]]  a-ke-o-jo OVISf[ on PY Cn 254. Appears as wa-no-jo  wo-wo pa-ro  ne-ti-ja-no a-ke-o-jo CAPm 100 on PY Cn 599. Appears as a2-pa-tu-wo-te  pa-ro  a-ke-ra-wo  a-ke-o-jo CAPm 90 on PY Cn 599. Appears as a2-pa-tu-wo-te  pa-ro  [[ru-we-ta]]  a-ke-o-jo CAPf 40 on PY Cn 599. Appears as wa-no-jo  wo-wo  pa-ro  ke-re-no  a-ke-o-jo CAPf 80 on PY Cn 599. CAP: PY Cc? PY Cn OVIS: PY Cn VIR: PY An ,
𐀀-𐀐-𐀄,a-ke-u,•anthroponym ⇔ Ἀλκεύς •genitive of a-ke-u Appears as a-ke-wo do-e-ra on KN Ap 628+. KN V: di-we-so [[i-wa-ka]] ka-pa-ri-jo ki-si-wi-jo [[me-nu-wa]] o-ku-na-wo pe-ri-ta wi-da-jo MUL: KN Ap OVIS: KN De KN Dv e-ko-so (u-ta-jo): KN Dv ra-ja: KN De ,
𐀀-𐀐-𐀄,a-ke-u,powerfull,
𐀀-𐀐-𐀚-𐀄-𐀯,a-ke-ne-u-si,,
𐀀-𐀐-𐀚-𐀄-𐀯,a-ke-ne-u-si,being purified,
𐀀-𐀐-𐀤,a-ke-qe,,
𐀀-𐀐-𐀨-𐀜,a-ke-ra-no,•anthroponym ,
𐀀-𐀐-𐀨-𐀺,a-ke-ra-wo,•anthroponym ⇔ Ἀγέλαος Ἀγέλεως Ἀρχέλαος ,
𐀀-𐀐-𐀩,a-ke-re,•'he collects (goats)' ⇔ ἀγείρω ,
𐀀-𐀐-𐀩-𐀄,a-ke-re-u,anthroponym derived from toponym a-ke-re-wa Melena 2000-2001: toponym •anthroponym or occupation? •dative singular or nominative plural of a-ke-re-u ⇔ qa-si-re-u / qa-si-re-wi-ja Melena 2000-2001: adjective of toponym a-ke-re-u ⇔ a-ke-re-wi-jo  Melena José 2000-2001 Minos 35-36 63 Joins and Quasi-joins of Fragments in the Linear B Tablets from Pylos ,
𐀀-𐀐-𐀩-𐀄-𐀳,a-ke-re-u-te,•toponym? perhaps ablative in -euthen ,
𐀀-𐀐-𐀩-𐀗,a-ke-re-mo,•occupation 'hunter' ⇔ ἀργεμών •genitive of a-ke-re-mo a-ke-re-mo-no in KN V: ko-re-te po-ro-ko-re-te qa-ra: KN V ru-ki-to: KN V? ,
𐀀-𐀐-𐀩-𐀮,a-ke-re-se,•'took' or 'will take' ⇔ ἀγρέω ἄγρει ⇔ (o-) o-di-do-si o-de-ka-sa-to o-wo-ze •thus he took (will take) ,
𐀀-𐀐-𐀩-𐀮,a-ke-re-se,took,
𐀀-𐀐-𐀩-𐀷,a-ke-re-wa,•Hither Province toponym •anthroponym ,
𐀀-𐀐-𐀩-𐀹-𐀍,a-ke-re-wi-jo,•anthroponym ,
𐀀-𐀐-𐀫,a-ke-ro,•1. (PY Cn PY Ea PY Vn) occupational term 2. (PY Jo) anthroponym a-*64-jo is a-ke-ro in the PY Cn series. [[wa-tu-o-ko]] is a-ke-ro pa-ro da-mo in the PY Ea series. CAP: PY Cn ,
𐀀-𐀐-𐀫,a-ke-ro,messenger,
𐀀-𐀐-𐀲,a-ke-ta,•anthroponym ⇔ Ἀγήτας Ἀκέστης ,
𐀀-𐀐-𐀳-𐀩,a-ke-te-re,'finishers' •description of bronze smiths probably 'those who practise their craft' ⇔ ἀσκέω 'work raw materials' •nominative singular of a-ke-te-re? perhaps error   ,
𐀀-𐀐-𐀴-𐀍,a-ke-ti-jo,•anthroponym ⇔ Ἀκέστιος ,
𐀀-𐀐-𐀴-𐀪-𐀀,a-ke-ti-ri-a,decorator (female),
𐀀-𐀐-𐀴-𐀪-𐀊,a-ke-ti-ri-ja,worker producer finisher Chadwick 1988: Occupational agent noun un nombre de agente en -τρια probablemente relacionado con el a-ke-te Ruijgh 1963: Occupational agent noun as 'finishers' from Classical Greek ἀσκέω Spelling variants: a-ke-ti-ra2 maybe a-ze-ti-ri-ja •dative plural dativo plural ra-su-to: KN Ai MUL: KN Ai Quora.com: Is the letter ξ ksi pronounced as ks or gz in Ancient Greek names? Auro Jorro Francisco 1985 Diccionario Micénico vol. I  “” Chadwick John 1988. Texts Tables and Scribes: Studies in Mycenaean Epigraphy & Economy (Suplementos a MINOS num. 10) “The Women of Pylos” p. 78 ,
𐀀-𐀐-𐀴-𐁈,a-ke-ti-ra2,worker producer finisher Chadwick 1988: occupational agent noun Ruijgh 1963: occupational agent noun as 'finishers' ⇔ Homeric ἀσκέω •spelling variant variante gráfica de a-ke-ti-ra2 •spelling variant •genitive    Chadwick John 1988 Texts Tablets and Scribes: Studies in Mycenaean Epigraphy & Economy (Suplementos a MINOS num. 10) “The Women of Pylos” p. 78  Ruijgh TBD,
𐀀-𐀐-𐀵-𐀫,a-ke-to-ro,uncertain title •meaning and case unclear  ,
𐀀-𐀐-𐀷-𐀲,a-ke-wa-ta,•anthroponym ⇔ a-ki-wa-ta ,
𐀀-𐀐-𐀷-𐀵,a-ke-wa-to,•anthroponym ,
𐀀-𐀐-𐁀,a-ke-a2,•'wine jars'? ⇔ ἄγγος ,
𐀀-𐀐-𐁈-𐀳,a-ke-ra2-te,•'collecting gathering'? ⇔ ἀγείρω ,
𐀀-𐀑-𐀩-𐀄,a-ki-re-u,•anthroponym ⇔ Ἀχιλλεύς ,
𐀀-𐀑-𐀪,a-ki-ri,ridge edge,
𐀀-𐀑-𐀪-𐀊,a-ki-ri-ja,•'wild creatures' describing goats ⇔ ἄγριος ,
𐀀-𐀑-𐀴-𐀪-𐀊,a-ki-ti-ri-ja,wild,
𐀀-𐀑-𐀴-𐀵,a-ki-ti-to,•adjective describing land 'not inhabited'? ⇔ ἄκτιτος ki-ti-me-na ,
𐀀-𐀑-𐀵,a-ki-to,Ilievski 1996: anthroponym ⇔ Alkithōi probably a short form of Ἀλχίθος and Ἄλχιτος Ilievski 1996: genitive of a-ki-to Ilievski Petar Hr. 1996 Attí e memorie del secondo congresso internazionale di micenologia vol. 1 Filologia “The Mycenaean Personal Names in -to with regard to the derivatives from verbal adjectives,
𐀀-𐀑-𐀷-𐀲,a-ki-wa-ta,•anthroponym ,
𐀀-𐀑-𐀺-𐀛-𐀍,a-ki-wo-ni-jo,•anthroponym ,
𐀀-𐀒-𐀂-𐀅,a-ko-i-da,•anthroponym KN Dl: qa-nwa-so KN Dl: OVIS LANA ,
𐀀-𐀒-𐀅-𐀗,a-ko-da-mo,anthroponym ⇔ a-ko-ro-da-mo from an original meaning of 'flashing' dissimilated into ἀργός 'brilliant white' < *ἀργρός 'swift'  probable anthroponym not related to a-ko-ro-da-mo  Ruijgh C. J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language,
𐀀-𐀒-𐀗-𐀛-𐀍,a-ko-mo-ni-jo,•anthroponym ⇔ Ἂκμων Ἀκμονίδης antropónimo masculino nominativo. Probablemente un único individuo relacionado con la economía del ganado lanar en ku-ta-to. KN De KN Dk: ku-ta-to KN De: OVIS KN Dk: OVIS LANA  ,
𐀀-𐀒-𐀨,a-ko-ra,•ἀγορά public assembly gathering but more like αγειρω collection Doria 1958: flock •1. belonging to the agora nom. pl. masc.? 2. anthroponym •belonging to the agora nom. plur. neut. Chadwick John and Michael Ventris 1959 Documents in Mycenaean Greek Doria Mario 1958 Interpretazioni di testi micenei ii,
𐀀-𐀒-𐀨-𐀍,a-ko-ra-jo,•1. (KN Co) belonging to the a-ko-ra 2. (KN As) anthroponym •nominative plural neuter of a-ko-ra-jo1 ,
𐀀-𐀒-𐀫,a-ko-ro,field country,
𐀀-𐀒-𐀫,a-ko-ro,(probably an anthroponym at KN Dl) •qualified by adjective to form geographical name ⇔ ἀγρός 'territory' Wiktionary: field country ⇔ ἀγρός • Sumerian /agar/ field • Akkadian /ikkar/ field • Latin /ager/ field and /agere/ to drive • English acre Appears in the context of sa-qa-re-jo on KN Dl 7138+. OVIS: KN Dl ra-ja: KN Dl ,
𐀀-𐀒-𐀫-𐀅-𐀗,a-ko-ro-da-mo,anthroponym determinative [compound] in which one of the elements is qualified by the other ⇔ Ἀκρό-δημος 'head of the community'  [ a-ko-da-mo and a-ko-ro-da-mo] cannot both represent agorodēmos and are in fact likely to correspond to two different [anthroponyms]. •anthroponym genitive ⇔ Ἀκρόδημος Appears as ] wo-ro-ka-ne  a-ko-ro-(da)-mo-jo VIR 3 on KN B 1025+. FAR: TH Gp VIN: TH Gp? VIR: KN B  Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean Anthology ,
𐀀-𐀒-𐀫-𐀦-𐀫,a-ko-ro-qo-ro,•anthroponym ⇔ Latin Agricola Killen 1964: a shepherd's name KN Da: e-ki-no o-ku-no au-ri-jo po-i-te-u KN Da: a-ka KN Da: OVIS  Killen J.T. 1964 British School at Athens (BSA) 59 The Wool Industry of Crete in the Late Bronze Age,
𐀀-𐀒-𐀫-𐀲,a-ko-ro-ta,•probably an anthroponym CAP: KN Mc *150: KN Mc *190: MY Go ,
𐀀-𐀒-𐀫-𐀸,a-ko-ro-we,•description of oxen possibly 'of uniform colour' Gallavotti TBD: 'with pointed ears' •nominative dual of a-ko-ro-we •variant spelling of dual of a-ko-ro-we  Gallavotti TBD,
𐀀-𐀒-𐀰-𐀚,a-ko-so-ne,axes,
𐀀-𐀒-𐀰-𐀚,a-ko-so-ne,•'shafts axles' ⇔ ἄξων ,
𐀀-𐀒-𐀰-𐀲,a-ko-so-ta,•anthroponym an important official ⇔ Ἀλκοίτας ,
𐀀-𐀒-𐀳-𐀄,a-ko-te-u,•anthroponym ⇔ Ἀκοτεύς ,
𐀀-𐀒-𐀵,a-ko-to,•anthroponym ⇔ Ἄκτωρ TUN: KN Sc ,
𐀀-𐀒-𐀵-𐀜,a-ko-to-no,•'not possessing a plot' nominative plural masculine ,
𐀀-𐀒-𐀵-𐀺,a-ko-to-wo,•anthroponym ,
𐀀-𐀒-𐀸-𐀂-𐀊,a-ko-we-i-ja,•meaning obscure ,
𐀀-𐀒-𐀺,a-ko-wo,•meaning obscure ,
𐀀-𐀓-𐀇-𐀪-𐀍,a-ku-di-ri-jo,•anthroponym OVIS: KN Dc e-ko-so: KN Dc ,
𐀀-𐀓-𐀙-𐀂,a-ku-na-i,(as a-ku-(na)-i) •toponym locative plural (as a-ku-do-i) Hart 1965: toponym connected with do-ti-ja a-ku-(na)-i spelling confirmed with Killen & Olivier 1989. OVIS: KN Ce  Hart G.R. 1965 Mnemosyne 18 “The Grouping of Place-Names in the Knossos Tablets” Killen J. T. and Jean-Pierre Olivier 1989 The Knossos Tablets 5th Ed. McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀀-𐀓-𐀪-𐀍,a-ku-ri-jo,•anthroponym ,
𐀀-𐀓-𐀫,a-ku-ro,•silver ⇔ ἄργυρος Wiktionary: silver ,
𐀀-𐀓-𐀫,a-ku-ro,silver,
𐀀-𐀓-𐀶-𐀬-𐀺,a-ku-tu-ru-wo,,
𐀀-𐀓-𐀺,a-ku-wo,•probable anthroponym ,
𐀀-𐀔,a-ma,•harvest ⇔ ἀμάω reap or ἀμάομαι ἀμή collect  see also: comments on GRA,
𐀀-𐀔-𐀒-𐀵,a-ma-ko-to,•month name genitive? ⇔ αἱμακτός ,
𐀀-𐀔-𐀜,a-ma-no,•anthroponym ,
𐀀-𐀔-𐀬-𐀲,a-ma-ru-ta,•anthroponym ⇔ Ἀμαρυγχεύς Ἀμαρύνθιος •genitive of a-ma-ru-ta ,
𐀀-𐀔-𐀬-𐀵,a-ma-ru-to,del Freo 2009: Euboean toponym ⇔ Ἀμάρυνθος famous in ancient times for a sanctuary of Artemis Chadwick & Spyropoulos 1975: toponym Amarunthos in Boeotia •allative of a-ma-ru-to LANA: TH Of SUS: TH Wu pa-pa-ra-ki: TH Of qe-ri-jo-jo: TH Wu Chadwick John and Theodors Spyropoulos 1975 The Thebes Tablets II  del Freo Maurizio 2009 Pasiphae: Rivista di Filologia e Antichità Egee III The Geographical Names in the Linear B Texts from Thebes,
𐀀-𐀔-𐀵-𐀺,a-ma-to-wo,•anthroponym ⇔ Ἀμαθοῦς? ,
𐀀-𐀔-𐀶-𐀙,a-ma-tu-na,•anthroponym ,
