★	Chinese	Pinyin	Meaning	Hook
★★★★	抚摸	fǔmō	caress, stroke	fummeln
★★★★	离别	líbié	part, take leave	leave
★★★½	浮	fú	float	float
★★★½	硬	yìng	hard/rigid	eng → tight/rigid
★★★½	困	kùn	trapped	confined
★★★½	吻	wěn	kiss	Wonne
★★★½	昧	mèi	dark/obscure	murky
★★★½	颓废	tuífèi	decadent/dispirited	teuflisch
★★★½	当然	dāngrán	of course	denn klar
★★★½	按钮	ànniǔ	button	an knob / button
★★★½	序列	xùliè	sequence	Seil / line
★★★½	无法	wúfǎ	unable	unfähig
★★★½	入睡	rùshuì	fall asleep	reinschlafen
★★★½	贪杯	tānbēi	fond of drinking	Trunk / Becher
★★★½	危险	wēixiǎn	dangerous	wehe!
★★★½	烤	kǎo	roast/bake	cook
★★★½	软	ruǎn	soft	round
★★★½	拧	nǐng	twist/wring	wring
★★★½	滴	dī	drip, drop	drip
★★★½	暖	nuǎn	warm	warm
★★★½	不忍	bùrěn	cannot bear to	unbearable
★★★½	队	duì	team	duo
★★★½	同步	tóngbù	synchronize	sync-pace
★★★½	害怕	hàipà	be afraid	harm + peur
★★★½	呼吸	hūxī	breathe	huste / hatchi
★★★½	忘	wàng	forget	won't recall / wrong
★★★½	谎	huǎng	lie	whopper / wrong
★★★½	荒	huāng	desolate, barren	hunger
★★★½	快乐	kuàilè	happy	gay luck
★★★½	陆地	lùdì	land	land
★★★½	新鲜	xīnxiān	fresh	shiny + fresh
★★★½	地铁	dìtiě	subway	down-train
★★★½	妥协	tuǒxié	compromise	touch terms
★★★½	到达	dàodá	arrive	to-there
★★★½	折磨	zhémó	torment	chemo
★★★½	皱纹	zhòuwén	wrinkles	wrinkle
★★★½	痕迹	hénjì	traces, marks	hints
★★★½	疯	fēng	crazy, wild	fun / fool
★★★½	姿态	zītài	posture, bearing	stature
★★★½	筷	kuài	chopsticks	quick sticks
★★★½	笨	bèn	stupid	Ben = dumb
★★★½	安静	ānjìng	quiet	un-Zank
★★★½	欠	qiàn	owe, lack	gähnen
★★★½	屁	pì	fart	pee-pee
★★★½	扁	biǎn	flat	plane / plank
★★★½	骗	piàn	deceive	feign
★★★½	健	jiàn	healthy, robust	kühn
★★★½	承诺	chéngnuò	promise	con-nod / covenant
★★★½	群	qún	flock, crowd	crowd
★★★½	想起	xiǎngqǐ	recall	think up
★★★½	发誓	fāshì	vow, swear	for sure
★★★½	摄像头	shèxiàngtóu	camera	shoot-cam
★★★½	面包	miànbāo	bread	Mehl-Bag
★★★	没	mò	sink/submerge	mò death/end cluster
★★★	莫	mò	not/no one	mò absence cluster
★★★	灭	miè	extinguish/destroy	mò/mort cluster
★★★	末	mò	end	maximum → endpoint
★★★	模型	móxíng	model	model / mold
★★★	顿/等	dùn/děng	pause/wait	Ding! → stop/wait
★★★	尝试	chángshì	try	change
★★★	变体	biàntǐ	variant	variant
★★★	程序	chéngxù	program/procedure	chain/sequence
★★★	钉	dīng	nail	Ding!
★★★	瓶	píng	bottle	Pulle 
★★★	踢	tī	kick	Tritt
★★★	锁	suǒ	lock	secure
★★★	舔舐	tiǎnshì	lick	tongue
★★★	仑	lún	arrange, put in order	line
★★★	整整	zhěngzhěng	whole, exactly	ganze
★★★	扔	rēng	throw	wrench / range
★★★	巧	qiǎo	clever, skillful	schlau
★★★	退缩	tuìsuō	shrink back	Zeh einziehen
★★★	谅解	liàngjiě	understand, excuse	Logik
★★★	以为	yǐwéi	mistakenly think	oh weh / ideo-wit
★★★	照顾	zhàogù	look after	Sorge
★★★	挥霍	huīhuò	squander	hinwerfen
★★★	摩	mó	rub, mull over	mull / rub
★★★	漠	mò	desert	moor / Mauretanien
★★★	埋	mái	bury	ausmerzen
★★★	摆渡	bǎidù	ferry across	boat bus
★★★	考	kǎo	examine, test	quiz
★★★	冒险	màoxiǎn	adventure, risk	mission
★★★	消	xiāo	disappear; vanish	ciao! 👋 |
★★★★★	发誓	fāshì	swear; vow	for sure |
★★★★★	发烧	fāshāo	have a fever	fait chaud (“it’s hot”) 🇫🇷 |
★★★★★	被	bèi	by; passive marker	by |
★★★★★	站	zhàn	stand; station	stand |
★★★★★	吨	dūn	metric ton	ton |
★★★★★	边…边…	biān…biān…	while doing both	beim…beim… 🇩🇪 |
★★★★★	围绕	wéirào	surround; revolve around	way round |
★★★★★	思念	sīniàn	miss; long for	sinnen / sehnen 🇩🇪 |
★★★★½	现代	xiàndài	modern; modern times	Hyundai |
★★★★½	炒	chǎo	stir-fry	chaud (“hot”) 🇫🇷 |
★★★★½	类	lèi	kind; type	like |
★★★★½	喉咙	hóulóng	throat	Hals / Lunge 🇩🇪 |
★★★★½	邦	bāng	state; nation	Bund 🇩🇪 |
★★★★½	都	dōu	all; both	tous (“all”) 🇫🇷 |
★★★★½	蘑菇	mógu	mushroom	moku (Mongolian loan) |
★★★★	服务	fúwù	serve; service	favor |
★★★★	刃	rèn	blade; edge	Rand 🇩🇪 |
★★★★	指	zhǐ	point; finger	zeigen 🇩🇪 |
★★★★	铁路	tiělù	railway	train road |
★★★★	一直	yìzhí	straight; all along	ein Seil (“one line/rope”) 🇩🇪 |
★★★★	春天	chūntiān	springtime	schön time |
★★★★	钝	dùn	dull; blunt	done / dumb |
★★★★	纯	chún	pure	clean |
★★★★	锋	fēng	edge; vanguard	front |
★★★★	户	hù	household; door	house |
★★★★	牙	yá	tooth	jaw |
★★★★	湖	hú	lake	Kuhle 🇩🇪 |
★★★★	哀	āi	sorrow; mourn	ache |
★★★★	挨	ái	suffer; endure	ache |
★★★★	把式	bǎshi	skilled practitioner	boss |
★★★★	胡同	hútòng	alley; lane	gudum (Mongolian loan) |
★★★★	流连	liúlián	linger; be reluctant to leave	weilen 🇩🇪 |
★★★½	拼凑	pīncòu	piece together	pinch / patch |
★★★½	温柔	wēnróu	gentle; tender	warm |
★★★½	活	huó	live; alive	hayat (“life”) |
★★★½	按照	ànzhào	according to	anschauen 🇩🇪 |
★★★½	考试	kǎoshì	exam; test	course test |
★★★½	癌	ái	cancer	ache |
★★★½	索	suǒ	rope; search	Seil / seek |
★★★½	往	wǎng	toward; go	walk / gone |
★★★½	脑洞	nǎodòng	brainwave; imagination	Denktiefe / dunkel 🇩🇪 |
★★★½	肖	xiào	resemble	similar★★★	抉	jué	gouge, choose	gouge
★★★★	玦	jué	jade ring	jade
★★★★★	苯	běn	benzene	benzene
★★★★	鄙人	bǐrén	I (humble, self-deprecating)	bin I
★★★★	俺	ǎn	I (dialectal)	An, I am
★★★	规	guī	rule, guide	guide
★★★	正规	zhèngguī	regular, standard	regular
★★★★	胃	wèi	stomach	Way (of food)
★★★★	胃口	wèikǒu	appetite	food appetite
★★★★	背景	bèijǐng	background	backing
★★★★	琥珀	hǔpò	amber	tiger-beige Bernstein
★★★	茉莉花	mòlihuā	jasmine flower	moonlight flower
★★★	月牙	yuèyá	crescent moon	moon fang
★★★	止	zhǐ	toe / stop	Zeh (toe)
★★★	桎梏	zhìgù	shackles	Zügel (reins)
★★★	牯牛	gǔniú	cow, gnu	gnu
★★★★	入	rù	enter	rein (German: into)
★★★	内	nèi	inner	hinein
★★★★	架构	jiàgòu	structure	frame(work)
★★★	懒	lǎn	lazy	langsam, lazy
★★★★	鼓励	gǔlì	encourage	give love
★★★	工资	gōngzī	salary	compensation
★★★★★	救命	jiùmìng	help! save a life	save life
★★★	免	miǎn	avoid, exempt	minus
★★★★	邮件	yóujiàn	mail	Post Sache
★★★	难	nán	difficult	non ~ hardly
★★★★★	自拍	zìpāi	selfie	selfy
★★★★★	囧	jiǒng	embarrassed	Junge!
★★★★	意外	yìwài	accident	Auwei, Unfall
★★★★	咨询	zīxún	consult	session, consultation
★★★★	问题	wèntí	problem, question	Wendung: problem
★★★★	麻烦	máfan	troublesome	mei fun, mad annoying
★★★	甜	tián	sweet	tender sweet at tongue
★★★★	火炎虫	huǒyánchóng	firefly	fire-flame bug
★★★★	炎症	yánzhèng	inflammation	-itis
★★★	衷	zhōng	inner feeling	ache (inner)
★★★★	布告	bùgào	proclamation	proclaim
★★★★	颁布	bānbù	promulgate	publish
★★★	森	sēn	dense forest	dense, silent, rigid
★★★	良师	liángshī	good teacher	good lecturer
★★★★	狼	láng	wolf	lupus, wolf
★★★★	牛排	niúpái	steak	steak
★★★★	这条街	zhè tiáo jiē	this street	s'Trasse (street)
★★★★	这支笔	zhè zhī bǐ	this pen	Schreiber (writer/pen)
★★★	刀刃	dāorèn	blade edge	edge, Rand
★★★★	浇水	jiāoshuǐ	water (plants)	gieße (pour)
★★★★	浇灌	jiāoguàn	irrigate	Gießkanne (watering can)
★★★	罐	guàn	jar, can	Kanne (can)
★★★	喇叭	lǎba	trumpet, horn	laba, traveled Chinese→Turkic
★★★	艾	ài	mugwort	orchids and mugworts
★★★	埃	āi	dust	dust
★★★★	崇拜	chóngbài	worship	compassion, worship
★★★★	算了	suànle	forget it	lass sein (let it be)
★★★★	可惜	kěxī	pity, shame	shame, loss of face
★★★★	好不容易	hǎobùróngyì	not easy at all	hard to reach
★★★	眺望	tiàowàng	gaze into the distance	trekking in the distance
★★★★	宽容	kuānróng	tolerance	Gnade (mercy)
★★★	落叶	luòyè	fallen leaves	leaves fallen low
★★★★	守护神	shǒuhùshén	guardian deity	Schutzengel
★★★	神秘	shénmì	mysterious	shamanic
★★★★	方向	fāngxiàng	direction	Fahne: direction
★★★★	舍得	shěde	willing to give up	scheide (part with)
★★★★	失去	shīqù	lose	geschieden (divorced), lost
★★★★	割爱	gē'ài	give up something loved	give up valuables
★★★	互相	hùxiāng	mutually	gegenseitig
★★★★	台风	táifēng	typhoon	Wind-Orgel (wind organ)
★★★	关心	guānxīn	care about	concern, care
★★★★	握紧	wòjǐn	grip tightly	wield, hold tense
★★★★	向往	xiàngwǎng	yearn for	want
★★★	了无	liǎowú	utterly none	not the least
★★★★	阻挡	zǔdǎng	block, obstruct	shut down, stop
★★★	伺候	cìhou	serve, wait on	serve: wait
★★★	缺点	quēdiǎn	shortcoming	end point
★★★★	还能多久	hái néng duō jiǔ	how much longer	how long, Dauer (duration)
★★★	等到	děngdào	wait until	wait until
★★★★	愿	yuàn	wish, hope	yearn
★★★★	奴隶	núlì	slave	null (nothing), Muli (mule)
★★★	造	zào	build, make	bau (build)
★★★★	筑成	zhùchéng	construct	construct, build-change
★★★★	长城	Chángchéng	Great Wall	Chinese Chain: Grand Wall
★★★★	民族	mínzú	nation, ethnicity	Menschen (people) nation
★★★★	危	wēi	danger	Wehr, Gefahr
★★★★	险	xiǎn	risky, sinister	sinister
★★★★	被迫着	bèipòzhe	forced	be pushed, compelled
★★★★	发出	fāchū	issue, emit	fashion, issue
★★★★	吼声	hǒushēng	roar sound	howl sound
★★★★	万	wàn	ten thousand	one-penth
★★★	众	zhòng	crowd, multitude	crowd
★★★★	万众一心	wànzhòngyīxīn	united as one	one heart and mind
★★★★	冒着	màozhe	braving, risking	march against, brave
★★★★	敌人	dírén	enemy	dissenter
★★★★	炮火	pàohuǒ	gunfire	fire, gunfire
★★★★	前进	qiánjìn	advance, forward	charging advance
★★★	堆	duī	pile, mound	mound
★★★★	创新驱动	chuàngxīn qūdòng	innovation-driven	driven by innovation
★★★	创	chuàng	create	generate
★★★★	刺眼	cìyǎn	dazzling, glaring	cyan, dazzling
★★★	介	jiè	between, introduce	join, in between
★★★	花子	huāzi	beggar / flower nickname	rose (nickname)
★★★★	玫瑰	méigui	rose	rose-quartz
★★★★	特别	tèbié	special	très bien! (very good)
★★★	旁	páng	side	wing, side
★★★★	方	fāng	square, region	Windfang, fence
★★★	办	bàn	handle, do	punish, do, handle
★★★	边	biān	side, edge	wend, wing: side
★★★	榜	bǎng	list, placard	placard
★★★★	镑	bàng	pound (currency)	pound
★★★	膀	bǎng	shoulder, wing	upper arm, shoulder
★★★	蓓	bèi	bud	bud
★★★	空位	kòngwèi	vacancy	vacant
★★★	行星	xíngxīng	planet	planet
★★★	地球	dìqiú	earth	earth
★★★★	雷声	léishēng	thunder	lightning & thunder
★★★	湖泊	húbó	lake	lake
★★★★	获救	huòjiù	rescued	rescued, helped
★★★★	旁观	pángguān	look on, watch	bystander
★★★★	热闹	rènao	lively, bustling	red, rage, roast
★★★★	起哄	qǐhòng	jeer, egg on	cheer & honk
★★★★	指责	zhǐzé	blame, criticize	censure, criticize
★★★★	熄灯	xīdēng	turn off the lights	turn off the light
★★★★★	愚蠢	yúchǔn	stupid	jokin', albern (silly)
★★★★	可笑	kěxiào	ridiculous	Lächerlich!
★★★★	活该	huógāi	serve one right	deserve (bad)
★★★★	应该	yīnggāi	should	deserve (good), should
★★★★	交给	jiāogěi	hand over to	give, deliver, hand over
★★★	哈	hā	haha	haha
★★★	合	hé	combine, together	heim, chamber
★★★	盒	hé	box, case	chest, case
★★★	洽	qià	consult, in accord	join
★★★★	消愁	xiāochóu	dispel worries	dispel worries
★★★★	借酒消愁	jiè jiǔ xiāo chóu	drown sorrows in wine	drown worries in wine
★★★	模样	múyàng	appearance, look	appearance, look
