word,transcription,note,definition,
𐀀-𐀐-𐀴-𐀪-𐀊,a-ke-ti-ri-ja,,'worker producer finisher Chadwick 1988: Occupational agent noun un nombre de agente en -τρια probablemente relacionado con el a-ke-te Ruijgh 1963: Occupational agent noun as ''finishers'' from Classical Greek ἀσκέω Spelling variants: a-ke-ti-ra2 maybe a-ze-ti-ri-ja •dative plural dativo plural ra-su-to: KN Ai MUL: KN Ai Quora.com: Is the letter ξ ksi pronounced as ks or gz in Ancient Greek names? Auro Jorro Francisco 1985 Diccionario Micénico vol. I  “” Chadwick John 1988. Texts Tables and Scribes: Studies in Mycenaean Epigraphy & Economy (Suplementos a MINOS num. 10) “The Women of Pylos” p. 78 ',
𐀀-𐀐-𐀴-𐁈,a-ke-ti-ra2,,'worker producer finisher Chadwick 1988: occupational agent noun Ruijgh 1963: occupational agent noun as ''finishers'' ⇔ Homeric ἀσκέω •spelling variant variante gráfica de a-ke-ti-ra2 •spelling variant •genitive    Chadwick John 1988 Texts Tablets and Scribes: Studies in Mycenaean Epigraphy & Economy (Suplementos a MINOS num. 10) “The Women of Pylos” p. 78  Ruijgh TBD',
𐀀-𐀐-𐀵-𐀫,a-ke-to-ro,,uncertain title •meaning and case unclear  ,
𐀀-𐀐-𐁀,a-ke-a2,,'•''wine jars''? ⇔ ἄγγος ',
𐀀-𐀐-𐁈-𐀳,a-ke-ra2-te,,'•''collecting gathering''? ⇔ ἀγείρω ',
𐀀-𐀑-𐀪,a-ki-ri,,ridge edge,
𐀀-𐀑-𐀪-𐀊,a-ki-ri-ja,,'•''wild creatures'' describing goats ⇔ ἄγριος ',
𐀀-𐀑-𐀴-𐀪-𐀊,a-ki-ti-ri-ja,,wild,
𐀀-𐀑-𐀴-𐀵,a-ki-ti-to,,'•adjective describing land ''not inhabited''? ⇔ ἄκτιτος ki-ti-me-na ',
𐀀-𐀒-𐀫,a-ko-ro,,field country,
𐀀-𐀒-𐀫-𐀸,a-ko-ro-we,,'•description of oxen possibly ''of uniform colour'' Gallavotti TBD: ''with pointed ears'' •nominative dual of a-ko-ro-we •variant spelling of dual of a-ko-ro-we  Gallavotti TBD',
𐀀-𐀒-𐀰-𐀚,a-ko-so-ne,,axes,
𐀀-𐀒-𐀰-𐀚,a-ko-so-ne,,'•''shafts axles'' ⇔ ἄξων ',
𐀀-𐀒-𐀵-𐀜,a-ko-to-no,,'•''not possessing a plot'' nominative plural masculine ',
𐀀-𐀒-𐀸-𐀂-𐀊,a-ko-we-i-ja,,•meaning obscure ,
𐀀-𐀒-𐀺,a-ko-wo,,•meaning obscure ,
𐀀-𐀓-𐀫,a-ku-ro,,•silver ⇔ ἄργυρος  silver ,
𐀀-𐀓-𐀫,a-ku-ro,,silver,
𐀀-𐀓-𐀶-𐀬-𐀺,a-ku-tu-ru-wo,,,
𐀀-𐀔,a-ma,,•harvest ⇔ ἀμάω reap or ἀμάομαι ἀμή collect  see also: comments on GRA,
𐀀-𐀔-𐀒-𐀵,a-ma-ko-to,,•month name genitive? ⇔ αἱμακτός ,
𐀀-𐀔-𐀶-𐀙,a-ma-tu-na,,deity name,
𐀀-𐀖-𐀛-𐀰,a-mi-ni-so,,amnesos (placename),
𐀀-𐀖-𐀯-𐀊,a-mi-si-ja,,•probable defective spelling of a-mi-ni-si-ja ,
𐀀-𐀗,a-mo,,'•wheel ⇔ ἃρματα ''chariot'' •dative plural of a-mo Iliad IV.365: [...] ὑπέρθυμον Διομήδεα ἑσταότ᾽ἔν θ᾽ἵπποισι καὶ ἅρμασι κολλητοισι [...] [...] Diomedes high of heart as he stood his horse and jointed chariot [...] Duhoux 2008 (KN So): this word could point to the wheels together with their axle. Its etymological meaning (from the root used in ἀραρίσκω ''fit'') must have been ''set of assembled parts''. See more on p. 275 •nominative plural of a-mo •nominative dual of a-mo  ',
𐀀-𐀗-𐀂-𐀋-𐀵,a-mo-i-je-to,,'•probably two words ''chariot''? + ''is being sent'' TBD (p. 406)  ',
𐀀-𐀗-𐀨-𐀔,a-mo-ra-ma,,'•''rations supplies'' ⇔ ἁρμαλιά ',
𐀀-𐀗-𐀲,a-mo-ta,,wheels,
𐀀-𐀗-𐀳-𐀍-𐀙-𐀆,a-mo-te-jo-na-de,,'•''to the wheelwrights'' workshops'' allative ',
𐀀-𐀗-𐀳-𐀩,a-mo-te-re,,•probably dative singular or nominative dual of noun in -ter ,
𐀀-𐀗-𐀳-𐀹-𐀊,a-mo-te-wi-ja,,•adjective describing a ewer probably derivative of a-mo-te-wo ,
𐀀-𐀗-𐀳-𐀺,a-mo-te-wo,,'[occupational] ''wheelwright'' or ''fitter''? ',
𐀀-𐀙-𐀂-𐀲,a-na-i-ta,,non decorated,
𐀀-𐀙-𐀐-𐀁,a-na-ke-e,,'•''bring contribute''? ⇔ ἀνάγω ',
𐀀-𐀙-𐀗-𐀵,a-na-mo-to,,'•''not fitted out'' ''wheelless'' reference to [[CAPS]] •neuter plural? referring to [[*245]] ',
𐀀-𐀙-𐀗-𐀵,a-na-mo-to,,not assembled,
𐀀-𐀙-𐀵,a-na-to,,'•''not inlaid'' opposed to [[a-ja-me-na]] nominative plural feminine •nomiatinve plural feminine with feminine endings in compound adjective •shorter spelling of a-na-i-ta ',
𐀀-𐀚-𐀗,a-ne-mo,,'•''(priestess) of the winds'' ⇔ ἄνεμοι ⇔ a-ne-mo + i-je-re-ja  ''for the priestess of the Winds'' u-ta-no: KN Fp  Hiller Stegan 2011 A Companion to Linear B: Mycenaen Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Religion and Cult',
𐀀-𐀚-𐀗,a-ne-mo,,wind,
𐀀-𐀚-𐀨-𐀵,a-ne-ra-to,,,
𐀀-𐀚-𐀨-𐀵,a-ne-ra-to,,not beloved,
𐀀-𐀚-𐀲,a-ne-ta,,without taxes,
𐀀-𐀚-𐀲-𐀆,a-ne-ta-de,,'•''but remitted'' ⇔ ἄνετος ''set free'' ἀνεσις ''remission of taxes'' ',
𐀀-𐀚-𐀲-𐀆,a-ne-ta-de,,free,
𐀀-𐀛-𐀃-𐀒,a-ni-o-ko,,'•''chariot-driver'' ⇔ ἡνίοχος ',
𐀀-𐀛-𐀊,a-ni-ja,,'•reins ⇔ ἡνία (Homer) Iliad V.262: ἡνία ''reins'' •instrumental plural (fitted) with reins •dual of a-ni-ja? ',
𐀀-𐀛-𐀊,a-ni-ja,,reins,
𐀀-𐀜-𐀐-𐀷,a-no-ke-wa,,•probably an occupational term or title Parallel to du-ma in a context of du-ni-jo on PY An 192. ,
𐀀-𐀜-𐀜,a-no-no,,•not subject to o-na-ta ,
𐀀-𐀜-𐀣-𐀯-𐀊,a-no-qa-si-ja,,•reason for allotment of land ,
𐀀-𐀜-𐀸,a-no-we,,•without handles ⇔ ἀμφῶες two-handled ti-ri-jo-we qe-to-ro-we a-no-we is confirmed with the ideogram of a handless vase *202VAS on PY Ta 641 which also includes ti-ri-jo-we with a 3-handled ideogram and qe-to-ro-we with a 4-handled ideogram. a-no ἄνευ without + o-we οὖς ear handle ,
𐀀-𐀜-𐀸,a-no-we,,vessel type with no handle,
𐀀-𐀜-𐀺-𐀵,a-no-wo-to,,•without handles ⇔ ἀνούατος a-no ἄνευ without + wo-to οὖς οὔατα  οὔατος ear handle ,
𐀀-𐀞-𐀂-𐀴-𐀍,a-pa-i-ti-jo,,Hephaistos god of fire,
𐀀-𐀞-𐀲-𐀷,a-pa-ta-wa,,aptera a city of crete,
𐀀-𐀟-𐀀-𐀭,a-pe-a-sa,,cf. (-te -sa) o-pe-ro? •nominative plural feminine of a-pe-o ,
𐀀-𐀟-𐀁-𐀐,a-pe-e-ke,,•verbal form meaning and identification uncertain ,
𐀀-𐀟-𐀁-𐀐,a-pe-e-ke,,•verbal form meaning and identification uncertain ,
𐀀-𐀟-𐀁-𐀯,a-pe-e-si,,'•''they are absent'' ⇔ ἄπειμι ',
𐀀-𐀟-𐀂-𐀯,a-pe-i-si,,•meaning obscure Appears as au-u-te  a-pe-i-si on KN Od 666. ,
𐀀-𐀟-𐀂-𐀯,a-pe-i-si,,'•possible verbal form ''will be deducted'' or verbal noun? ',
𐀀-𐀟-𐀃,a-pe-o,,'Duhoux 2011: verb ''being absent'' •being absent ⇔ ta-pa-e-o-te (KN B) •nominative plural masculine of a-pe-o See also a-pe-a-sa per Chadwick & Ventris.  “”',
𐀀-𐀟-𐀃-𐀳,a-pe-o-te,,absent,
𐀀-𐀟-𐀈-𐀐,a-pe-do-ke,,•Unique example of augment ⇔ a-pu-do-ke ,
𐀀-𐀟-𐀈-𐀐,a-pe-do-ke,,delivered,
𐀀-𐀟-𐀚-𐀺,a-pe-ne-wo,,•of animals used to draw carts ,
𐀀-𐀟-𐀩,a-pe-re,,•meaning obscure ,
𐀀-𐀟-𐀳-𐀕-𐀚,a-pe-te-me-ne,,•adjective describing [[pa-ko-to]] meaning obscure nominative dual ,
𐀀-𐀟-𐀴-𐁈,a-pe-ti-ra2,,•meaning obscure ,
𐀀-𐀠,a-pi,,•around ⇔ ἀμφι- preposición en general ⇔ ἀμφί  ἀμφί Perseus: on both sides a-pi-a2-ro a-pi-da-ta a-pi-do-ra a-pi-do-ro a-pi-e-ke a-pi-e-ra a-pi-je-ta a-pi-jo a-pi-jo-to a-pi-o-to a-pi-ka-ra-do-jo a-pi-me-de a-pi-no-e-wi-jo a-pi-po-re-we a-pi-qo-ro a-pi-qo-ta a-pi-qo-i-ta a-pi-qo-to a-pi-ra-wo a-pi-re-jo a-pi-re-we a-pi-te-ja a-pi-te-wa a-pi-wa-to  ,
𐀀-𐀠-𐀁-𐀐,a-pi-e-ke,,contain,
𐀀-𐀠-𐀁-𐀐,a-pi-e-ke,,Palmer 1956: dedicated consecrated ⇔ ἀφιέρωσε •1. perhaps a form of the verb seen in [[i-je-si]] [[i-je-to]] q.v. 2. encloses keep in safety forma verbal su interpretación es dudosa: ¿ἀμφι-hέχει ⇔ ἀμπέχω? ¿άμφι-hηκε (aoristo de ἀμφίημι)? ¿ἀφ-ίηκε (aoristo de un compuesto de ἀπο y ἵημι consagrar)? Auro Jorro Francisco 1985 Diccionario Micénico vol. I  Palmer Leonard R. 1956 (MLS) XI 7 To Do: What does MLS stand for? (not Modern Language Studies),
𐀀-𐀠-𐀋-𐀲,a-pi-je-ta,,antropónimo masculino nominativo. Quizá ⇔ Ἀμφιέτας ,
𐀀-𐀠-𐀍,a-pi-jo,,antropónimo masculino nominativo ⇔ Ἀμφίων genitivo de a-pi-jo ⇔ Ἀμφίοντος variante gráfica de a-pi-jo-to ,
𐀀-𐀠-𐀏-𐀨-𐀈-𐀍,a-pi-ka-ra-do-jo,,antropónimo masculino genitivo ⇔ quizá Ἀμφικλαδος mejor que Ἀμφιχάραδρος Ἀμφίκρατος ο Ἀμφίκραδος  research notes ethnic adjective for ka-ra-do-wa-ta / ko-ra-do-ro?,
𐀀-𐀠-𐀡-𐀩-𐀸,a-pi-po-re-we,,•amphora ⇔ ἀμφιφορεύς  amphora Galiano 1972: haplology of a-pi-po-re-we •shortened form of a-pi-po-re-we a-pi-po-re-we as ἀμφιφορεύς is confirmed by its presence with the amphora ideogram *209VAS on KN Uc 160 a-pi ἀμφι on both sides + po-re-we φορεύς bearers carriers  Galiano M.F. 1972 Acta Mycenaea. Proceedings of the Fifth International Colloquium on Mycenaean Studies Minos XI a-pi-po-re-we,
𐀀-𐀠-𐀦-𐀫,a-pi-qo-ro,,•nominiative and genitive plural. dative singular? attendants ⇔ ἀμφίπολος (Odyssey I.331) apelativo de pers. sin duda ἀμφίπολος Ruijgh 2011: ἀμφίπολος (a-pi-qo-ro) and λοετροχόος ([[re-wo-to-ro-ko-wo]]) are found in Homer and have direct contact with the members of the royal family and their guests Perseus: handmaid waiting-woman feminine substantive only in Homer and Herodotus •dative plural of a-pi-qo-ro   Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean and Homeric Language”,
𐀀-𐀠-𐀦-𐀫,a-pi-qo-ro,,chamberlains,
𐀀-𐀠-𐀦-𐀵,a-pi-qo-to,,•table adjective obscure Bernabé 1998: 8-shaped ⇔ ἀμφίβροτος covering the whole man of a shield table adjective ⇔ ἀμφι around + -τος verbal adjective from of βαίνω go   1. round   2. with a rim  Bernabé Alberto 1998 Corolla Complutensis in memoriam J.S. Lasso de la Vega contexta (editors L. Gil M. Pastor Martínez R.M. Aguilar) Hom. ἀμφιβροτος y mic. a-pi-qo-to ¿un caso de etimología popular?  (editors Yves Duhoux and Anna Morpurgo Davies) ,
𐀀-𐀠-𐀩-𐀸,a-pi-re-we,,Galiano 1972: haplology (elimination of 1 of 2 duplicate consonant sounds) of a-pi-po-re-we? •obscure perhaps an article of armour? ¿nominativo plural de un nombre común o dativo de un antropónimo?   Galiano M.F. 1972 Acta Mycenaea. Proceedings of the Fifth International Colloquium on Mycenaean Studies Minos XI,
𐀀-𐀠-𐀳,a-pi-te,,•probably the name of some artifact ,
𐀀-𐀡-𐀩-𐀸,a-po-re-we,,amphora,
𐀀-𐀡-𐀳-𐀨,a-po-te-ra,,both both ways,
𐀀-𐀡-𐀳-𐀨,a-po-te-ra,,'•reading probably: ko-no-a-po-te-ra ''both kinds of rush'' ⇔ ἀμφότερος ',
𐀀-𐀡-𐀳-𐀫-𐀳,a-po-te-ro-te,,'•probably adverb ''from both sides'' ⇔ ἀμφοτέρωθεν ',
𐀀-𐀢,a-pu,,from,
𐀀-𐀢,a-pu,,'(KN G) •read as a-pi ἁπύ Aeol. Arc. Cypr. for ἀπό not due to phonetic change but possibly original form ἀπό being due to influence of ὑπό. •''burnt away'' (as to the legs) of a tripod cauldron ⇔ ἀποκαίω ',
𐀀-𐀢-𐀅-𐀮-𐀸,a-pu-da-se-we,,'•''distributor''? ⇔ δἀσσασθαι δατέομαι ',
𐀀-𐀢-𐀈-𐀐,a-pu-do-ke,,'•''rendered paid'' ⇔ ἀποδίδωμι ',
𐀀-𐀢-𐀈-𐀯,a-pu-do-si,,attribution,
𐀀-𐀢-𐀈-𐀯,a-pu-do-si,,•delivery attribution  delivery attribution ,
𐀀-𐀢-𐀈-𐀰-𐀗,a-pu-do-so-mo,,(as a-pu-do-so[-mo?]) •cf. do-so-mo Arc. ἀπόδοσις ,
𐀀-𐀢-𐀏,a-pu-ka,,•probably ethnic a-pu2-ka ,
𐀀-𐀢-𐀐,a-pu-ke,,•frontlets head-bands ⇔ ἄμπυξ μοναμπυκία •without head-bands ,
𐀀-𐀢-𐀑-𐀯,a-pu-ki-si,,(as a-pu-ki-(si)[) •meaning obscure ,
𐀀-𐀢-𐀒-𐀺-𐀒,a-pu-ko-wo-ko,,craftsman of horse veil,
𐀀-𐀢-𐀒-𐀺-𐀒,a-pu-ko-wo-ko,,headband makers •head-band makers   ,
𐀀-𐀥-𐀊-𐀂,a-qi-ja-i,,•dative plural in list of words relating to chariots: possibly scribal variant for i-qi-ja-i. ,
𐀀-𐀥-𐀲,a-qi-ta,,(as a-qi-ta[) •meaning obscure ,
𐀀-𐀨-𐀏-𐀳-𐀊,a-ra-ka-te-ja,,'•''spinning-women'' ⇔ ἠλακάτη ''distaff'' nominative plural or dative singular Palmer 1963 Killen 1966: occupational term textile specialist •genitive plural of a-ra-ka-te-ja •defective spelling for a-ra-ka-te-ja-o  Killen John T. 1966 Bulletin of the Institute of Classical Studies (BICS) 13 The Knossos Lc (Cloth) tablets ',
𐀀-𐀨-𐀏-𐀳-𐀊,a-ra-ka-te-ja,,threads,
𐀀-𐀨-𐀫-𐀗-𐀳-𐀕-𐀙,a-ra-ro-mo-te-me-na,,'•''fitted out'' ⇔ ἄρμα ἁρμόζω •variant spelling of a-ra-ro-mo-te-me-na •incomplete spelling of a-ra-ro-mo-te-me-na ⇔ [[te-me-no]]? •feminine dual of a-ra-ro-mo-te-me-na ',
𐀀-𐀨-𐀬-𐀊,a-ra-ru-ja,,'•''fitted (with reins)'' ⇔ ἀραρυῖα •''(swords) fitted (with bindings)'' •scribal confusion between a-ra-ru-ja and a-ra-ru-wo-a CUR: KN Sd? PUG: KN Ra ',
𐀀-𐀨-𐀬-𐀺-𐀀,a-ra-ru-wo-a,,connected,
𐀀-𐀩,a-re,,ares,
𐀀-𐀩,a-re,,'•theonym ⇔ Ἄρης ''Ares'' KN Fp: pa-si-te-o-itheonym KN Mc: *150 *142 CORN a-mi-ni-so: KN Fp ',
𐀀-𐀩-𐀊,a-re-ja,,•epithet of Hermes ⇔ Arc. Ἄρηα ,
𐀀-𐀩-𐀏-𐀭-𐀅-𐀨,a-re-ka-sa-da-ra,,alexandra,
𐀀-𐀩-𐀓-𐀶-𐀬-𐀺,a-re-ku-tu-ru-wo,,cock,
𐀀-𐀩-𐀞,a-re-pa,,'•''ointment unguent'' ⇔ ἄλειφαρ •dative of a-re-pa ',
𐀀-𐀩-𐀞,a-re-pa,,ointment,
𐀀-𐀩-𐀞-𐀿-𐀃,a-re-pa-zo-o,,'•''unguent-boiler perfume-maker'' •alternative spelling of a-re-pa-zo-o ',
𐀀-𐀩-𐀞-𐀿-𐀃,a-re-pa-zo-o,,'•''unguent-boiler perfume-maker'' dative (and nominative?) singular ''perfumer'' •nominative alternative spelling of a-re-pa-zo-o  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”',
𐀀-𐀩-𐀞-𐀿-𐀃,a-re-pa-zo-o,,unguent boiler perfume maker,
𐀀-𐀩-𐀟-𐀮-𐀄,a-re-pe-se-u,,,
𐀀-𐀩-𐀭-𐀛-𐀁,a-re-sa-ni-e,,•meaning obscure ,
𐀀-𐀩-𐀮-𐀯,a-re-se-si,,•object made of red leather dative plural ,
𐀀-𐀩-𐀲-𐀵,a-re-ta-to,,•part of a chariot ,
𐀀-𐀩-𐀲-𐀵,a-re-ta-to,,•part of a chariot ,
𐀀-𐀩-𐀲-𐀵,a-re-ta-to,,•part of a chariot ,
𐀀-𐀩-𐀲-𐀵,a-re-ta-to,,•part of a chariot ,
𐀀-𐀪-𐀊-𐀺,a-ri-ja-wo,,,
𐀀-𐀫-𐀀,a-ro-a,,better perfect,
𐀀-𐀫-𐀄-𐀨,a-ro-u-ra,,'•''corn-lands'' ⇔ ἄρουραι πυρόφοροι ',
𐀀-𐀫-𐀄-𐀨,a-ro-u-ra,,'Duhoux 2011: ''ploughland'' ⇔ ἄρουρα •corn-lands ⇔ ἅρουραι πυρόφοροι (Iliad XIV 122+) Iliad III.246: καρπὸν ἀρούρης the fruit of the earth Iliad VI.142: οἵ ἀρούρης καρπὸν the fruit of the field Iliad VI.195: καλὸν φυταλιῆς καὶ ἀρούρης a fair tract of orchard and of plough land Iliad VII.421 X.8: ἀρούρας the fields Iliad XI.68: ἄρουραν πυρῶν ἥ κριθῶν field of wheat or barley Iliad XI.558: ὄνος παρ᾽ ἄρουραν ass that passes by a cornfield Iliad XII.314: καλὸν φυταλιῆς καὶ ἀρούρης πυροφόροιο a fair tract of orchard and of wheat-bearing plough-land Iliad XII.422: ἀρούρῃ field  “” ',
𐀀-𐀫-𐀄-𐀨,a-ro-u-ra,,plow lister,
𐀀-𐀫-𐀈-𐀫-𐀃,a-ro-do-ro-o,,•probably theonym or shrine KN Fs: HORD NI FAR VIN ,
𐀀-𐀫-𐀗,a-ro-mo,,(as a-ro-(mo)[) •reading uncertain maybe ἀρώματα? ,
𐀀-𐀫-𐀞,a-ro-pa,,•unguent ⇔ ἀλοιφή (Odyssey VI 220+) ,
𐀀-𐀫-𐀡,a-ro-po,,'•''anointers painters''? ',
𐀀-𐀫-𐀲,a-ro-ta,,'•''unsewn'' description of textiles ⇔ ἄλωστοι •meaning obscure ⇔ a-ro-ta ',
𐀀-𐀫-𐀺,a-ro-wo,,•meaning obscure building material? ,
𐀀-𐀫-𐀼,a-ro-za,,•neut. plural adjective describing a tunic •nominative singular masculine of a-ro-za ,
𐀀-𐀫-𐀿,a-ro-zo,,'•adjective describing a tunic •neuter plural of a-ro-zo Appears as a-ro-zo ''ki-to'' on KN Lc 536+. TELA: KN Lc ',
𐀀-𐀭-𐀖-𐀵,a-sa-mi-to,,bath,
𐀀-𐀭-𐀖-𐀵,a-sa-mi-to,,•cf. ἀσάμινθος ,
𐀀-𐀮-𐀰-𐀯,a-se-so-si,,to be masculine,
𐀀-𐀯-𐀵-𐀡-𐀦,a-si-to-po-qo,,'[occupational] probably a confusion of a-to-po-qo (q.v.) and si-to-po-qo: sītopoquos ''cook''',
𐀀-𐀯-𐀹-𐀊,a-si-wi-ja,,asian,
𐀀-𐀯-𐀹-𐀊,a-si-wi-ja,,•epithet of po-ti-ni-ja ,
𐀀-𐀲-𐀙,a-ta-na,,goddess athena,
𐀀-𐀲-𐀨,a-ta-ra,,'•a kind of vessel ⇔ ἅντλος ''ship''s hold'' (Odyssey XII 411+) ἀντλίον ''bucket'' (Aristophanes) ',
𐀀-𐀲-𐀨-𐀯-𐀃,a-ta-ra-si-o,,with no weigh of cooper,
𐀀-𐀲-𐀨-𐀯-𐀍,a-ta-ra-si-jo,,•of bronzesmiths without a ta-ra-si-ja ,
𐀀-𐀳-𐀄-𐀐,a-te-u-ke,,'•''unequipped''? ⇔ ἀτευχής ',
𐀀-𐀳-𐀖-𐀵,a-te-mi-to,,'•theonym ⇔ Ἀρτεμίσιος ''Artemis'' in genitive •dative of variant spelling of a-te-mi-to ',
𐀀-𐀳-𐀩-𐀁-𐀳-𐀍,a-te-re-e-te-jo,,•adjective describing [[*246|BATH]] ,
𐀀-𐀳-𐀩-𐀳-𐀀,a-te-re-te-a,,•adjective describing WHEELS? ⇔ a-te-re-e-te-jo ,
𐀀-𐀳-𐀸,a-te-we,,•name of a kind of ewer or jug ,
𐀀-𐀴-𐀊,a-ti-ja,,•constructional members of a chimney structure: perhaps antia. [ἀντίον as part of a loom ἀντίος.] MY context obscure. ,
𐀀-𐀴-𐀊,a-ti-ja,,slanting beam,
𐀀-𐀴-𐀐-𐀚-𐀊,a-ti-ke-ne-ja,,Davies 1999: feminine personal name in -εια Davies Anna Morpurgo 1999 Floreant Studia Mycenaea Proceedings of the Tenth Mycenaean Colloquium The Morphology of Personal Names in Mycenaean and Greek: Some Observations,
𐀀-𐀴-𐀖-𐀳,a-ti-mi-te,,artemis,
𐀀-𐀵,a-to,,bread,
𐀀-𐀵-𐀗,a-to-mo,,band of workers,
𐀀-𐀵-𐀗,a-to-mo,,•apparently a guild of craftsmen ⇔ ἄρθμιος (Odyssey XVI 427) ,
𐀀-𐀵-𐀡-𐀦,a-to-po-qo,,'[occupational] ''bakers'' ⇔ ἀρτοκόπος •dative plural of a-to-po-qo ',
𐀀-𐀵-𐀫-𐀦,a-to-ro-qo,,'•''with a human being'' ⇔ ἄνθρωπος of obscure origin dative (instrumental) singular ',
𐀀-𐀵-𐀫-𐀦,a-to-ro-qo,,human,
