Gothic				
𐌰𐌲𐌻𐌾𐌰𐌽 	 aglɕen	agle 	ache	 hurt,damage
𐌰𐌽𐌰𐌲𐌰𐌲𐌲𐌰𐌽 	 angegangen	engange 	 angegangen+	 approach,come
𐌰𐌽𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌽 	 angedrιnken	endrιnke 	eintrinken angetrunken en'drunk	 drunk
𐌰𐌽𐌰𐌵𐌹𐌸𐌰𐌽 	 angekrιƌen	encιƒe 	ankreiden,angezettelt	 denounce,censure,blaspheme
𐌰𐌽𐌰𐌵𐌹𐌼𐌰𐌽 	 angekrιmen	encιme 	ankommen angekommen	 come upon
𐌰𐌽𐌰𐌵𐌹𐌿𐌾𐌰𐌽 	 angekrιuɕen	encιue 	ange…quicken	 compel,force
𐌰𐌽𐌰𐌷𐌰𐌱𐌰𐌽 	 angeḫaben	enḫabe 	~angeHaben	 take hold,possess
𐌰𐌽𐌰𐌷𐌰𐌹𐍄𐌰𐌽 	 angeḫaιten	enḫaιte 	angeheißen	 invoke,beseech,call upon,scold,reprimand
𐌰𐌽𐌰𐌷𐌰𐌼𐍉𐌽 	 angeḫamen	enḫame 	enHemd𓋳	 get dressed
𐌰𐌽𐌰𐌷𐌽𐌰𐌹𐍅𐌾𐌰𐌽 	 angeḫnaιwɕen	enḫnaιve 	geneve?	 lay down
𐌰𐌽𐌰𐌷𐌽𐌴𐌹𐍅𐌰𐌽 	 angeḫneιwen	enḫneιve 		 bend,down,bow
𐌰𐌽𐌰𐌸𐌹𐍅𐌰𐌽 	 angeƌιwen	enƒιve 	enthrall	 enslave,enthrall,subjugate
𐌰𐌽𐌰𐌸𐍂𐌰𐍆𐍃𐍄𐌾𐌰𐌽 	 angeƌrafstɕen	enƒrafste 		 spirit,relieve,comfort
𐌰𐌽𐌰𐌹𐌽𐍃𐌰𐌺𐌰𐌽 	 angeιnsaken	enιnsake 		 impart,confer,argumentation
𐌰𐌽𐌰𐌺𐌰𐌿𐍂𐌾𐌰𐌽 	 angekørɕen	enkaure 		 overburden
𐌰𐌽𐌰𐌺𐌿𐌼𐌱𐌾𐌰𐌽 	 angekumbɕen	enkumbe 	encomb?	 lie,down,table,recline
𐌰𐌽𐌰𐌺𐌿𐌽𐌽𐌰𐌽 	 angekunnen	enkunne 	einKunden?	 read,teach,learn,reading
𐌰𐌽𐌰𐌻𐌰𐌲𐌾𐌰𐌽 	 angelagɕen	enlage 	einlage, enlay, inf.lict	 lay,inflict
𐌰𐌽𐌰𐌻𐌰𐍄𐌾𐌰𐌽 	 angelatɕen	enlate 		 prevent,hinder,oldwikisource:|1 Thessalonians 2:18,opportunity,oldwikisource:Gothic Bible in Ulfilan Gothic Script#IV. 7|Philippians 4:10
𐌰𐌽𐌰𐌼𐌰𐌷𐍄𐌾𐌰𐌽 	 angemaḫtɕen	enmaḫte 	<>augment	 wrong,defraud,violence,ill-treat,abuse,accuse,falsely
𐌰𐌽𐌰𐌼𐌴𐌻𐌾𐌰𐌽 	 angemelɕen	enmele 	eingemeißelt? angemailt;)	 write,entry,register,enroll
𐌰𐌽𐌰𐌽𐌰𐌼𐌽𐌾𐌰𐌽 	 angenamnigen	ennamne 	ange…name genehmigt	 name,call
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽 	 angenanƌɕen	ennanƒe 	~angenannt <> anerkannt --	 dare,brave,bold
𐌰𐌽𐌰𐌽𐌰𐌿𐌸𐌾𐌰𐌽 	 angenøƌɕen	ennauƒe 	…nötigen+	 compel,force
𐌰𐌽𐌰𐌽𐌹𐌿𐌾𐌰𐌽 	 angenιuɕen	ennιue 	an/erneuern	 renew
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽 	 angeprangen	enprange 	anprangern ~angeprangert  	 trouble
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌽 	 angesιlen	ensιle 	en-silent	 cease,stop,silent
𐌰𐌽𐌰𐍃𐌻𐌰𐍅𐌰𐌽 	 angeslawen	enslave 	eingeschlafen	 quiet down,still
𐌰𐌽𐌰𐍃𐌻𐌴𐍀𐌰𐌽 	 angeslepen	enslepe 	einschlafen	 fall asleep
𐌰𐌽𐌰𐍃𐍄𐍉𐌳𐌾𐌰𐌽 	 angestudɕen	enstōde 	anstoßen	 begin
𐌰𐌽𐌰𐍄𐌹𐌼𐍂𐌾𐌰𐌽 	 angetιmrɕen	entιmre 	antürmen	 build
𐌰𐌽𐌰𐍄𐍂𐌹𐌼𐍀𐌰𐌽 	 angetrιmpen	entrιmpe 	anTrampeln ;)	 press,crowd
𐌰𐌽𐌰𐍅𐌰𐌼𐌼𐌾𐌰𐌽 	 angewemmɕen	envamme 	anSchwemmen?	 mar,stain
𐌰𐌽𐌰𐍆𐌹𐌻𐌷𐌰𐌽 	 angefιlḫen	enfιlḫe 		 entrust,give,safekeeping
𐌰𐌽𐌰𐍈𐌴𐌹𐌻𐌰𐌽 	 angeweιlen	enwheιle 	anWeil: langeweile	 break,rest,repose
𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌾𐌰𐌽 	 entbaḫtɕen	anti-baḫte 		 serve,administer,perform
𐌰𐌽𐌳𐌱𐌴𐌹𐍄𐌰𐌽 	 entbeιten	anti-beιte 	an-beißen	 bite,back,snap,rebuke,scold
𐌰𐌽𐌳𐌱𐌹𐌽𐌳𐌰𐌽 	 entbenden	anti-bιnde 	entbinden, unbind	 unbind,loose,release
𐌰𐌽𐌳𐌱𐌿𐌽𐌳𐌽𐌰𐌽 	 entbundnen	anti-bundne 	entbinden, unbind	 loosen
𐌰𐌽𐌳𐌵𐌹𐌸𐌰𐌽 	 entkrιƌen	anti-cιƒe 	anda-grüßen	 farewell,take leave,greet,salute,address
𐌰𐌽𐌳𐌷𐌰𐌹𐍄𐌰𐌽 	 entḫaιten	anti-ḫaιte 		 acknowledge,confess,admit,profess,praise,honour
𐌰𐌽𐌳𐌷𐌰𐌼𐍉𐌽 	 entḫamen	anti-ḫame 		 divest
𐌰𐌽𐌳𐌷𐌰𐌿𐍃𐌾𐌰𐌽 	 entḫøsɕen	anti-ḫause 	ent.hearken	 hearken,heed,listen
𐌰𐌽𐌳𐌷𐌰𐍆𐌾𐌰𐌽 	 entḫafɕen	anti-ḫafe 	ent.haften	 unbind,loose,release
𐌰𐌽𐌳𐌷𐌿𐌻𐌾𐌰𐌽 	 entḫulɕen	anti-ḫule 	enthüllen++	 uncover,reveal
𐌰𐌽𐌳𐌷𐍂𐌿𐍃𐌺𐌰𐌽 	 entḫruschen	anti-ḫrushe 	anta.raise	 investigate,explore,raise,question
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽 	 entƌankɕen	anti-ƒanke 	eindünken	 decide,make up one's mind,remember,consider,think of
𐌰𐌽𐌳𐌻𐌴𐍄𐌽𐌰𐌽 	 entletnen	anti-letne 	entlassen	 released,separated
𐌰𐌽𐌳𐌽𐌹𐌼𐌰𐌽 	 entnιmen	anti-nιme 	annehmen!	 accept,take in,adopt,receive
𐌰𐌽𐌳𐍂𐌹𐌽𐌽𐌰𐌽 	 entrιnnen	anti-rιnne 	entgegen rennen	 dispute,argue
𐌰𐌽𐌳𐍃𐌰𐌹𐍈𐌰𐌽 	 entsaιwen	anti-saιwhe 	ant.sider ~ consider	 consider
𐌰𐌽𐌳𐍃𐌰𐌺𐌰𐌽 	 entsaken	anti-sake 	entgegen sagen	 speak,against,oppose,dispute
𐌰𐌽𐌳𐍃𐌰𐌻𐌾𐌰𐌽 	 entsalɕen	anti-sale 	anti-sale, sell 	 pay,offer,tribute,sacrifice
𐌰𐌽𐌳𐍃𐌹𐍄𐌰𐌽 	 entsιten	anti-sιte 		 disturbed,shrink
𐌰𐌽𐌳𐍃𐍀𐌴𐌹𐍅𐌰𐌽 	 entspeιwen	anti-speιve 	undespise	 despise,reject
𐌰𐌽𐌳𐍃𐍄𐌰𐌻𐌳𐌰𐌽 	 entstalden	anti-stalde 	@Stall?	 supply,disposal,provide
𐌰𐌽𐌳𐍃𐍄𐌰𐌽𐌳𐌰𐌽 	 entstanden	anti-stande 	stand-against	 stand,against,oppose,withstand,resist
𐌰𐌽𐌳𐍃𐍄𐌰𐌿𐍂𐍂𐌰𐌽 	 entstørren	anti-staurre 	√story	 murmur,scold
𐌰𐌽𐌳𐍄𐌹𐌻𐍉𐌽 	 enttιlen	anti-tιle 	handlen, anteilen!	 hold,devoted,accept
𐌰𐌽𐌳𐍅𐌰𐌿𐍂𐌳𐌾𐌰𐌽 	 entweurdɕen	anti-vaurde 	antworten++	 answer
𐌰𐌽𐌳𐍅𐌰𐍃𐌾𐌰𐌽 	 entwesɕen	anti-vase 	un-vest	 strip,take
𐌰𐌿𐌲𐌾𐌰𐌽 	 øgɕen	auge 	√Auge	 show
𐌰𐌿𐌳𐌰𐌲𐌾𐌰𐌽 	 ødagɕen	audage 	audacity?	 bless,blessed
𐌰𐌿𐌷𐌾𐍉𐌽 	 øḫɕen	auḫɕe 	~aufgehen	 uproar,noisy,tumultuous
𐌰𐌿𐌺𐌰𐌽 	 øken	auke 	augment	 increase,grow
𐌰𐌿𐌺𐌽𐌰𐌽 	 øknen	aukne 	augment, acne? ἀκμή 	 grow,increase
𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽 	 arbaιdɕen	arbaιde 	arbeiten++	 work,toil,strive,struggle
𐌰𐍂𐌼𐌰𐌽 	 armen	arme 	arm > almen	 pity,compassion
𐌰𐍂𐌾𐌰𐌽 	 arɕen	are 	<<harken	 plough
𐌰𐍄𐌰𐌿𐌲𐌾𐌰𐌽 	 atøgɕen	atauge 	√Auge	 show,bring,before
𐌰𐍄𐌱𐌰𐌹𐍂𐌰𐌽 	 atbaιren	atbaιre 	ad-bear > offer ?	 bring,present,offer
𐌰𐍄𐌲𐌰𐌲𐌲𐌰𐌽 	 atgangen	atgange 	zugang	 access
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌽 	 atgaraιḫtɕen	atgaraιḫte 	…gerecht	 set,in order
𐌰𐍄𐌲𐌹𐌱𐌰𐌽 	 atgιben	atgιbe 	abgeben	 give,deliver
𐌰𐍄𐌳𐍂𐌰𐌲𐌰𐌽 	 atdragen	atdrage 	(zu)tragen	 carry
𐌰𐍄𐌳𐍂𐌹𐌿𐍃𐌰𐌽 	 atdrιusen	atdrιuse 	abdösen;)	 fall,towards,down,into
𐌰𐍄𐌷𐌰𐌱𐌰𐌽 	 atḫaben	atḫabe 	ad+haben?! ~approach?	 come,approach
𐌰𐍄𐌷𐌰𐌷𐌰𐌽 	 atḫaḫen	atḫaḫe 	ab¬höhern	 let down
𐌰𐍄𐌷𐌰𐌹𐍄𐌰𐌽 	 atḫaιten	atḫaιte 	add.heißen-- abhalten?	 summon,call
𐌰𐍄𐌷𐌰𐍆𐌾𐌰𐌽 	 atḫafɕen	atḫafe 	hiefen < aufheben	 lift,down,take,down
𐌰𐍄𐌸𐌹𐌽𐍃𐌰𐌽 	 atƌιnsen	atƒιnse 	add.tension! 	 draw,drag,pull
𐌰𐍄𐌺𐌿𐌽𐌽𐌰𐌽 	 atkunnen	atkunne 	anerKennen < anteʳKennen	 acknowledge,duly,grant
𐌰𐍄𐌻𐌰𐌲𐌾𐌰𐌽 	 atlagɕen	atlage 	ablegen	 lay,set,cast,down
𐌰𐍄𐌻𐌰𐌸𐍉𐌽 	 atlaƌen	atlaƒe 	einladen	 call,bid,come,invite
𐌰𐍄𐌻𐌹𐌲𐌰𐌽 	 atlιgen	atlιge 	ablegen	 present
𐌰𐍄𐌽𐌴𐍈𐌾𐌰𐌽 	 atnewɕen	atnewhe 	annähern	 arrive,at hand,approach,come,near
𐌰𐍄𐌽𐌹𐌼𐌰𐌽 	 atnιmen	atnιme 	annehmen	 take,to,transfer
𐌰𐍄𐍂𐌹𐌽𐌽𐌰𐌽 	 atrιnnen	atrιnne 	ab.rennen	 run,up
𐌰𐍄𐍃𐌰𐌹𐍈𐌰𐌽 	 atsaιwen	atsaιwhe 	ansehen < ante.sehen	 look
𐌰𐍄𐍃𐌰𐍄𐌾𐌰𐌽 	 atsatɕen	atsate 	absetzen	 set,before,present
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌽 	 atsnarpɕen	atsnarpe 		 handle
𐌰𐍄𐍃𐍄𐌰𐌽𐌳𐌰𐌽 	 atstanden	atstande 	…stand	 stand,halt,come
𐌰𐍄𐍃𐍄𐌴𐌹𐌲𐌰𐌽 	 atsteιgen	atsteιge 	aufsteigen, ansteigen	 descend
𐌰𐍄𐍄𐌴𐌺𐌰𐌽 	 atteken	atteke 	attack, a touch	 touch,contact
𐌰𐍄𐍄𐌹𐌿𐌷𐌰𐌽 	 attιuḫen	attιuḫe 	<> teach?	 bring,convey,bring up
𐌰𐍄𐍅𐌰𐌹𐍂𐍀𐌰𐌽 	 atweιrpen	atvaιrpe 	(ab)werfen	 throw,hurl,forth
𐌰𐍄𐍅𐌰𐌻𐍅𐌾𐌰𐌽 	 atwelwɕen	atvalve 	…wellen <<	 roll
𐌰𐍄𐍅𐌰𐌽𐌳𐌾𐌰𐌽 	 atwendɕen	atvande 	(um)wenden	 return
𐌰𐍄𐍅𐌹𐍃𐌰𐌽 	 atwesen	atvιse 	anwesend	 be,present
𐌰𐍄𐍅𐍉𐍀𐌾𐌰𐌽 	 atwupɕen	atvōpe 	<<<	 call,summon
𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽 	 atfarɕen	atfare 	(an)fahren	 arrive
𐌰𐍅𐌹𐌻𐌹𐌿𐌳𐍉𐌽 	 awelιuden	avιlιude 	abladen? √laudatio √LET	 give,thanks
𐌰𐍆𐌰𐌲𐌾𐌰𐌽 	 abagɕen	off-age 	a'frighten	 scare,away,frighten,off
𐌰𐍆𐌰𐌹𐌺𐌰𐌽 	 abaιken	off-aιke 	abeignen++	 renounce,forswear,disavow
𐌰𐍆𐌰𐌹𐍂𐌶𐌾𐌰𐌽 	 abaιrzɕen	aftershe 	off.urgen! ~aberziehen>verziehen	 misguide,deceive
𐌰𐍆𐌰𐍂𐌲𐌰𐌲𐌲𐌰𐌽 	 abargangen	aftergange 	aber.gehen going after	 go after,follow,accompany
𐌰𐍆𐌰𐍂𐌻𐌰𐌹𐍃𐍄𐌾𐌰𐌽 	 abarlaιstɕen	afterlaιste 	after-listen? <> ableisten?	 follow
𐌰𐍆𐌲𐌰𐌲𐌲𐌰𐌽 	 abgangen	off-gange 	abgehen+	 depart,go,out,go,aside
𐌰𐍆𐌲𐌹𐌱𐌰𐌽 	 abgιben	off-gιbe 	~abgeben	 depart
𐌰𐍆𐌳𐌰𐌹𐌻𐌾𐌰𐌽 	 abdaιlɕen	off-daιle 	abteilen++	 give,distribute,share
𐌰𐍆𐌳𐌰𐌿𐌱𐌽𐌰𐌽 	 abdøbnen	off-daubne 	ab.taub deaf	 deaf,numb,blind,hard,stubborn
𐌰𐍆𐌳𐌰𐌿𐌸𐌾𐌰𐌽 	 abdøƌɕen	off-dauƒe 	abtöten < apo.death	 put to death,kill off,eliminate
𐌰𐍆𐌳𐌿𐌼𐌱𐌽𐌰𐌽 	 abdumbnen	off-dumbne 	ab.dumb <> taub	 silent,still
𐌰𐍆𐌳𐍂𐌰𐌿𐍃𐌾𐌰𐌽 	 abdrøsɕen	off-drause 	abdrüsen? __ > off.thrown	 cast down,thrown down
𐌰𐍆𐌳𐍉𐌱𐌽𐌰𐌽 	 abdubnen	off-dōbne 	ab.taub deaf 𓊵 𓏏 𓊪 !!!	 silent,hold one's peace
𐌰𐍆𐌳𐍉𐌼𐌾𐌰𐌽 	 abdumɕen	off-dōme 	ab'dammen	 condemn,curse,abjure
𐌰𐍆𐌳𐍉𐌾𐌰𐌽 	 abduɕen	off-dōe 	ab.dusen? ab.tun?	 confuse,trouble,vex
𐌰𐍆𐌵𐌹𐌸𐌰𐌽 	 abkrιƌen	off-cιƒe 	of.quit?	 forsake
𐌰𐍆𐌷𐌰𐌱𐌰𐌽 	 abḫaben	off-ḫabe 	~~	 abstain
𐌰𐍆𐌷𐌰𐌼𐍉𐌽 	 abḫamen	off-ḫame 	ab.Hemd Kammern?	 unclothed
𐌰𐍆𐌷𐌻𐌰𐌸𐌰𐌽 	 abḫlaƌen	off-ḫlaƒe 	(ab)laden, beladen	 lade,weigh down,oppress,burden
𐌰𐍆𐌷𐌿𐌲𐌾𐌰𐌽 	 abḫugɕen	off-ḫuge 	ab.hexen!	 bewitch
𐌰𐍆𐌷𐍂𐌰𐌹𐌽𐌾𐌰𐌽 	 abḫraιnigen	off-ḫraιne 	ab'reinigen	 wipe,off,clean,off
𐌰𐍆𐌷𐍂𐌹𐍃𐌾𐌰𐌽 	 abḫrιsɕen	off-ḫrιse 	auf.rascheln? arouse arise rinse? --	 shake,wipe
𐌰𐍆𐌷𐍉𐌻𐍉𐌽 	 abḫulen	off-ḫōle 	abholen++	 cheat,take,false,accusation
𐌰𐍆𐌸𐌰𐌿𐍂𐍃𐌾𐌰𐌽 	 abƌørsɕen	off-ƒaurse 	ab.dursten;)	 thirsty
𐌰𐍆𐌸𐌻𐌹𐌿𐌷𐌰𐌽 	 abƌlιuḫen	off-ƒlιuḫe 	a'flüchten! <<!  𓇋 𓆑 𓂧 𓏮 𓂢 𓁺 	 flee
𐌰𐍆𐌸𐍅𐌰𐌷𐌰𐌽 	 abƌweḫen	off-ƒvaḫe 	abwaschen wash-off	 wash,off
𐌰𐍆𐌻𐌰𐌲𐌾𐌰𐌽 	 ablagɕen	off-lage 	ablegen	 lay,down,put,away
𐌰𐍆𐌻𐌴𐌹𐌸𐌰𐌽 	 ableιƌen	off-leιƒe 	ableiden?<< leave-off!	 depart,withdraw,travel,journey,give place,make room
𐌰𐍆𐌻𐌴𐌹𐍄𐌰𐌽 	 ableιten	off-leιte 	ableiten, leave (away)	 
𐌰𐍆𐌻𐌴𐍄𐌰𐌽 	 ableten	off-lete 	ablassen, let off	 relinquish,absolve,release,let off,forgive
𐌰𐍆𐌻𐌹𐌽𐌽𐌰𐌽 	 ablιnnen	off-lιnne 	abrennen?	 depart
𐌰𐍆𐌻𐌹𐍆𐌽𐌰𐌽 	 ablιfnen	off-lιfne 	ab√leave	 remain,abide
𐌰𐍆𐌼𐌰𐌹𐍄𐌰𐌽 	 abmaιten	off-maιte 	ab.meißeln?	 cut,off,chop,off,sever
𐌰𐍆𐌼𐌰𐍂𐌶𐌾𐌰𐌽 	 abmarzɕen	off-marshe 	√Mars ♂?	 offend
𐌰𐍆𐌼𐍉𐌾𐌰𐌽 	 abmuɕen	off-mōe 	a'müde?	 tire,fatigued
𐌰𐍆𐌽𐌹𐌼𐌰𐌽 	 abnιmen	off-nιme 	abnehmen++	 take away,remove
𐌰𐍆𐍃𐌰𐍄𐌾𐌰𐌽 	 absatɕen	off-sate 	absetzen+++	 set aside,put away,remove,dismiss,divorce
𐌰𐍆𐍃𐌺𐌰𐌹𐌳𐌰𐌽 	 abschaιden	off-shaιde 	abscheiden+++	 separate,off,sever
𐌰𐍆𐍃𐌺𐌹𐌿𐌱𐌰𐌽 	 abschιuben	off-shιube 	abschieben+++	 cast away
𐌰𐍆𐍃𐌻𐌰𐌷𐌰𐌽 	 abslaḫen	off-slaḫe 	abschlachten! slay < schlagen	 cut off,kill,slay
𐌰𐍆𐍃𐌻𐌰𐌿𐌸𐌽𐌰𐌽 	 absløƌnen	off-slauƒne 		 amazed,dumbfounded,speechless
𐌰𐍆𐍃𐌻𐌰𐌿𐌸𐌾𐌰𐌽 	 absløƌɕen	off-slauƒe 		 doubt,despair
𐌰𐍆𐍃𐌻𐌰𐌿𐍀𐌾𐌰𐌽 	 absløpɕen	off-slaupe 	≠abschleppen	 put off,lay aside
𐌰𐍆𐍃𐍄𐌰𐌽𐌳𐌰𐌽 	 abstanden	off-stande 	~abstand wahren, ~abstehen	 turn away
𐌰𐍆𐍃𐍄𐌴𐌹𐌲𐌰𐌽 	 absteιgen	off-steιge 	absteigen+++	 come down
𐌰𐍆𐍃𐍅𐌰𐌲𐌲𐍅𐌾𐌰𐌽 	 abswengwɕen	off-svangve 	~~~aufZwingen?	 despair
𐌰𐍆𐍃𐍅𐌰𐌹𐍂𐌱𐌰𐌽 	 absweιrben	off-svaιrbe 		 blot out
𐌰𐍆𐍄𐌰𐌿𐍂𐌽𐌰𐌽 	 abtørnen	off-taurne 	…torn	 torn,rent
𐌰𐍆𐍄𐌹𐌿𐌷𐌰𐌽 	 abtιuḫen	off-tιuḫe 	~abziehen ~abtragen	 pull,away,draw,away
𐌰𐍆𐍅𐌰𐌲𐌾𐌰𐌽 	 abwegɕen	off-vage 	ab-weg-sein be away going	 move,away
𐌰𐍆𐍅𐌰𐌹𐍂𐍀𐌰𐌽 	 abweιrpen	off-vaιrpe 	~abwerfen	 cast,off,throw,off
𐌰𐍆𐍅𐌰𐌻𐍅𐌾𐌰𐌽 	 abwelwɕen	off-valve 	abwelzen	 roll,away
𐌰𐍆𐍅𐌰𐌽𐌳𐌾𐌰𐌽 	 abwendɕen	off-vande 	abwenden	 turn,away
𐌰𐍆𐍆𐌹𐌻𐌷𐌰𐌽 	 abfιlḫen	off-fιlḫe 	ab.fliehen?	 hide
𐌰𐍆𐍈𐌰𐍀𐌽𐌰𐌽 	 abwapnen	off-whapne 		 choke,quench
𐌰𐍆𐍈𐌰𐍀𐌾𐌰𐌽 	 abwapɕen	off-whape 		 choke,off,asphyxiate,suffocate
𐌱𐌰𐌹𐌳𐌾𐌰𐌽 	 baιdɕen	baιde 	(ge)bieten: force	 force,compel
𐌱𐌰𐌹𐍂𐌰𐌽 	 baιren	baιre 	bear	 bear,carry,bring forth
𐌱𐌰𐌹𐍂𐌲𐌰𐌽 	 baιrgen	baιrge 	bergen	 keep
𐌱𐌰𐌹𐍂𐌷𐍄𐌾𐌰𐌽 	 baιrḫtɕen	baιrḫte 	berichten!	 clear,show,disclose
𐌱𐌰𐌻𐌸𐌾𐌰𐌽 	 balƌɕen	balƒe 	 bold	 bold
𐌱𐌰𐌻𐍅𐌾𐌰𐌽 	 balwɕen	balve 		 torture,torment
𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽 	 bandwɕen	bandve 	>beckon √Band	 signify,show,indicate,beckon
𐌱𐌰𐌿𐌰𐌽 	 bøen	baue 	bauen <> wohnen	 dwell,inhabit,live
𐌱𐌰𐍂𐌿𐍃𐌽𐌾𐌰𐌽 	 barusnigen	barusne 	Borussia?	 loyalty,piety
𐌱𐌴𐌹𐌳𐌰𐌽 	 beιden	beιde 	abide await wait 𐌱𐌴𐌹𐌳	 wait,await
𐌱𐌴𐌹𐍄𐌰𐌽 	 beιten	beιte 	 bite beißen ++	 bite
𐌱𐌹𐌰𐌱𐍂𐌾𐌰𐌽 	 beabrɕen	abre 	beüber… be.abrupt? արբուն 	 astonished
𐌱𐌹𐌰𐌿𐌺𐌰𐌽 	 beøken	auke 	augment	 increase,add,give,more
𐌱𐌹𐌰𐌿𐌺𐌽𐌰𐌽 	 beøknen	aukne 	augment	 increase,grow,abound
𐌱𐌹𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽 	 bearbaιdɕen	arbaιde 	bearbeiten++	 work,towards,strive
𐌱𐌹𐌱𐌹𐌽𐌳𐌰𐌽 	 bebenden	bιnde 	be.binden	 bind up,bind,around
𐌱𐌹𐌲𐌰𐌹𐍂𐌳𐌰𐌽 	 begaιrden	gaιrde 	gird+++	 gird
𐌱𐌹𐌲𐌹𐍄𐌰𐌽 	 begιten	gιte 	??	 find,discover
𐌱𐌹𐌲𐍂𐌰𐌱𐌰𐌽 	 begraben	grabe 	~begraben	 surround,digging,trench
𐌱𐌹𐌳𐌾𐌰𐌽 	 bedɕen	de 	bitten, beg < plead, pledge	 request,ask,pray,beg
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌽 	 bedumɕen	dōme 	deem <> bedünken?	 judge
𐌱𐌹𐌵𐌹𐌼𐌰𐌽 	 bekrιmen	cιme 	become, come	 come upon
𐌱𐌹𐌷𐌻𐌰𐌷𐌾𐌰𐌽 	 beḫlaḫɕen	ḫlaḫe 	belachen laugh	 laugh,ridicule,mock
𐌱𐌹𐌸𐌰𐌲𐌺𐌾𐌰𐌽 	 beƌankɕen	ƒanke 	bedenken, think	 bethink,think
𐌱𐌹𐌸𐍂𐌰𐌲𐌾𐌰𐌽 	 beƌragɕen	ƒrage 	drängen, track	 run,ahead
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽 	 beƌweḫen	ƒvaḫe 	bed.wash ;)	 wash
𐌱𐌹𐌺𐌿𐌺𐌾𐌰𐌽 	 bekukɕen	kuke 	kucc	 kiss,all over,cover,bekiss
𐌱𐌹𐌻𐌰𐌹𐌱𐌾𐌰𐌽 	 belaιbɕen	laιbe 	leave	 leave,behind
𐌱𐌹𐌻𐌰𐌹𐌲𐍉𐌽 	 belaιgen	laιge 	(be)lecken blecken	 lick
𐌱𐌹𐌻𐌰𐌹𐌺𐌰𐌽 	 belaιken	laιke 	beleidigen?	 make fun of,mock,ridicule
𐌱𐌹𐌻𐌴𐌹𐌱𐌰𐌽 	 bιleιben	leιbe 	bleiben, leave	 remain
𐌱𐌹𐌻𐌴𐌹𐌸𐌰𐌽 	 beleιƌen	leιƒe 	leave, let	 abandon
𐌱𐌹𐌼𐌰𐌹𐍄𐌰𐌽 	 bemaιten	maιte 	--	 circumcise
𐌱𐌹𐌼𐌰𐌼𐍀𐌾𐌰𐌽 	 bemampɕen	mampe 	mumpitz;)	 mock,deride
