andimdim  [CRAFTSMAN]  𒀭𒁶𒁶  an-dim2-dim2  "a craftsman" #? 
anir  [GRASS]  𒌑𒀀𒉪  u2 a-nir  "a grass" 
anir  [PROFESSION]  𒀀𒉪  a-nir  "a profession" 
ANIŠ  [PLANT]  𒀭𒅖  AN.IŠ  "a plant?" 
ankar  [WEAPON]  𒀉𒀭𒃸;𒂙;𒀭𒃸;𒂗𒃸;𒀉𒃸  a2-an-kar2 ;  enkar ;  an-kar2 ;  en-kar2 ;  a2-kar2  "a weapon" 
ansala  [CULT]  𒇽𒀭𒊩𒆷;𒈬𒀭𒊩𒆷  lu2 an-sal-la ;  MU.AN.SAL.LA  "a cultic performer" #mahhû ;  ahurrû ;  kurgarrû ;  assinnu 
anšedaba  [PROFESSION]  𒀲𒆪𒁀;𒀲𒆪  anše-dab5-ba ;  anše-dab5 ?  "a profession" 
anšeKUr  [PROFESSION]  𒀲𒆪  anše-KU  "a profession" 
antasura  [METAL]  𒀭𒋫𒋩𒊏  an-ta-sur-ra  "a metal" #antasurrû 
anubda  [QUARTER]  𒀭𒌒𒁕;𒌒𒁕  an-ub-da ;  ub-da  "a cosmographic or geographic term; quarter (of the universe)" #kibrat arbatu 
anzah  [GLASS]  𒀭𒉈  an-zah  "a type of glass" #anzahhu 
anzam  [VESSEL]  𒀭𒍝𒄠  an-za-am  "a drinking vessel" #assammu 
anzud  [EAGLE]  𒀭𒅎𒈪𒄷;𒀭𒅎𒂂𒄷;𒀭𒅎𒄷  anzud2 mušen ;  anzud mušen ;  AN.IM mušen  "a mythological eagle" #anzû 
ara  [~BOAT]  𒄑𒀀𒊏  ĝeš a-ra  "a boat part" 
arab  [PIN]  𒀀𒊏𒀊  a-ra-ab  "a metal pin" 
arabu  [BIRD]  𒌓𒁺𒁍𒄷;𒌓𒉣𒄷;𒀉𒋰𒄷;𒇻𒁍𒌓𒉣𒄷  a12-ra2-bu mušen ;  adab mušen ;  a2-tab mušen ;  udu-bu adab mušen  "a bird" #arabû ;  usābu 
arada  [BIRD]  𒀵𒁕𒄷  arad2-da mušen  "a bird" #erullu ;  katīmatu 
aragubba  [~MATHEMATICS]  𒀀𒁺𒁺𒁀  a-ra2-gub-ba  "a mathematical term" 
arahi  [~MATHEMATICS]  𒀀𒊏𒄭  a-ra-hi  "a mathematical term (math.)" #arahû 
arak  [BIRD]  𒀀𒊏𒀝𒄷;𒀀𒊩𒄷;𒀀𒍮𒄷  a-ra-ak mušen ;  a-rak mušen ;  a-rig2 mušen  "a bird" #laqlaqqu 
aramin  [BIRD]  𒌓𒁺𒌋𒌋𒄷  a12-ra2-min3 mušen  "a bird" 
arandu  [PIPE]  𒂁𒀀𒊏𒀭𒌌  dug a-ra-an-du7  "a clay pipe" #? 
arazum  [CONTAINER]  𒂁𒀀𒊏𒍮  dug a-ra-zum  "a container" #arasu 
arganum  [CONIFER]  𒅈𒂵𒉡𒌝;𒄑𒈢𒅈𒂵𒉡  ar-ga-nu-um ;  ĝeš hašhur ar-ga-nu  "a conifer" #argānu 
argibil  [STRUCTURE]  𒄑𒅈𒋙𒀾;𒄑𒅈𒉋;𒅈𒄀𒉈𒇻𒌓𒊕𒁇;𒅈𒂵𒁉𒉡  ĝeš ar-gibil2 ;  ĝeš ar-gibil ;  ar-gi-bil-lu zabar ;  ar-ga-bi-nu  "a wooden or bronze structure" 
ari  [DISEASE]  𒅂;𒀳  ari2 ;  uru4  "a disease" #maškadu 
aria  [DISEASE]  𒀀𒊑𒀀  a-ri-a  "a disease" 
arina  [FISH]  𒂟·(𒈲𒈲)𒈾𒄩  erin x (|MUŠ&MUŠ|)-na ku6  "a fish" 
arina  [ROOT]  𒂊𒌷𒈾;𒉌𒌷𒈾;𒈷;𒄑𒈸𒀀𒈾;𒀀𒉌𒌷𒈾;𒄑𒈸𒀀𒈾·(𒌫·𒀀)𒈾;𒀀𒌷𒈾;𒀀𒈶𒈾;𒂊𒈶𒈾;𒄿𒈶𒈾;𒄑𒈸𒀀𒈾·(𒄿𒇽·𒎙𒈾);𒄑𒈸𒀀𒈾·(𒇽·𒎙𒈾)  e-ri2-na ;  i3-ri2-na ;  erina8 ;  ĝeš arina ;  a-i3-ri2-na ;  ĝeš arina x (|UR2 ×A|) na ;  a-ri2-na ;  a-ri8-na ;  e-ri8-na ;  i-ri8-na ;  ĝeš arina x (|I.LU2 @s.NA|) ;  ĝeš arina x (|LU2 @s.NA|)  "a root" #šuršu 
arkab  [BAT]  𒀶;𒀶𒄷;𒋢𒁷𒀶·(𒀶𒅁)𒄷;𒋢𒁷𒀶·(𒅁);𒀶·(𒀶𒅁)  arkab ;  arkab mušen ;  su-din arkab x (|ARKAB2 .IB|) mušen ;  su-din arkab x (IB) ;  arkab x (|ARKAB2 .IB|)  "a bird or bat" #argabu 
armanu  [TREE]  𒅈𒈠𒉡  ar-ma-nu  "a tree" #armannu ;  equals {ĝeš}hašhur kur-ra 
armatum  [~DOOR]  𒍏𒅈𒈠𒌈;𒅈𒈠𒌈  urud ar-ma-tum ;  ar-ma-tum  "a door part" #armatu 
arzig  [MILLET]  𒅈𒍨  ar-zig  "a millet" #arsikku 
asag  [DEMON]  𒀉𒉺  a2-sag3  "a demon; a disease" #asakku 
asag  [~FLOUR]  𒀀𒊕  a-sag  "a designation of flour" 
asig  [VESSEL]  𒀀𒋝  a-sig  "a drinking vessel" #mašqû 
asikil  [PROFESSION]  𒀉𒂖  a2-sikil  "a profession" 
aslum  [SHEEP]  aslum·(𒀀𒈝);𒍞𒈝  aslum x (|A.LUM|) ;  as4-lum  "a type of sheep" #aslu ;  pasillu 
aslum  [UNIT]  𒍞𒈝  as4-lum  "a unit of measurement" #aslu 
aš  [BOIL]  𒀸  aš  "a boil (on skin)" #şernettum 
ašbaltum  [STATUS]  𒇽𒀸𒁄𒌈  lu2 aš-bal-tum  "a person of low social standing" #ašpaltu ;  guzallu 
ašbur  [DISEASE]  𒀸𒁔;𒀸𒃻  aš-bur2 ;  aš-gar  "a disease" #di'u 
ašegin  [~GLUE]  𒀀𒊺𒂆  a-še-gin2  "a solution of glue in water?" 
AŠIŠ  [BIRD]  𒀸𒅖  AŠ.IŠ  "a bird" 
aškud  [~DOOR]  𒀾𒈹;𒀾𒈽  aškud2 ;  aškud  "a part of a door" #aškuttu 
ašrinna  [WOODEN OBJECT]  𒀸𒆸𒈾  aš-rin-na  "a wooden object" #ašrinnu 
aštaltal  [PLANT]  𒀸𒉿𒉿  aš-tal2-tal2  "a plant" #ardadillu 
ašuba  [STONE]  𒀉𒍝𒈽;𒎎𒀉𒍝𒈽  a2-šuba ;  na4 a2-šuba  "a stone" 
ašudab  [OIL]  𒀀𒋗𒍏  a-šu-dab6  "a qualification of oil?; an oil producing plant?" 
ašur  [~SHEEP]  𒀸𒌴  aš-ur4  "a designation of sheep" #iltennû baqnu 
atua  [PRIEST]  𒀀𒋗𒉀;𒀀𒋗𒉀𒀀𒋗𒉀;𒇽𒀀𒋗𒉀𒀀  a-tu5 ;  a-tu5-a-tu5 ;  lu2 a-tu5-a  "a type of priest" 
atur  [FURROW]  𒀀𒉣𒇬  a-tur3  "a part of a furrow" #? 
atutu  [PLANT]  𒌑𒀀𒌅𒌅  u2 a-tu-tu  "a type of plant" 
a'ua  [MUSICIAN?]  𒀀𒅇𒀀  a-u3-a  "a cultic musician?" 
a'ura  [STONE]  𒎎𒀀𒌴𒀀  na4 a-ur4-a  "a stone" 
aya  [CRY]  𒀀;𒅇  a ;  u3  "a cry of woe; to cry, groan" #ahulap ;  nâqu 
azaggur  [FISH]  𒀀𒍠𒂵𒄩;𒀀𒍝𒋽𒄩;𒀀𒍝𒋽  a-zag-gur11 ku6 ;  a-za-gur8 ku6 ;  a-za-gur8  "a fish" 
azagun  [BIRD]  𒀀𒍠𒁯𒄷;𒂊𒍣𒂵𒈾𒄷;𒍠𒁯𒄷;𒀀𒍠𒃷𒄷;𒂊𒍣𒃶𒄷;𒄿𒍣𒂵𒈾𒄷;𒍠𒃷𒄷  a-zag-gun3 mušen ;  e-zi-ga-na mušen ;  zag-gun3 mušen ;  a-zag-gana2 mušen ;  e-zi-gan mušen ;  i-zi-ga-na mušen ;  zag-gana2 mušen  "a bird" #usukānu 
azalla  [PLANT]  𒀀𒉌𒇲  a-zal-la2  "a medicinal plant" #azallû 
azalulu  [MULTITUDE]  𒀀𒍝𒇻𒇻  a-za-lu-lu  "a multitude of living things" #tenēšētu 
azla  [CAGE]  𒊍𒇲  az-la2  "a cage" #nabāru 
azugna  [VEGETABLE]  𒄯𒊕;𒌑𒄯𒊕  azugna ;  u2 azugna  "a vegetable; saffron?" #azupīru 
ba  [ANIMAL]  𒁀  ba  "a marine creature?" 
ba  [GARMENT]  𒌆𒈨  tug2 ba13  "a garment" #nalbašu 
ba  [TOOL]  𒄑𒁀  ĝeš ba  "a cutting tool" #suppīnu 
babbardili  [STONE]  𒎎𒍝𒂆𒌓𒀸  na4 nir2 babbar-dili  "a stone" 
babbareš  [STONE]  𒎎𒍝𒂆𒌓𒀼  na4 nir2 babbar-eš16  "a stone" 
babbarhi  [PLANT]  𒌓𒄭  babbar-hi  "a plant" #parparhû 
babbarmin  [STONE]  𒎎𒍝𒂆𒌓𒐀  na4 nir2 babbar-min5  "a stone" 
bahar  [FISH]  𒁃𒄩  bahar ku6  "a fish" 
BAHAR  [POT]  𒁃  BAHAR2  "a pot" 
bakirum  [STRAP]  𒌋𒊬  bakirum  "a carrying strap" #hišum ša nukaribbi 
balaĝ  [INSTRUMENT]  𒁆;𒄑𒁆  balaĝ ;  ĝeš balaĝ  "a large drum or harp" #balangu 
balaĝdi  [INSTRUMENT]  𒁆𒁲  balaĝ-di  "a musical instrument" #timbutu 
balbale  [SUBSCRIPT]  𒁄𒁄𒂊  bal-bal-e  "a literary subscript" 
balla  [HEADDRESS]  𒃻 𒊕𒂵𒂅 𒂡𒂷;𒃻𒊕𒂵𒂅𒂡𒊩  balla ;  balla2  "a headdress or wig" #upur sinništi ;  upur zikari 
BANAM  [COMMODITY]  𒁀𒉆  BA.NAM  "a commodity" 
bandul  [MAT]  𒄀𒁀𒀭𒌋𒌆  gi ba-an-dul  "a reed mat" #zibnu 
baneš  [CONTAINER]  𒀾  baneš  "a container" 
banmin  [VESSEL]  𒂁𒈫  dug banmin  "a vessel of two seah capacity" 
banšurzaggula  [TABLE]  𒄑𒍎𒍠𒄖𒆷;𒄑𒍎𒍠𒄘𒇲  ĝeš banšur-zag-gu-la ;  ĝeš banšur-zag-gu2-la2  "a cultic table" #paššūr sakkî 
banšurzagĝara  [TABLE]  𒄑𒍎𒍠𒃻𒊏  ĝeš banšur-zag-ĝar-ra  "a cultic table" #paššūr aširti 
bantum  [BIRD]  𒁀𒀭𒉐𒄷;𒁀𒀭𒁺𒄷  ba-an-tum3 mušen ;  ba-an-tum2 mušen  "a bird" 
bar  [FISH]  𒁇𒄩  bar ku6  "a fish" 
bar  [PLOW]  𒄑𒁇  ĝeš bar  "a type of plow" #mayāru 
bara  [FISH]  𒁈𒄩  bara2 ku6  "a fish" 
bara  [~COLOR]  𒇙  bara6  "a color term" 
barbar  [PLANT]  𒁇𒁇𒊬  bar-bar sar  "a plant" 
barbar  [REED]  𒄀𒁇𒁇  gi bar-bar  "a type of reed" 
bardili  [PLOW]  𒁇𒀸  bar-dili  "a plow" #mayyaru 
bardul  [GARMENT]  𒁇𒌆;𒁇𒋠𒌆  bar-dul5 ;  bar-SIK2 tug2  "a garment" #şubātu 
bareda  [STRAP]  𒋢𒁇𒇯𒁺𒉈;𒋢𒁇𒇯𒁺𒁕𒁇𒇯𒁺𒁕;𒋢𒁇𒇯𒁺𒁕  kuš bar-ed3-de3 ;  kuš bar-ed3-da-bar-ed3-da ;  kuš bar-ed3-da  "a type of strap" 
barĝal  [~SHEEP]  𒁇𒅅  bar-ĝal2  "a designation of sheep: with fleece" #bargallu 
barhuda  [TOOL]  𒁇𒄷𒁕  bar-hu-da  "a tool; a reed cutter" #par hudû 
barhuš  [FISH]  𒁇𒍽𒄩  bar-huš ku6  "a fish" 
bariga  [UNIT]  𒁀𒌷𒂵  ba-ri2-ga  "a unit of capacity; a measuring container" #parsiktu 
barim  [GARMENT]  𒌆𒁀𒁽𒈠  tug2 ba-rim4-ma  "a garment" 
bariratum  [PLANT]  𒁀𒊑𒊏𒌈  ba-ri-ra-tum  "a plant" #barīrātu 
barsal  [SHEEP]  𒁇𒊩  bar-sal  "a sheep" #barsallu 
barsal  [~SHEEP]  𒁇𒊩  bar-sal  "a designation of sheep" 
barsig  [GARMENT]  𒌆𒁇𒋛;𒁇𒋛;𒌆𒁇𒋝;𒁇𒋠𒌆  tug2 bar-sig9 ;  bar-sig9 ;  tug2 bar-sig ;  bar-sig2 tug2  "a garment" 
barsigsig  [GARMENT]  𒌆𒁇𒋛𒋝  tug2 bar-si-sig  "a garment" 
barsud  [NOTATION]  𒁇𒋤  bar-sud  "a musical notation" #? 
barsud  [POT]  𒂁𒁇𒋤  dug bar-sud  "a pot" 
barsuga  [~SHEEP]  𒁇𒋢𒂵;𒁇𒋤𒀀  bar-su-ga ;  bar-sug4-a  "a designation of sheep: without fleece; plucked fleece" #? 
barUD  [~DATES]  𒁇𒌓  bar-UD  "a designation of dates" 
barutum  [OBJECT]  𒁀𒊒𒌈  ba-ru-tum  "a quiver or other leather item" #parūtu? 
batabduhhum  [GARMENT]  𒌆𒁀𒋰𒂃𒄷𒌝  tug2 ba-tab-duh-hu-um  "a garment" 
batium  [CONTAINER]  𒁀𒋾𒌝  ba-ti-um  "a container" 
baza  [FISH]  𒁀𒍝𒄩  ba-za ku6  "a fish" 
bazbaz  [BIRD]  𒊺𒄷𒌉𒄷𒄷;𒁀𒁀𒊍𒄷;𒁀𒁀𒍝𒄷;𒄷𒁀𒁀𒍝;𒁀𒁀𒊍𒊺𒄷𒄷·(𒊺𒄷)𒄷;𒁀𒁀𒍝𒊺𒄷𒄷·(𒊺𒄷)𒄷  bibad mušen ;  ba-ba-az mušen ;  ba-ba-za mušen ;  mušen ba-ba-za ;  ba-ba-az bazbaz x (|ŠE.HU|) mušen ;  ba-ba-za bazbaz x (|ŠE.HU|) mušen  "a bird" #paspasu 
bazihum  [TEXTILE]  𒌆𒁀𒍣𒄷𒌝  tug2 ba-zi-hu-um  "a textile" 
bazu  [KNIFE]  𒁀𒅗;𒄑𒁀𒅗  ba-zu2 ;  ĝeš ba-zu2 ?  "a toothed knife" #suppīn şurri 
bibra  [VESSEL]  𒄾  bibra  "a bird; a stone vessel" #bibrû 
binitum  [BEAM]  𒄑𒉈𒉌𒌈  ĝeš bi2-ni-tum  "a beam for houses and boats" #binītu 
birGAMla'e  [TREE]  𒄑𒄵𒃵𒆷𒂊  ĝeš bir-GAM-la-e  "a tree" 
birgun  [CHEESE]  𒄵𒁯  bir-gun3  "a cheese" #pinnāru 
bisaĝ  [FISH]  𒂷𒄩  pisaĝ ku6  "a fish" 
bisaĝšukama  [CONTAINER]  𒄀𒂷𒋗𒄰𒈠  gi bisaĝ-šu-kam-ma  "a container" 
bizazagubalaĝdikargirzana  [BIRD]  𒁉𒍝𒍝𒅗𒁆𒁲𒋼𒀀𒁽𒍝𒈾𒄷;𒉈𒍝𒍝𒅗𒁆𒁲𒋼𒀀𒁽𒍝𒈾𒄷;𒉈𒍝𒍝𒅗𒁆𒂷𒋼𒀀𒁽𒍝𒈾𒄷  bi-za-za-gu3-balaĝ-di-kar-gir5-za-na mušen ;  bi2-za-za-gu3-balaĝ-di-kar-gir5-za-na mušen ;  bi2-za-za-gu3-balaĝ-ĝa2-kar-gir5-za-na mušen  "a bird" #kur tibni 
bizazagubalaĝdikargirzana  [FISH]  𒉈𒍝𒁆𒁽𒄩  bi2-za-balaĝ-gir5 ku6  "a fish" 
budbad  [SOUND]  𒁍𒌓𒁀𒀜  bu-ud-ba-ad  "a sound (onomatopoeic)" 
bul  [FISH]  𒇡𒄩  bul5 ku6  "a fish" 
bulbal  [SOUND]  𒁄𒁄  bul3-bal  "a sound (onomatopoeic)" 
bulbul  [REED]  𒄀𒇡𒇡  gi bul5-bul5  "a reed" 
bulug  [PLANT]  𒌑𒁑  u2 bulug  "a plant" 
buniĝ  [TROUGH]  𒄑𒆹;𒄀𒆹·(𒀀𒆹);𒆹;𒄀𒆹;𒄑𒇅;𒄑𒇉;𒇒  ĝeš buniĝ ;  gi buniĝ x (|A.LAGAB×A|) ;  buniĝ ;  gi buniĝ ;  ĝeš buniĝ2 ;  ĝeš buniĝ3 ;  kunin  "a trough, bowl or bucket" #kuninu ;  pattû 
bur  [CONTAINER?]  𒁔  bur2  "a container?" 
bur  [GARMENT]  𒌆𒁓;𒌆𒁔  tug2 bur ;  tug2 bur2  "a garment" 
bur  [GRASS]  𒌑𒁔  u2 bur2  "a grass" #umşatu 
bur  [LOCUS]  𒆠𒂗𒆕  bur11  "a cultic location" #manzâz êni 
bur  [TREE]  𒄑𒁓  ĝeš bur  "a tree" #duhutu 
bur  [UNIT]  𒁓;𒌋  bur ;  bur3  "a unit of area; a unit of volume" #būru 
