folio	side	line	text
3	back	8	9h19.h1op.1oy.1Hoe.oha 
3	back	9	9kccC,ay.ohcoe.Ko8oae9.1oy.K9 
3	back	10	o1os.8am.4oh+oe.8aq.1oe.ohay9 
3	back	11	2o.2oHo.H9.k1oy.1o8am.1op 
3	back	12	o,+.1o8az.9k19.k1oy.h1ap.s 
3	back	13	2ay.2ham.4oh1A.9k9.Kae.1h9 
3	back	14	8an.2cAp.9.hcap<$>
4	front	1	ho8ae19.1go89.5coe.oe.3C9.4okc9.8om.1ox.9ko( 
4	front	2	82oy.2oe.%oe,Koe.2k19.1am.@162;s.1oyam.1op 
4	front	3	ok1oe.1oe.19.1am.4okam.8am.2an 
4	front	4	4ok1oe.19.9k9.8am.oham.K9<$>
4	front	5	g98am.4ok19.89,k989 
4	front	6	1oy.29k19.89k1C9 
4	front	7	4okam.Koe.8am.Kop 
4	front	8	!oy.3oe.#oe.K9.Joe89 
4	front	9	8am.Ho19.k19.hoy.am 
4	front	10	o,8ae.2oy.393oe.Gam 
4	front	11	4ok1om.2cAy.4okA 
4	front	12	som.1am.1am 
4	front	13	8am.Kc9<$>
4	back	1	j1oom.h3co.h1o9.1oj19.8oe8s.8eo8 
4	back	2	oe.1c9.19.K9.5h1oy.2co.1coy9.1oe89 
4	back	3	2o.2o.1am.2Am.8am.4o8am.oaxAp 
4	back	4	4oh19.@184;oK9.1okcoe.8am.Kc9.1oam 
4	back	5	2o,y.2C9.@253;.okom.%c9.4ok1om.1o8an 
4	back	6	9k1o9.2oh19.Go89<$>
4	back	7	koy19.2ccoy.1oy.2oh19.G989 
4	back	8	oeB.1oy.Koe.2o.okoy.Koy9 
4	back	9	4ooho.M,1io*.1K9.2oh9.8am 
4	back	10	okam.+co.ohca89.1oe.1o@251;co89 
4	back	11	2o.h1coy.2o89.2kam.4okoe,8am 
4	back	12	4ohc9.2o.ohcoe.s,hC9.2ay.1ay.o89 
4	back	13	2o89.s.1coy.1oho89.5o8am.4okA 
4	back	14	o1o79.19,hc9.1ko89<$>
5	front	1	h2o89.g1o9.1ho9.oam.oay.oes9.1o89.8h29.89 
5	front	2	o1c9.ohc9.4aham.3o.Ho9.Kc9.1c9.oha@170;os.okoe 
5	front	3	4oam.okaN.19.8am.okB.1oK9.ok19.4ok1o89 
5	front	4	okan.2co89.1aN.s.1coy.1oK9<$>
5	front	5	k29.2o89.4oam.1oeoes.2o.4ok1co.8Am.2o8am 
5	front	6	2o.1coy,1c9.4oCc9.4o9hcC9.4o,coy.K9.2ok29.89 
5	front	7	4okoC9.hcc9.1co.h19.2o89<$>
5	back	1	hA1coy.1oy.(k1c9.g2o8.1oes.1o8am.9koM.8am 
5	back	2	81oe.@217;.1oe.okam.7an.Koy.1ok$.91ojoy8* 
5	back	3	4ok1o.9koy.8am.8am.ok1oy.8aZ.@186;.8a,y,1oy.8o 
5	back	4	4okoy.2ccs.okoe.9hom.5oe.8am.Koy.oh19kam 
5	back	5	2ohCoe.1oy.1cokoe.ok1oe.8,am.8ae.1oe.1okam 
5	back	6	okoe.1oe.8azo8*<$>
6	front	1	foay.9.2oe.1oeoy.Goe.1oy.1v.1og1oe.ok1ap 
6	front	2	8am.1H9.1oy.1o,y.hay.K9.Koy.1ok,oes 
6	front	3	joCay.h2oy.1oh9.os.1cods.9hco,y.9kam.8ap 
6	front	4	8ay.c@198;o,s.2coy.1oV9.ok1ap.9aZ.19 
6	front	5	kay.ohom.2ccs.9kae9.Kam.o8ap 
6	front	6	oy.ae.7am.Hap.ohop.Kam.98am 
6	front	7	8am.4o8am.1o.s.1oe.oham,s 
6	front	8	91oe.Hoy.g1ay.2co.Ham 
6	front	9	8ay.2coe.shaIo7ay.okam.1oy9 
6	front	10	k1oy.Kco8.19.2os.o82c.o8 
6	front	11	91ay.oe1a*.oe.1oham 
6	front	12	oy.2oe.Kop.1oy.K9 
6	front	13	4oKoe.(o8am.K9 
6	front	14	92o.kam.9.haIp<$>
6	back	1	hoay9say,1Chay.4oay.3oy.1ag19.s.1cay.1ay.ok19 
6	back	2	oCs.1oy.1H9.4och1as.1cAs.o8aM.h1c9.1oy,1am 
6	back	3	4oaz.H9.1oe.oo1oH9.1ch1o9.H9.ohoe.s91os 
6	back	4	9%H9.9k1o9.s,os.9&a&9.819.8c9.oho89.9ko89 
6	back	5	8az.2a.1o8ap.8ap.ohoy.ok9.8oe8op 
6	back	6	k1o89.3oKoe.1oL9.s 
6	back	7	91os.91oe.8am.Koe.8oe 
6	back	8	91oy.1oy.oh1c9.4ohoQ 
6	back	9	oCo.8ae.1oy.Kop.s 
6	back	10	4oh1o8.9,1cay.h189 
6	back	11	eay.1ay.oka*.Ko,p,89 
6	back	12	9k1os.39.4ohap.K9 
6	back	13	9o8am.K9.s.1oy.occs.Ay 
6	back	14	4ohoy.1o,e.Koe.k1aeo89 
6	back	15	1oH9.s.oy.19.s.an.ay 
6	back	16	o19.Kay.Koy.K9 
6	back	17	9,1aZ.Hae.Ko8ap.89 
6	back	18	9k1oKoe.1cs.Koy 
6	back	19	o1oe9.h1oy.19.7oy 
6	back	20	81oy.1oe8ay.ohoe.8am 
6	back	21	91coy.1oy.oKap<$>
7	front	1	f1o8am.2og1c9.4ho.2c9.4o,os.2C9.1ayo19 
7	front	2	81cc9.hco.y.3oy.8oe7.81c9.h1c9.ok19.1co89 
7	front	3	o@210;s.1co8am.+cc9.9k1C9.4ok19.1ae8 
7	front	4	4oh1o.1o.eo1c9.8am.91c9.h1os.o8am 
7	front	5	oaZ.okam<$>
7	front	6	h2oe2c9.4okoCs.1hoe79.ok1oy.1oam 
7	front	7	8%o9.Koe.1oe.ok1oe.8an.2o89.2oe.1ok19 
7	front	8	oh1c9.8CCsc.1ok9.4oh19.2oe.hC9.1ok9.8an 
7	front	9	4ohc19.oe,1om.1oe.Gc9.3H9.1o19.h1o8 
7	front	10	s.1an.1oy.8am.1H9<$>
7	back	1	joe(29.3c9.k1o89.4og19.ok3oe.898am.k2o8o89 
7	back	2	1o19.K9.8am.4oh9.1R9.8am.Koe.K9.K8 
7	back	3	4oh19.89h19.1hC9.h39.h9.k9.8oy.1cc9.oe.1coe,89 
7	back	4	1okB.oCay.1os19.8an.3o.h39.2oe.8Ccs.8oe 
7	back	5	81o8am.4ok19.1cc9.k1cc9<$>
7	back	6	h1oy.3co8.2co8am.2o,8am.oh2oe2oe.8az.4os 
7	back	7	oh2o8d@207;.1oy,1coy.o8am.1ok1c.8oe.8oe.8oy.am 
7	back	8	4okCco.y,1o,1Co89.4ok1c9.kc9.oh1oy.8am 
7	back	9	3o.hcco.8aZ.1oh19.8oy.8coe.89.7oe8am<$>
8	front	1	g2oe.1oy.ok2ae.1oj9.Gae.1o89.39.Fo8ay.2oy 
8	front	2	k1k9.2.h1caes.3o.oh1c.8o.819.8an.ae 
8	front	3	1o8ay.39.s9.1o8am.2oh19.1oy.89 
8	front	4	4oko,y.1oy.1o,y.2cc9.81oe.2csc8.1ou.19.8ap 
8	front	5	oh1c9.8o.y.1Cc9.89.h9.s1o.1h9.vo,o,am.1Akam 
8	front	6	ko3.Eh1cc9.hoe,koe,89.29.1ock9.1cco89.sAe 
8	front	7	1oko.h1oaN.1ooy.8an
8	front	8	o1o.8am<$>
8	front	9	k1ocg.2og1cc9.g1c9.of1c9.8+C9.2oe8am.#oy 
8	front	10	8am.1C9.kcco8aN.89.1coK9.oh2co.8oe.8az* 
8	front	11	2o,e.1co,8am.8am.8o.9k1o89.1ok.1ok9.okaym 
8	front	12	4o,1o8am.2okoho89.1okoe
8	front	13	ohoh1o8*<$>
8	front	14	Ko.1c9.2oe.1of989.2o.1c9.h2c9.eo89.1oeae 
8	front	15	81c9.Hoe.1oe.1c9.h1s.19.@253;8am.8oe.8aIz19.H9 
8	front	16	(1c9.h1@188;h19.1sc9h19.s1cam.Kai1ay.K9.8ay 
8	front	17	1oe.819.4ohay.1e.am.1caN.v9.1ay.1am 
8	front	18	ohay.Fam.1am.Ee.8am.1o,y.1a.y1cae1ap 
8	front	19	saz.1can.Goe.8ay.#oe.ham.%oe.ham.8aihap 
8	front	20	oy.1oh@209;9.2c9.o,hae.1ae
8	front	21	s1oe.saP<$>
8	back	1	Ko8.soo1.soe.2oe.okoe.1oe.og1cam.og98am.sam 
8	back	2	!Kae.say.1oy.3cam.2oy.19h19.okam.Ek9 
8	back	3	4o89.1cae.s9.1oy9.1cay.+oe.1am.2am.8oeay 
8	back	4	82oe.2oe.8ae.1caN.Kay.2cae9.8am.1ay9 
8	back	5	1oe.1oe8ay.ok1ay.ckam.Koe.8ay 
8	back	6	8am.KaN.9k19.1c9ham.8an.ay 
8	back	7	2o.h1oe.8ay.3c9.Kay.1okan.y9 
8	back	8	oh1oeh2.1oe.1oe.1oe.Kam.7an 
8	back	9	2oe.oy1e.1oh19.1oe.KAy.1am 
8	back	10	s1ay19.occso89.h1c9.g19.Gayop 
8	back	11	soyan<$>
8	back	12	g1ay.1o.yoe.8ae.2cay.1ccokam.1ae.8am 
8	back	13	h1oy.ok1ay.oh9.1ohan.hcoh9.okoy19.sakay 
8	back	14	%oy.ohoe.eoham.2oe.hoe.1ay.Kc9.k19.Hap 
8	back	15	oy.1oe.1D.1Eh9.1oy.1can.1ay.1cch9.1oy.y9 
8	back	16	1oy.1cay.1cay.okC9.81oy.1o8c9.1o.yam 
8	back	17	8an.1cay.8am<$>
9	front	1	k98eo.1oe9.Koy.oy1c9.s.29.o8am.say9.2oy.K9 
9	front	2	o9hcc9.1oe.9kam.oh1o89.kocoh9.ohom.89.oy.1am 
9	front	3	kom.J9.4oko8.okam.K9.ohoy.1c9.Ko8.yap 
9	front	4	9#9.1oh1o.1Ko8.2oy.2am.okay.8oy.9koe.8a9k9 
9	front	5	8am.1oy.soy.K9.1ohom.2oe.82oe89.ok1oe,ok,89<$>
9	front	6	g2o,an.KAam.ohaZ.UA8osae.2ay.s9.298ae.189 
9	front	7	oy.1oe.19,k19.k1oe.9koy.4okoe.19h9.1o8ay.am 
9	front	8	4ok1o.4oh19.Kc9.hoyam.ohan.7.8ae.s.oe2oK9 
9	front	9	o1oK9.1o@253;9.1o89h19.saZ819.8am 
9	front	10	9k1as.oy,am.1hAy<$>
9	back	1	fo1oy.ogoyo79.og9.5oy.8am.4og19j1o.4ouoe.3oe.Foe.8am 
9	back	2	81oy.4oam.1ham.Koy.1oe.1oy.Goe.89.ok9.4oham.89 
9	back	3	9hc9.1oy.9ham.8am.K9.okam.oh9.ods.8am 
9	back	4	9kc9k19.kam.Koy.okoe.ok9.koe89<$>
9	back	5	g1oy.9j1cc9.4okoy.9j19.oeFoe9.kc.ay.1k9.8aM 
9	back	6	o8oe.1o9.h2co89.1o89.8an.ok19.Ko8.9hA 
9	back	7	4o.1oe.1oe.Ek19.8am.okae.8oy.8aP 
9	back	8	som.8am.4oh1o.yoh98.8ae9 
9	back	9	8am.19.kAx.19k9.8ay9.9koe89 
9	back	10	ok9.h1oe.1oe.19.h9k9 
9	back	11	91oy.12ok9.oh9ham 
9	back	12	1ham.H9.1oy<$>
10	front	1	g1oK9.2oy.oKo89.1oy19.g1o8oe.1og1ae.9g1hop 
10	front	2	81c9.Kooy.1ay.1k9.os.1az.ok9k1oe.oh9.8am.ck98 
10	front	3	4okoy.ok19.8am.1oK9.4ok19.1oe.oy.9k9.89.89 
10	front	4	soy.1am.1K9.KoH9.oy.am.1k1oy.8oIy.o89 
10	front	5	4oh19.4ok1oe.1oe.K9<$>
10	front	6	91coy.K9.1oy.Kam.4oKoe9.89.19.kam.29 
10	front	7	819.4oh1oe.9h1am.9k9.8am.K.8an.8az.ap 
10	front	8	4ok1oy.1oy.okoe.1oe.1oeoy.1oe.8am.8ay 
10	front	9	o9h1oy.2oy.1oy.19.haM.89.1o8am 
10	front	10	o4okAy.okoy.U9.Koy.osan.9kom 
10	front	11	@177;ok1o2oy.4ok9.4okoy.K98.okay 
10	front	12	@177;o8am.8am.4ok19.4okoy<$>
10	back	1	gam.8am.2co.j1cc9.4ok9.8am.Koy.ok989.san 
10	back	2	8an.8am.H9.1Koy.1om.4ok.1o8am.K9.8am 
10	back	3	82o.9kc9.h1oe.oek9.1oe.89<$>
10	back	4	4ok19koy.2om.8am.4ok1c9.3L9.9koy.8an 
10	back	5	3o.9hC9.8am.4ok19.4okoy.1oe.8am.4oh19.h9 
10	back	6	2om.1oy.2K9.4ok9.4okom.4ohoe.1oy,am 
10	back	7	4ohoe.19h9.1oe,1ch9.8am.8an.1HaN<$>
11	front	1	k2oe.s1oae.U9.2f(8am.G9.+c9.k1o89.+o9k9 
11	front	2	soKo89.4o8oy9.k29.8am.9k19.9k1ah9.h1oe.8am 
11	front	3	4ok9.1oe.K9.8oy.9h919.1ok9.8an.1am.8am.8o8 
11	front	4	81oe.19.h19.89.8am<$>
11	front	5	k1oe.2oy.2oy.8h9.@239;9.8am.K9.89.1o8e,8am 
11	front	6	o8e.8s9.okoe.1am.9h1oy.8az.1o89.K9.s.8am 
11	front	7	4ok19.oh1oe.K9.89<$>
11	back	1	goe81o89.2J9.!oy89.4ok9.2oe.Jay.8aN.9 
11	back	2	2oe.89.1H9.2K9.8am.8ap.9k19.8an.819 
11	back	3	ok1oy.89.h19.k19.7ay.4oh18.oh9.1oe,89,89 
11	back	4	4oh1oy.1oeoe@206;.19h9.819.4oh9.Ko.k1c9.k@193; 
11	back	6	so989.4okC9.4ok.1oy.79.889.Koy.29.ay* 
11	back	7	91coy.h3o.8oy.Kc9.s.1oe8<$>
13	front	1	koy3oy.og19.5oe.89.4oj19.2oe.oj1oy.89j19.81* 
13	front	2	81oe.1oe.8oe.2h19.98ae.29.9h19.4ok@198;9.7am.s,9 
13	front	3	s(.81oy.2am.oCcs.9hoy.1oy.9k29.9h19.h19.8ay 
13	front	4	4o819.9k19.ok1oy<$>
13	front	5	2oyo8o.#9.k29.h1oe.8g19.4og19.ok1oe.Uoe89 
13	front	6	k1oy.8oy.8am.4ok1oe.oh19.oh1oyom.1H9.8 
13	front	7	819.4oh9.1oe.89.4oh@198;9.8.oe89.oh1oy.8oam 
13	front	8	2o,19.4oh19.koy19.hE@229;.s.oh1c9.8am 
13	front	9	oe89.2c9.1ae.8om.9hoe9.oh1ae.8ae89 
13	front	10	sok19.h19.ohoyoy9<$>
13	back	1	hoaiy.1kom.ok19.h1o8.okoe.ok19.oKos 
13	back	2	oho.4ohoe.1o8ae.ok1oe.Joe.1ok9 
13	back	3	4oh19.4oho8.19.ok19.Ko89 
13	back	4	oes.1c9.ohos.oam.oh29.4o@229; 
13	back	5	4oh9.8am<$>
13	back	6	foe8am.oeJ9.2oe.89.ok9.2oy.4ok98.8azo8 
13	back	7	8an.ohae.19.4oh1oy9.819.hoh98am.2oN 
13	back	8	ok19.8am.98an.9hoe.oh19.ohae8.89kam 
13	back	9	k1ko8.okae.Koy.9kae.9,1o,kAe.2o,4oK9 
13	back	10	9,oe.19.h1c9.h1oy.8ae<$>
14	front	1	g1o8am.1ojoe.+om.8am.8an 
14	front	2	o9hC9.soM.1oh.4oh19.8a.ohoe 
14	front	3	98am.oe19.h1oy.8am.oeoe 
14	front	4	o1h1Ay.hoe.59.8am.8oyo89 
14	front	5	4oh1oe.8ay.8aeo.4okoeo 
14	front	6	91oe.oz.ohoy.1ooy.oH9 
14	front	7	ok1o.8an.1H9<$>
14	front	8	so29.u1oe.3oy.1coy.(ham.s 
14	front	9	so89.1o89.ok1o89.4ok19,hom,s9.2ok989 
14	front	10	4ok1oy.1o8.2ok9.1o89.8oe.89.89.oh19.89 
14	front	11	81oh1(.s1oe.89.2c9.8ay.4ok9.9hC9.h9 
14	front	12	oB.1c9.hco,y.1c9.k19,h9.1o8ae* 
14	front	13	so8am.19.h19.h19.9hco89<$>
14	back	1	g891om.9fo8an.ok9,59,89.9g1oy.8am.hoe.98an 
14	back	2	oh1oy.8,19,k29.ok9.19.K9.ok19.k9.1oe.8am 
14	back	3	919,89.8am.1K9.9k9ham.89k19.@249;9.h9,89 
14	back	4	9k9.19.h2o.9h29.2oh,2oy.9k9.8ayo89.89,ok98s 
14	back	5	oh29.8am.oh1oy.1h9.4ok19.8am.Koy.ok9 
14	back	6	4o.k9.1oh9.K9.1oh19.898989.1H9.8198.@161; 
14	back	7	o9h59.1o,k9.8989.o898.ok19.o.h19.829.8ay89 
14	back	8	1oh2oy.8am.oh2o89.8am.8oe.8az.8ap 
14	back	9	89h19.Koe8*.81H9<$>
15	front	1	k2oy.2c9.k,1ae9.59.1koes.2c9.8am 
15	front	2	ok1oy.4o,h1oy.oe9.ohox.29.hoe9 
15	front	3	4oham.4ok,19,k989.8am.1oe.K9 
15	front	4	s1,cam.1o8am.1e.soe.Ham.sae 
15	front	5	4ok19.y.2oy.K9.8am.K9.89 
15	front	6	819.ho,ham.189.sam.ohcas 
15	front	7	8am.3ham.K9.3o.hcoK9 
15	front	8	2oK9.koehamy.8an.Koe9 
15	front	9	oKan.4oham.1os.o8am.Ke,s,9 
15	front	10	91an.1l9.oh29.saM.8oe18s 
15	front	11	oham.okam.1e.s9.1oy.1oyoss 
15	front	12	4okoy.3oy.k1coy.19.Kam.+aN 
15	front	13	9h5oe.8oy.2C9.K9.8an.sh9.2oy.2ok9 
15	front	14	ok1o.h19.1oe.8am.Kay.9koe.8oy.8op 
15	front	15	4ok,1oy.1am.19,hoe.8ah9<$>
15	back	1	gayoy.oy29.1om.7k1aN.oj1oy79 
15	back	2	@178;1oy.oy.oyo.y,am.K9.@242;an.8ay 
15	back	3	Koy.8am.4ohoy.ohcoy.oham 
15	back	4	8om.1oh9.2oe,4oh9.4ok1o8 
15	back	5	ok1oy.1oy.1ay.9k1oy.K9.s 
15	back	6	4ok1c9.1ok9.ham.ok19.y.am 
15	back	7	Eo9.1oZ.#o.@161;.19.s.19.koy.oes 
15	back	8	9k1oy.1oy.oe.om.ok9.!oe.7am 
15	back	9	ok1oeoKoe.1oe.1oe.1o89.haN 
15	back	10	soy.1oy.Kom.K9.4oham 
15	back	11	soe.om.1coy.1oe.8am.K9 
15	back	12	8am.Koy.1oe.1oy<$>
16	front	1	go1co89.4oj1c9.s9ham.oj19.8ox.919.8am.89.1oy.oyop 
16	front	2	919h19.oke9.hoe.%oy.o89.oko89.4o9.oCsoy89 
16	front	3	98oy.2cae.oh19.4o9,hom.1oh9.9haz 
16	front	4	8ano8.91caeo8<$>
16	front	5	k1oy.1oy.1s.9h1.2oK9.og19,k9,h9 
16	front	6	o2am.89h9.oCcs.8do8.am.8koam 
16	front	7	8am.8ae19.89h9.s,19.s.am.8oae.4oh9 
16	front	8	2ok19.98an.9h9.2o89.okoe.8am 
16	front	9	sam.9kam<$>
16	front	10	koyoy.8ae9,8ae.oj19u1oe.9j1o@234;9.ohae 
16	front	11	soh19.4ohoe.1ok9.oh19.K9.19.h19 
16	front	12	89,1o,h19.2K9.2k39.2o.k1oh98 
16	front	13	4ohc@198;oy.8e.89.3c9<$>
16	back	1	g1yAm.ok1oy.1g1oe.1j1c9.s,g1o@232;9 
16	back	2	9k1oy.9.h9.1oh19.4oh1oKoy.2oy9 
16	back	3	9h19.89.1o9.4ok9.19,h19.ho2ck 
16	back	4	81oe.1Ko89.Go8.1okoe.8ae 
16	back	5	9k19.19k9.1oy.1oe.9k19.8aN 
16	back	6	soy.1,hAy.ok9.1hAy.1oe.8azn<$>
16	back	7	g1oK9.19g19.4ok19.1r9.s9 
16	back	8	8am.1oe.9,8am.1K9.4ok1ay.1oy.2oeo 
16	back	9	829.oham.oham.1oe.1oy.Kox.k9.1o89 
16	back	10	4oh19.19,89.9h19.1H9.okan.Koy.K9 
16	back	11	oh9kam.1h19.sam 
16	back	12	8am.9h9.okoy.1o89 
16	back	13	sohay.oaoyay<$>
17	front	1	f2o89.8ayap.98ay.1op.og989.9go8.1og.ok19.8o89.oe8H9 
17	front	2	98az.1Ah9.oh29.4o8ay.Ho89.8oy.ok1oe.4o8K9.o8s 
17	front	3	1oe.oy.19.4o8.ap.ohoy.1oy.oh1op<$>
17	front	4	k1o@176;.@221;oe.4ohoe.4oy.oeam.og98*.yop.9g19.9gaP 
17	front	5	91ch19.K9.1oy.2oy.Goy.Gae89.8aiy.Kc9.4o89 
17	front	6	k3o.4ou.1o.4oh1coy.1ckc9<$>
17	front	7	h3co.4oh19.1oe839.@252;cj19.7@222;.og1oy89 
17	front	8	8119.89,1cay.s1ay.(h19 
17	front	9	so9.1Ho.o.8as.19j1ap 
17	front	10	8ay.1cay.83coy.Tan.A.poe 
17	front	11	ok1oe.Kay.oham.1oe.8aM 
17	front	12	91o8,9.1okop<$>
17	back	1	g1o8oe.1oy.u19.oj98am.o8ae89 
17	back	2	91C9.kccoy.Ko8ae.ohoe.o8am.ohae 
17	back	3	oe8ai*.o7am.ohae.oe8am.1oHoe.oeoe 
17	back	4	h1oy.f1oe.Joe.oe1coe.ohd9 
17	back	5	91oe.1oe.8oe1C9.k1oe.8ay.H9 
17	back	6	ochos.oy.oham.oy.okam,8 
17	back	7	soy.1hcc9.joIs.1coy.os,s.am 
17	back	8	4ohC9.h1ay.oe.89.1oe8am.s9 
17	back	9	91coe.2oe.h1oe.1oekam.oe 
17	back	10	o9koy.ohcoy.ohay.ohoe.8aZ.ap 
