#chinese mnemonics

★Stars 	Chinese 	Pinyin 	Hook 	Meaning
★★★★	冠	guān	crown	crown, hat
★★★★	仗	zhàng	Zank	battle
★★★★	疼	téng	tingle	ache, hurt
★★★★	屈	qū	krumm / curved	bent; wronged
★★★★	沈	shěn	sink	sink
★★★★★	猫	māo	miau	cat
★★★★	韦	wéi	weich	soft leather
★★★★	弯	wān	wend / bend	bend
★★★★	吐	tǔ	ptu!	spit
★★★★	澳	ào	Australia	Australia; bay
★★★★	扣	kòu	Knopf	button; deduct
★★★★	辉	huī	hell	bright
★★★★★	沟	gōu	gutter	ditch
★★★★	饰	shì	schick	adorn, ornament
★★★★	逻	luó	logic	logic; patrol
★★★★	牧	mù	Muh	herd, shepherd
★★★★	幼	yòu	young	young
★★★★★	腐	fǔ	foul	rotten
★★★★	柔	róu	¬rauh (not rough)	soft
★★★★	搜	sōu	such	search
★★★★	频	pín	ping	frequency
★★★★	堡	bǎo	Bau / Burg	castle, fort
★★★★	媒	méi	medium	medium, matchmaker
★★★★	泥	ní	Nile (mud)	mud
★★★★	绕	rào	round	go around
★★★★	扰	rǎo	Radau	disturb
★★★★	餐	cān	canteen	meal
★★★★	连	lián	link	link, join
★★★★★	荔	lì	litchi	litchi
★★★★	沥	lì	liquid	drip
★★★★	雳	lì	lightning	thunderclap
★★★★	笠	lì	lid	bamboo rain hat
★★★★	莉	lì	lily	jasmine
★★★★	礼	lǐ	rite	rite, gift
★★★★	理	lǐ	logic	reason, logic
★★★★	里	lǐ	mile	Chinese mile; inside
★★★★	丽	lì	jolie	beautiful
★★★★	厘	lí	milli	one thousandth, centi-
★★★★★	哩	lī	mile	mile
★★★★	乐	lè	laugh / Lied	happy, joy
★★★★	勒	lēi	rein	rein in, strangle
★★★★★	唠	láo	laber	chatter
★★★★★	劳	láo	labor	toil
★★★★	捞	lāo	langen	fish up, dredge
★★★★	贴	tiē	tie (to)	stick, paste
★★★★	赏	shǎng	schenk	reward, enjoy
★★★★	颗	kē	Kern / Kugel	measure word for small round things
★★★★	迪	dí	direct	guide, enlighten
★★★★	扫	sǎo	säubern	sweep
★★★★	悄	qiāo	quiet	quiet
★★★★	乏	fá	fehl / fatigue	lacking; tired
★★★★	盾	dùn	ducken	shield
★★★★	鸡	jī	chicken	chicken
★★★★	冬	dōng	dunkel	winter
★★★★	碰	pèng	peng!	bump, touch
★★★★★	赖	lài	rely	rely; blame
★★★★	贫	pín	poor	poor
★★★★	腿	tuǐ	thigh	leg
★★★★	零	líng	ring (0)	zero
★★★★	胞	bāo	Bauch	womb, placenta
★★★★★	闹	nào	noise	make noise
★★★★	伴	bàn	Bande / bind	companion
★★★★	孔	kǒng	Kuhle	hole
★★★★	奔	bēn	Bein	rush, run
★★★★	尾	wěi	Wedel	tail
★★★★	狗	gǒu	kyon	dog
★★★★★	茶	chá	chai	tea
★★★★	咱	zán	zusammen	we (inclusive)
★★★★★	唱	chàng	chant	sing
★★★★	爆	bào	boom	explode
★★★★	丈	zhàng	zehn (feet)	ten feet
★★★★	障	zhàng	Schranke	obstruct, barrier
★★★★	挂	guà	Galgen	hang
★★★★	犹	yóu	Jew	Jew; as if, still
★★★★	曼	màn	manly	handsome, graceful
★★★★	冒	mào	Mütze	cover; brave
★★★★	拜	bài	pray / pay respect	worship, pay respect
★★★★	懂	dǒng	denk	understand
★★★★	课	kè	course	lesson, class
★★★★	裁	cái	cut	cut out, trim
★★★★	蓝	lán	blau	blue
★★★★	币	bì	bill	money, currency
★★★★	阻	zǔ	zu (blocked)	block, hinder
★★★★	麦	mài	Mais	wheat
★★★★	梅	méi	May flower	plum blossom
★★★★	宇	yǔ	universe	universe
★★★★	臣	chén	chancellor	minister, vassal
★★★★	忍	rěn	rendure / endure	endure
★★★★★	麻	má	marijuana	hemp; numb
★★★★	伟	wěi	weit / wide	great, big
★★★★	轮	lún	rund	wheel, turn
★★★★	贸	mào	market	trade
★★★★	迅	xùn	schnell	rapid
★★★★	购	gòu	Kauf	buy
★★★★	透	tòu	through	penetrate, thorough
★★★★	刀	dāo	dagger / Dolch	knife
★★★★	姆	mǔ	mother / mum	governess, nanny
★★★★★	爸	bà	baba	dad
★★★★★	盘	pán	pan	tray, dish
★★★★	鬼	guǐ	ghoul / guile	ghost; crafty
★★★★	丝	sī	silk	silk, thread
★★★★★	牛	niú	gnu	ox, cow
★★★★	洞	dòng	dunkel	cave, hole
★★★★	肉	ròu	raw (meat)	meat
★★★★	荣	róng	rank / Rang	glory, honor
★★★★	园	yuán	yard / garden	garden
★★★★	卖	mài	market	sell
★★★★	择	zé	select	choose
★★★★	圣	shèng	Sankt	holy, saint
★★★★	笔	bǐ	pen	pen
★★★★	油	yóu	oil	oil
★★★★	毒	dú	dose / toxin	poison
★★★★	督	dū	Duce	supervise
★★★★	巨	jù	giant / huge	huge
★★★★	剧	jù	jeu / joy	drama, play
★★★★	藏	cáng	conceal	hide
★★★★	密	mì	mimi	secret, dense
★★★★	秘	mì	mimi	secret
★★★★	席	xí	sit	seat, mat
★★★★	恐	kǒng	Angst	fear
★★★★★	耳	ěr	ear	ear
★★★★	班	bān	band	team, class, shift
★★★★	楼	lóu	Louvre	building, storey
★★★★★	温	wēn	warm	warm
★★★★	屋	wū	wohn	house, room
★★★★	败	bài	beaten	defeat
★★★★	编	biān	bind / band	weave, compile
★★★★	吉	jí	joy	lucky
★★★★	掉	diào	down	drop, fall
★★★★	忙	máng	Mangel (Zeit)	busy
★★★★	顾	gù	guck	look after
★★★★	托	tuō	trust	entrust, hold up
★★★★	守	shǒu	Schutz	guard
★★★★	背	bèi	back	back, carry on the back
★★★★	香	xiāng	incense	fragrant, incense
★★★★	帮	bāng	Bande	help; gang
★★★★	抗	kàng	Kampf	resist, fight
★★★★	养	yǎng	young / jungen	raise, keep
★★★★	买	mǎi	market	buy
★★★★★	妈	mā	mama	mother
★★★★	善	shàn	schön	good
★★★★	挥	huī	wisch	wave, wield
★★★★	皮	pí	pelt	skin, leather
★★★★★	卡	kǎ	card	card; block
★★★★	策	cè	scheme	plan, policy
★★★★	射	shè	shoot	shoot
★★★★	龙	lóng	long	dragon
★★★★★	模	mó	mold / model	model, mold
★★★★	纳	nà	nehm	accept, receive
★★★★	福	fú	fortune	good fortune
★★★★	待	dài	stay / delay	wait, stay; treat
★★★★	卫	wèi	Wehr	guard, defend
★★★★	适	shì	suit	fit, suit
★★★★	送	sòng	send	deliver, give
★★★★	尼	ní	nun	Buddhist nun
★★★★	微	wēi	wenig	tiny, micro
★★★★	谁	shéi	say who?	who
★★★★	脑	nǎo	nous	brain
★★★★	拿	ná	nehm	take, hold
★★★★	苦	kǔ	Qual	bitter, suffering
★★★★	普	pǔ	popular	general, universal
★★★★	刻	kè	cut / quarter	carve; quarter hour
★★★★	职	zhí	Schicht	office, duty
★★★★	帝	dì	dei / deus	emperor
★★★★	男	nán	man	male
★★★★	仍	réng	remaining	still, remain
★★★★	父	fù	father	father
★★★★	客	kè	guest	guest
★★★★	江	jiāng	Ganges	river
★★★★	米	mǐ	meter / millet	rice; meter
★★★★	察	chá	check	examine
★★★★	奇	qí	queer	strange
★★★★	紧	jǐn	eng	tight
★★★★	留	liú	leave	remain, leave
★★★★	跟	gēn	gehn	follow, with
★★★★	够	gòu	good	enough
★★★★	律	lǜ	law	law
★★★★	革	gé	gerb	leather
★★★★	投	tóu	toss	throw
★★★★	土	tǔ	terra	earth, soil
★★★★	武	wǔ	war	martial
★★★★	首	shǒu	Schopf	head, first
★★★★	易	yì	easy	easy; change
★★★★★	查	chá	check	check, investigate
★★★★	委	wěi	waive	give up; commission
★★★★	片	piàn	plane / plank	slice, sheet
★★★★	包	bāo	bag	wrap, bag
★★★★	写	xiě	schreib	write
★★★★	器	qì	gear	device, tool
★★★★	视	shì	see	look at, regard
★★★★	似	sì	seem	seem, similar
★★★★	复	fù	further	again, repeat
★★★★	示	shì	show	show, reveal
★★★★	华	huá	huge	magnificent; China
★★★★	深	shēn	senk	deep
★★★★	调	diào	tone	tune, tone
★★★★	爱	ài	aimer	love
★★★★	叫	jiào	yell	call, shout
★★★★	始	shǐ	start	begin
★★★★	林	lín	Linde	woods, forest
★★★★	车	chē	car	vehicle
★★★★	根	gēn	gene	root
★★★★	导	dǎo	Duce	lead, guide
★★★★	院	yuàn	yard	courtyard, institution
★★★★	观	guān	guck	look at, observe
★★★★	取	qǔ	choose	take, fetch
★★★★	死	sǐ	siech	die
★★★★	北	běi	back	north
★★★★	求	qiú	query	seek, request
★★★★	路	lù	rue	road
★★★★	色	sè	shade	color
★★★★	设	shè	set	set up, establish
★★★★	光	guāng	Glanz	light, bright
★★★★★	马	mǎ	mare	horse
★★★★	决	jué	judge	decide
★★★★	市	shì	city	market, city
★★★★	接	jiē	join	connect, receive
★★★★	受	shòu	shoulder	bear, endure
★★★★	报	bào	paper	newspaper, report
★★★★	少	shǎo	short	few, little
★★★★	数	shù	sum	count, number
★★★★	变	biàn	bend	change
★★★★	打	dǎ	dozen	dozen; hit
★★★★	别	bié	bye	leave, separate; don't
★★★★	更	gèng	change	change; more
★★★★	平	píng	plain	flat, level
★★★★	认	rèn	recon	recognize
★★★★	口	kǒu	Kehle / Kuhle	mouth
★★★★	各	gè	jeweils	each
★★★★	信	xìn	sign	letter, believe, sign
★★★★	代	dài	dynasty	era, generation
★★★★	果	guǒ	guava / gourd	fruit
★★★★	见	jiàn	seen	see
★★★★	战	zhàn	Zank	fight, war
★★★★	问	wèn	when?	ask
★★★★	由	yóu	due (to)	from, cause
★★★★	将	jiāng	going (to)	will, shall
★★★★	外	wài	away	outside
★★★★	公	gōng	koine	public, common
★★★★	第	dì	digit	ordinal prefix
★★★★	意	yì	idea	meaning, idea
★★★★★	军	jūn	junta	army
★★★★	日	rì	ray	sun, day
★★★★	心	xīn	sense	heart, mind
★★★★	进	jìn	going (in)	enter, advance
★★★★	天	tiān	day'n	day, sky
★★★★	现	xiàn	seen / Schein	appear, now
★★★★★	肤	fū	fur	skin
★★★★	佛	fó	Buddha	Buddha
★★★★	俸	fèng	Pfennig / penny	salary
★★★★	凤	fèng	phoenix	phoenix
★★★★	锋	fēng	fencing	blade edge, vanguard
★★★★	废	fèi	fade	abolish, waste, crippled
★★★★★	费	fèi	fee	cost, fee
★★★★	诽	fěi	fake news	slander
★★★★	斐	fěi	fine	elegant
★★★★	腓	féi	Ferse	calf of leg
★★★★	绯	fēi	fire	dark red
★★★★	飞	fēi	fly	fly
★★★★	非	fēi	faux / fake	non-, not
★★★★	放	fàng	¬Fang (un-catch)	release, let go
★★★★	仿	fǎng	feign	imitate
★★★★★	防	fáng	fend / fence	defend, guard against
★★★★	房	fáng	Windfang	house, room
★★★★	泛	fàn	pan-	broad, general, float
★★★★	蕃	fán	fan out	flourishing
★★★★	樊	fán	fence	cage, fence
★★★★★	幡	fān	Fahne	banner
★★★★	帆	fān	fan (wind)	sail
★★★★	多	duō	too (much)	many, much
★★★★	成	chéng	change	become, accomplish
★★★★	然	rán	right	right, correct; so
★★★★	后	hòu	hind	behind, after
★★★★	过	guò	go / cross	pass, cross over
★★★★	自	zì	seit	from, since; self
★★★★	而	ér	or	and, but, yet
★★★★	可	kě	can	can, may
★★★★	就	jiù	just	just, right away, then
★★★★	说	shuō	say	speak, say
★★★★	国	guó	Gau / KUR	country, state
★★★★	为	wèi	why / weil	for, because of
★★★★	们	men	Menge	plural marker
★★★★	我	wǒ	we / wir	I, me
★★★★	是	shì	sei	is, to be
★★★★	一	yī	ein	one
★★★½	铿	kēng	Klang	clang of metal
★★★½	婴	yīng	jung	infant
★★★½	葬	zàng	Sarg	bury
★★★½	嗯	ńg	mhm	um, uh-huh
★★★½	娃	wá	waah	baby, doll
★★★★	泵	bèng	pump	pump
★★★★	霓	ní	neon	secondary rainbow; 霓虹 neon
★★★★	瑜	yú	yoga	lustre of jade; 瑜伽 yoga
★★★★	啪	pā	patsch	slap, crack (onomatopoeia)
★★★★	飕	sōu	sough	whoosh of wind
★★★★	粥	zhōu	chowder	congee, porridge
★★★★	胎	tāi	tyre	fetus; tyre (轮胎)
★★★★	禅	chán	Zen	Zen, meditation
★★★★	抹	mǒ	mop	smear, wipe (also mā)
★★★★	盼	pàn	pine	long for, hope for
★★★★	缠	chán	chain	wind around, entangle
★★★★½	嗥	háo	howl	howl (of wolves)
★★★★½	诡	guǐ	guile	sly, crafty, deceitful
★★★★½	趁	chèn	chance	take advantage of, seize (趁机)
★★★★	判	pàn	pan	judge, sentence (critics pan a film)
★★★★	怨	yuàn	whine	complain, resent, blame
★★★★	荡	dàng	dangle	sway, swing; wash away; dissolute
★★★★	献	xiàn	schenk-	offer, present, donate
★★★★	趣	qù	curious	interest, fun, interesting
★★★★★	幻	huàn	Wahn	illusion, fantasy
★★★★★	艇	tǐng	dinghy	small boat
★★★	炎	yán	太阳 tàiyáng (sun)	flame, blazing heat; inflammation
★★★★★	旦	dàn	dawn	dawn, daybreak
★★★	虫	chóng	中 zhōng + tail (looks like)	insect, bug, worm
★★★★	弗	fú	bu	not (classical negation, cf. 不 bù)
★★★★	童	tóng	retoño	child, youth (retoño = Spanish offspring, sprout)
★★★★	冒	mào	Mut	risk, dare, brave; emit; counterfeit
★★★	朱	zhū	chew	cinnabar, vermilion red; surname Zhu
★★★★	鬼	guǐ	ghost	ghost, devil, spirit
★★★★	君	jūn	Junker	monarch, lord, gentleman
★★★★★	圣	shèng	saint	sacred, holy, saint, sage
★★★★	逐	zhú	shoo	chase, pursue, expel, drive away, one by one
★★★★★	庭	tíng	Ting	courtyard, hall, court (of law) — cf. Germanic Thing/Ting assembly
★★★★★	沙	shā	sand	sand
★★★★	升	shēng	shang	rise, ascend, promote; liter (cf. 上 shàng = up)
★★★★	伯	bó	bro	father's elder brother, uncle; count (nobility rank)
★★★★	守	shǒu	shield	guard, defend, keep watch (cf. Schutz)
★★★★	追	zhuī	chase	chase, pursue, run after; seek, track down
★★★★★	皮	pí	peel	skin, hide, peel
★★★★	皮	pí	fur	skin, hide, fur, feather; outer (cf. Sumerian 𒁁𒋻 pattar)
★★★★★	配	pèi	pair	match, pair up, mix; deserve
★★★★★	率	shuài	lead	lead, command (also read lǜ: rate, ratio)
★★★★	量	liàng	lang	measure, quantity, capacity
★★★★★	争	zhēng	Zank	contend, dispute, fight
★★★★	自找	zìzhǎo	self-search	bring trouble on oneself, ask for it (deserve it)
★★★★	敲	qiāo	hau	knock (hau = German 'hit')
★★★★	力量	lìliàng	longing	strength, power (the power of love = longing)
★★★★	陶醉	táozuì	trunken	intoxicated, enraptured (drunk with joy)
★★★★	氟	fú	fluorine	fluorine
★★★★	焙	bèi	bake	to dry over a fire, bake
★★★★	雏	chú	chick	chick, young bird
★★★★	珥	ěr	ear	jade/pearl earring
★★★★	锰	měng	mangan	manganese
★★★★	酸	suān	sour	sour, sore, acid
★★★★★	鲨	shā	shark	shark
★★★★	孙	sūn	son	grandson
★★★★★	诉	sù	sue	tell, complain, sue
★★★★	繁乱	fánluàn	Fangleine	complicated and chaotic, tangled
★★★	戊	wù	五 wǔ	5th Heavenly Stem (calendar cycle)
★★★★	莲花	liánhuā	lotus	lotus flower
★★★★	清澈	qīngchè	clean & clear	clear, limpid (water)
★★★	无限	wúxiàn	unlimited (≈ wúqióng, no limit)	infinite, unlimited
★★★	无穷	wúqióng	unending	infinite, endless, boundless
★★★★	向日葵	xiàngrìkuí	sunflower	sunflower
★★★★	渺小	miǎoxiǎo	mini	tiny, insignificant, small
★★★	加	jiā	add	add, plus
★★★	就近	jiùjìn	join in	nearby, in the vicinity, come near
★★★	这样	zhèyàng	such	such, like this, this way
★★★★	飞翔	fēixiáng	fliegen	fly, soar
★★★★	钢枪	gāngqiāng	cannon	steel gun, rifle
★★★★	泡沫	pàomò	foam	foam, bubble
★★★★★	背包	bèibāo	backpack	backpack
★★★	兴	xīng	ka-ching	prosper, thrive, rise
★★★	脆弱	cuìruò	zerbrechlich	fragile, weak
★★★★	小镇	xiǎozhèn	small town	small town
★★★★	斗	dòu	Duell / tussle	fight, struggle, tussle
★★★★	拼	pīn	pin-together	piece together, assemble, spell
★★★★	聘	pìn	appoint	hire, employ, appoint
★★★★★	亲	qīn	kin	relative, kin, family; dear
★★★★★	告别	gàobié	goodbye	say goodbye, farewell
★★★★★	康	kāng	≠krank!	healthy, well-being (opposite of German 'krank'=sick)
★★★★★	靠	kào	count on	lean on, rely on, count on
★★★★★	拜托	bàituō	bitte	please, I beg you, ask a favor
★★★★	不堪一击	bùkān yījī	can't withstand	cannot withstand a single blow, easily defeated
★★★★★	监牢	jiānláo	jail	prison, jail
★★★★	等级	děngjí	ding	class, grade, rank
★★★★	啰唆	luōsuo	lose (lissan/tongue)	long-winded, verbose, talkative
★★★★★	绿洲	lǜzhōu	l'oasis	oasis
★★★★	才	cái	capable	talent, ability, gift
★★★★	脚步	jiǎobù	step	footstep, step, pace
★★★★	母带	mǔdài	master tape	master tape (original recording)
★★★★	为	wéi	werd(en) / faire	become; act as, do
