cat Brahmi.scripts.list| while read x; do u $x >> Brahmi.ALL.abc; done

𑀀	CANDRABINDU
SAMYOK SANNYA	័
VIRIAM	៑
COENG	្
BATHAMASAT	៓
KHAN	។
BARIYOOSAN	៕
CAMNUC PII KUUH	៖
LEK TOO	ៗ
BEYYAL	៘
PHNAEK MUAN	៙
KOOMUUT	៚
SYMBOL RIEL	៛
AVAKRAHASANYA	ៜ
ZERO	០
ONE	១
TWO	២
THREE	៣
FOUR	៤
FIVE	៥
SIX	៦
SEVEN	៧
EIGHT	៨
NINE	៩

0x0E00-0x0E7F	3584-3711	Thai
Thai
KO KAI	ก
KHO KHAI	ข
KHO KHUAT	ฃ
KHO KHWAI	ค
KHO KHON	ฅ
KHO RAKHANG	ฆ
NGO NGU	ง
CHO CHAN	จ
CHO CHING	ฉ
CHO CHANG	ช
SO SO	ซ
CHO CHOE	ฌ
YO YING	ญ
DO CHADA	ฎ
TO PATAK	ฏ
THO THAN	ฐ
THO NANGMONTHO	ฑ
THO PHUTHAO	ฒ
NO NEN	ณ
DO DEK	ด
TO TAO	ต
THO THUNG	ถ
THO THAHAN	ท
THO THONG	ธ
NO NU	น
BO BAIMAI	บ
PO PLA	ป
PHO PHUNG	ผ
FO FA	ฝ
PHO PHAN	พ
FO FAN	ฟ
PHO SAMPHAO	ภ
MO MA	ม
YO YAK	ย
RO RUA	ร
RU	ฤ
LO LING	ล
LU	ฦ
WO WAEN	ว
SO SALA	ศ
SO RUSI	ษ
SO SUA	ส
HO HIP	ห
LO CHULA	ฬ
O ANG	อ
HO NOKHUK	ฮ
PAIYANNOI	ฯ
SARA A	ะ
MAI HAN-AKAT	ั
SARA AA	า
SARA AM	ำ
SARA I	ิ
SARA II	ี
SARA UE	ึ
SARA UEE	ื
SARA U	ุ
SARA UU	ู
PHINTHU	ฺ
SYMBOL BAHT	฿
SARA E	เ
SARA AE	แ
SARA O	โ
SARA AI MAIMUAN	ใ
SARA AI MAIMALAI	ไ
LAKKHANGYAO	ๅ
MAIYAMOK	ๆ
MAITAIKHU	็
MAI EK	่
MAI THO	้
MAI TRI	๊
MAI CHATTAWA	๋
THANTHAKHAT	์
NIKHAHIT	ํ
YAMAKKAN	๎
FONGMAN	๏
ZERO	๐
ONE	๑
TWO	๒
THREE	๓
FOUR	๔
FIVE	๕
SIX	๖
SEVEN	๗
EIGHT	๘
NINE	๙
ANGKHANKHU	๚
KHOMUT	๛

    🇹🇭 Thailand
0x0E80-0x0EFF	3712-3839	Lao
Lao
KO	ກ
KHO SUNG	ຂ
KHO TAM	ຄ
NGO	ງ
CO	ຈ
SO TAM	ຊ
NYO	ຍ
DO	ດ
TO	ຕ
THO SUNG	ຖ
THO TAM	ທ
NO	ນ
BO	ບ
PO	ປ
PHO SUNG	ຜ
FO TAM	ຝ
PHO TAM	ພ
FO SUNG	ຟ
MO	ມ
YO	ຢ
LO LING	ຣ
LO LOOT	ລ
WO	ວ
SO SUNG	ສ
HO SUNG	ຫ
O	ອ
HO TAM	ຮ
ຯ
A	ະ
MAI KAN	ັ
AA	າ
AM	ຳ
I	ິ
II	ີ
Y	ຶ
YY	ື
U	ຸ
UU	ູ
MAI KON	ົ
LO	ຼ
NYO	ຽ
E	ເ
EI	ແ
O	ໂ
AY	ໃ
AI	ໄ
LA	ໆ
MAI EK	່
MAI THO	້
MAI TI	໊
MAI CATAWA	໋
MARK	໌

ZERO	໐
ONE	໑
TWO	໒
THREE	໓
FOUR	໔
FIVE	໕
SIX	໖
SEVEN	໗
EIGHT	໘
NINE	໙
NO	ໜ
MO	ໝ
    🇱🇦 Laos
