ud túm tam *Time 𒀭δayn SUN!,𒌓,𒌓,𒌓,𒌓,𓇳 sUn 𒄭 ~ túm ~ time 'UD' Uhr/Day ~ 𒌓 Δ 𐎄 DELTA,𒌓𒁺*Horizon! As at D / T day 𓇳 yaSun ⵙس Berber ↔ CUT 𒃰𒌓barber!!! śamš   𓇺 → 𒌓 𒌚[month] ↔ ray,vs C Kou口! sun s'tine: stone!  𐎄 DELTA                        
KAK / DÙ / *Eck!,𒆕,𒆕,𒆕,𒆕,Tag! Tack KAK / GAG 𐎏 D,AK/DÙ=do=tu:make,build!    𒁖Dag:Dach-deck~Haus! peg  nail 𒇯𒁕𒁲𒌇 tuk=take dj𒉌  nageln decken=coitus↔cone cuni... cuneus 3Eck=𒊕SAG+𒆕   𐎏 D 𐎭Da  𐎮Di 𐎯Du                  
dab tab 2,𒋰,𒋰,𒋰,𒋰,2 double!  𒋰 ≠ 𐎔 PU bi 𒉺 DU 𒁺𒁉 ,male ↔ pa,ni er  vs bi/di 𒁁 𒁁  double -> repeat  partner  𒁲 : di 𒋰 𐎔 PU bi 𒉺  𐎭Da 𐎫Ta                    
E  / HE 𐎅,𒂊,𒂊,𒂊,𒂊,say? sH𐀁Ep 𐎅 HE 𐎡E/I 𐎠A/E𐎠,𒂊 𒋰𒀀 𒌍𒍣~𐎠𐎿𐎫 EST=ist @ PIE  E yell?  𐎛E/I @ Ugarit  speak say ↔ sag : 𒊨 utter?,er𒅕es𒄑ec  GUNU E ~ 𒆦KISAL->AS𒀼BAN2𒀾<< VS 𒄿 Y 𐎅 HE 𐎡E/I 𐎠A                       
E / HAYλ / HE 𐎅,𒂍,𒂍,𒂍,𒂍,É house / temple  𓉐  𓉔  Halλ ↔ Po't/Bøt,𐎅 𐎛E/I Heima! hAUs!  É~AU!  𒁖Dag:Dach! 𒆍door  big-house:  𒂍𒃲É => 𐎅𐎋𐎍 (hêkal היכל palace Hall!)   , 𒆍gate<Heth Hüt~beth 𒆍Kammer<HéiM   𒂍  היכל heikhal house.Hall !!!  هيكل haykal  hai official! heima → hall ! home house = hai.os ? huis   vs المنزل manzel mansion temen! ~ zement? housemen                        
Fa ƒ,𒉺,𒉺,𒉺,𒉺,F 𒉺 Phai π Pa FI 𐎛 𐎲Ba 𐎳 Fa! 𐎱Pa?,face vs cut:gad! 𒃰,pHat=head 1st 匹 pǐ π PhR 𓁶 foreHead   𒉺𒉡 Vor-her? fire! ana-panu𒉡=before ƒI𐎛 𐎲Ba 𐎳 Fa!                       
G Ga bisaĝ,𒂷,𒂷,𒂷,𒂷,𐎂 G 𐎥GA 𐎦GU 𒃷 GAN 𒂼GAIA 𒍑 G Š 𓋴 gens !,gaz:casa:house@goth ↔ HauSa  basket:SACK! ,1/NI/ihn  𒂼=GAIA=mAma: Mother goddess / love / breadth<<breast    Gan𒃷  𐎂 G 𐎥GA 𐎦GU                       
la.ḫap LAGAB | QUR! 𒄥,𒆸,𒆸,𒆸,𒆸,KUR,gir!!   LOCH/GAP→𐎲  𒋗𒆸=∑sum ,einKreis(en)! Licht 𒆸↔ 𒇻LU  kou! 口kǒu vs 𒌒 qup vs 口kǒu(phon)  KUR.SAR 𒄭 vs 𒄥GUR CYR vs 𒄭ḪI/CI LOCH LICHT! ↔ 𒇻LU  kou! 口kǒu(phon) vs 𒌓 D!  happ↔ESS 𒄑 LAGAB NIGIN2  𐎙 GHAIN!?                     
HU,𒄷,𒄷,𒄷,𒄷,Huhn Hor.us 𐎈 Hota  𐏃 ↔ H𒈹?,BIRD! 𓅱 'musen' <?> 𒈨 HU! 𒄷𒋛=HIGH flood   ,mushen ~ مرغان murghan 𓅓𓐍 vs fish FISH 𒄩HA AH 𒄷HOR-bird[mušen] 𐎈 Hota 𐏃 Hau                       
ḫa,𒄩,𒄩,𒄩,𒄩,Ḫ Ѥ 𐏃 Hau  𓉔 vs 𒋛 Hornƒ,Ḫ Ѥ  ≠ UR 𒌨 vs Leon Lupus, fish!hook? 𒄩aha 𐎈 Hota 𐏃 Ha                       
I ,𒄿,𒄿,𒄿,𒄿,Y 𐎛 I 𐎩 JA 𐎹YA 𒅆EY.in,Y 𒐊 Eye 𒅆! Hey! Phair 5   ↔ Bird?,vs HE 2+3 vs 3+2 fork… ? sYm? 5? fIftY 𐎛 I 𐎩 JA 𐎹YA                       
J,𒐊,𒐊,𒐊,𒐊,Y 𐎊 Yod JA 𐎪 JI,IA YA 𐎩 vs 𒅆EY, 𒅀 𒉌 Iani~genie𒉓ni𒃻  𐎊 Yod 𐎪 JI                       
Ka QA  🖖,𒋡,𒋡,𒋡,𒋡,qa vs KÚR 𒉽 ! 𐎃 Ka vs 𐎇 𐎣 Ka 𓂓 ! 𒄑C 𒋡SILA,Kaf/Khand SILA~shekel? liter / vessel quantity?   𒆬Cu KÙG pure,𒌆qu𒆪ku𒌒arqu𒅗𒆠𒆤𒆪𒄩𒆯  𐎃 Ka vs 𐎇 𐎣 Ka 𓂓 ! 𒋡?                       
ḫal,𒄬,𒄬,𒄬,𒄬,half! 𐎋Khaf KAF 𐎋 KHA	𐎃,Heth/Heim/Haus 𒂍,K ↔ LI kala/kara hail vs an! 𐎋 Khaf                        
La𒇲 𒇺LY,𒇲,𒇲,𒇲,𒇲,LAL 𒇳 lil! 𐎍Lamda L/R/M  Ra𐀨𐎎Mem ¬,lil=little! bind bi 匕  𒇳LAL 𒆷LA:lump  'variant' 𒑖 𒉽  𒇺LYS:lösen 𒇺𒄯 liš-ḫar,𒇲 L ! lil=minus vs 𒈦 mas 𒁇 Bar L 乚 bi 匕  𐎍Lamda L/R/M !! see Cypr 𐎾: RA                       
MUŠ MARSa ♂ | INANNA~YFEM♀,𒈹,𒈹,𒈹,𒈹,𒈹Mustea♀=*HI/FM! high heilig ↔ 𒄷 Muse Muschi,femme,form farm [107x] face  Maß  appearance:𒈹Muster [81x] flat space  holy area  MÙŠxA=SED 𒈻 𒈺 hiver! über- 𒈹winter rest  Hiber𒈹nate  𒈹 Ma'ianna! dinana  ~ 𒈲𒈶 MUŠ: snakes! mar@pers ↔ bird!  *MARS + MURS! Yva Eva Yvonne ¥ Hifemme! [hiphon himen ...] MarIanne                
Mar / Po't 𓉐  ↔ fill 𒋛(sic),𒈠,𒈠,𒈠,𒈠,𐎶Ma𐎾Ra 𓈗𒁹 MAR𒈠SEE מ𒋛𒈣  µ𐎎Mem  ¬ 𒇲 µ,𒈠mar->port 𒄑𒈠=shiport=boat++  land µ ↔ 𒀀 = mwA: aqua:water flow not¬↔𒉡no!,𒈠𒈾=Mine[Maß]!! meter mare marine=ship!! 𒈹 Ma.Ianna! 𒈹Magia! approach  𒈣𒈢↔  𒊑 ra/tal king   𐎶Ma 𐎫Ta 𒈹 𐎷Mi 𐎸Mu  没  𒈠 ≠ UR 𒌨 Leu   𒈠 מم𒋛 MAR/SEE 𐎎Mem ¬ 𒇲 𐎶Ma 𐎫Ta 𒈹 𐎷Mi 𐎸Mu                       
N na(uin)   Naun𒉣 𓆛 9,𒈾,𒈾,𒈾,𒈾,N naur/nuno = fish! 𐎐 Nun 𓈖 𐎴Na 𐎵Nu,IN AN ina,ana=to  for  by  of  at  plural N=𒉌? ina=in  into  by ~ NUN 𒉣 ? 𒉣𒆠Eridu  eN?+KI𒆠 incense  pestle    𒀀𒈾anal=butt! nautik nach onto …  ↔ FIN@EG? 𐎐 Nun 𓈖 𐎴Na 𐎵Nu               
nu ¬ !!!,𒉡,𒉡,𒉡,𒉡,no on:man! nge njet 𐎙GHAIN kein!,The 'nu' in MUNUS 𒊩  女~𒉡 ↔ 𒈠 ma:no!,  𐎙GHAIN  kein!                       
ḪI ḫo High HEILU𓇳𒀭ŠÁRA𒊹Kircil,𒄭,𒄭,𒄭,𒄭,CI! 𓇳Hel 𒄯=(t)he! cyr𒄮SÙR,mix : DUG=good ↔ Geo Ki Heim/HouSa solar vs 𒐼	,cyr 𒄮SÙR kou口!sol𒄭šhel 𒄮 𒄯 same 𒄰 𒄱 𒄲 𒄳 𒄴 𒄵 𒄶=ŠÁR×U:SHARU=36.000 vs 𒋝 SIG (sic!) 𓇳𒄭𒄵HI×SHE=horizon!   hao=好号                         
Pa pha pi bea ḫadt 𓌂 sceptre!,𒉺,𒉺 vs 𒃰,𒉺,𒉺,1. pa:punch,bat,beat 𐎔 PU! 𐎲Ba pta:wing fore(man)! face ↔𒁀part male  𒋰dab:double / bi  pHat=head 1st 匹 pǐ π vs CUT 𒃰 vs ES 𒄑 "PhR 𓁶 foreHead   vs 𓁷 obHerr leader Bhlai? 𒉺𒉡 Vor-her? GIDRU ""staff  sceptre""  UGULA ""overseer""  GARZA ""office""" 𐎔 PU! 𐎲Ba 𐎳 Fa! 𐎱Pa                     
po/pu,𒇥,𒇥,𒇥,𒇥,pu pool 𓊪 pond!  𐎳 Fa 𐎱Pa? 𓌂?,pool! 𓊪 pond vs 𒆸 KUR ! garden 𒊬 cyr | shar=green, 𒆸(en)CIRcle KUR kou口 = mouth vs 𒆹marsh    𒇥PU ↔ *KU 𒆸 ↔ 𒇻LU Licht Loch Lake lack Lache U->O𒆸   𐎱Pa?? 𓌂?                   
UB (q)up,𒌒,𒌒,𒌒,𒌒,𐎖 QOPA!? 𐎤 Ku  𒊮*qHeart ŠÀG ↔ IB,Corner  ↔ 𒌓ud/tam, fame  praise  ruin    UP vs High𒄭 qup! acker area AR 𒌒 ↔ mund/mound? praise  ruin  𐎖 QOPA!? 𐎤 Ku                   
qu ku (DÚR TUKUL TUŠ) ,𒆪,𒆪,𒆪,𒆪,𒋡QA:Ka 𐎤 Ku qu cu zu su Túch 𒌆 !?,coutch:sit rump KuRA 日 曰 ↔ kou口 Ku  𒆸 KUR ! garden  𒊬 cyr | shar=green,↔squarea   𐎤 Ku                       
ru+,𒊒,𒊒,𒊒,𒊒,ruND(er) raus ruin 𒊒𒄿,runter-fall release 𓌚 throw boomerang,round!  𒅆𒊒=find 'pad3 igi*ru'                         
R RE- rib ro ru UR Ḫ𓎛,𒊑,𒊑,𒊑,𒊑,𓄦 𓂋 Ort LIP 𐎍 Lamda L/R/M 𐎼 RA → Ḫḫ 𒄷 Hu,re- rà 𓂋 Ort 𓂝 reich:give,put! RE: king rib 𓄦 𓄨 𓄭 𓄮  ↔ 𒊑 → 𒅈 'ar'  𐎍Lamda L/R/M 𐎼 RA                      
Rad/t  (SUD ŠÌTA),𒋥,𒋥,𒋥,𒋥,𒈥MaRad!𒋥 𐎶Ma𐎾Ra 𓈗𒁹 ~ 𒈠,R+di 𒋥≠𒋾 grind,𒈥MaRad!𒋥 𐎶Ma𐎾Ra 𓈗𒁹 MAR𒈠                          
Sic σ pSi ψ See 𒈣=ship  צ ,𒋛,𒋛,𒋛,𒋛,𝞂  𓉔 𒋛𒀀= ShiPo't  𓉐  𓂭  𒈣=𓊛⾈ ↔ 𒈠MarTa,Finger / Fill-Horn-Vieh 𓆑φ ↔ JI 角 jiǎo  指 zhǐ finger zig 𓂭 𒅊10.000 𓄏 Horn𓆑ƒieh  fill:ferry,HoSiRamOs𐦜𐇩𓄏  𒀉 kuru~keras<<   sé=ZI sú=ZU šu 駒 jū Fohlen füllen/Flut 充/洪 cHóng  𒈣=ship/boat/mare𓊛⾈zhou ≠ Kher.os Kerbe carve  𒋛~𝞂 psolar pither?  'siru'=bisra(meat) ψ psiru qed    𒄷≠𒋛≠𒈠Mar<?> 𒌨𒈤=𓌳𓅱𓃬? 𒍑 G Š 𓋴 !                        
Σ Sain,𒊓 ,𒊓 ,𒊓 ,𒊓 ,↔ Hall 𒂍 heikhál ?,Sehne, sinew : string / net ↔𒌆 TUCH 𒁖DAG~Dach~Haus ↔ E 𒂍!! zuSam                          
Σ eš  ES ↔ 'C' 𒄑 ß,𒌍 𒐁 𒊺,𒌍 𒐁,𒌍 𒐁,𒌍 𒐁,30 ! 𒀼 ≠ 𒐈 3 𐏏earth 𐎗Ras 𐎿SA ,eš 𒌍 𒐁 ≠ Σ še𒊺 shu sea ocean  MEŠ 𒈨𒌍 : plural   ↔ 𒍝 za,-> AS 𒐁𒀼 𒐈 '3' EŠ5 vs 𒑈𒑉 '9' !!! vs ŠÁR KURt GUR!  Gerste𒊺Schekel! 𒀾 ES eszi = esse = to-be 𐎗 Rash 𐎿 SA                        
Šar šá ,𒐼𒃻,𒐼𒃻,𒐼𒃻,𒐼 𒃻,𒃻šá ~ 𒐼Šar  ~ 𒋩aShur 𒉻paṭ  𐎌 SHIN 𐎰 THA  ,zu aus !  𒃻sa,su:IHR  Sar Schar see Gar  SI see  𒋛 Shar!  𒋩aShur!                           
ŠÀ šag SHA ≠ SI CY CIT *qḪT –,𒊮,𒊮,𒊮,𒊮,sacred city circle center heart 𒄯cœur ,shock: see šag SackHaar ,) 𒊭 sag=heart 𒄯ḪAR hut *qhat qvart  CI see 𒄭 ḪI  𒄮SÙR                          
Σ ß 手 ŠU ,𒋗,𒋗,𒋗,𒋗,手*shǒuin/su ≠ 𒂠ŠÈ/ÉŠ take ~ 𒌆tu/cu/zu ~ su σ 𓇳? ,sHAND sind sein es se- 𓋴 causative ↔ 𒂠Se/eS vs Tuch! 𒌆  𒋗𒆸=∑sum,𒋗 Shu = 手 shǒu shou cheiro! HAND!     𒂠~𒍥 flour   手𒌋∑十ansehn handsome schöne Zähne                          
TÚG=TUCH! NAM2 SU 🌣,𒌆,𒌆,𒌆,𒌆,𒌨𒌆DOG!,take-took-Tuch Trag:Tracht   Kleid←cloth←closed → closet ,vs 𒆠KI geo/Kur   𒋡 𒌆𒄖 𒂵𒆥𒄣qu~go vs 𒉇NAM_2  ↔ sun Su! ↔ LU/ER!! 口+two                         
T tišh dáš,𒁹,𒁹,𒁹,𒁹,T  𐎉 Tet  𐎫Ta 𐎬Tu,NIGIDA dash 1 !!! /// A/T?,T !!! twei vs tum(tess) = feminin 𒁹daSH=blood/red vs dam@hebrew 𐎉 Tet  𐎫Ta 𐎬Tu                       
Thu šú,𒋙,𒋙,𒋙,𒋙,𒁹+𒌋 𐎘 THANNA þ Thorn,vs d Eth ð δ σ Θ θ sun zorn thunder dorn zink sink,Schutz : c^ surface sink raise! –  𐎘 THANNA þ Thurn                    
*Ti Di Bi,𒈦,𒈦,𒈦,𒈦,Tigris = 𒈦𒄘𒃼Tigugar ↔ Jaguar,,
U(n),𒌋,𒌋,𒌋,𒌋,*KRUH.ma ! CU ŠU ŠA ŠI 十 ! 𐎔 PHU ~ 𒑱 𐎢 U,u.= und/or!  𒌋= 𒅇↔𒌑=šam/ù~xwamn=sleep=𒅇= EYE+SHEEP!!! 𒇻 (IGI & DIB) sLIBIR = sleep! ,UT UnD con  𒌋 hole ↔ 𐎫TA TUM:ten 10 𒌋𒇻↔ 𒊹𒊮~𒄮~𒐼   CruMa:𓐍𓅓𓎡 Uhu  lu2-u3 = other  𐎔 PHU ~ 𒑱 𐎢 U O                      
u/tam,𒌓,𒌓,𒌓,𒌓, Uhr / Time,AT+U = You ante-tu / Du ++  ↔ nim/tien𒉏?,↔ TUM = Tum! / Dom  ↔ BABBAR : cut!  𒌣=S.M.D:Schmied! SIMUGƒ                         
[W],𒑱,𒑱,𒑱,𒑱,𐎔 PHU ~ 𒑱 𐎺 VA  wound 𐀸𓏲𓍢و,: UU   *VAN 𒉼 PAN = bow! 𐎺VO.gel ,:colon:  as part of signs:  𒌓 etc  𐎔 PHU ~ 𒑱 𐎺 VA                       
wa vva ve pe PI 𒉿!,𒉿,𒉿,𒉿,𒉿,Ω ω 𓏌 𐎺 VA 𐎆 VO/WO 𐎻 VI 𓋹 ?,W + A (+n?)  mwa ↔ 𒅆 IGI EYE:SEE(äugen),PI uuannas unas = unser [Plattdeutsch] 𐎆 VO/WO 𐎻 VI 𓋹 ?                       
y vI ?,𒄿,𒄿,𒄿,𒄿,Y 5,Y AI EYE!  pair/set(5 fingers)  AI vs IA 𒐊, fork… ? sYm?                         
X ZI ze sse ße,𒍣,𒍣,𒍣,𒍣,zieh! raiZe 𐎝 XU SSU 𐎧XA 𐎨CA,raise, rise => 𒉺+𒊺 << sea : ocean  erection  life   𒂊𒌍𒍣~esse : 𐎠𐎿𐎫 EST=ist 𒍏𒄩𒍣𒅔 HA.ZI.N = AXE  𐎝 XU SSU 𐎧XA 𐎨CA                    
za uz 𒊺,𒍝 𒊺,𒍝,𒍝,𒍝,4' 𐎇 CETA 𐎕Sade Zain 𐎑ZU 𐏂SSA ,Zahn 𒍞 vs Tooth S 𒊺 4 qvorTza vs 𒐼SAR,/tenû/ zig𒍦𒍧zack?  𐎇 CETA 𐎕Sade 𐎑ZU 𐏂SSA                       
šam U ú 𓎛𓆰𓈖 ḫam ḫum hemp,𒌑,𒌑≠𐎫Ta ,𒌑,𒌑,4 foo UU W 𐎜 vs Ar 𐎠 šam@Sumer= 𒌋 UND!  ,food / (brot)samen 𓆱𓆰 # 𓊵𓏏𓊪 Hou(s) ? ↔ 𒂍  𒌑→𐎫!   𒌑→~𒇻,𒅇 Ruh ram luh lamm?  𓏏↔𒌋? Ü !  𐎜 U(r) vs Ar 𐎠                   
,,,,,,,  `
,,,,,,,習
A,,,,,,,
aš,𒀸,𒀸,𒀸,𒀸,,, AR
an,𒀭,𒀭,𒀭,𒀭,ASTER:𒀸*4 aš*ter,,  
‘colon’,𒑱 𒃵 ,,,,,: colon κῶλον member/part/limb,
a,𒀀,𒀀,𒀀,𒀀,A, AB, EA  eau  O!                        
a/na/me,𒈨,𒈨,𒈨,𒈨,MO / NO?,, anti ↔ 𒈨 = M+ES=mes mas=more                         
ab / ap,𒀊,𒀊,𒀊,𒀊,AB.us,𒀀💧:𒀊 abyssea Ur-ozean ocean,𒀊 Pappel vs Esche 𓆭 𒄑                          
ad / abu / át / at ád,𒀜,𒀜,𒀜,𒀜,fAT ! see 𒉺 *VATer!,father  𒀜AD+ 𒁕 DA  vs bAbba  vs ád 𒄉 terror ,
ab,𒀖,𒀖,𒀖,𒀖,Ábƒ? GCATTle  BA!,,𒀗𒀘𒀙𒀚𒀛 𒋺                          
ag ak aq,𒀝,𒀝,𒀝,𒀝,ACT GVER𓅪 faire,AK:act! ↔ ‘kardan  drink aqua agver 𓋴𓅨𓂋𓇋𓈗𓀁  a'genitive ↔ a/ke -a'gen(itive) 𓅨aqver küken?,GVER𓅪guerre𒀞war! 𓅪   𒀟AK×SHITA+GISH=? 𒀝𒅗𒁺𒌑 ak.ka.du.û    𒀝aŠAR 𐏊 𐏉 𐏈 Ašur Mághta                           
aḫ eḫ iḫ uḫ ox!,𒀪,𒀪,𒀪,𒀪,OX! Qud : *GUD! vs 𒌒 ,A!?! Aleph:alpha: good, ox (head) → Kopp/Gud                           
al <<,𒀠,𒀠,𒀠,𒀠,*CALL *HAL  𓌻 *hAmAr? ♡ HOEb,hoe [tool?] ↔ Hammer  𓎛  𓆰  𓈖  𓈖  𓆱       𒀢 𒀣𒀤𒀥 Kad 𒀦 𒀧𒀨 ??? <<<,     ARKAB 𒀶 𒀶 𒀶 𒀶 NIG_2 .IB  ARGAB               
AMAR ,𒀫,𒀫,𒀫,𒀫,𓃚 IBR 𓃘burass ass.ZUR,amar-utu = MARDUK  𒀬ZUR SISKUR 𒄣 GUM Gehn 𒄤 ↔ 𒈲 ?,
am,𒄠,𒄠,𒄠,𒄠,sham!  𐏃 🌣 staurn,wild bull ~ shamas ~ himmel :   thor~taur~storm!,~*Apis?                          
ap ab,𒀊,𒀊,𒀊,𒀊,AB 💧 abyss 𒀊𒍪 💧 aguan,𒀊 vs 𒁺 gin=gehen,
AR ~,𒅈,𒅈,𒅈,𒅈,AGI.RI agrow A+R=AR 𒅆+𒊑=𒅈 → 𒀴,*Ackerer 𒅉   WORker, pluck  trim 𒅈𒌓 ar-ḫiš ~ wacker/rasch 𐎼𐎥𐎶                        
ÁRAD ÌR,𒀴,𒀴,𒀴,𒀴,*WorkHard *Nigger  níta, nitaḫ ↔ Anita♀,~𒅈~  𒅉   AR~ARAD Agro slave!! 𒀴  𒀵 ARAD×KUR reconstruction ?                         
A : ARM ahu idu ÍDUM,𒀉,𒀉,𒀉,𒀉,*aDON Arch! ARM 𒀉 vs 𒆏𓄗 ceps, kAp'𓂧💧,river / arm / weapon 𒍪 𒀉!!   nāru vs  𒀀𒇉 ÍDI Water = 'Itr'  𓇋𓏏𓂋𓏲𓈘𓈇𓏤   Tigris = 𒀀𒇉 𒈦Tai𒄘g𒃼gar   𓈘           𒄘 ??<<  vs abu💧  𒀉 kap(hand) Ugaritic: 𐎋𐎔 Syriac: ܟܦܐ (kappāʾ) כַּף (kaf kap) hand vs head: da capo capital caput  𒅂   rid                    
az,𒊊,𒊍,𒊍,𒊍,*URS!  RES- *[hin-/UN-]?,bear!    𒊍𒁁azziz:sit,cess/rise! 𒊊URS  ~ 𒊌 ug  uk ↔ 𒄊?     𒌓𒊏𒊍part? 𒊊 vs 𒄊 𒄽 𒄸 𒁇 𒈦 𒁁                       
,,,,,,,習
B/P,,,,,,,
BAN,??,,,,办 bàn *ben being,*ben: [machen]  stre-ben … -en!  be-nehmen …,    ?
be=BAD pádt píd,𒁁,𒁁,𒁁,𒁁,POD ++,BAD bein 𒁀Ba see above,!  𒊍𒁁az-ziz / rise plus?                         
bé=BI  ,𒁉,𒁉,𒁉,𒁉,bi  𒁁𒁁 di ~ 𒀫,bi 2 di die=the 𓏏?  Bi 𒁉 = Bier!,
bè=NI  ,𒉌  𒉈,𒉌,𒉌,𒉌,,,
BURU 𓃚 IBR,𒀫,𒀫,𒀫,𒀫,YBA 𓃚 𓃔 𓃘 𓃗,calf  𐎛𐎁𐎗 ‎(IBR) zebra  hipburass~ferse/*FETus,蚠習
PAP KUR KR,𒉽,𒉽,𒉽,𒉽,KÚR(t) vs 𒆳 ,Kreuz cross PAP 𒉡 4? 𓎡𓏏=other/foreign Crete  T? 𒉽𒊒change!,KREIz? KRieg Streit strut Strategem 𓎡𓏏=foreign/other critic CRI.TIC ↔  𓏴 X 𓏵  𐄂 χ ✓☑ 𓍲𒉡 cross                         
bú=KASKAL, 𒆜, 𒆜, 𒆜, 𒆜,,,
Bír NE der3 DI,𒉈,𒉈,𒉈,𒉈,N [plural] 𓏪 𓏤𓏤𓏤 𓏼  𓏏𓍃,NE 那 nà / der3/DI:this! BI/*PY:burn/fire!  拿 nám nehmen NE 𒉈 → 'new' 𒉋 !  Bír → BÍL,chat/speak cook/burn dar/bi2:bir bring/burn "wide range of sign usage for spelling ""qabû"" bir↔bil?   - ene ↔ ihNI 𒉌"                         
bia[n] bu[n] ƒain von,𒁍,𒁍,𒁍,𒁍,bia+  pusun 𐎱𐎢𐏂 𒁍𒆳bin=son!  𒌉,long ↔  MUŠ 𒈲SN 𓆑 𒌉δo𓈖 Son / Dumu   𒆜𒁍kaput!	,via: road 𒆜 ↔  𒁍  long !  *roady                          
p/bal,𒁄,𒁄,𒁄,𒁄,,ball/roll : spindle≠𒁍,蚠習
pár/bar,𒈦,𒈦,𒈦,𒈦,maš,,0 <<                         
paš,,,,,,,
bad,𒂦,𒂦,𒂦,𒂦,*BAUT!,wall ↔ batiment Baut 𓊅 𓃀 𒁁 badt,
BUR2,𒁔 ,𒁔 ,𒁔 ,𒁔 ,bright brake! ↔ phosPhor ,chroma ↔ cord 𒄖 'ga',q
p/biš pùš,𒄫,𒄫,𒄫,𒄫,gir:gaier/mut:mat!<<,,
BURt PR,𒁓,𒁓,𒁓,𒁓,*broT  𓏏,bread:food / priest,ϟ
BA / bar / bur / pur confusion ?,𒁀,𒁀,𒁀,𒁀,𒇥pu:pool ↔ 𒆬𒌓 *pure ~ 𒍐 Urδu=Erz!,Kupfer ≠ 𒆬𒌓=ku.ba.ab.bar=si.barber=silber-bar! silver=šarpu/azagar/sem.bar/𒆬𒌓=kaspu ~ Kaspian=Lapis,
,𒌓,𒌓,𒌓,𒌓,ba.ab.bar=barber << cut KAS-pure 𒆬𒌓 !!,Kupfer ≠ 𒌓 *RAY ,
,,,,,,,
C,𒄑,𒄑,𒄑,𒄑,↔ ES EZ Z K,𒄑c->zahn zanke Akk. šin,zinke[nose] zan->khyn->hyena-hündin kan4~gate                          
,,,,,,,習
D ↔ T,,,,,,, !
