GA	G	shows	short	english	see / vs	speak	prove	gardiner path	cluster
O25	𓉵			obelisk					
O26	𓉶	pillar		stele		pl fl			
O27	𓉸	hall		hall of columns		hl			
O28	𓉺	flute	pillar?			fl			
O29	𓉼	Pfostent							
O29H	𓉻	Arch	ARC				Archaer		
O30	𓉽	post	pest	support		pst pos.tor			
O31	𓉿	door		door		tyr tür tor dor door			
O32	𓊀	down		gateway		thn? down?			
O33	𓊁	Zaun		façade of palace		cn? Zaun?			
O34	𓊃	zusamm’	z 	bolt		z zsm sm zm zn 			
O35	𓊄	send	ziehnt	combination of  O34 and  D54		snd snt znt 			
O36	𓊅	Zementbau	bau	wall		zmt bau			
O37	𓊊	bäu	beug	falling wall		bäu beug bieg			
O38	𓊋	bend.court	corner	corner of wall		bend.court crt crn			
O39	𓊌	corner.stone	stone	stone					
O40	𓊍	stair	trep	stairway		str strp trp	satrap 		
O41	𓊎	steig?	stieg	double stairway		steig stig zig??			
O42	𓊏	seventh	fence	fence 7    white??		sv sph svn svnc fnc? cho cha cu co	sphinx, 1/7 cubit, chor-chant, court, cugurke		
O43	𓊐	tier		low fence 10?					
O44	𓊑	tire?	office	emblem of Min					
O45	𓊒	Teil		domed building					
O46	𓊓	Turm?		domed building					
O47	𓊔	Tart?	Perl?	enclosed mound		~nekhen	_mut:stein Wismut? carne? lost  egal		
O48	𓊕	Urta	Nekhen	Tyre-1? Troy-1? important!					
O49	𓊖	Ort	UR	urban village, city	N50	ur, ar, Ort, er, ure	Natur!		
O50	𓊗	tempur	times	threshing floor					
O50	𓊗	Thaimes	Eier						
O51	𓊘			pile of grain					
O51A	𓊙								
O52	𓊚								
P1	𓊛	boat	pot	boat		pt pd bd bt			
P1A	𓊜	Tobak	top						
P2	𓊝	bark?		ship under sail		phth			
P3	𓊞		barque	sacred barque					
P4	𓊠	vessel		boat with net		phn Phth vth ves ves.sel			
P5	𓊡	Wind		sail		sail.wind vnd Phnd			
P6	𓊢		Ähre	mast		wend.mast?			
P7	𓊣			combination of  P6 and  D36					
P8	𓊤	‘Ruder	oar	oar					
P9	𓊥	Reusen?		combination of  P8 and  I9					
P10	𓊦		Ruder	steering oar					
P11	𓊧		mend	mooring post    P19 board?	Aa28 𓐪   M40x𓇪 fasc				
Q1	𓊨	seat	sit	seat vs stair		st			
Q2	𓊩	stool	Stuhl	portable seat		stl stul			
Q3	𓊪	phool	p 	pool		phul phoo ph v f o u pan van	Pfuhl		
Q4	𓊫	Pult	rest	head-rest		pult			
Q5	𓊬		chest	chest					
Q6	𓊭	tOmb	coffin	coffin		cfn cfr ->			
Q7	𓊮	fire	burn	brazier		ƥyrn fr br brz pr brn bnth bns brns			
R1	𓊯	reiche Gaben		high table with offerings					
R2	𓊰	Tafel		table with slices of bread					
R3	𓊲	table		low table with offerings		tab tb tbl			
R4	𓊵	taipeh	peace	loaf on mat		tp’ tpt tpth tpx pz pc			
R5	𓊶	Keban	Kaba	narrow censer					
R6	𓊷			broad censer					
R7	𓊸	ING		bowl with smoke					
R8	𓊹	inri	ntr 	GOD cloth on pole		nTr/Natur/IN.RI/Andrew/Android/Indra			
R9	𓊺		nature	combination of  R8 and  V33					
R10	𓊻		Kurie	combination of  R8,  T28 and  N29					
R11	𓊽	post	Djed	reed column					
R12	𓊾	stand	art	standard					
R13	𓊿	Amun	west	falcon and fe					
R14	𓋀	west	shuest	fe					
R15	𓋁	east	left	spear emblem					
R17	𓋄 	Ost		wig on pole					
R18	𓋅	west		combination of  R17 and  N24		Osterfest?			
R19	𓋆	waist	wasted	 S40 with fe					
R20	𓋇	schweisst		flower with horns					
R21	𓋈	Schwest		flower with horns					
R22	𓋉	min		two narrow belemnites					
R23	𓋊	man		two broad belemnites					
R24	𓋋		Neith	two bows tied horizontally		Nord?			
R25	𓋌	Neith		two bows tied vertically			night nice nut nutte		
R26	𓋍			combination of  N17,  F36,  M24a and  M13					
R27	𓋎	Chirho	xr	two arrows crossed over a shield					
R28	𓋏 			Bat Ba’at					
R29	𓋐			niche with serpent					
S1	𓋑			white crown					
S2	𓋒			combination of  S1 and  V30					
S3	𓋓			red crown					
S4	𓋔			combination of  S3 and  V30					
S5	𓋖			double crown					
S6	𓋘			combination of  S5 and  V30					
S7	𓋙			blue crown					
S8	𓋚			ꜣtf-crown					
S9	𓋛	Haas		two plumes					
S10	𓋜			headband					
S11	𓋝	collar	Kette	broad collar					
S12	𓋞	Gold	nobel	collar of beads					
S13	𓋟	nobel	nubia	combination of  S12 and  D58					
S14	𓋠	Nabel		combination of  S12 and  T3					
S15	𓋣	Nippel	nipple	pectoral					
S16	𓋤	nithern	glitzern	pectoral					
S17	𓋥	nettle	nes	pectoral					
S18	𓋧		sanes?	necklace with counterpoise					
S19	𓋨	treasurer	sari?	necklace with seal from side	T1 𓌆				
S20	𓋩	Sakri		necklace with seal from front					
S21	𓋪	ring		ring					
S22	𓋫	scat		shoulder-knot		(s)cat/setht			
S23	𓋬	MaTh.MaTch	mathe	knotted cloth					
S24	𓋭	vice – versa	face	girdle knot					
S25	𓋮	price	preuß	garment with ties					
S26	𓋯	pronz	apron	apron					
S27 	𓋲	manschett	tt						
S28	𓋳	TUCH	Masche	tissu? stuff stoff					
S29	𓋴	Gamma	S 						
S30	𓋵	Agen/ ges’n	ashen	combination of  S29 and  I9			gestern		
S31	𓋶	Masche?		combination of  S29 and  U1					
S32	𓋷	kno.ledge	Lasche	cloth with fringe on the side			knowledge		
S33	𓋸	sandle		sandle					
S34	𓋹	sank		sandle-strap					
S36	𓋺	shade	Schatt	sunshade					
S37	𓋽		shake	fan					
S38	𓋾	hexer	hequa	crook			Hacke hexel		
S39	𓋿	stab		'shepherd''s crook'					
S40	𓌀	ro’sta	ROaSter	sceptre					
S41	𓌁	wa’sta		sceptre with spiral shaft					
S42	𓌂	power	powa	sceptre of authority					
S43	𓌃	staff	stab	walking stick					
S44	𓌄	ti 	the	walking stick with  S45			Mathe,Mutti		
S45	𓌅	dea	te	flagellum					
T1	𓌆	ARAIN 	RAIP?	mace with flat head			raise Teherein = REY QED  rape		
T2	𓌇	ARX	Arr	mace with round head diagonally				arx erz	
T3	𓌈	ERZ	ARZ	mace with round head vertically				atch ach	
T4	𓌉	watch	white	mace with strap				watch	
T5	𓌌	wash	waz	combination of  T3 and  I10				wash 	
T6	𓌎	aze	atze	combination of  T3 and two  I10				ash atze *tze	
T7	𓌏	Axt	axe	axe				axt  age	
T8	𓌐	cept	PhR?	dagger  				dagger dolx	
T9	𓌒	Bolzen	bolt	bow		PDj:bow/pad/patch?	Pfalz?	padag pad bolt	
T9A	𓌓	bowtan		bow				bowtan	
T10	𓌔	bow		bow				bow	
T11	𓌕	send	arrow	composite bow				‘row send arrow	
T11A	𓌖	Arx.zend	arrows	arrow					
T12	𓌗	rigid	ridge	two crossed arrows					
T13	𓌘	rise	rect	bow-string			richt errichten		
T14	𓌙	tangens	ang’	joined pieces of wood					
T15	𓌚	angle	eng	throw stick vertically					
T16	𓌛	sci.mitar	sickel	throw stick slanted					
T16A	𓌜	Sichel	sicle	scimitar					
T17	𓌝	Karre	charriot	scimitar					
T18	𓌞	Fall.sledge	Schlitten	chariot					
T19	𓌟	thun.two	2	crook with package att					
T20	𓌠	un.one	1	harpoon head					
T21	𓌡	harp.oon	1	harpoon head					
T22	𓌢	twin	kin	harpoon					
T23	𓌣		zün?	arrowhead					
T24	𓌤	trap	kett	arrowhead					
T25	𓌥	tax	tex	fishing-net					
T26	𓌦	shutrap		floats					
T27	𓌧	trap		bird-trap					
T28	𓌨	unter	kyr	bird-trap kur					
T29	𓌩	amboss?		'butcher''s block'					
T30	𓌪	knife	cut	combination of  T30 and  T28					
T31	𓌫	Schnitt	snt	knife					
T32	𓌬	escort		knife-sharpener					
T32A	𓌭	gt	sct	combination of  T31 and  D54					
T33	𓌮			knife-sharpener of butcher					
T33A	𓌯			combination of  T33 and  S29					
T34	𓌰	knife	Messer	'butcher''s knife'					
T35	𓌱	knif	mess	'butcher''s knife'					
T36	𓌲	Griff	shield	shield					
U1	𓌳	Sechen	sickle	sickle L!			sehen:look~kl		
U1	𓌳	Mastern		sickle L!		l			
U2	𓌴	neu	kl	sickle (low)		kl	kill kleiner		
U3	𓌵	Mey		combination of  U1 and  D4					
U4	𓌶	mast		combination of  U1 and  Aa11					
U5	𓌷			combination of  U2 and  Aa11					
U6	𓌸	Aimerry		diagonal hoe					
U7	𓌻	Mauer	Taur	horizontal hoe					
U8	𓌼	Meter	MTR	hoe without connecting rope					
U9	𓌽	Gerste		grain-measure with grain					
U10	𓌾		ger	 U9 bene					
U11	𓌿	Häcksel	hexer	combination of  S38 and  U9					
U12	𓍀			combination of  D50 and  U9					
U13	𓍁	plow	Pflug	plough					
U14	𓍂			two joined branches					
U15	𓍃	Schlitten	sli	sledge					
U16	𓍄	sledge	itt	sledge with head of jackal					
U17	𓍅	mess	maß	pick in ground					
U18	𓍆	measure		pick in basin					
U19	𓍇	Schnitz	adze	adze					
U20	𓍈	netz	itz	adze					
U21	𓍉	other	atze	adze on wood					
U22	𓍊	Mönch	mnk	chisel 					
U23	𓍋	Step	stb	chisel   vs   nar+mer? se-mi-nar?					
U24	𓍍	dreh		drill for stone					
U25	𓍎	drill		drill for stone					
U26	𓍏	open	ob	drill for beads			open, Ober		
U27	𓍐	close	zu 	drill for beads					
U28	𓍑	Zund	zand	fire-drill    SenTiMent?			resender=return resentment		
U29	𓍒	Zun 	zan	fire-drill					
U30	𓍔	Zi	ti 	kiln					
U31	𓍕	Beuger	back	'baker''s rake'					
U32	𓍖	THA	THU	pestle and mortar					
U32	𓍖	THY							
U33	𓍘	CIN	thy	pestle					
U34	𓍙	Kurs	KAS	spindle					
U35	𓍚	chasen	kasen	combination of  U34 and  I9					
U36	𓍛	Ham	Herm	club					
U37	𓍜			razor					
U38	𓍝			balance					
U39	𓍞	rise	reiß	post of balance					
U40	𓍟	reiss	rise	hieratic post of balance					
U41	𓍠			plummet					
U50	𓍡	T-Post?							
V1	𓍢	lunte	und	coil of rope					
V2	𓍬	lende	splend	combination of  O34 and  V1					
V2	𓍬								
V3	𓍮	Länder		combination of  O34 and three  V1					
V4	𓍯	Robe	Rho	lasso					
V5	𓍰	rosh	leinen	looped rope					
V6	𓍱	osch	schn	cord with ends upward					
V7	𓍲	rind	xn	cord with ends downward					
V8	𓍵	ocean	Oshn	cord downward					
V9	𓍶	schöner Ring	Omega	round cartouche					
V10	𓍷	Kart.ush	ush	oval cartouche					
V11	𓍸	me 	ma 	end of cartouche					
V12	𓍼	ziehen	ziehnt	string					
V13	𓍿	Zeh	c	rope					
V14	𓎀	zei	cei	rope with tick					
V15	𓎁	ziehen		combination of  V13 and  D54					
V16	𓎂	sammel	shamu	looped cord					
V17	𓎃	Schutz	shou	shelter of papyrus					
V17	𓎃	Charm	sharm	shelter of papyrus					
V18	𓎄	Schelter	shal	shelter of papyrus			Schale		
V19	𓎅	Zelten		hobble with cross-bar					
V20	𓎆	ten		hobble					
V21	𓎓	shen		combination of  V20 and  I10					
V22	𓎔	Flaschen	fl	whip					
V23	𓎕	FULL	fill	whip					
V24	𓎗	fold	weave	cord on stick					
V25	𓎘	scrit	writ	cord on stick with tick					
V26	𓎙	edge	atsh	netting needle ↔ wedge?					
V27	𓎚	adj	etsh	netting needle					
V28	𓎛 	her	H 	wick					
V29	𓎝	WaiHt		swab					
V30	𓎟	ALL/		basket					
V31	𓎡	ju	k 	basket with right handle					
V32	𓎣	narr	ner	frail					
V33	𓎤	baG		bag					
V34	𓎦			bag					
V35	𓎧			bag					
V36	𓎨	end? troll zoll?	grent	receptacle 	vs O28𓉺 flute/pillar 	kent gent grent greend	kennt korner grenz? control hernt? gree_d green-with-envy		
V40	𓎭	ent vs ten?		hobble on its side					
V41	𓎮								
W1	𓎯	Bath-Kat	basket	oil jar with ties					
W2	𓎰	Bastet	vase	oil jar					
W3	𓎱	Festival	val	alabaster basin 节 jié					
W4	𓎲	Feste	fest	combination of  O22 and  W3					
W5	𓎳	priest	feast	combination of  T28 and  W3					
W6	𓎵	vessel		metal vessel					
W7	𓎶	Fußkanne		granite bowl					
W8	𓎷	cone		deformed granite bowl					
W9	𓎸	Kanne	CAN	jug with left handle					
W9A	𓎹	jug	JU	jug with right handle					
W10	𓎺	Eimer	in	cup					
W10A	𓎻	ie	ein	pot with tick					
W11	𓎼	Giebel	G 	round ring stand					
W12	𓎽	Kübel		square ring stand					
W13	𓎾	Bail		earthenware pot					
W14	𓎿	Base	vase	water jar					
W14A	𓏀	Bäder	Fässer	combination of  V28,  W14 and  O34 	V28 W14 O34 				
W15	𓏁	Bad		water jar with water					
W16	𓏂	Kurbad		water jar with water in ring stand					
W17	𓏃			three water jars in rack					
W17A	𓏄	foreign	FHN	three water jars in rack (simplified)					
W18	𓏅			four water jars in rack					
W18A	𓏆	chanty	Kantine	four water jars in rack (simplified)					
W19	𓏇	milk	mi	milk jug in net					
W20	𓏈	juice	jar	milk jug with leaf		jar			
W21	𓏉	irvine	Wein	twin wine jars		jr ir.vine			
W22	𓏊	Ho.beer	beer	beer jug: hol Bier!		eer beer			
W23	𓏋	Her.ber	Herd	jar with handles	F34 𓄣 heart	herb herd herth bar ber pfer bur?< burn?	Ober *herbs Ampfer Herd hearth		
W24	𓏌	Urne	urn	bowl		urn			
W24A	𓏍	hour		three bowls		hourn hour			
W25	𓏎	honour	ohne	combination of  W24 and  D54		honour			
X1	𓏏	D 	T 	flat loaf					
X1	𓏏	Bread	Brot	flat loaf					
X2	𓏐	dough	teig	tall loaf					
X3	𓏑			tall loaf					
X4	𓏒	feast	food	roll of bread					
X4	𓏒	Gucken	Kuchen	roll of bread					
X5	𓏕	guck.LIKE	look	hieratic roll of bread					
X6	𓏖	look	see	round loaf					
X6a 	𓏗	sehen	gucken	round loaf					
X7	𓏘	quart		half-loaf = N29 in klein					
X8	𓏙	DEI	DIU	conical loaf 					
X8A	𓏚	DE	DI	conical loaf 𓏚					
Y1	𓏛		ter	scroll with ties					
Y1V	𓏜	FORE	VOR	vertikal					
Y2	𓏝	state?	TR?	scroll					
Y3	𓏞	Zeichner	zeSchn	'scribe''s outfit with palette on left'					
Y4	𓏟	writer	uter	'scribe''s outfit with palette on right'					
Y5	𓏠	game board	men 	game board					
Y6	𓏡	game piece		game piece					
Y7	𓏢	harp		harp					
Y8	𓏣	sistrum		sistrum					
Z1	𓏤	one	1	stroke					
Z2	𓏥	three	3	three  Z1 horizontally					
Z4	𓏭	ti 	2	two diagonal strokes					
Z4	𓏮	two	2	two diagonal strokes					
Z5	𓏯	kel	l 	curved diagonal stroke					
Z6	𓏱	tuer	die	hieratic substitute for  A13 or  A14		2!!!			
Z7	𓏲	hundred	100	hieratic quail chick					
Z8	𓏳	null	nil	oval					
Z9	𓏴	x	tick	diagonal cross					
Z10	𓏵 	stop	end	wide diagonal cross					
Z11	𓏶	wessen	WES	cross					
Z11	𓏶	whom	HM	cross					
Z12	𓏷	over.up	auf	hieratic striking man					
Z13	𓏹			circle					
Z1X1	𓏺		1	1					
Z1X2	𓏻		2	2					
Z1X3	𓏼		3	3					
Z1X4	𓏽		4	4					
Z1X5	𓏾		5	5					
Z1X6	𓏿		6	6					
Z1X7	𓐀		7	7					
Z1X8	𓐁		8	8					
Z1X9	𓐂		9	9					
Z1XV 	𓐃		V	V					
Z1Y1	𓐄		1	1					
Z1Y2	𓐅		2	2					
Z1Y3	𓐆		3	3					
Z1Y4	𓐇		4	4					
Z1Y5	𓐈		5	5					
Z1Y6	𓐉		6	6					
Z1Y7	𓐊		7	7					
Z1Y8	𓐋		8	8					
Z1Y9	𓐌		9	9					
Aa1	𓐍	kr	khr						
Aa2	𓐎	plain	PlN	basket from above 		pln pn bn bln	blain,beule, plain, pain,bald, band, plantage,planen, Platane		
Aa3	𓐏		P*L	pustule 					
Aa4	𓐐	SEE W10A	inn 	pustule with liquid 					
Aa5	𓐑	ArBrU-Ham	hebrew	pot with two ticks 					
Aa6	𓐒			navigation instrument 					
Aa7	𓐓	square		instrument 					
Aa7A	𓐔			instrument 					
Aa8	𓐕			later equivalent of  Aa7					
Aa9	𓐖	reich.lich		irrigation canal					
Aa9A 	𓐗			instrument 					
Aa10	𓐘	platform?	stiege?	ramp					
Aa11	𓐙	format	mat	platform					
Aa12	𓐚	form		platform					
Aa13	𓐛	rump?		sharp half					
Aa14	𓐜	ramp?		bent half					
Aa15	𓐝	phrt	Part	blunt half					
Aa16	𓐞	hälfte	ramp	short half					
Aa17	𓐟	Halter	ha	lid		halte			
Aa18	𓐠	Schalter		square lid 		*lte			
Aa19	𓐡	Matten	reiten	instrument 		*tten			
Aa20	𓐢	ABRAham	hebrew	bag 		abr/ephr/offer/habr/habiru			
Aa21	𓐣	rich?	barat?	instrument 					
Aa22	𓐤	brecht							
Aa23	𓐥	rach?		high warp between stakes 					
Aa24	𓐦	stake?		low warp between stakes 					
Aa25	𓐧			unknown 					
Aa26	𓐨	sticka		unknown 					
Aa27	𓐩	protect	guard	spindle 					
Aa28	𓐪	posten		level 	M40X𓇪 fasc P11				
Aa29	𓐫			instrument 					
Aa30	𓐬	stt?		frieze 					
Aa31	𓐭			frieze 					
Aa32	𓐮	Scott	shot	archaic bow 					

