Finnish	finn1318	fin 	Uralic Finnic	61.00	24.45
North Karelian	kare1335	krl 	Uralic Finnic	65.17	30.87
Olonets Karelian	livv1243	olo 	Uralic Finnic	61.00	33.00
Itelmen	itel1242	itl	Chukotko-Kamchatkan	Itelmen	56.78	156.91
Chukchi	chuk1273	ckt	Chukotko-Kamchatkan	Chukotian	68.64	170.04
Nivkh	gily1242	niv	Nivkh	Nivkh	52.59	140.68
Hokkaido Ainu	ainu1240	ain	Ainu	Hokkaido-Kuril Ainu	43.63	142.46
Korean	kore1280	kor	Koreanic	Korean	37.50	128.00
Japanese	nucl1643	jpn	Japonic
Japanesic	35.00	135.00	Aleut	aleu1260	ale	Eskimo-Aleut	Aleut	52.12	-174.29
Central Siberian Yupik	cent2128	ess	Eskimo-Aleut	Eskimo	63.43	-170.27
Kalaallisut	kala1399	kal	Eskimo-Aleut	Eskimo	69.38	-52.86
Kannada	nucl1305	kan	Dravidian	South Dravidian	13.59	76.12
Malayalam	mala1464	mal	Dravidian	South Dravidian	9.59	76.77
Tamil	tami1289	tam	Dravidian	South Dravidian	10.52	78.83
Telugu	telu1262	tel	Dravidian	South Dravidian	16.45	78.70
Burushaski	buru1296	bsk	Burushaski	Burushaski	36.22	74.82
Georgian	nucl1302	kat	Kartvelian	Georgian-Zan	41.85	43.79
Basque	basq1248	eus	Basque	Basque	43.28	-1.32
Abkhaz	abkh1244	abk	Abkhaz-Adyge	Abkhaz-Abaza	43.06	41.16
Adyghe	adyg1241	ady	Abkhaz-Adyge	Circassian	44.65	40.00
Avar	avar1256	ava	Nakh-Daghestanian	Avar-Andic-Tsezic	41.70	46.56
Tsez	dido1241	ddo	Nakh-Daghestanian	Avar-Andic-Tsezic	42.26	45.81
Lak	lakk1252	lbe	Nakh-Daghestanian	Lak	42.13	47.08
Lezgian	lezg1247	lez	Nakh-Daghestanian	Lezgic	41.52	47.90
Dargwa	darg1241	dar	Nakh-Daghestanian	Dargwic	42.43	47.44
Chechen	chec1245	che	Nakh-Daghestanian	Nakh	43.50	45.50
Standard Arabic	stan1318	arb	Afro-Asiatic	Semitic	27.96	43.85
Modern Hebrew	hebr1245	heb	Afro-Asiatic	Semitic	31.11	35.02
Mandarin Chinese	mand1415	cmn	Sino-Tibetan	Sinitic	40.02	116.23
