10	there 	అక్కడ (/akːaɽa/) 	ahere, ante, [th]ere,    enci 𓈖𓏏 அங்கே aṅkē	అక్కడ (/akːaɽa/) అచ్చట (/acːaʈa/) ఆడ (/ɑːɽa/) அங்கே (aṅkē) 	~+	അവിടെ (/aʋiʈe/), അങ്ങ് (/aŋŋɨ̆/) 	ಅಲ್ಲಿ (alli) 	ಅಲ್ಲಿ (alli)	𓂧 𓏮 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐, 𓇋𓅓,	√ aha 𓉻 𓂝 𓄿 𓇋𓇋 𓈐	ah			𐎔 p here	√! apiya > aᵖha	apiya	--	-		𓉻 𓂝 𓈐	 	 	
11	who 	ఎవరు evaru யார் (yār)	'wer!	ఎవరు (/evaru/) < 𓊪𓅱 < 𓊪𓏏𓂋	~++	யார் (yār) 	ആര് (/aːɾɨ̆ /), എവൻ (/eʋan/) (singular masculine), എവൾ (/eʋaɭ/) (singular feminine), എവർ (/eʋar/) (plural) 	ಯಾರು (yāru)	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓋴, 𓏶	kpho?	ak-qa	-	deː, deː-r	who, wer?	√! •kuis~•kwer	kuis	who.is	kuis	who.is	𓊪 𓅱	 	 	 
12	what 	ఏమిటి (/eːmiʈi/) ఏంటి (/eːɳʈi/) 	𓅓 𓂟, 𓅓 𓂝 'mwit, ‘na	ఏమిటి (/eːmiʈi/) ఏంటి (/eːɳʈi/) 	~++	என்ன (eṉṉa) 	എന്ത് (/en̪t̪ɨ̆/), എന്നത് (/ennat̪ɨ̆/), എന്ന- (/enna-/) 	ಏನು (ēnu)	𓊪𓅱, 𓊪𓏏𓂋, 𓅓 𓂟, 𓅓 𓂝, 𓈖𓅓𓂝,𓊄 𓇋𓇋, 𓐍 𓏮, 𓋴, 𓏶, 𓏏𓊪𓏮 𓆵 𓀁	√ 𓊪𓅱 ~ appa	appa	-	a-nt ~ ha-nt	"ante? ఏంటి (/eːɳʈi/) 	ఏమిటి (/eːmiʈi/)  𓅓 𓂟, 𓅓 𓂝 'mwit, ‘na"		kuit	whatr	kuī	who	𓊪 𓏏 𓂋	 	 	 
13	where 	ఎక్కడ (/ekːaɽa/) 	a’kwhere ++ <> here	ఎక్కడ (/ekːaɽa/) ఎచ్చట (/ecːaʈa/) ఏడ (/iːɽa/) எங்கே (eṅkē) 	~++	എവിടെ (/eʋiʈe/), എങ്ങ് (/eŋŋɨ̆/) 	ಎಲ್ಲಿ (elli) 	ಎಲ್ಲಿ (elli)	𓏏𓈖𓏮𓌙𓅯 𓈐, 𓏏𓈖𓏌𓅱𓌙𓅯	--	mur	-				kuwapi	--	kuwar(i) (?)		𓍿 𓈖 𓌙 𓅯	 	 	
14	when 	ఎప్పుడు (/epːuɽu/) 	ap’houra ! ++	ఎప్పుడు (/epːuɽu/) 	~++	எப்பொழுது (eppoḻutu) 	എപ്പോൾ (/eppoːɭ/), എപ്പം (/eppam/) എന്ന് (/en̪n̪ɨ̆/) (which day) 	ಯಾವಾಗ (yāvāga)	𓐍𓆑𓏏, 𓐍𓏏𓆑, 𓐍𓆑, 𓅯𓅯, 𓅓	√ 𓅯𓅯 epp…	sap, an-ka	- s'eppam -			√! que.epːuɽu kuwapi	kuwapi	quando (err)	kuwati	quanta	𓍿 𓈖 𓌙 𓅯	 	 	 
15	how 	எப்படி (eppaṭi)  ಹೇಗೆ (hEge) 	a’what? Howgue?	ఎలా (/elɑː/), ఎట్లా (/eʈlɑː/) 	~?	எப்படி (eppaṭi) 	എങ്ങനെ (/eŋŋane/) 	ಹೇಗೆ (hēge)	𓅱,𓅱𓏮,𓏇𓇋𓅓𓂝	√? 𓅱 anka	anka	✓ eŋŋa…hEge			√? meŋŋa < manka?	māhhan	manner	-		𓋴 𓍱 𓂋 𓏜 –	 	 	 
16	NOT	కాదు (kādu) లేదు(lēdu) അല്ല /alla/	Cut kein let! Lass! la! ¬des 	కాదు (kādu) (negation), లేదు(lēdu) (absence) 	~+™	இல்லை (illai) 	അല്ല (/alla/) (negation), ഇല്ല (/illa/) (absence) 	ಅಲ್ಲ (alla)	𓂜, 𓂜𓈖,𓂜𓏏,𓇋𓂋𓆑,𓄤𓊪𓅱, 𓅱, 𓅓, 𓅓𓂝, 𓅓𓂟, 𓅱𓂜, 𓂜𓇋𓇋	√ 𓂜𓈖	in-na	✓~ un¬ alla 	a	a¬ infix	√√ inna nawa	𒈾𒀜𒋫 (natta)	not, nada	nāwa	No 𓂜𓈖	𓂜 𓏏	 	 	 
17	all 	ಎಲ್ಲ (ella) 	aellae!  giɽ>kal adam! Einige	అందరు (aMdaru) (humans), అన్నీ (annī) (countable nouns), మొత్తము(mottamu) (uncountable nouns) 	!++	எல்லாம் (ellām) 	എല്ലാം (/ellaːm/), എല്ലാ (/ellaː/), മുഴുവൻ (/muɻuʋan/), മൊത്തം (/mot̪t̪am/) 	ಎಲ್ಲ (ella)	𓎟, 𓂋 𓋴 𓋴, 𓅓 𓃀 𓅱𓌡 𓏤, 𓇾 𓅓 𓅱𓀀 𓏥 𓁐, 𓇾 𓍃 𓅓 𓏥, 𓇿 𓇿 𓈅 𓈅 𓏏𓍃 𓀀 𓏥 𓁐, 𓏏 𓏏 𓏝 	√ 𓎟 ᵏella ku-ti-na	ku-ti-na, mar-be-ip	✓ ɣuʈʈ!	giɽ, ɣuʈʈ, 	> kal, gut/tout? drust@Persian	--	hūmantes	human! Common	pūnatinzi, tanimminzi	Pantas, ?	𓆊 𓆌 chaiman	 	 	 
18	many 	చాలా (cālā)  பல (pala) 	c’alle! Poly பல (pala) viele PQ	చాలా (cālā) 	~++	பல (pala) 	ഒത്തിരി (/ot̪t̪iɾi/) (a lot), ഏറെ (/eːre/), പല (/pala/) (various) 	ಹಲ (hala)	𓅨 𓂋, 𓁨 𓈖, 𓂝 𓈙 𓄿 𓆈, 𓆈 𓄿 𓏏𓀀 𓏥, 𓉻 𓏏𓏯 𓈙 𓏥	√/3 𓅨 𓂋 ir,eːre …	ir-še-ik-ki	- eːre… big-one	baːz ~ bhaːz	@Baluchi beaucoup	? irš.eikki ~ me.ekkie?	mēkkies	much manche	-		𓏠𓈖𓅱	 	 	 
19	some 	కొందరు (koMdaru) (humans)	Kaum khumen… < calle	కొందరు (koMdaru) (humans), కొన్ని (konni) (countable nouns), కొంత (koMta) (uncountable nouns) 	+<	சில (cila) 	ചില (/t͡ʃila/) 	ಕೆಲ (kela)	𓈖 𓉔 𓅪 𓈒 𓏥, 𓈖 𓎡 𓏏 𓏴 𓏛		aš-ki	✓ •ascila cila				kuiesqa	--	-		𓐍 𓏏 𓏛 𓏥 ?	 	 	 
20	few 	కొన్ని (/konːi/)  கொஞ்சம் (koñcam) 	quanta ~kaum.quam>kein ^^	కొన్ని (/konːi/) 	!+	கொஞ்சம் (koñcam) 	കുറച്ച് (/kurat͡ʃt͡ʃɨ̆/), ഇത്തിരി (/it̪t̪iɾi/) 	ಸ್ವಲ್ಪ (svalpa), ಕೊಂಚ (koñca)	𓂝 𓈖 𓂧 𓏏 𓅪	√?! •kanti కొన్ని konːi/it̪t̪iɾi	harikki	~ kura'it̪t̪i	macciT	≠ much		tēpawes	te.phew tantinet 	-			 	 	 
21	other 	ఇతర itara	othera        mbere~andere	వేరే (vērē) ఇతర (itara) 	++	மற்ற (maṟṟa) 	മറ്റ് (/marrɨ̆/), ഇതര (/it̪aɾa/) 	ಬೇರೆ (bēre)	𓎡 𓏏, 𓎡 𓏮	√/2? ഇതര ᵏit̪aɾa	daae	✓ a'daer itara			! daae ~ daᵐais	damais	?  cetera 𓎡𓏏  /  𓎡𓇋𓇋𓂧𓆓	-			 	 	 
22	one 	"ఒకటి (okaṭi) ஒன்று (oṉṟu) 	ഒന്ന് (/on̪n̪ɨ̆/)"	Ek第 ++ einer erst	ఒకటి (okaṭi) 	++	ஒன்று (oṉṟu) 	ഒന്ന് (/on̪n̪ɨ̆/), ഒരു (/oɾu/) 	ಒಂದು (ondu)	𓏤, 𓌡 , 𓏏 𓅱	√!? 𓏤 𓏏 𓅱 ondu!	ki-ir	≠ okaṭi	asi, asi-ʈ asiT	as unos erst firᵗʰ	ek~as on~einer	*ās	eins	-			 	 	 
23	two 	ಎರಡು (eraDu)	èr 二 …Du ! 第	రెండు (reMḍu) 	-+	இரண்டு (iraṇṭu) 	രണ്ട് (/ɾaɳʈɨ̆/), ഇരു- (/iɾu-/) 	ಎರಡು (eraḍu)	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮	√!? 𓌢 𓏌 𓏮 eradu!	ma-ir	రెండు reM / ma.iɾu	iraT	ma.iraᵗʰ	-- teen	dān	duo	-			 	 	 
24	three 	மூன்று (mūṉṟu)	𒌋𒌋𒌋 man® 第 more	మూడు (mūḍu) 	+-	மூன்று (mūṉṟu) 	മൂന്ന് (/muːn̪n̪ɨ̆/), മു- (/mu-/) 	ಮೂರು (mūru)	𓐍 𓂸 𓏏	---	zí-ti	✓ ma.zit!	musiT	𒈨𒌍 MESᵗʰ	--	tēries	threeth	tarris	tres		 	 	 
25	four 	നാൽ- (/n̪aːl-/)	nailu!  第	నాలుగు (nālugu) 	++™	நான்கு (nāṉku) 	നാല് (/n̪aːlɨ̆/), നാൽ- (/n̪aːl-/) 	ನಾಲ್ಕು (nālku)	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤, 𓇋 𓆑 𓂧 𓏏 𓏥, 𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤	!! 𓆑 𓂧 𓅱 nun+c+u!!					~ maya ~ n̪aːl ~ nile	meyawes	ƒ	māwinzi		𓏠𓈖𓅱?	 	 	 
26	five 	ஐந்து (aintu) 	(p)aintu! 𓏥 𓏮 𓏏𓅱𓂻 第	ఐదు (aidu) 	++	ஐந்து (aintu) 	അഞ്ച് (/aɲt͡ʃɨ̆/), അൻ- (/an-/) 	ಐದು (aidu)	𓏥 𓏮 𓏏𓅱𓂻	√! 𓏥 𓏮 𓏏𓅱𓂻 aidu						-		-			 	 	 
27	big 	పెద్ద (pedda) பெரிய (periya) 	<> pod super? Da^ better	పెద్ద (pedda) 		பெரிய (periya) 	വലിയ (/ʋalija/), പെരും- (/peɾum-/) 	ದೊಡ್ಡ (doḍḍa)	𓅨 𓂋 𓈉	√ பெரிய (periya) 	ir-šá-na	•peɾsumna !<	bal-un ~ bhal-un	balloon blown	? ir-šá.al ir-še.al	𒊩𒇷𒅖 (sallis)	(g)riese	Urazzas <>	arisen		 	 	 
28	long 	పొడవైన (poḍavaina) 	<> pod  𓈖𓄣 nile.manner	పొడవైన (poḍavaina) 		நீளமான (nīḷamāṉa) 	നീണ്ട (/n̪iːɳʈa/) 	ನಿಡು (niḍu)	𓄫 𓅱, 𓍯 𓄿 𓈐, 𓈐, 𓇥 𓂋 𓂝 𓏤	𓈐	me-lu-uk	~	murghun mur-ɣun	much more Morgen murr 'far'	𓃀  pod ~ leg	dalukis	Dar-longis!	ārrāyis	aryan!		 	 	 
29	wide 	వెడల్పైన (veḍalpaina)	veda… alipine	వెడల్పైన (veḍalpaina) 	++	அகலமான (akalamāṉa) 	വീതിയുള്ള (/ʋiːt̪ijuɭɭa/), വണ്ണമുള്ള (/ʋaɳɳamuɭɭa/) 	ಅಗಲ (agala)	𓋴 𓐍 𓎺, 𓅱 𓋴 𓐍 𓎸 𓏛,	√ 𓋴 𓐍 𓎸 𓏛 ⲥⲑⲱⲛ sacanika	šadanika				~~	𒁄𒄭𒅖 (palḫis)	broardh	-			 	 	 
30	thick 	t̪aʈit͡ʃt͡ʃa ;)	thick… 	మందమైన (maMdamaina), చిక్కని (chikkani) 	++	தடித்த (thaditha) 	കട്ടിയുള്ള (/kaʈʈijuɭɭa/), തടിച്ച (/t̪aʈit͡ʃt͡ʃa/) 	ದಪ್ಪ (dappa)	𓃀 𓅡 𓄿 𓎼 𓈗, 𓅱 𓂸 𓏏 𓏛	√? കട്ടിയുള്ള kaʈʈijuɭɭa <> cazzo						-		-			 	 	 
31	heavy 	బరువైన (baruvaina) 	bary	బరువైన (baruvaina) 	++	கணம் (kaNam) 	കനത്ത (/kanat̪t̪a/), കനമുള്ള (/kanamuɭɭa/) 	ತೂಕ (tūka)	𓆓𓈖𓋴𓍘𓏜, 𓂧𓈖𓋴𓍖 𓊌, 𓅱𓂧𓈖𓍖 𓈒 𓏥	√? tunk / qanatha 𓂧𓈖𓋴𓍖	ab-ba-ra,	✓ kubar! ~	kub-eːn	cubeᵒⁿ	√! cubar > suwār	suwār.us, 𒈾𒀝𒆠𒅖 (nakkis) dãssus dense	schwer! 𓂧 𓈖 𓋴 𓍖 𓊌	suwārus, 𒆪𒉿𒀭𒍪𒍑 (kuwanzus)			 	 	 
32	small 	cunz, kot͡ʃt͡ʃ ;) ++	kurz	చిన్న (cinna) 	++	சின்ன (ciṉṉa) 	ചെറിയ (/t͡ʃerija/), കൊച്ചു (/kot͡ʃt͡ʃu/), കുഞ്ഞു (/kuɲɲu/) 	ಸಣ್ಣ (saṇṇa), ಚಿಕ್ಕ (cikka)	𓎡 𓏏 𓏏 𓅪, 𓈖𓆓 𓋴 𓅪, 𓈖 𓐍 𓅪, 𓀔 𓏥 𓈖𓂣	√ കൊച്ചു kot͡ʃt͡ʃu	harikki	~ കുറു kuru	cun-ak ɣuɖɖuː	cuntz 𓎡 𓏏 𓏏 𓅪 छोटा choṭā	√! pe.cunz cunak	kappis	pecunia	-	same cluster		 	 	 
33	short 	കുറു (/kuru/), കുള്ളൻ (/kuɭɭan/)	kurz, klein, cute!, petit	పొట్టి (poṭṭi) 	+++	குட்டை (kuttai) 	കുറു (/kuru/), കുള്ളൻ (/kuɭɭan/) 	ಗಿಡ್ಡ (giḍḍa), ಕುಳ್ಳ (kuḷḷa)	𓅪, 𓈙 𓂋 𓂋 𓅪, 𓎛 𓂝 𓅪, 𓎛𓅱𓂝𓅪	√! 𓈙 𓂋 𓂋 𓅪 shor[[de]] short < 𓎡 𓅪 കുറു kuru kurz > ḫurz 𓎛𓅱𓂝𓅪	<<		gwanɖ, paʈa-k, ɕuʈu-k	@Baluchi petit ɕuʈu-k 𓎡 𓏏 𓏏 cute, cut, kurz	√~ kuɭɭanˢ ~ kuwanz	manninkuwanz	manner.kurz!	mannakunas	same cluster		 	 	 
34	narrow 	సన్నని (sannani) tanak 	thin / schmal / syn.narroi	ఇరుకైన (irukaina), సన్నని (sannani) 	:	குறுகிய (kurugiya) 	ഇടുങ്ങിയ (/iʈuŋŋija/) 	ಸಪುರ (sapura)	𓎼 𓄿 𓎣 𓅪, 𓎼 𓄿 𓐎 𓅪, 𓎛 𓆰 𓈖 𓋴 𓅪	√ 𓎼 𓄿 𓎣 𓅪  குறுகிய (kurugiya)   << 𓎛 𓆰 𓈖 𓋴 𓅪 ഇടുങ്ങിയ (/iʈuŋŋija/) ఇరుకైన (irukaina), సన్నని (sannani) 					--	hatkus		-	same cluster		 	 	 
35	thin 	సన్నని (sannani) tanak 	thin	సన్నని (sannani), పలుచని (palucani) 	++	ஒல்லி (olli) 	നേർത്ത (/n̪eːɾt̪t̪a/), മെലിഞ്ഞ (/meliɲɲa/) 	ತೆಳು (teḷu)	? <> 𓊪 𓈎 𓏗, 𓆁 𓈎 𓏗, 𓊪 𓅮 𓈎 𓏗, 𓅮 𓄿 𓈎 𓏏 𓂂	√ 𓊪 𓅮 𓈎 𓏗 పలుచని palucani platt flat thin	zik-kiⁿ	✓ skinny!	uš-k-un, tanak	thin@Baluchi		maklanz		-			 	 	 
36	woman 	பெண் (peṇ) మహిళ (mahiḷa) 	Femme / matha	ఆడది (āḍadi), స్త్రీ (strī), మహిళ (mahiḷa) 	+?	பெண் (peṇ) 	പെണ്ണു് (/peɳɳɨ̆/), പെണ്‍- (/peɳ-/) 	ಹೆಂಗಸು (heṅgasu), ಹೆಣ್ಣು (heṇṇu)	𓊃 𓏏 𓁐, 𓈟 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓈞 𓏏 𓁐, 𓃀 𓂓 𓏏 𓁑	√? 𓈞 𓏏 𓁐 •peṇta	zana (lady)		paʈʈiː مائى māī	𓅭𓏏 Pute,  mate magt madam	√√ peṇ > banat > venus > wānas	*kuwanz	queen, banat!	𒉿𒈾𒀜𒋾𒅖 (wanattis), 𒉿𒉿𒈾𒀸 (wānas)			ಪೊಣ್ಜವು poṇjavu, ಎಮ್ಮಳು emmaḷu 	ఆర్ ār, వెయ్లెు veylo, వోతాఢ్ vōtāṛ 	ఆణ్డు āṇḍu, మాఈ māī 
37	man (adult male) 		mega.vadu! [m]Ahn! Pere:bara@rom 𐀪 人 ris	మగవాడు (magavāḍu), పురుషుడు (puruṣuḍu) 	++ <<	ஆண் (āṇ) 	ആണ് (/aːɳɨ̆/), ആണ്‍- (/aːɳ-/) 	ಗಂಡಸು (gaṇḍasu), ಪುರುಷ (puruṣa), ಆಳು (āḷu)	𓊃 𓀀, 𓀀 𓀀 𓀀, 𓂋 𓍃 𓀀 𓏥, 𓂋 𓏏 𓀀 𓏥 𓁐, 𓂋 𓍿 𓀀, 𓂋 𓐍 𓏛 𓀀, 𓂋 𓍿 𓏏 𓀀 𓏥, 𓂋 𓐝 𓍿 𓀀 𓁐, 𓆂 𓏏 𓏥, 𓅓 𓏏 𓀐, 𓅷 𓄿 𓇋𓇋𓂺 𓀀, 𓍿𓈖𓇋𓀘, 𓀙, 𓎛 𓃹 𓈖 𓀔, 𓁷 𓂋 𓇯 𓀀, 𓄊 𓂋 𓀀	√ 𓂋 𓍃 𓀀 𓏥	ru-h, RUH.MEŠ					𒁉𒌍𒈾𒀸 (pesnas) (gen. sg.)	persona	𒍣𒋾𒅖 (zītis)	citizen		 	 	 
38	man (human being) 	మనిషి (maniṣi) , மனிதன் (maṉitaṉ) 	Mensch man.tan	మనిషి (maniṣi) 	+++	மனிதன் (maṉitaṉ) 	ആള് (/aːɭɨ̆/), -ആൾ (/-aːɭ/) 	ಮನುಷ್ಯ (manuṣya), ಮಂದಿ (mandi)	%	√ 𓂋 𓍃 𓀀 𓏥	ruh, LU.lg	aːɭɨ̆ ali~LU	banda(-ɣ)	person@Baluchi <> Lugal.Banda		antuhsas	(m)andros	𒍣𒋾𒅖 (zītis)	citizen		 	 	 
39	child (a youth) 	cunaa, maxa పిల్ల (pilla) (female)	kin', mesu, fille, fils < copile @ROM 	పిల్ల (pilla) (female), పిల్లవాడు (pillavāḍu) (male) 	+++	குழந்தை (kuḻantai), பிள்ளை (pillai) 	കുട്ടി (/kuʈʈi/), കുഞ്ഞ് (/kuɲɲɨ̆/), പിള്ള (/piɭɭa/), കിടാവ് (/kiʈaːʋɨ̆/) 	ಮಗು (magu), ಕೂಸು (kūsu)	𓄡 𓂋 𓂧 𓀀, 𓐍 𓏤 𓀔, 𓀖 𓏏, 𓐍 𓇋 𓇋 𓀔, 𓐍 𓈖 𓏌 𓅱 𓀔, 𓎛 𓃹 𓈖 𓀔, 𓈖 𓐍 𓈖 𓅱 𓀔,𓄟 𓋴 𓏯, 𓄟 𓅱 𓏏 𓏏 𓀔, 𓋴 𓆓 𓏏, 𓇋 𓈖 𓊪 𓅂	√ 𓄡 𓂋 𓂧 𓀀 •Turc	tur, hh. ma-ul-li	maguli 	cunaa, maxa	kin, 𓄟 maus	•cunamaxa ~ dunimuwiza ?	hāssas	Hasen!	nimuwizas	mini?	𓎛 𓇬 𓈖	 	 	 
40	wife 	భార్య (bhārya), ఆలి (āli) 	man.eve  wo.man	పెళ్ళాం (peḷḷāM), భార్య (bhārya), ఆలి (āli) 	+?	மனைவி (maṉaivi) 	കെട്ടിയവൾ (/keʈʈijaʋaɭ/), മണവാട്ടി (/maɳaʋaːʈʈi/) (bride) 	ಹೆಂಡತಿ (heṇḍati), ಮಡದಿ (maḍadi)	𓌢 𓈖 𓏏 𓁐, 𓊃 𓏏 𓁐, 𓊃 𓏏 𓁐 𓈞 𓏏 𓁐, 𓈟 𓏏 𓁐, 2. 𓌸 𓂋 𓏏, 3. 𓎟 𓏏 𓉐 𓏤	√ 𓈟 𓏏 𓁐 irti < birte > bhārya	ir-ti; ri-tu; ri-ti; ru-tu; ru-tú; 	āli~irti? 𓈟 𓏏 𓁐  𓌸 𓂋 𓏏 !?	zaːifa, paʈʈiː-banda	Zofe ᶻwife 2. partnerin +++  Sindhi paʈhiː 'woman' and Dravidian peʈʈa 'female'		*kuwanz	queen	-			 	 	 
