No. 	English 	ǃXóõ ǃxóɲa ǂàã
130 	to squeeze 	ǂgūu, ǁgūu
131 	to rub 	ǀqàa
132 	to wash 	tṵhle
133 	to wipe 	ǀna̰m
134 	to pull 	ǁa̰ha
135 	to push 	ṵhm
136 	to throw 	ǃgàhm
137 	to tie 	ʻǁnāhã
138 	to sew 	
139 	to count 	
140 	to say 	téʻẽ, tám
141 	to sing 	ǁnāe
142 	to play 	ǀnāhm
143 	to float 	
144 	to flow 	ǃnò̰ni, ǃsṵni
145 	to freeze 	
146 	to swell 	ǁúhʻbu
147 	sun 	ǁʻân
148 	moon 	ǃqhàn
149 	star 	ǁōna
150 	water 	ǃqhàa
151 	rain 	ǃkxʻôe
152 	river 	ǃnáu ʻǀnṵm
153 	lake 	
154 	sea 	
155 	salt 	qáʻna
156 	stone 	ǀnūle
157 	sand 	ǂkxʻûm
158 	dust 	ǂqhóʻli
159 	earth 	ǂkxʻûm
160 	cloud 	ǃqhàa gǀqhūã
161 	fog 	ǀnōhũ kâ ǀòho kú, ʻǃnōhʻli
162 	sky 	kùu ǂèe
163 	wind 	ǂqhùe
164 	snow 	
165 	ice 	ǁqa̰ã
166 	smoke 	
167 	fire 	ǀʻàã
168 	ash 	ǂgòa
169 	to burn 	ǁnāha
170 	road 	dào
171 	mountain 	
172 	red 	ǀāhɲa
173 	green 	ǀga̰hi
174 	yellow 	gǂqhúi
175 	white 	ǃnúɲa
176 	black 	ǂáʻɲa
177 	night 	ǀnṵe
178 	day 	ǁʻân
179 	year 	kúli
180 	warm 	kûbi
181 	cold 	
182 	full 	ǃgùhm
183 	new 	ǁqṵV
184 	old 	ǃhúũ
185 	good 	
186 	bad 	ǂxóĩ-sì
187 	rotten 	gǂkxʻōã
188 	dirty 	ǁqʻâa
189 	straight 	ǃāã
190 	round 	ʻǂnúʻm ǀʻêẽ, ʻǃnáʻõ ǀʻêẽ
191 	sharp (as a knife) 	ǃqáũ
192 	dull (as a knife) 	
193 	smooth 	nôli
194 	wet 	tsʻkxʻàni, ǃqhàa
195 	dry 	ǁqáa (area), ǂgàm (tree or bush)
196 	correct 	
197 	near 	ǁgâʻle
198 	far 	ta̰i
199 	right 	
200 	left 	
201 	at 	ǀnàa
202 	in 	tshôe
203 	with 	ǂʻá, ʻàhn
204 	and 	ǂʻá, ʻàhn, ǁnâi (and then)
205 	if 	ǀîi
206 	because 	BV
207 	name 	ǀàũ



Taa/Tuu languages‎:
	Nǀuu 
	ǀXam 
	ǁXegwi
	ǃXóõ 
