 No 	English 	Latin 	Outliers	My PIE	Portuguese 	Spanish 	Catalan 	French 	Italian 	Romanian 	Lengadocian Occitan 	Gascon Occitan 	Romansh	Ticinese Lombard	?	Neapolitan 	Venetian	Sicilian	Maceratese Italian	Galician	Asturian	Aragonese	Catalan
17 	all 	omnis, tōtus 			todo 	todo 	tot 	tout 	tutto 	tot 	tot 	tot 	tut	tücc 	tutto 	tutto 	tuto 	tuttu 	tuttu 	todo 	tou 	tot 	tot 
18 	many 	multus, pl multī 	"assaje fòrça 	hèra 	bler"	manch Menge	muito 	mucho 	molt 	beaucoup, maint (archaic) 	molto 	multe f, mulți m 	fòrça 	hèra 	bler	- 	assaje 	assaje 	sai 	assài 	mmellipo’, tanti, parècchi 	moitos 	munchos 	muitos 	molts 
19 	some 	aliquī, aliquot 	<<>>	einige(n)(s)	alguns 	algunos 	alguns 	quelques 	alcuni 	niște 	qualque 	quauque 	insatge	- 	cocche 	quacche 	cualche 	quàlchi 	quàrghe, che 	algún 	dalgún 	bells, qualques 	alguns 
20 	few 	paucus 		pico	pouco 	poco 	poc 	peu 	poco 	puțin 	pauc 	pòc 	pauc	pooch 	poco 	peccio 	poco 	picca 	pocu(m.)/poco(n./adv.) 	pouco 	pocu 	poco 	poc 
21 	other 	alter m, altera f, alius 		anter	outro m, outra f 	otro m, otra f 	altre m, altra f 	autre m/f 	altro m,altra f 	alt m, altă f 	autre 	aute 	auter	altru 	ato 	oto 	altro 	avutru 	àndru(one more)/àrdru(a different kind)/àddru-àtru(derogatory) 	outro 	otru 	atro, altro 	altre 
22 	one 	ūnus m, ūna f 	vün 	uin	um m, uma f 	uno m, un m (before a masculine noun), una f 	un m, una f 	un m, une f 	uno m, un m (before a masculine noun), una f 	unu, un m, una f 	un, una 	un, ua 	in m, ina f	vün 	uno 	uno 	un 	unu 	unu(m.)/uno(n.) 	un 	un 	un 	un 
23 	two 	duo m, duae f 	rui  ~ er	tuo	dois m, duas f 	dos 	dos m, dues f 	deux 	due 	doi m, două f 	dos, doas 	dus, duas 	dus m, duas f	düü 	ddoje 	ddoje 	do 	rui 	dùe(number)-dùi(m.)-due(f.)-du'(m. and f. when the subject-object come just after the number 	dous, dúas 	dos 	dos 	dos 
24 	three 	trēs 	trei 	Drei	três 	tres 	tres 	trois 	tre 	trei 	tres 	tres 	trais	trii 	tré 	tré 	tre 	tri 	tre 	tres 	trés 	tres 	tres 
25 	four 	quattuor 	patru 	pha'ir	quatro 	cuatro 	quatre 	quatre 	quattro 	patru 	quatre 	quate 	quatter	quàtar 	cuatto 	quatto 	cuatro 	quattru 	quattro 	catro 	cuatro 	quatre/quatro 	quatre 
26 	five 	quinque 		Zinken?	cinco 	cinco 	cinc 	cinq 	cinque 	cinci 	cinc 	cinc 	tschintg	ciinch 	cingo 	cingo 	zinque 	cinqu 	cingue 	cinco 	cinco 	cinco 	cinc 
27 	big 	magnus, grandis 	gruosso 	groß, grand	grande 	grande 	gros, gran 	grand 	grande 	mare 	bèl, ~a 	gran, ~a 	grond	graand, graant 	gruosso 	grusso 	grando 	granni 	grossu, grànne 	grande 	grande 	gran 	gran, gros 
28 	long 	longus 	largo 	lang, large	longo 	largo, luengo (obs.) 	llarg, llong (obs.) 	long 	lungo 	lung 	long, ~a 	long, ~a 	lung	luunch 	luongo 	longo 	longo 	longu 	lungu/longu(m.)-lungo(n.) 	longo 	llargu/llongu 	largo, luengo 	llarg 
29 	wide 	latus, amplus, largus 	anchu 		largo 	ancho 	ample 	large 	largo 	larg 	larg, ~a 	large, ~ja 	lad, lartg	laarch 	chiatto 	largo 	largo 	làrgu 	làrgu 	largo 	anchu 	amplo 	ample 
30 	thick 	crēber, grossus, spissus 	épais, gruixut 		grosso, espesso 	grueso 	gruixut 	gros, épais 	spesso, grosso 	gros 	espés, ~sa 	espés, ~sa 	gross	gross 	dduppjo 	dduppjo 	groso 	nfutu 	nnèrtu, èrtu, spìssu 	groso 	gruesu 	recio 	gruixut 
31 	heavy 	gravis <> pēnsō (“I ponder; Iweigh”)	pesado, lourd 		pesado 	pesado 	pesat, pesant 	lourd 	pesante 	greu 	pesuc, ~ga 	pesuc, ~ga 	grev, pesant	pesaant 	pesante 	pesante 	pesanto 	pisanti 	pesante 	pesado 	pesáu 	pesau, pesato 	pesat 
32 	small 	parvus 	petit, mic	pico, micro, pitschen	pequeno 	pequeño 	petit 	petit 	piccolo 	mic 	pichòt/pichon, ~a 	petit, ~a 	pitschen	pinìŋ 	piccirillo 	pecculo 	picio 	nicu 	ciùcu, pìcculu 	pequeno 	pequeñu 	chiquet, chicot 	petit 
33 	short 	curtus (object), brevis (time) 		kurz	curto 	corto 	curt 	court 	corto 	scurt 	cort, ~a 	brac, ~a 	curt	cuurt 	curto 	curto 	corto 	curtu 	curtu 	curto 	curtiu 	curto 	curt 
34 	narrow 	angustus, strictus (tightened) 			estreito 	estrecho 	estret 	étroit 	stretto 	strâmt 	estrech, ~a 	estret, ~a 	stretg	strécc 	stritto 	stritto 	strento 	strittu 	strittu 	estreito 	estrenchu/estrechu 	estreito 	estret 
35 	thin 	macer, subtīlis, tenuis 			magro (people), fino (objects) 	delgado, fino (objects only) 	prim, magre 	maigre 	sottile, magro 	subțire, slab 	fin, ~a 	prim, ~a 	satigl, fin	fiŋ 	fino, sicco 	fino, sicco 	magro 	màuru, siccu 	fìnu(obj.)/sìccu(pers.-anim.) 	fino, delgado, fraco 	delgáu 	fino/primo 	prim 
36 	woman 	fēmina, mulier 			mulher 	mujer 	dona 	femme 	donna 	femeie, muiere 	femna 	hemna 	dunna	dòna 	femmena 	femmena 	dona, baba 	fimmina 	donna, femmina 	muller 	muyer 	muller 	dona 
37 	man (adult male) 	vir, homō 			homem 	hombre 	home 	homme 	uomo 	bărbat 	òme 	òme 	um	(adult male) 	óm 	homme 	hommen 	omo 	omu 	homem 	home 	home 	hombre, home 
38 	man (human being) 	homō, hūmānum (vulg.) 			humano, pessoa 	humano, persona 	humà 	humain, personne 	umano, persona 	om 	òme 	òme 	uman	(human being) 	persóna 	crestiano, perzona 	cristiano 	omo 	omu 	homem 	home 	home 	hombre, home 
39 	child 	īnfāns, (genitive sg : infantis), puer 			criança 	niño 	nen, xiquet 	enfant 	bambino 	copil 	enfant 	mainatge 	uffant	bagai 	criaturo, piccirillo 	ciraturo, criamo 	mulo, putel 	picciriddu 	cratùra, fricu-frichì/vardàsciu 	neno, rapaz, mozo 	neñu, guaḥe 	nino, mocet, zagal 	nen 
40 	wife 	uxor, mulier, spōnsa 			mulher, esposa 	esposa, mujer 	esposa, muller 	épouse, femme 	sposa, moglie 	soție, nevastă 	esposa, molher 	esposa, molher 	consorta, dunna	miée 	mujera 	mujera 	mujer 	mugghieri 	moje 	esposa, muller, dona 	esposa, muyer 	muller 	muller 
41 	husband, spouse 	marītus 			marido, esposo 	marido, esposo 	marit, espòs 	mari, époux 	marito 	soț, bărbat 	espós, marit 	espós, marit 	consort, um	marìi 	marito 	marito 	omo 	maritu 	maritu 	esposo, home, marido 	esposu, maríu, home 	mariu, marito 	marit 
42 	mother 	māter, mamma (childish) 			mãe 	madre, mamá 	mare 	mère, maman 	madre 	mamă 	maire 	mair 	mamma	mam 	mammà 	mammà 	mare 	matri 	màtre 	nai, mai 	ma/madre 	mai 	mare 
43 	father 	pater, tata (childish) 			pai 	padre, papá, tata 	pare 	père 	padre, papa 	tată 	paire 	pair 	bab	pà, papi 	pate 	attan/tata 	pare 	patri 	patre 	pai 	pá/padre 	pai 	pare 
44 	animal 	animal 			animal 	animal 	animal 	animal 	animale 	vietate, animal 	animal 	animau 	animal	animàa(l) 	animal, nimmal 	animal 	bestia 	armalu 	vèstia, animale 	animal 	animal 	animal 	animal 
45 	fish 	piscis 			peixe 	pez 	peix 	poisson 	pesce 	pește 	peis 	peish 	pesch	péss 	pexe 	pexe 	pese 	pisci 	pésce 	peixe 	pexe 	peix 	peix 
46 	bird 	avis, aucellus / avicellus (diminutive) 			ave, pássaro 	ave, pájaro 	ocell, au 	oiseau 	uccello 	pasăre 	aucèl 	ausèth 	utschè	üsèl 	auciello 	auciddo 	usel 	acieddu 	céllu 	ave, paxaro 	ave, páxaru 	au, muixón, paixaro 	ocell 
47 	dog 	canis 			cão 	perro, can (rare) 	gos, ca 	chien 	cane 	câine 	gos, can, chin 	can 	chaun	caŋ 	can 	con 	can 	cani 	cà 	can 	perru 	can, cocho 	gos 
48 	louse 	pēdis, pēdīculus (diminutive) 			piolho 	piojo 	poll 	pou 	pidocchio 	păduche 	pesolh 	pedolh 		piö`cc 	perucchjo 	perucchjo 	pedocio 	pirocchiu 	pedocchjiu 	piollo 	pioyu 	piollo/pedullo 	poll 
49 	snake 	serpēns, (genitive pl : serpentis), anguis, colūbra 			serpe, serpente, cobra 	serpiente, culebra, sierpe (obs.) 	serp 	serpent 	serpe, serpente 	șarpe 	sèrp 	sèrp 	serp	serpéent 	serpa 	serpa 	bisa 	sirpenti 	sèrpa, sèrpu 	cobra, cóbrega, serpe, becha 	culiebra 	serpient, cullebra 	serp 
50 	worm 	vermis 			verme 	gusano, verme (Zool.) 	cuc 	ver 	verme 	vierme 	vèrm 	vèrmi 		giuanìŋ, biótt 	vierme 	verme 	verme 	vermi 	vèrmene-jèrmene(worm)/vìsculu(earthworm)]] 	verme, miñoca 	viérbene, guxán, cocu 	cuco, lombrigo 	cuc 
51 	tree 	arbor 			árvore 	árbol 	arbre 	arbre 	albero 	arbore, copac 	aubre 	arbe, arbo 	planta	piànta 	chianta 	chianta 	pianta 	chianta 	arburu, arberu 	árbore 	árbol 	arbol 	arbre 
52 	forest 	silva, foresta (vulg.), boscus (vulg.) / (dense wood, bushes) 			floresta, bosque, selva 	bosque, floresta, selva 	bosc, forest (rare) 	forêt, sylve (rare), bois 	foresta, bosco, selva (rare) 	pădure 	bòsc 	bòsc 	guaud	bósch //’boʃk// 	vosco 	vosco 	bosco 	voscu 	voscu 	monte, bosque 	viesca 	selva 	bosc 
53 	stick 	fustis, baculum 			bastão, pau, vara 	palo, vara, bastón (cane) 	bastó, pal 	bâton 	bastone, rametto 	băț, baston 	baston 	barròt 	bastun	bastùŋ 	mazza 	mazza 	baston 	vastuni 	vasto' 	pau, vara 	palu 	tocho 	bastó 
54 	fruit 	fructus, frūx 			fruto, fruta 	fruto, fruta 	fruit, fruita 	fruit 	frutto 	fruct 	fruch 	frut 	fritg	frü`t 	frutta pl 	frutta 	fruto 	fruttu 	fruttu 	froito sg, froita pl 	frutu 	fruito, fruita 	fruita 
55 	seed 	sēmen 			semente 	semilla 	llavor, semença (rare) 	semence 	semente, seme 	sămânță, grăunte 	semen, grana 	semi, grana 	sem	sém 	sementa 	sementa 	seme 	semenza 	"seme(noun)/somentà(""to sow"") "	semente 	semiente 	simient 	llavor 
56 	leaf 	folium 			folha 	hoja 	fulla 	feuille 	foglia 	frunză 	fuèlha, fuòlha 	huelha 	fegl	fö`ja 	fronna 	foja 	foja 	fogghia 	fòja 	folla 	fueya 	fuella, folla 	fulla 
57 	root 	rādīx, (genitive sg : rādīcis) 			raiz 	raíz 	arrel, rel 	racine 	radice 	rădăcină 	rasiga 	arraditz 	ragisch	radìsa 	recina, rarece 	rareca 	radise 	rarica 	ràdeca 	raíz 	raíz, raigón 	radiz 	arrel 
58 	bark 	cortex 			casca 	corteza 	escorça 	écorce 	corteccia, scorza 	scoarță 	rusca 	arrusca 	scorsa	scòrza, pèll 	scorza 	scorza 	scorza 	scorcia 	scòrza 	casca, cortiza, tona, carapa 	corteya 	crosta 	escorça 
59 	flower 	flōs, (genitive sg : floris) 			flor 	flor 	flor 	fleur 	fiore 	floare 	flor 	hlor 	flur	fiùu 	ciur 	fiur 	fior 	ciuri 	fiore 	flor 	flor 	flor 	flor 
60 	grass 	herba 			erva 	hierba 	herba 	herbe 	erba 	iarbă 	èrba 	èrba 	erva	èrba 	hèvera 	herba 	erba 	èrba 	èrba 	herba 	yerba 	hierba 	herba 
61 	rope 	fūnis, chorda (string) 			corda 	cuerda 	corda 	corde 	corda 	sfoară, frânghie, coardă 	còrda 	còrda 	corda	còrda 	fona 	zoca 	corda 	corda 	còrda, cànapu 	corda 	cuerda 	cuerda, soga 	corda 
62 	skin 	cutis, pellis (animal hide / skin) 			pele 	piel 	pell 	peau 	pelle 	piele 	pèl 	pèth 	pel	pèll 	pèlle 	pedde 	pele 	peddi 	pèlle, coteca 	pel 	piel, pelleyu 	piel, pelello, pelleta 	pell 
63 	meat (flesh) 	carō, (genitive sg : carnis) 			carne 	carne 	carn 	chair, (food) viande 	carne 	carne 	carn 	carn 	charn	càrna 	carne 	carne 	carne 	carni 	carne 	carne 	carne 	carne 	carn 
64 	blood 	sanguis, cruor 			sangue 	sangre 	sang 	sang 	sangue 	sânge 	sang 	sang 	sang	sàanch, sàang 	sango 	sango 	sangue 	sangu 	sangue, sanguo(rustic) 	sangue 	sangre 	sangre 	sang 
65 	bone 	os, (genitive sg : ossis) 			osso 	hueso 	os 	os 	osso 	os 	òs 	òs 	oss	òss 	huosso 	usso 	oso 	ossu 	ossu 	óso 	güesu 	ueso 	os 
66 	fat (noun) 	adeps, grassus / crassus (vulg.) 			gordura 	grasa 	greix 	gras 	grasso 	grăsime 	grais 	greish 	grass	grass 	cihuotto 	ciutto 	graso 	[[]] 	grassu, lardéllu(derogatory) 	graxa, pingo, saín 	grasa, untu 	graixa 	greix 
67 	egg 	ōvum 			ovo 	huevo 	ou 	œuf 	uovo 	ou 	uòu 	ueu 	ov	ööf 	òvo 	ùvo 	ovo 	ovu 	òvu, ou 	ovo 	güevu 	uego 	ou 
68 	horn 	cornū 			corno 	cuerno 	banya 	corne 	corno 	corn 	bana 	còrna 	corn	còrnu 	corno 	corno 	corno 	cornu 	cornu 	corno, cacho 	cuernu 	cuerno 	banya 
69 	tail 	cauda 			cauda 	cola 	cua 	queue 	coda 	coadă 	coá 	coda 	cua	cùa 	cora 	cora 	coda 	cura 	coda 	rabo 	rabu 	coda 	cua 
70 	feather 	plūma, penna 			pluma 	pluma 	ploma 	plume 	piuma 	pană, fulg 	pluma 	pluma 	plima, penna	péna, piü`m 	penna 	penna 	pena 	pinna 	pénna, piùmma 	pluma 	pluma 	pluma 	ploma 
71 	hair 	capillus, coma, pilus 			cabelo, pelo 	cabello, pelo 	cabell, pèl 	cheveu, poil (rare) 	capello, pelo (rare) 	păr 	pel 	peu 	pail, chavel	pél, cavél 	capillo 	capiddo 	cavel 	capiddu 	capìju 	pelo, cabelo, guedellas 	pelo, pelu 	pelo/pel 	pèl, cabell 
72 	head 	caput 			cabeça 	cabeza 	cap 	tête, chef (rare) 	testa, capo (rare) 	cap 	cap 	cap 	chau, testa	cò, cràpa 	capa 	capa 	crapa, testa 	capu 	tèsta, mazzòcca-zòcca(kidding) 	cabeza, testa, cachola 	cabeza, tiesta 	cabeza, tozuelo 	cap 
73 	ear 	auris, auricula (diminutive) 			orelha 	oreja 	orella 	oreille 	orecchio 	ureche 	aurelha 	aurelha 	ureglia	urégia 	recchja 	gurecchja 	recia 	arìcchi 	récchia 	orella 	oreya 	orella 	orella 
74 	eye 	oculus 			olho 	ojo 	ull 	œil 	occhio 	ochi 	uèlh, uòlh 	uelh 	egl	ócc 	uocchjo 	ucchj 	ocio 	occhiu 	occhjiu 	ollo 	güeyu 	uello 	ull 
75 	nose 	nāsus, nāris (nostrils, nose of animals) 			nariz 	nariz 	nas 	nez 	naso 	nas 	nas 	nas 	nas	naas 	naso 	nasca 	naso 	nasu 	nàsu, nàsca(big nose) 	nariz 	ñariz 	nariz, naso 	nas 
76 	mouth 	ōs, (genitive sg : oris) 			boca 	boca 	boca 	bouche 	bocca 	gură 	boca 	boca 	bucca	bóca 	vocca 	vocca 	boca 	vucca 	vocca 	boca 	boca 	boca 	boca 
77 	tooth 	dēns, (genitive sg : dentis) 			dente 	diente 	dent 	dent 	dente 	dinte 	dent 	dent 	dent	déent 	riente 	rente 	dente 	renti 	dènte 	dente 	diente 	dient 	dent 
78 	tongue 	lingua 			língua 	lengua 	llengua 	langue 	lingua 	limbă 	lenga 	lengua 	lieunga	língua 	lengua 	lenga 	lingua 	lingua 	lengua 	lingua 	llingua 	luenga 	llengua 
79 	fingernail 	unguis, ungula (nails / claws of an animal) 			unha 	uña 	ungla 	ongle 	unghia 	unghie 	ongla 	ungla 	ungla	ü`ngia 	ogna 	ogn 	ongia 	ungja 	ogna, ugna 	uña, unlla 	uña 	unya, ungla 	ungla 
80 	foot 	pēs, (genitive sg : pedis), pedīculus (diminutive) 			pé 	pie 	peu 	pied 	piede 	laba piciorului 	pè 	pè 	pe	pè 	per 	per 	pie 	pedi 	pède, pè 	pé 	pie 	piet, peu 	peu 
81 	leg 	crūs, perna (thigh bone) 			perna 	pierna 	cama 	jambe 	gamba 	picior 	camba 	cama 	chomma	gàmba 	coxa, jamma 	cossa 	gamba 	jamma 	"gàmma(""leg"")/ciànga(""leg""-old rustic)/còssa(""thigh"") "	perna 	pierna 	garra 	cama 
82 	knee 	genū, geniculum (diminutive) 			joelho 	rodilla, hinojo (old-f.) 	genoll 	genou 	ginocchio 	genunchi 	genolh 	jolh 	schanugl	ginö`cc 	denucchjo 	renucchjo 	genocio 	rinocchiu 	ginocchjiu/jenocchjiu 	xeonllo 	rodiya 	chenullo, rodeta 	genoll 
83 	hand 	manus 			mão 	mano 	mà 	main 	mano 	mână 	man 	man 	maun	maŋ 	mmana 	mana 	man 	manu 	mà 	man 	mano 	man 	mà 
84 	wing 	āla 			asa 	ala 	ala 	aile 	ala 	aripă 	ala 	ala 	ala	àla 	ala 	ala 	ala 	ala 	ala 	á 	ala 	ala 	ala 
85 	belly 	venter, abdōmen 			ventre, barriga 	vientre, barriga 	ventre, panxa 	ventre 	ventre 	burtă, vintre, pântece 	ventre 	vente 	venter	pànza 	panza 	panza 	panza 	panza 	panza, trìppa 	barriga, bandullo, ventre 	banduyu, barriga 	pancha 	panxa 
86 	guts 	intestīna, chorda (intestine) 			tripas pl, entranhas pl, intestinos pl 	tripas pl, intestinos pl, entrañas pl 	budells pl, intestins pl, tripes pl 	entrailles pl, tripes pl, intestins pl 	intestini pl 	mațe, măruntaie 	tripa, budèl 	tripa, budèth 	begl	[[]] 	stentine 	stentine 	budela 	vureddu 	vudèlle, ventràmi 	tripas, androllas, butelos 	coraes 	budiellos 	budells 
87 	neck 	collum, cervīx, nucha (nape) 			pescoço, colo (rare), nuca (nape) 	cuello, nuca (nape) 	coll, nuca (nape) 	cou, nuque (nape) 	collo, nuca (nape) 	gât 	còl 	còth 	culiez	còl 	cuollo 	cuddo 	colo 	collu 	collu 	pescozo 	pescuezu 	fogueta 	coll 
88 	back 	tergum, dorsum 			costas pl / (human), lombo (animal) 	espalda (human), lomo (animal) 	esquena (human), llom (animal) 	dos 	schiena (human), dorso (animal) 	spate, spinare 	esquina 	arrea, esquia 	dies	schéna 	rina 	rina 	schena 	schinu 	schiéna 	lombo, costas 	llombu 	espalda, esquena 	esquena 
89 	breast 	pectus, mamma, sinus 			peito, seio 	pecho, seno 	pit, si 	poitrine, sein 	petto, seno 	piept 	pièch, pitre 	pieit 	pèz, sain	[[]] 	pietto 	pitto 	peto, teta 	pettu 	pettu 	peito 	pechu 	peito 	pit 
90 	heart 	cor, (genitive sg : cordis) 			coração 	corazón 	cor 	cœur 	cuore 	inimă 	còr 	còr 	cor	cöör 	cor 	cor 	cor 	cori 	còre 	corazón 	corazón 	corazón 	cor 
91 	liver 	iecur, fīcātum (vulg.) 			fígado 	hígado 	fetge 	foie 	fegato 	ficat 	fetge 	hitge 	gnirom, dir	[[]] 	fécheto 	fehato 	fedigo 	fecatu 	fécatu, fétecu 	fígado 	fégadu 	figado 	fetge 
92 	drink 	bibere 			beber 	beber, tomar 	beure 	boire 	bere 	a bea 	beure 	béver 	baiver	béf 	vvéver 	veve 	bever 	biviri 	bée, bé-vée, vé 	beber 	beber 	beber 	beure 
93 	eat 	edere, mandūcāre, comedere 			comer 	comer 	menjar 	manger 	mangiare 	a mânca 	manjar 	minjar 	mangiar	mangià 	magnà 	mancià 	magnar 	manciàri 	magnà 	comer 	comer 	minchar 	menjar 
94 	bite 	mordēre 			morder 	morder 	mossegar 	mordre 	mordere 	a mușca 	mossegar 	mòrder 	morder	cagnà 	mozzecà 	muzzecà 	morsigar 	muzzicàri 	moccicà, moccecà 	morder, trabar 	morder 	mosegar 	mossegar 
95 	suck 	sūgere 			chupar 	chupar 	xuclar 	sucer 	succhiare 	a suge 	chucar 	chucar 		ciücà 	zucà 	sucà 	ciuciar 	sucari 	succhià, surchià(intensive) 	chuchar 	chupar 	chorrupar, laminar 	xuclar, llepar 
96 	spit 	spūtāre, spuere, exconspuere 			cuspir 	escupir 	escopir 	cracher 	sputare 	a scuipa 	escopir 	escupir 	spidar	sputà 	sputà 	sputà 	spudar 	sputari 	sputà 	cuspir 	cuspir 	escupir 	escopir 
97 	vomit 	vomere, vomitāre 			vomitar 	vomitar 	vomitar 	vomir 	vomitare 	a vomita 	racar 	vomir 		[[]] 	vummecà 	remètter 	vometar 	vumitari 	vomità, vometà-gomità, gometà 	vomitar 	vomitar 	vomecar, vomegar 	vomitar 
98 	blow 	flāre, sufflāre 			soprar 	soplar 	bufar 	souffler 	soffiare 	a sufla 	bofar 	bohar 	sufflar, buffar	bofà 	xuxà 	jatà 	sofiar 	sciusciari 	"soffià, cioffià(""snort"") "	soprar, bufar 	soplar 	bufar, soflar 	bufar 
99 	breathe 	spīrāre, respīrāre 			respirar 	respirar 	respirar 	respirer 	respirare 	a respira 	alenar 	alenar 	respirar, fladar	respirà 	reciatà 	respirà 	respirar 	sciatàri 	respirà, rispirà 	respirar 	respirar, alendar 	respirar 	respirar 
100 	laugh 	rīdēre 			rir 	reír 	riure 	rire 	ridere 	a râde 	rire 	arríder 	rir	riid 	rirer 	rir 	rider 	rìdiri 	rìde 	rir 	rir 	redir 	riure 
101 	see 	vidēre 			ver 	ver 	veure, vore 	voir 	vedere 	a vedea 	veire, véser 	véder 	vesair	vedé 	verè 	verè 	veder 	virìri 	vedé/véde 	ver 	ver 	veyer 	veure 
102 	hear 	"audīre, intendere (rare, meaning ""to understand"") "			ouvir 	oír 	sentir 	entendre, (obs.) ouïr 	udire 	a auzi 	ausir, entendre 	audir, enténer 	udir	sentì 	sènter 	sentì 	sentir 	sièntiri 	sintì/ntènne 	oír, ouvir 	oyer, sentir 	sentir 	sentir 
103 	know 	scīre, sapere (to be wise) 			saber 	saber 	saber 	savoir 	sapere 	a ști 	saber, saupre 	saber 	savair	savé 	sapè 	sapè 	saver 	sapiri 	sapé/conosce 	saber 	saber 	saber 	saber 
104 	think 	putāre, cōgitāre, pēnsāre (to consider) 			pensar 	pensar 	pensar 	penser 	pensare 	a gândi 	pensar 	pensar 	pensar	pensà 	penzà 	penzà 	creder 	cririri 	penzà 	pensar, coidar 	pensar 	pensar 	pensar 
