№	English					
8	that	𓊪𓅱𓇋𓇋		 this, that	whoi: who	
8	that	𓊪𓆑		 that 		
8	that	𓊪𓆑 𓄿 𓈐		 that 	whos : what	
8	that	𓊪𓆑 𓏮		 that 	whos / pfush / of	
8	that	𓏏𓅱		 this, that	tun, den, dem, denn	
8	that	𓏏𓅱𓇋𓇋		 this, that		
8	that	𓏏𓆑		 that 	diesen!	
8	that	𓏏𓆑 𓄿		 that 	dieser	
9	here	𓂧 𓏮 𓈐		here, there 	da / dort! there++	
9	here	𓈖𓄿		 this, these, the, here, hither 	nah 那 nà 	
9	here	𓉻 𓂝 𓄿 𓇋𓇋𓈐		here, there, yonder	a'here	
9	here	𓉻 𓂝 𓈐		here, there, yonder	ahere	
9	here	𓉻 𓂝 𓈐		here, there, yonder	dort / doat ⇔ Duat	
10	there	𓂜 𓃹 𓈖𓏏		there is/are not	no sant / nich find << no phund +++	
10	there	𓂜𓈖𓄙 𓅓 𓅱𓏏𓅱𓆛		there will never be his like again	non refrunt ü ihn!	
10	there	𓂜𓈖𓄙 𓅱𓏏𓏮 𓆑		there will never be his like again	non re utti 'sin / none again other his	
10	there	𓂧 𓏮 𓈐		here, there	there++ / da / thy-pass / dry-pass / le.ther._ 2 ➙ / there	
10	there	𓄤 𓊪𓅱		not, there is not	un-gut = not	
10	there	𓇋𓅓		there, therein, therewith, therefrom	over	
10	there	𓉻 𓂝 𓄿 𓇋𓇋𓈐		here, there 	thaairee there <> Tor!	
11	who	𓅓 𓂝		 who ?, what ?	mwho? / mwa?	
11	who	𓅓 𓂟		 who ?, what ?	mwho?	
11	who	𓈖𓅓 𓂝		who ?	mnwo? who?	
11	who	𓊄	 𓇋𓇋	who ?, what ?	qui? che? que? ⇔ zieh? si? !! ←	
11	who	𓊄 𓏮 𓏛		who ?, what ?	qui? / que?	
11	who	𓊪𓅱		 who ?, what ?	pw: who	
11	who	𓊪𓏏𓂋		 who ?, what ?	what are / whater?	
11	who	𓋴		who ?, what ?	ge? que / is? / ws?	
11	who	𓏶		who is in, which is in	"whom / west? / ""who is it"""	
12	what	𓂋 𓅓 𓅓 𓂡 𓏴		 to what purpose ?	refur for what END	
12	what	𓅓 𓂝		 who ?, what ?	mwho? / mwa?	
12	what	𓅓 𓂟		 who ?, what ?	mwho?	
12	what	𓇋𓅱𓂜 𓏏𓏏		what is not, does not exist	ain't / anti / unnotith / ein-nitth	
12	what	𓇋𓍱 𓈙 𓋴𓏏		what ?, wherefore ?	eschschsht?? ++  / ⇔	
12	what	𓇋𓍱 𓊃𓏏𓀁		 what ?	veschzt?	
12	what	𓇋𓐍 𓏛		then, therefore, what ?	echt? ←	
12	what	𓇓𓅱𓏏𓆑		what is his	... sunt sin +	
12	what	𓈖𓅓 𓂝		 who ?, what ?	mnwo? who? no why. / an fro? / nma?	
12	what	𓊄		who ?, what ?	qui? che? que? ⇔ zieh? !! ←	
12	what	𓊄		who ?, what ?	si?	
12	what	𓊄 𓇋𓇋		who ?, what ?		
12	what	𓊄 𓏮 𓏛		who ?, what ?	qui? / que?	
12	what	𓊪𓅱		 who ?, what ?, whichever	who	
12	what	𓊪𓏏𓂋		 who ?, what ?	what are / whater?	
12	what	𓋴		who ?, what ?	ge? / is? / ws?	
12	what	𓋴𓄤		© make beautiful, embellish, restore , carry out 	 schönern 	
12	what	𓋴𓄤 𓆑 𓂋 𓏛		© make beautiful, embellish, restore , carry out 		
12	what	𓋴𓍯 𓄿 𓏏		what is past	throairt ⇔ throw⇔back⇔past? / s'roady:fern +-+	
12	what	𓏏𓀜		what is good, profitable, useful		
12	what	𓏏𓊪𓏮 𓆵 𓀁		 who ?, what ?	abbrev: ittr ⇔ interogate ← / weather? / what	
12	what	𓏠 𓈖𓏏𓅪  𓏥		malady, what is harmful, suffering   -vål		
12	what	𓐍 𓃀 𓂧 𓏏𓅪  𓏥		be hateful, what is hateful   -vål	kheidt-ful / hateful / ➙ ƒ?	
12	what	𓐍 𓃀 𓆓		be hateful, what is hateful		
12	what	𓐍 𓅜 𓏏𓏥		what is good, profitable, useful	great? / graxat  / akurat / gut! / //////////////////////	
12	what	𓐍 𓏮		what ?	ѥi? / ge? / que? / qui? / what? / geht? / gut?	
13	where	𓍿𓈖𓌙 𓅯		 where ?, whence ?	 cuand cwhence quando?	
13	where	𓏏𓈖𓌙 𓅯		  where ?, whence ?	 donde-que?	
13	where	𓏏𓈖𓌙 𓅯 𓈐		  where ?, whence ?	 donde-query?	
13	where	𓏏𓈖𓌙 𓅯 𓈐		 where ?, whence ?	zhenar? ← / than?	
13	where	𓏏𓈖𓏮 𓌙 𓅯 𓈐		 where ?, whence ?		
13	where	𓏏𓈖𓏮 𓌙 𓅯 𓈐		  where ?, whence ?	"donde? ++++ / ""way?"" = where ++"	
13	where	𓍿𓈖𓌙 𓅯		 where ?, whence ?		
13	where	𓏏𓈖𓌙 𓅯		  where ?, whence ?		
13	where	𓏏𓈖𓌙 𓅯 𓈐		  where ?, whence ?		
13	where	𓏏𓈖𓌙 𓅯 𓈐		 where ?, whence ?	zhenar? ← / than?	
13	where	𓏏𓈖𓏌𓅱𓌙 𓅯		  where ?, whence ?		
13	where	𓏏𓈖𓏌𓅱𓌙 𓅯		 where ?, whence ?	~donde! +++++ ES	
13	where	𓏏𓈖𓏮 𓌙 𓅯 𓈐		 where ?, whence ?		
13	where	𓏏𓈖𓏮 𓌙 𓅯 𓈐		  where ?, whence ?	"donde? ++++ / ""way?"" = where ++"	
14	when	𓅓		with, by means of, from, out of, as, namely, when, as, though, together with	mi,mwi	
14	when	𓅯𓅯	quan	when?	 quando? qwhen swan 𓍿𓈖𓌙𓅯 quenta whence	
14	when	𓅯𓅯		when?	 随时 suíshí 何时 héshí 几时 jǐshí	
14	when	𓇋𓅓		in, with, by means of, from, out of, as, namely, when, as, though, together with	a'for / ever / over	
14	when	𓐍 𓆑		when, according to, at the time of, when,  to 	ex-sun / as soon	
14	when	𓐍 𓆑 𓏏	qvndo++	when, according to, at the time of, when,  to 	 quando, when	
14	when	𓐍 𓏏𓆑		when, according to, at the time of, when,  to 	 in front of, in accordance	
15	how	𓅨 𓂋		greatness , sufficiency , excess , much, how much ?		
15	how	𓅱	hw!?	 how !	mwy = my ! ja moi! ma: ... ,ma? ,ne? / hun??  /  hown?	
15	how	𓅱𓏮		 how !	moi!	
15	how	𓏇 𓇋𓅓 𓂝		 how ?	mi fro? / like what?	
15	how	𓐍 𓏮 𓐪 𓂧 𓂂 𓏛 𓎡		how are you ?	cMO? / ¿Qué pasa tu? ES!	
16	not	𓂋 𓀀		 	r-er	
16	not	𓂋 𓆑		 not to be translated	ar sin / reason  / resolve -- / rest? / ref / argon / ___ ??? ← enclitic OK	
16	not	𓂋 𓋴		 not translated	res / arg / ares	
16	not	𓂋 𓎡		 	rek / right / rethn ← tassen	
16	not	𓂜		 not		
16	not	𓂜 𓃹 𓈖𓏏		there is/are not	no sant / nich find << no phund +++	
16	not	𓂜 𓅱𓏏		who.......not, which.......not	nix ... und	
16	not	𓂜 𓅱𓏏𓏏		what is not, does not exist	no entitee ! ?!? !?	
16	not	𓂜 𓇋𓋴		indeed not, if not, unless	nix is!	
16	not	𓂜𓈖		 not	nein!	
16	not	𓂜 𓏏𓏏𓅪  𓏥		what is not, does not exist   -vål	not t*val ?	
16	not	𓂜 𓏏𓏮 𓅪		who.......not, which.......not   -vål		
16	not	𓃀		BR see bronze? not common ➙ later! pain ohne r d komplex fT/chT	brich ⇔ brech ⇔ bake?  ⇔ phyr Feuer! / ⇔ bitten, beten, pat / 3 *bʰrew- ‎ broad! ⇔brand / brew breu ! Older than egypt? Alternative etymologies derive ... ^^^ / ⇔ Albanian brydh ‎, English brittle ⇔ *bʰera- : beat BAT← STRONG! / ←	
16	not	𓃀 𓈞 𓏏		a mineral 	bründ = Bern-Stein	
16	not	𓃀 𓎸 𓄑 𓈒 𓏥		a mineral 	binza ~ bern	
16	not	𓄤 𓆑 𓂋 𓊪𓅱		not	gut-un / ungut	
16	not	𓄤 𓈖		not	?	
16	not	𓄤 𓊪𓅱		not, there is not	un-gut = not	
16	not	𓅓		 do not	mne!	
16	not	𓅓 𓁹		 do not	ver-meid ++ DE / mei 沒 méi ! ⇔ 莫 mò = no ¬	
16	not	𓅓 𓂋 𓂝		let not	mero? / faire-a ES+	
16	not	𓅓 𓂜		 do not	ma...! / mno...! / ne...! / nma..! / nimmer = niemals...! / nma..!	
16	not	𓅓 𓂝		 	ma?	
16	not	𓅓 𓂟		 		
16	not	𓅱𓂜	mun-	 not	 !! 没 [沒] méi	
16	not	𓅱		 not	un- !! @ EN / mo @ GR ++	
16	not	𓇋𓂋 𓆑		 		
16	not	𓇋𓅱𓂜 𓍘 𓇋		who.......not, which.......not	un-noti / unti / 'noti	
16	not	𓇋𓅱𓂜 𓏏		who.......not, which.......not		
16	not	𓇋𓅱𓂜 𓏏𓏏		what is not, does not exist	ain't / anti / unnotith / ein-nitth	
17	all	𓂋 𓋴𓋴		quite, entirely, at all	rest, der Rest ++++ EN/DE	
17	all	𓂋 𓏤 𓋴𓏮 𓈐		quite, entirely, at all		
17	all	𓅅		hor+all = 'al.ho'n =falcon?		
17	all	𓅓 𓃀 𓅱𓌡 𓏤		all together	im pan! ← / ample	
17	all	𓇾 𓅓 𓅱𓀀 𓏥 𓁐		all men	terra-for-unners = land für andere : / foreigners! ++ / Sterbrener	
17	all	𓇾 𓍃 𓅓 𓏥		all men	tout-all :total / humans ← chaimans	
17	all	𓇿 𓇿 𓈅 𓈅 𓏏𓍃 𓀀 𓏥 𓁐		all men		
17	all	𓇿 𓇿 𓍃 𓅓 𓏛 𓀀 𓁐 𓏪		all men		
17	all	𓇿 𓇿 𓍃 𓅓 𓏛 𓀀 𓁐 𓏪		all men	tauri litvers	
17	all	𓇿 𓇿 𓍃 𓅱		all men		
17	all	𓇿 𓇿 𓏏𓍃 𓅓 𓏜		all men		
17	all	𓊵   𓊵 𓊪𓏏		'hotep' written  'peace' 1900 BC all good!	https://en.wikipedia.org/wiki/Djehutihotep	
17	all	𓊵 𓏏𓉐𓏐𓏊     𓆼𓄿𓇋𓇋𓏏𓊯  𓆩𓏏𓊯  𓄑𓏏𓊵		R4 diu.pitair➙all.pitar,altar!,tóir,←taur>,,tor,tür,,toll, tod,tot, please, polis,  Leuter/Tauter! Laterne tootha		
17	all	𓎛 𓂝 𓄻 𓃒		all people	^^ kho?body ?	
17	all	𓎟		any, every, all		
17	all	𓐍 𓏏		all well and good	gut	
18	many	𓁨 𓈖		many	Hoch / Many : /  the Fen! goddess	
18	many	𓂝 𓈙 𓄿 𓆈		many, numerous, much, plentiful, ordinary, quantity, multitude	esher / exa ~> extra... qed	
18	many	𓄜 𓆄		many coloured of plummage 		
18	many	𓅨 𓂋		great, much, many, eldest, important	verry	
18	many	𓆈		many, numerous, much, plentiful, ordinary, quantity, multitude		
18	many	𓆈 𓄿 𓏏𓀀 𓏥		multitude , company , the many, the masses		
18	many	𓆈 𓄿 𓏥		many, numerous, much, plentiful, ordinary, often		
18	many	𓆈 𓏏𓏥		the many, the masses		
18	many	𓆈 𓏥		many, numerous, much, plentiful, ordinary, quantity, multitude		
18	many	𓉻 𓏏𓏯 𓈙 𓏥		 many, numerous		
18	many	𓊹      𓊹		many words, nTr alone has 		
18	many	𓋴𓍋 𓃀 𓆄 𓏏𓏤 𓆃 𓏥		many coloured of plummage 		
19	some	𓈖𓉔 𓅪  𓈒 𓏥		some, a little, a few  -vål	"nonulli ! ← / Notfall / Notfälle / anhuner / anhunfall / Naouen-Fall? / ⇔ Unfall, Notfall ? / ""no-hen-full""  / ""no-hand-fall"" /"	
19	some	𓈖𓉔 𓅱𓏮 𓀀 𓏥		some, a little, a few		
19	some	𓈖𓉔 𓏮 𓅪  𓈒 𓏥		some, a little, a few   -vål	nonulli! / ⇔ DE/EN?	
19	some	𓈖𓎡 𓏏𓏲 𓅪  𓏥		 some, a little   -vål	injtance-fall / instance-fall	
19	some	𓈖𓎡 𓏏𓏴 𓏛		some, a little, something, piece , profit, advantage	injtend / instant instance	
20	few	𓂝 𓈖𓂧 𓅪		few, scarcity, fewness, be diminished   -vål	scant? / handvoll / under-full	
20	few	𓂝 𓈖𓂧 𓏏𓅪		the few    -vål	handvoll+	
20	few	𓈖𓉔 𓅪  𓈒 𓏥		some, a little, a few  -vål	"nonulli ! ← / Notfall / Notfälle / anhuner / anhunfall / Naouen-Fall? / ⇔ Unfall, Notfall ? / ""no-hen-full""  / ""no-hand-fall"" /"	
20	few	𓈖𓉔 𓅱𓏮 𓀀 𓏥		some, a little, a few		
20	few	𓈖𓉔 𓏮 𓅪  𓈒 𓏥		some, a little, a few   -vål	nonulli! / ⇔ DE/EN?	
21	other	𓄝 𓏏𓂻		see under other entries for sTA		
21	other	𓇅 𓅱𓏜		see other entries under wD 		
21	other	𓋴𓍬 𓂻		see under other entries for sTA		
21	other	𓋴𓍿𓄿 𓍢 𓊃		see under other entries for sTA		
21	other	𓋴𓍿𓍬 𓄿 𓊃		see under other entries for sTA		
21	other	𓋴𓍿𓍬 𓊃		see under other entries for sTA		
21	other	𓋴𓏏𓄝 𓄿 𓍬 𓂻		see under other entries for sTA		
21	other	𓋴𓏏𓍔 𓄿 𓋴𓍬 𓂻		see under other entries for sTA	see under other entries for sTA	
21	other	𓋴𓏏𓍔 𓄿 𓍬 𓂻		see under other entries for sTA		
21	other	𓋴𓏏𓍔 𓄿 𓍬 𓂻 𓋴𓂻		see under other entries for sTA		
21	other	𓋴𓏏𓍔 𓍬 𓂻		see under other entries for sTA		
21	other	𓋴𓏏𓍬 𓂻		see under other entries for sTA		
21	other	𓋴𓐠 𓄿 𓏏𓍬 𓂻		see under other entries for sTA		
21	other	𓍬 𓂻		see under other entries for sTA		
21	other	𓍬 𓏏𓂻		see under other entries for sTA		
21	other	𓍬 𓏏𓄿 𓂻		see under other entries for sTA		
21	other	𓎘 𓅱𓆓 𓏛		see other entries under wD 		
21	other	𓎡 𓏏		 other, another	xatto	
21	other	𓎡 𓏮		 other, another		
22	one	𓀗 𓀀		hieryer➙Arier!! Gerier! great one, magnate		
22	one	𓀸 𓅱𓂡 𓂋 𓇍 𓇋𓏏𓆑		one whose coming is awaited		
22	one	𓁹 𓅓 𓌨 𓂋 𓅱𓏛 𓏥		govern , do one's business, provide for 	mach Frkyruters	
22	one	𓂋 𓂞 𓁷 𓐛 𓏤		put  on  side, lay low 		
22	one	𓂋 𓂞 𓁷 𓐛 𓏤		incline to one side , show partiality 	reich ob part	
22	one	𓂋 𓂞 𓅓 𓁷 𓏤		command, appoint, call the attention, call one's attention to		
22	one	𓂋 𓂞 𓅓 𓄣 𓏤		determine, place in one's heart, prompt		
22	one	𓂋 𓈖		young one 	Ren ++ ENDE	
22	one	𓂢		land cubit 	Elle	
22	one	𓂧		palm , one seventh of a cubit  vs leed	kaff : palm of hand Per kaf / ⇔ Koffer, kaufen, kapern, chef, scheffeln, Scheffel, schaffen, schuften, schauffel! Schaft / khaff chaff ⇔	
22	one	𓂧  𓄣  𓏤  𓂋		set one's heart on D46 F34 Z1 D21		
22	one	𓂧 𓄣 𓏤 𓂋		set one's heart on	do? heart ar / cheir~care? heart à	
22	one	𓂧 𓍯 𓇼 𓅐 𓆑 𓏏𓅆		 Duamutef	sto.mach !	
22	one	𓂭 𓏤		finger, thumb, toe, digit ,,	pointer foinger pent 5th order OK / point ⇔ bohent : bohen bo'-hen photoe/toemb:thumb bi/two! Bohen/Zehen zboHe*	
22	one	𓂭 𓏤		finger, thumb, toe, digit ,,	pointer foinger pent 5th order OK / point ⇔ bohent : bohen bo'-hen photoe/toemb:thumb bi/two! Bohen/Zehen zboHe*	
22	one	𓄩 𓐍 𓇋𓇋𓏏		revered one 	corkyt / kuryt / 'great'? ← / greet?	
22	one	𓅓 𓆞 𓄿		incline 		
22	one	𓅓 𓏏𓐍 𓏛 𓏥 𓌡 𓏏𓏤		into, as one thing, altogether		
22	one	𓅧 𓈎 𓂻 𓂋 𓏤 𓀀		one over-familiar in speech ?	checker /	
22	one	𓅨 𓂋		great one, magnate	verrer = / Pharao! / Wahrer	
22	one	𓅨 𓂋 𓀀		great one, magnate, chief, ruler 	Führer!	
22	one	𓅨 𓂋 𓈙 𓇳		spend the day, spend one's time, spend much time, wake, be awake	ver-schura / wachen	
22	one	𓅱𓂝 𓌡 𓏤	uon	+++unique, one only, sole	uno +++ wone / mwuno - / plain 	
22	one	𓆑 𓐍 𓍼 𓂻		obliterate, leave , fail 	schneck-ziehern / weg-ziehern	
22	one	𓆓 𓃀 𓂝 𓂭		finger, thumb, toe, digit ,,	span !	
22	one	𓆓 𓋴𓂋 𓂦 𓐑 𓏏𓏥		row, steer, ply one's oar		
22	one	𓇋𓂋 𓏮 𓀺 𓂋 𓂧 𓂾 𓂾		one in attendence on		
22	one	𓇋𓄩 𓐍		revered one 		
22	one	𓇋𓄩 𓐍 𓏏		revered one 		
22	one	𓇋𓊪𓏛		collect one's wits, recover one's senses, having  wits about 	vioter ⇔ wit	
22	one	𓇋𓌳 𓄩 𓐍 𓅱𓅆		revered one		
22	one	𓇋𓌴 𓐍 𓄩 𓏤 𓇋𓇋𓏲 𓀗 𓀀 𓏥		 revered one 		
22	one	𓇋𓌴 𓐍 𓇋𓇋𓄩 𓏴 𓏛 𓀀		 revered one 		
22	one	𓇹		palm , one seventh of a cubit 		
22	one	𓇼 𓄿 𓀢 𓏛 𓅐 𓀭 𓆑		 Duamutef	honor hail.glory muttia sin WTF /	
22	one	𓇼 𓅐 𓏏𓆑 𓀭		 Duamutef	Anmut Senior / An Muetsin	
22	one	𓈎 𓂝 𓎛 𓂢		bend , turn one's back		
22	one	𓈎 𓂝 𓎛 𓂢 𓂡		bend , turn one's back	^^ ⇔ corner / quortel ⇔ quarter back / corned beef	
22	one	𓈎 𓃀 𓃀		 cool, cold, cooling , calm, quiet, be purified, take one's ease		
22	one	𓈎 𓇋𓎛 𓂢		bend , turn one's back	quer / ⇔ corner	
22	one	𓈎 𓎛 𓂢		bend , turn ones back	quer/curve/coil / ku‘ : elbow ⇔ curve !!	
22	one	𓈖𓂋 𓅱		terrible one	Narr ++ / unReuen? / Neun-Auge?	
22	one	𓈖𓃀 𓇋𓏏𓊮		flaming one 		
22	one	𓈖𓆓 𓐩 𓏌𓀁𓐍 𓂋 𓏛 𓏏		greet, pay one's respects, greeting !		
22	one	𓈖𓌰 𓅓 𓂝 𓀁		be one-sided, partial, question	anmaßer menno --	
22	one	𓈖𓌰 𓅓 𓂝 𓃫 𓀜		be one-sided, partial, question		
22	one	𓈖𓌰 𓅓 𓂝 𓊋		be one-sided, partial, question	anmaß- / ⇔ / WHOMN?	
22	one	𓈖𓏴			inend / instop / ?	
22	one	𓈙 𓂝 𓏏𓏮 𓋩 𓏛 𓏥		one deben	 <> off?	
22	one	𓈙 𓆑 𓈙 𓆑 𓇋𓇋𓏏𓏮 𓄆		one greatly respected		
22	one	𓉔 𓂋 𓊪𓏛		suppress 		
22	one	𓉪 𓏏𓏏		the shrouded one 		
22	one	𓉫		the shrouded one 	bandage? Gnake / pokrývat? / shrouts, shrubs, lairs, lilith demon? / shrine ⇔ / karnaus? / ←?>κατάστιχον cadastre shrine? / ⇔> / booth, hall ⇔	
22	one	𓊃𓀀 𓏤		man, someone, anyone, -one, man of rank	Sir	
22	one	𓊃𓀀 𓏤 𓎟		everyone, each one, each	sir-all / ⇔ je.dal ? certain?	
22	one	𓊃𓅭 𓄿 𓂻 𓇍 𓆑 𓏏		one whose coming is awaited	Sinner _	
22	one	𓊃𓆰 𓏤		man, someone, anyone,  one, man of rank	ziher : Sir / ⇔ Syrer ?	
22	one	𓊃𓇋𓏤		man, someone, anyone, -one, man of rank	Sir / zione / sam'one = someone ++	
22	one	𓊃𓏤		man, someone, anyone, -one, man of rank	ßam' / some!!	
22	one	𓊏 𓊪𓇹		one seventh of a cubit 	/	
22	one	𓊪𓊃𓐍 𓂻		disarray 	whoo-zuckern -- / puder-zucker	
22	one	𓋩 𓏤 𓊌		weight and value of a twelfth of one deben		
22	one	𓋴𓂋 𓆑 𓂉 𓀁		take one's ease	greisen	
22	one	𓋴𓌂 𓅓 𓐍 𓅱𓂡 𓏥		 mighty one, Power		
22	one	𓋴𓎡 𓎝 𓄡 𓏏𓏤		pour out one's heart	⇔ scorn!?' / scourge	
22	one	𓋴𓐟 𓄿 𓈎 𓆌 𓏛 𓄣 𓏤 𓂋		set one's heart on	set kurspecter heart ar	
22	one	𓌂		 mighty one, Power		
22	one	𓌂 𓀭		mighty one, Power		
22	one	𓌂 𓃀 𓏜		present 	preier?	
22	one	𓌂 𓏤 𓏥		 mighty one, Power		
22	one	𓌙 𓏌𓏌𓏌𓎯		one of the seven sacred oils		
22	one	𓌡		one	sole, single	
22	one	𓌡 𓂝 𓏤		one, unique, one only		
22	one	𓌡 𓂝 𓏤 𓇋𓅓 𓎟		every one of them		
22	one	𓌡 𓂝 𓏤 𓎟		everyone, each one, each		
22	one	𓌡 𓏤		unique, one only, sole		
22	one	𓍅 𓏛		be ready, put one's trust , make preparation	mester	
22	one	𓍑 𓄿 𓏴 𓊛		ferry , cross 		
22	one	𓍑 𓊛		ferry , cross 	ferry / ⇔ faras : horse [Sem p-r-s, Heb parash, Syr parasha 	
22	one	𓍘		one !! thy	monthy  ← !!!!!!!!!! / hunthy ← nomen omen esse	
22	one	𓍢		one hundred	hund / hunting traženje linije	
22	one	𓍯 𓄿 𓎼		fiery one ?  H	rogue / Roairsh-Fest	
22	one	𓎔 𓇾		land cubit 	⇔	
22	one	𓎔 𓈖𓆗		the coiled one 	Grtn? ⇔ Great one : gWahret QED ~ Cobran? Guardener / ⇔ Ureanus ←➙ phallanx? / VS NYT! Ureanyth ← !!+?+!!<<	
22	one	𓎔 𓈖𓇋𓇋𓏏𓆗		 the Coiled one	Nyth ⇔ ~ North!	
22	one	𓎔 𓏛 𓄣 𓏤		one who is trusted, confidant	mNoustershear المستشار / confidant @AR +++	
22	one	𓎛 𓆰 𓈖𓎨 𓅪		control    -vål		
22	one	𓎛 𓊪𓐑 𓇋𓇋		 Hapy 		
22	one	𓎛 𓎿 𓊃𓀀		favoured, praised one		
22	one	𓎛 𓎿 𓊃𓅱𓀁		favoured, praised one		
22	one	𓎛 𓎿 𓊃𓇋𓇋𓀁𓀀		favoured one, praised one		
22	one	𓎿 𓇋𓇋𓏏		 favoured, praised one	favourit?	
22	one	𓎿 𓋴𓇋𓇋𓀀		favoured, praised one		
22	one	𓏁 𓌢 𓈖𓀭 𓏥 𓆑		 Qebehsenuef		
22	one	𓏁 𓌢 𓈖𓏌𓅱𓏥 𓆑		 Qebehsenuef		
22	one	𓏁 𓌢 𓌢 𓌢 𓆑 𓀭		 Qebehsenuef	quebath senuren / Aqua-bath Señora: Qebehsenuef / ←	
22	one	𓏏𓅱		 one	ton: man	
22	one	𓏏𓉔 𓂾 𓂻		impugn , falsify 		
22	one	𓏏𓍔 𓄿 𓇋𓇋𓏏𓏮 𓉪		the shrouded one 		
22	one	𓏏𓍯 𓅱𓏏		one of the seven sacred oils		
22	one	𓏏𓍯 𓏏𓎸		one of the seven sacred oils		
22	one	𓏜		cool, cold, cooling, calm, quiet, be purified,take one's ease		
22	one	𓏴		one quarter , one quarter of an aroura	!	
22	one	𓐍 𓅓 𓅪		be unconcious of   -vål	griefful	
22	one	𓐝 𓊃𓍘 𓇋𓀭		 Imseti		
22	one	𓐪 𓏏𓊌		kite 		
23	two	𓂋 𓅱𓏏𓏮		 two gates  DD	routes	
23	two	𓂋 𓏏𓏮 𓉐		 two gates	Arrettore	
23	two	𓂋 𓏲 𓏏𓏮		 two gates	??	
23	two	𓃀 𓈖𓏏𓏮		two baboons 	Viannas +++ ⇔ Venus! ←, / bantaoonos bonobos bonoboth  +++ ← / ⇔  Anera = morning ⇔ muarn ⇔ multi!	
23	two	𓃀 𓈖𓏏𓏮 𓃻		two baboons 		
23	two	𓇅 𓏏𓏮 𓆗 𓆗 𓎟		the two serpent goddesses of Upper and Lower Egypt	Reedtal ? / Rita / ? egal	
23	two	𓈖𓏥		 we two, us two, our, they ,them		
23	two	𓈖𓏮		 we two, us two, our, they, them	nu, nous	
23	two	𓈺  𓎤𓃀𓅂𓊖		5  Gebtu  Qift The two falcons		
23	two	𓈺  𓎤𓃀𓅂𓊖		5 !  Gebtu  Qift The two falcons		
23	two	𓉻 𓂝 𓅱𓏮 𓉿 𓉿 𓂋 𓏤		the two leaves of the door		
