List No. 	English 	Burmese မြန်မာဘာသာ 	BGN/PCGN Romanized Burmese 	PIE / Sino	Tibetan བོད་སྐད་ 	Wylie Romanized Tibetan 	Dzongkha རྫོང་ཁ 	Van Driem Romanized Dzongkha 	Romanized Karen 	Manang ŋyeshaŋ 	Romanized Tshangla Tshang lo 	Romanized Apatani
21	other 	အခြား 	a cha 	other	གཞན, གཞན་དག 	gzhan, gzhan dag 	གཞན, གཞན་མ 	zhen, zhenmi /ʑen˩, ʑen˩.mi˩/ 		ʃaŋko 		
22	one 	တစ် 	ti' 	Itch 1.ter	གཅིག 	gcig 	གཅིག 	ci /t͡ɕik̚˥/ 	ti 	4ʃi 	thur 	ako, kone, -e
23	two 	နှစ် 	hni' 	ni	གཉིས 	gnyis 	གཉིས 	'nyî /njiː˥/ 	khi 	4ŋi 	nyiktsing 	anye, anyi, -nye, -nyi
24	three 	သုံး 	thoun 	teen	གསུམ 	gsum 	གསུམ 	sum /sum˥/ 	san 	2sẽ 	sam 	hing, hing(h)e, -heñ, -hiñ
25	four 	လေး 	lei 	bzhir	བཞི 	bzhi 	བཞི 	zhi, bji /ʑi˩, pt͡ɕi˩/ 	lwi 	4pʰli 	pshi 	pɨlye, pɨlyi, -p(h)e, -pi
26	five 	ငါး 	nga 	Ingwo <<	ལྔ 	lnga 	ལྔ 	'nga /ŋɑ˥/ 	ya 	4ŋʌ 	nga 	yango(h)e, yango, -ngo(h)e, -ngo
27	big 	ကြီး, ကြီးမား 	kyi, kyi ma 	kyr!	ཆེན་པོ 	chen po 	སྦོམ 	bôm /poːm˩/ 	dan 	1tʰjʌ 	katang 	Kaye, -ro
28	long 	ရှည်, ရှည်မျော 	shei, shei myaw 	Rong > long	རིང་པོ 	ring po 	རིངམ 	rîm /riːm˩/ 		3ruŋ 	ringbu 	obyo
29	wide 	ကျယ်, ကျယ်ဝန်း 	kye, kye wan 	kyr!	རྒྱ་ཆེན་པོ 	rgya chen po 	རྒྱ་ཁྱོན 			2tʰuŋpʌ 		kaye, -ro
30	thick 	ထူ, ပျစ် 	htu, pyi' 	m.dick! Phat	མཐུག་པོ 	mthug po 	སྟུག་པགཔ 			2ʂuŋ 		byankər
31	heavy 	လေး, လေးလံ 	lei, lei lan 	lead	ལྗིད་པོ 	ljid po 				3li 		ai
32	small 	သေး, နုပ် 	thei, nou' 		ཆུང་བ, ཆུང་ཆུང 	chung ba, chung chung 				1tʃã 	zemu 	atu,-nyo,-chu
33	short 	ပု, တို 	pu, tou 		ཐུང་བ, ཐུང་ཐུང 	thung ba, thung thung 				2tʰuŋpʌ 	thumu 	atu,-nyo,-chu
34	narrow 	ကျဉ်း, ကျဉ်းကျပ် 	kyin, kyin kya' 	eng	གུ་དོག་པོ, ཕྲ་པོ 	gu dog po, phra po 				4kʰje to 		ache,poñchu,-chu
35	thin 	ပါး, ကျဲ 	pa, kye 	-- 	ཕྲ་པོ, སྲབ་པོ 	phra po, srab po 				2pʰɾʌ 	temtala 	señsɨ
36	woman 	မိန်းမ[9] 	mein ma 	Ma, wo.man	མོ, སྐྱེས་དམན 	mo, skyes dman 			pọ mù 	3mʷo (2mi) 	miwaktsa 	anɨ-akha
37	man (adult male) 	ယောက်ျား[10] 	yau' kya 		མི, ཁྱོ་ག 	mi, khyo ga 			pha 	1pʰo (2mi) 	phiwaktsa 	aba-akha
38	man (human being) 	လူ 	lu 	leut, mir, pa	མི 	mi 			pa 	2mi 	songo 	miyu
39	child 	ကလေး 	hka lei 	puck?	བུ, སྤུ་གུ, ཕྲུ་གུ 	bu, spu gu, phru gu 			pho 	1kola 	waktsa 	hime, hɨme, oho
40	wife 	မယား[11] 	ma ya 	ma ya	སྐྱེས་དམན 	skyes dman 				1pje 	khachi 	mihi
41	husband 	လင်[12] 	lin 		ཁྱོ་ག 	khyo ga 				1pʰʌ 	ngen 	milo
42	mother 	အမေ, အမိ,[13] 	a mei, a mi 	a ma, Amme	ཨ་མ 	a ma 			mo 	2amʌ 	ama 	anɨ, ama
43	father 	အဖေ, အဖ[14] 	a hpei, a hpa 	a pa	པ་ལགས 	pa lags 			pa 	1apʌ 	apa 	aba
44	animal 	ကောင်, တိရစ္ဆာန် 	kaun, ta rei' hsan 	ta rei' hsan ~ tiere生	སེམས་ཅན 	sems can 				ʃita 	same 	acho-amyo
45	fish 	ငါး 	nga 	nau	ཉ 	nya 			nya 	2tʌrŋe 	nga 	ngɨyi, ngi
46	bird 	ငှက် 	hnge' 	byed! nyug 鳥 鸟 niǎo	བྱ, འདབ་ཆགས, ཉུག་བྱེད, སེ 	bya, 'dab chags, nyug byed, se 			tho 	1ŋima 	kha 	pɨtta
47	dog 	ခွေး 	hkwei 	kvon chien	ཁྱི 	khyi 			khwi 	1nʌkju 	khu 	aki
48	louse 	သန်း 	than 		ཤིག 	shig 				2ʃe 		takhɨ, takhe
49	snake 	မြွေ 	mwei 	Mus, pukri, tabu	སྦྲུལ 	sbrul 				2pukri 	buchila 	tabu
50	worm 	တီကောင်, သန်ကောင် 	ti gaun, than gaun 							napli 	bu 	dorgi(earthworm)
51	tree 	ပင်, သစ်ပင် 	pin, thi' pin 	pine tree / ??	ཤིང, ཤིང་སྡོང 	shing, shing sdong 			deng 	2ʃiŋ 3tuŋ 	shing 	sanɨ
52	forest 	တော, သစ်တော 	taw, thi' taw 	Trees, ??	ཤིང་ནགས 	shing nags 			pra 	3na 2huŋ 	borang 	morey
53	stick 	တုတ်, တံ 	dou', tan 	𓌙 𓌚 !						2pʰerka 	tokang 	yakho
54	fruit 	သစ်သီး, အသီး 	thi' thi, a thi 	??	ཤིང་ཏོག 	shing tog 				2ʃiŋto 	se 	ahi, ahi-amər
55	seed 	အစေ့ 	a si 	a seed, corn, phrui[t]						4pʰlu 	li 	kormo
56	leaf 	ရွက်, အရွက် 	ywe', a ywe' 						lang 	3pa 	shing shaba 	yanɨ, anɨ
57	root 	မြစ်, အမြစ် 	myi', a myi' 	myo:pilz?						1lje 	shing tsa 	lɨma
58	bark (of a tree) 	အခွံ 	a hkun 							1pʰjoko 		salyo, sanɨ alyo
59	flower 	ပန်း, အပွင့် 	pan, a pwin 	fauna	མེ་ཏོག 	me tog 			pho 	minto 	meto 	apu
60	grass 	မြက် 	mye' 		རྩྭ 	rtswa 				1tʃʰi 	ngon 	tami
61	rope 	ကြိုး, လွန် 	kyou, lun 	kyourd, tier tar tag	ཐག་པ 	thag pa 				1tsʰo 	do 	tarru
62	skin 	အရေအခွံ, အရေ 	a yei a hkun, a yei 		པགས་པ, སྐོགས་པ, ཁྲག་འཛིན, རུས་གཟེབ, ཤུན་པ, ཤུན་ལྤགས 	pags pa, skogs pa, khrag 'dzin, rus gzeb, shun pa, shun lpags 				3ʈi 	mongnang 	alyo
63	meat 	အသား 	a tha 	<<	ཤ 	sha 				1ʃʌ 	sha 	yo(h)
64	blood 	သွေး 	thwei 	𓌢 ~ 𓊃 𓈖 𓆑 𓅱 𓂐						2ka 	yi 	ai
65	bone 	ရိုး, အရိုး 	you, a you 	跤 jiao 角 骨 gǔ	རུས, རུས་ཁོག 	rus, rus khog 				2nokrẽ 	khang 	alo
66	fat (noun) 	အဆီ 	a hsi 		རྒྱགས་པ 	rgyags pa 				2tʃʰi 	nyam, nam 	jantu, babu
67	egg 	ဥ 	u 	euv	སྒོང་ང 	sgong nga 			diq 	2pʰuŋ 	gotham 	papu
68	horn 	ချို, ဦးချို 	gyou, u gyou 	ghurn 骨 gǔ 跤 jiao 角 	རུ 	ru 				4ʂu 	warong 	arɨ
69	tail 	အမှီး 	a hmi 	𓆎 shampi 髪 かみ kami						1mẽ 	shampi 	ami
70	feather 	အတောင် 	a taun 	DAUN, feathaun, faun, pɨle	སྒྲོ, སྒྲོ་གཤོག, འདབ་མ 	sgro, sgro gshog, 'dab ma 				1ŋima 2mʷi 		pɨle
71	hair 	ဆံ or ဆံပင် (humans), အမွေး (animals) 	hsan, hsa bin, a hmwei 		སྐྲ 	skra 				1krʌ 	tsham 	dimmu
72	head 	ခေါင်း 	gaun 	<<	མགོ 	mgo 			khang 	1pʰakli 	sharang 	ad(h)iñ, d(h)iñta
73	ear 	နား, နားရွက် 	na, na ywe' 						na 	1ŋima 	na 	yaru
74	eye 	မျက်စေ့ 	mye' si 	moye see !! maeugen !!!	མིག 	mig 			meq 	2mi 	ming 	ami
75	nose 	နှာ, နှခေါင်း 	hna, hna hkaun 	hnase	སྣ, སྣ་ཁུག 	sna, sna khug 				1nʌ 	nawung 	yapiñ
76	mouth 	ပါးစပ်, နှုတ် 	ba za', hnou' 	le’pa, kau, <<	ཁ 	kha 				1suŋ 	nuwang 	aguñ, -go
77	tooth 	သွား 	thwa 	thwas tooth	སོ 	so 				1sʌ 	sha 	ai(h)
78	tongue (organ) 	လျှာ 	sha 	shunge she	ལྕེ, རོ་འཛིན 	lce, ro 'dzin 				2lẽ 	le 	alyo(h)
79	fingernail 	လက်သည်း 	le' the 		སེན་མོ 	sen mo 				1ja 2ʃiŋ 		lahiñ
80	foot 	ခြေ, ခြေထောက် 	chi, chi dau' 	Bi, <<	རྐང་པ 	rkang pa 				3pʌle 	bi 	ali(h)
81	leg 	အခြေ, အပေါင် 	a chi, a paun 	a Bein!	རྐང་པ 	rkang pa 				3pʌle 	biting? 	ali(h)
82	knee 	ဒူး, ဒူးခေါင်း 	du, du gaun 	gon						2pʌtsi 	gumzing 	lɨbañ
83	hand 	လက် 	le' 	left?	ལག་པ 	lag pa 				1ja 	gadang 	ala(h)
84	wing 	အတောင်, တောင်ပံ 	a taun, taun ban 	𓇋 Daunen						1ŋima 1ʃʌpʌ 		ale
85	belly 	ဗိုက် 	bai' 	bai'lly  pʰolly						1pʰo 		ere, akhii
86	guts 	အူ 	u 	Kuruŋ ~ core	རྒྱུ་མ 	rgyu ma 				kuruŋ 		
87	neck 	လည်ပင်း 	le bin 		མཇིང་པ 	mjing pa 				1kʰʌr 		khɨjañ, khɨjañ-khɨro
88	back 	ကျော 	kyaw 		རྒྱབ 	rgyab 				3supʌ 2litse 		hohañ
89	breast 	ရင်, ရင်ဘတ် 	yin, yin ba' 	numa 女妈 mammal 어머♀母						3ŋjokɾo 	numa 	anyiñ
90	heart 	နှလုံး, အသည်းနှလုံး 	hna loun, a the hna loun 	aha/ti sack					saq 	1tĩ 	thinglom 	aha
91	liver 	အသည်း အူမကြီး 	a the, u ma gyi 		མཆིན་པ 	mchin pa 				tsʰimpʌ 		pahiñ
92	to drink 	သောက် 	thau' 	Tunk 'thung Trunk	འཐུང 	'thung 			qo 	2tʰuŋ 	jam 	tañ
93	to eat 	စား 	sa 	'ssa Esse <> Zahn, kaun	ཟ 	za 			ang 	1tsʌ 	zala, za 	dɨ
94	to bite 	ကိုက် 	kai' 	kau’n	རྨུག 	rmug 				2tʃʰe 	ngam 	chi, asɨ
95	to suck 	စုပ် 	sou' 	sou’ck						3mul 		sah
96	to spit 	ထွေး 	htwei 	𓏏 𓈙 thoptang p’tou 𓂐 𓋴 𓃀 𓈙 𓇋 𓇋 𓂐						tʰuk tʰu 	thoptang 	chu
97	to vomit 	အန်, အော့ 	an, aw 	ih skyug~spuck	སྐྱུག 	skyug 				2ʂi 	phrospe 	ba
98	to blow 	မှုတ် 	hmou' 		ཕུ་རྒྱག 	phu rgyag 				2pʰjaŋ 	tetha 	he,mu(by mouth),sah
99	to breathe 	ရှူ, ရှူရှိုက် 	shu, shu shai' 		དབུགས་རྒྱག 	dbugs rgyag 				mʷo 		sa
100	to laugh 	ရယ် 	yi 		གད་མོ་ཤོར 	gad mo shor 				2ŋi 	ngar 	ngar
101	to see 	တွေ့, မြင် 	twei, myin 	Moyin ^^ see	མཐོང 	mthong 				1mraŋ 	thong 	ka
102	to hear 	ကြား 	kya 	Kyar ~ hear	གོ 	go 				4tʰe 	na tha(n) 	ta
103	to know 	သိ တတ်, သိရှိ 	thi, ta', thi shi 	see 知 zhi	ཤེས 	shes 				2ʃi 	se 	chiñ
104	to think 	ထင်, တွေး, စဉ်းစား 	htin, twei, sin za 	think	བསམ་བློ་གཏོང་བ 	bsam blo gtong ba 				naŋtse toŋ 	mi 	heñ
105	to smell 	နမ်း 	nan 	@nose?	སྣོམ 	snom 				3te 4tʰaŋ 1kʰʌ 	nampe 	neñ
106	to fear 	ကြောက် 	kyauk 		ཞེད 	zhed 						bɨso
107	to sleep 	အိပ် 	ei' 	<3	གཉིད 	gnyid 			mi 	4nu 	yi 	imi
108	to live 	ရှင်, နေ 	shin, nei 	生 shēng zoon <> tier, nau?	བསྡད, གསོན་པ 	bsdad, gson pa 			qo 	1aʃi-pʌ 	zhu 	tor
109	to die 	သေ, ဆုံး, ကွယ်လွန် 	thei, hsoun, kwe lun 	thei~die	ཤི 	shi 			si 	1ʃi 	shi(n) 	sɨ
110	to kill 	သတ်, သတ်ဖြတ် 	tha', tha' hpya' 	tha', tha' <> toete <> die	བསད 	bsad 				1se 	she(n) 	meɨ, -khɨ
111	to fight 	တိုက်, ရန်ဖြစ် 	tai', yan hpyi' 	^^						2tʃʰe 	kholong 	pasɨ
112	to hunt 	လိုက် 	lai' 	Llaigt ~ jagt kirap ~ grab – 						1kirap 		
113	to hit 	ရိုက် ချပုတ် 	yai', cha pou' 		གཞུས་པ 	gzhus pa 				kuntu 2pɾĩ 	drom 	tɨ
114	to cut 	ညှပ် 	hnya' 	Gtub, cat = cut ++	གཏུབ, བཅད་པ 	gtub, bchad pa 				2tʰa 	cat 	pi
115	to split 	ခွဲ 	hkwe 	hacke[n]						tete tete 2tʰa 		-che
116	to stab 	ထိုး 	htou 	hit						kʰja 		nɨ
117	to scratch 	ကုတ် 	kou' 							2ʂi 	krekpe 	kha, ho(incase of an itch)
118	to dig 	တူး 	tu 	tujek~dig@tunnel<down?						2te 	jek 	oh, he
119	to swim 	ကူး 	ku 	Kjaŋ > swimg – 						2kju-ri 1kjaŋ 		apya ta-, byo(h)
120	to fly 	ပျံ 	pyan 	"phur pʰaŋ > flying 𓅂 phoenix	<<<"	འཕུར 	'phur 				2pʰaŋ 	phur 	go
121	to walk 	လျှောက် 	shau' 		གོམ་པ་རྒྱག 	gom pa rgyag 				4pʰro 	dang 	iñ
122	to come 	လာ 	la 	La < ir	ཡོང 	yong 			la 	1kʰʌ 	u(n) 	aa
123	to lie (as in a bed) 	လှဲ, လျောင်း 	hle, lyaun 	hle, lyaun ~ lie, lying						4nu 	phile 	gɨ
124	to sit 	ထိုင် 	htain 	Htain ~ stehn +-	བསྡད 	bsdad 			nang 	1ʈu 	lang 	du, dua
125	to stand 	ရပ် 	ya' 	ʂe’thing lang ;)	ལངས 	langs 				1ʂe 	thing 	da
126	to turn (intransitive) 	လှည့်, ချိုး 	hle, chou 	churn < kor.en						mur 	kor 	-hɨ
127	to fall 	ကျ 	kya 	𓐍𓂋𓀒 						1te 	thong 	hui,hua,giyi,giya
128	to give 	ပေး 	pei 	pon[er]	སྤྲོད 	sprod 				1pĩ 	bi(n) 	bi
129	to hold 	ကိုင် 	kain 									ga
130	to squeeze 	ညှစ် 	hnyi' 							mor 2ti 		ke, keje-keyi
131	to rub 	ပွတ် 	pu' 							1pʰja 		ne, nyu, ti
132	to wash 	စေး 	sei 	Sei.fen	ཁྲུས 	khrus 				2ʃu 	zik 	ase, se
133	to wipe 	သုတ် 	thou' 							1pʰja 		nepa, nyupa
134	to pull 	စွဲ 	swe 							3ti 	theng 	se
135	to push 	တွန်း 	tun 	𓂡 tun / brekpe 𓂟 brachio  <<+						4kʰer 	brekpe 	nañ
136	to throw 	ပစ် 	pyi' 		གཡུགས 	g.yugs 				1kʰja 	thup 	ri
137	to tie 	ချည် 	chi 	thik tie 𓎀 zieh chi	བསྡམ 	bsdam 				3tẽ 	thik 	rañ
138	to sew 	ချုပ် 	chou' 	Chou' ~ sew	ཚེམ་བུ་རྒྱག 	tshem bu rgyag 				4ʈʰu 	tshok 	ri
139	to count 	တွက်, ရေ 	twe', ye 	twe<tell khɨ<zaehl/count		tsi ba 				2tʃʰa 		khɨ
140	to say 	ပြော, ဆို, ဟူ 	pyaw, hsou, hu 	labern, dic[er] !! <<	ལབ, བཤད 	lab, bshad 			te 	3pi 	dak 	lu
141	to sing 	ဆို 	hsou 	hsoung sing jang gaily						4kʷʰe 2pɾĩ 	jang 	bɨsi si, gai ( from hindi)
142	to play 	ဆော့, ကစား 	hsaw, gaza 		རྩེད་མོ་རྩེ 	rtsed mo rtse 				1kjaŋ 	cang 	so, kheñ (games/sports)
143	to float 	မျော, ပေါ် 	myaw, paw 	Pʰi-ri > flow, paw						2pʰi-ri 1ʈu 		pucha,pɨcha,tucha
144	to flow 	စီး 	si 							2kju 4ju 		bi
145	to freeze 	ခဲ 	hke 	ice kʰjar ++						kʰja 		
146	to swell 	ဖူး, ရောင် 	hpu, yaun 							1taŋpʌ 	phung 	pyañ,go
147	sun 	နေ 	nei 	dayny 日 danyi QED +++	ཉི་མ 	nyi ma 			ni, mu 	1tiŋi 	ngam 	danyi
148	moon 	လ 	la 	laun lanyi loona ++	ཟླ་བ 	zla ba 			la 	3liŋi 	lanyi ngam 	pɨlo
149	star 	ကြယ် 	kye 	skar ma, sʌɾ, star, Sterne ++	སྐར་མ 	skar ma 			shaq 	2sʌɾ 	karma 	takər
150	water 	ရေ 	yei 	yu, eau, yasi/ri wasser	ཆུ 	chu 			thi 	2kju 	ri 	yasi
151	rain 	မိုး 	mou 	??	ཆར་པ 	char pa 			mu khang 	3mo 	ngamsu 	mɨdo
152	river 	မြစ် 	myi' 		གཙང་པོ 	gtsang po 			klo 	maʃaŋ 2kju 	ri 	kɨle
153	lake 	ကန်, အင်း 	kan, in 		མཚོ 	mtsho 				2kju 1tsʰo 	tsho 	sɨmi
154	sea 	ပင်လယ်, အဏ္ဏဝါ 	pin le, annawa 	a’nau, … ???	རྒྱ་མཚོ 	rgya mtsho 				samundra (Nepali) 	jamtsho 	
155	salt 	ဆား 	hsa 	Hsa-alo tsʌtsʌ salt	ཚྭ 	tshwa 				1tsʌtsʌ 	incha 	alo
156	stone 	ကျောက် 	kyau' 	?? kyr?	རྡོ 	rdo 			lang 	2juŋpe 4pʰra 	lung 	yalañ
157	sand 	သဲ 	the 	betsa[n] petra?	བྱེ་མ 	bye ma 			le 	pjuma 	betsa 	dikhɨ, sɨkh(h)ɨ,suru(h)
158	dust 	ဖုန် 	hpoun 		ཐལ 	thal 				4pʰɾa 	phurtsi 	dimər
159	earth 	မြေ 	myei 	ma/sa mud	ས 	sa 				1sʌ 	sa 	kɨdi, mobyu
160	cloud 	တိမ် 	tein 	dunst	སྤྲིན་པ 	sprin pa 				mukpʌ 	mukpa 	jomu, jomɨ
161	fog 	မြူ 	myu 	mist						mukpʌ 		hapiñ
162	sky 	မိုး, အကာသ 	mou, akatha 	<<<<	གནམ 	gnam 			mu khang 	3mo 	ngam 	yapuñ
163	wind 	လေ 	lei 	luv, lee	རླུང, རྫི 	rlung, rdzi 				4lo 	ridi 	alyi
164	snow 	နှင်း, နှင်းခဲ 	hnin, hnin ge 	Schnein, 5?	གངས 	gangs 				4kʰiŋ 	phom 	peñbe
165	ice 	ရေခဲ 	yei ge 	yei ge ~ ice, yu.kar ^^	འཁྱགས་པ, འཁྱག་པ 	'khyags pa,་'khyag pa 				1tʌŋkjaŋ 		tipiñ
166	smoke 	အငွေ့, အခိုး 	a ngwei, a hkou 		དུ་བ 	du ba 				1mjukju 	mugu 	(yamu)muku
167	fire 	မီး 	mi 	????	མེ 	me 			me 	1mje 	mi 	yamu
168	ash 	ပြာ 	pya 	pyar fire						4mjepʰɾa 	thulu 	mubu,muyu
169	to burn 	ရှို့, လောင် 	sho, laun 							2mɾẽ 	gok 	ya
170	road 	လမ်း 	lan 	lane	ལམ 	lam 				4kʰjẽ 	lam 	leñda,leñgo
171	mountain 	တောင် 	taun 	Taunus Taur puko peak	རི 	ri 			k.ca 	2kaŋ, pokto, 4pʰra 	ri 	putu, putu-puko
172	red 	နီ 	ni 	-- 	དམར་པོ 	dmar (po) 				1olkja 	tshalu 	lañcha
173	green 	စိမ်း 	sein 	sein<green	ལྗང་ཁུ, སྔོན་པོ 	ljang (khu) (yellowish-green), sngon (po) (blue-green) 				3tʃaŋku 	changkha 	jiji
174	yellow 	ဝါ 	wa 	serbu pilañ <<	སེར་པོ 	ser po 				1urkja 	serbu 	pilañ
175	white 	ဖြူ 	phyu 	phyut white	དཀར་པོ 	dkar po 				1tʌrkja 	balingmi 	pulu
176	black 	မည် နက် 	me, ne' 	Negro > nag	ནག་པོ 	nag (po) 				1mleŋkja 	chinglu 	ji
177	night 	ည 	nya 	Night > nag > nya	མཚན 	mtshan 				2muntse 	binang 	ayo
178	day 	နေ့ 	nei 	dayni 日 tiŋi QED +++	ཉིན, ཉི་མ 	"nyin, nyi ma (also meaning ""sun"") "			ni 	1tiŋi 	ngam 	alo
179	year 	နှစ် 	hni' 		ལོ 	lo 			ni 	3lo 	lo 	anyañ
180	warm 	ပူ, နွေး 	pu, nwei 	*purm weich weirm ?	དྲོ་པོ 	dro po 				1le 	tshalu(hot) 	gubu
181	cold 	အေး, ချမ်း 	ei, chan 	ice  chañcha @ 山 shān	གྲང་མོ 	grang mo 				2kʰʌŋ 	chanpu 	chañcha, lakhɨ
182	full 	ပြည့် 	pyei 	pyeill full, pott(belly)	ཁེངས་པ, རྫོགས་པ, ཁངས 	khengs pa, rdzogs pa, khangs 				3naŋ 		potte, -tte
183	new 	သစ် 	thi' 	xin	གསར་པ 	gsar pa 			sang 	1tsaŋ 	singma 	niti
184	old 	ဟောင်း, အို 	haun, ou 		རྙིང་པ 	rnying pa 			pra 	1kʰjokor 	manma 	akha(for living things), khu
185	good 	ကောင်း 	kaun 		ཡག་པོ 	yag po 				3sʌ 	lekpu 	aya, -yo
186	bad 	ဆိုး 	hsou 		སྡུག་ཆགས 	sdug chags/cag 				3a-sʌ 	malekpa 	aya ma,dema,-ru
187	rotten 	ပုပ် 	pou' 	pou’l > foul!	རུལ་པ 	rul pa 				1ɲe 	yitpa 	yanɨ
188	dirty 	ညစ်ထည်း 	nyi' hti 	not...ty	བཙོག་པ 	btsog pa 				1a-tsaŋ 		kacho
189	straight 	ဖြောင့်, စင်း 	hpyaun, sin 		ཤར, བཀྱག, ཁ་ཐུག 	shar, bkyag, kha thug 				3tsok (Nepali?) 	thrang 	parda, -da
190	round 	ဝိုင်း, လုံး 	wain, loun 	s’gor kikil circle < kur	སྒོར་སྒོར 	sgor sgor 				2kikil 	tukuli 	aliñ(h)
191	sharp (as a knife) 	ချွန်, ချွန်ထက် 	chun, chun hte' 		རྣོ་པོ 	rno po 				4tʃʰeɾ 	tekathom 	are
192	dull (as a knife) 	တုံး 	toun 							4a-tʃʰer 		pakhɨñ,-khɨñ
193	smooth 	ချော, မွတ် 	chaw, mu' 	chaw mu' ~ smooth						tʃã 		hilu(h)
194	wet 	စို, ရွှဲ 	sou, shwe 	sau, soaked	རློན་པ 	rlon pa 				2ʃu 1tʌ 	yitpa 	juja
195	dry 	ခြောက် 	chau' 	Chaud > hot	སྐམ་པོ 	skam po 				1kʰarkjʌ 	sangma 	pitañ
196	correct 	မှန် 	hman 	<<						3ŋoto 		-da
197	near 	နီး 	ni 	nir nye po = near-by	ཉེ་པོ 	nye po 				2nepʌ, 2ti-ri 	reka 	aruñ
198	far 	ဝေး 	wei 	weit	ཐག་རིང་པོ 	thag ring po 				2ta 2ruŋ 	tharingsa 	ado
