 			PIE	Tagalog	PIE
74	eye	kanohi,karu,mata,whatu	kàn 看	matá	𓌻 𓂋 𓏏 𓏮 𓁹 𓁹
75	nose	ihu	---	ilóng	long;)
76	mouth	waha	---	bibíg, bungangà	pu
77	tooth	niho	---	ngipin	nager?
78	tongue	arero	---	dilà	
79	fingernail	kuku,maikuku	√ker	kukó	√ker
80	foot	wae,waewae	Wade	paá	pode 𓃀 ~ 𓂾 bone (Bein)
81	leg	wae,waewae	Wade	bintî	pode 𓃀 ~ 𓂾 bone (Bein)
82	knee	turi,turipona		tuhod	
83	hand	ringa,ringaringa	ring<>finger ---	kamáy	𓂧 𓂋 carma
84	wing	parihau,parirau	√√√	pakpák	flug-flug
85	belly	koopuu		tiyán	
86	guts	wheekau		bituka (intestines), lamán-loób (innards)	<> body  bit<>bengel
87	neck	kakii		leég	long ≠ leg
88	back	tuaraa		likód, likurán	<<<
89	breast	koumu		suso, dede (both referring to mammary gland), dibdíb (chest)	Zize, Titte
90	heart	ngaakau,manawa	mensa <> manner	pusò	
91	liver	ate		atáy, igadó	
92	drink	inu		uminóm, inumín	
93	eat	kai,kamu	kau@	kumain, kainin, lumamon, lamunin	
94	bite	kati,ngau	kaut@	kumagát, kagatín	
95	suck	mome,ngongo,ngote	@mammal	sumipsíp, sipsipín	
96	spit	tuha,tuwha		dumurâ	
97	vomit	ruaki		sumuka, magsuká	
98	blow	puhi	~	umihip	
99	breathe	haa,ngaa,whakangaa		humingá	
100	laugh	kata		tumawa	
101	see	kite	<> sight <>	makita	mak.ⲓⲁⲧ⳼ ido 𓌻 𓂋 𓏏 𓏮 𓁹 𓁹 matá
102	hear	rongo	√ring	marinig, (makiníg, dinggin = to listen)	ma.hearing
103	know	matau,moohio		umalám, malaman, alamín	learmed
104	think	mahara,whakaaro		mag-isíp, isipin	make-sophie
105	smell	hongi		umamóy, amuyín	umami ;)
106	fear	mataku,wehi		matakot, takutín	
107	sleep	moe		matulog	make √leg
108	live	ora	aera	mabuhay	ma. vita
109	die	hemo,mate	𓏱 morde <> motu	mamatáy, pumanaw, mapasláng (to be killed)	ma.muet
110	kill	patu	beat	pumatáy, patayín, pumasláng	ba.muet
111	fight	riri,whawahi		lumaban, labanan, ipaglaban (to fight for)	
112	hunt	whai,whakangau		mangaso	ma.chase?
113	hit	patu	beat	tamaan, tumbukín, tirahin	
114	cut	hae,motu,tapahi	hau, muet 𓏱, ___	magputol, putulin, maghiwà, hiwain (to slice)	make-kaput ;)
115	split	koowhaa,matata		magbiyák, biyakín	make-bi2
116	stab	oka		manaksák, saksakín	
117	scratch	raki,raku	s'raki	kumamot, kamutin	
118	dig	kari,keri	𓌨!	maghukáy, hukayin	make.hucke
119	swim	kau,kauhoe	kaul (Quappe), kraul	lumangóy, languyin	
120	fly	rere		lumipád, liparín	…pta 𓇋 l'pari
121	walk	haere,haere-maa-raro,wawake		maglakád, lakarin	make.leg maha'lákh walk
122	come	haere-mai		dumatíng, datnan	𓂧 𓏇 𓇋 𓂻 
123	lie	takoto		humigâ	hinliga
124	sit	noho	hin 𓂜	umupô (state)	au'm Po ;)
125	stand	tuu		tumayô (state)	
126	turn	huri	hurl	lumikô, bumilíng (to turn one's own body)	
127	fall	hinga,taka		bumagsák	ma.sack
128	give	hoatu,hoomai,koha		magbigáy, ibigáy, bigyán	ma.gebe
129	hold	puri		humawak, hawakan, tanganan	
130	squeeze	whakatee		pumisíl, pisilín	
131	rub	koomiri,miri		magkuskós, kuskusín	make.kushel
132	wash	horoi		maghugas, hugasan	make.hagua
133	wipe	muku,uukui		magpunas, punasan	make.finish
134	pull	too	take	humila, hilahin, bumatak, batakin	take
135	push	pana,pei	punch	magtulak, itulak	make.d'rück
136	throw	maka,makawhiu,whiu		maghagis, ihagis, mag-itsá, itsahín	make.hurl? make.jeetza?
137	tie	here		magtalì, italì, talian	make.tie tally
138	sew	tui	tie	magtahî, tahiín, magsulsí, sulsihín	make.tie
139	count	tatau		bumilang, magbiláng, bilangin	make.bilance bilanzieren
140	say	kii	kiz qiz	magsabi, sabihin	make.say(be), speak
141	sing	waiata	(fide) wit wit wit	kumantá, kantahín, umawit, awitin	
142	play	taakaro		maglarô, laruín	make.lyre
143	float	maunu,rewa	@meander, rowu	lumutang	
144	flow	rere		umagos,	
145	freeze	tio		magyelo, mabuô (to become solid), manigás (to become hard)	ma.gelat
146	swell	kukune,pupuhi		mamagâ	ma.mega
147	sun	raa	ra 𓇳 日 rì	araw	araw < hara > ra
148	moon	mahina,marama	la Hüne <<<<!!!	buwán	
149	star	whetuu	<	bituín	spituin sputnik
150	water	wai	wai3	tubig	- @tap,tube (AR)
151	rain	ua	eau <	ulán	a'rán
152	river	awa,manga,wai	aqva, meandga	ilog	≠lake
153	lake	moana,roto	min:maim: water	lawà	~
154	sea	moana,tai	meanda, thalla thai?	dagat	---
155	salt	maataitai,tote		asín	
156	stone	kaamaka,koowhatu,poowhatu		bató	petro
157	sand	kirikiri,one	--	buhangin	
158	dust	nehu,puehu,puunehu	nebul	alikabók	
159	earth	whenua		lupà	<<<  LaGeba
160	cloud	ao,kapua		ulap	
161	fog	kohu,puukohu		hamóg	s'mog
162	sky	rangi	range <> 𓇳	langit	range
163	wind	hau,matangi		hangin	<<-
164	snow	huka,hukarere		niyebe	
165	ice	koopaka,huka,tio		yelo	gela™
166	smoke	auahi,pawa,pua	@pheuwer	usok, asó	
167	fire	ahi	a'huo	apóy	a'phoy®
168	ashes	pungarehu		abó	
169	burn	kaa,tahu,mura	<<<	magsunóg, masunog, sunugin	
170	road	ara,huarahi		daán, kalye, kalsada, lansangan	calla
171	mountain	maunga	maundg	bundók	berg < bend
172	red	whero	phurot(de)	pulá	pul-pur
173	green	kaakaariki,kiriini	kaki, kriin	berde, luntî	verde, lune.de
174	yellow	koowhai	quitte	diláw	dyelow
175	white	maa		putî	phuiti
176	black	mangu,pango	ma.negru	itím	
177	night	poo		gabí	𓎡𓎡𓇰
178	day	raa	ra 𓇳 日 rì	araw	ray
179	year	tau	turn:	taón	turn
180	warm	mahana		mainit (=hot), maligamgam (lukewarm)	
181	cold	makariri,maatao		malamíg, magináw (cold, e.g., weather)	
182	full	kii,kikii		punò	pan
183	new	hou	nhou	bago	
184	old	tawhito	white;)	lumà (non-living things), matandâ (living things)	
185	good	pai	beau	mabuti	ma.beauty
186	bad	kino	<<<	masamâ	<<<
187	rotten	pirau,piro		bulók, panís	
188	dirty	paru,paruparu		marumí/madumí	ma.roamy
189	straight	tika	(s)treck, (s)tick	tuwíd	
190	round			bilóg	bieg < bilg
191	sharp	koi		matalím	
192	dull	puuhoi,puuhuki		mapuról	
193	smooth	maaeneene	ONO!	makinis	
194	wet	maakuu,maakuukuu	ma.aqua	basâ	√wassa
195	dry	maroke	ma/tu'rocke trocken	tuyô	dryo
196	correct	tika	tik:check	tamà, wastó	ma.thema
197	near	tata		malapit	
198	far	mamao,paamamao,tawhiti		malayò	
199	right	katau,matau		kanan	
200	left	kauii,maauii	<>	kaliwâ	
201	at	a,hei,i,kei,ki	à, i	sa	zu
202	in	roo,roto,	àr-at	sa	zu
203	with	i		kasama	zusama > com
204	and	me		at	et
205	if	ina,kite,kitemea,mehe,mei,metemea,		kung, kapág, sakalì (if ever)	--
206	because	naatemea,nootemea,taatemea,tootemea		dahil, sapagkát, kasí	da-weil, 'cause
207	name	ingoa		pangalan, ngalan	
