No. 	English 	Hausa	PIE	
80 	foot 	ƙafa	𓋴𓃀/𓂾 Gebein [[𓄗]] 	
81 	leg 	ƙafa	𓋴𓃀/𓂾 Gebein [[𓄗]] 	
82 	knee 	gwiwa	[[𒄭]] GAL гола gola ⲕⲁⲗ ⲕⲉⲗⲓ 	
83 	hand 	hannu	hannu!	
84 	wing 	fiffike	𓆃𓇋 wing@fink	
85 	belly 	ciki	𓄡	
86 	guts 	hanji		
87 	neck 	wuya		
88 	back 	baya		
89 	breast 	nono, ƙirji	mamma	
90 	heart 	zuciya		
91 	liver 	hanta		
92 	to drink 	sha	𓋴𓅨𓂋 სმა	
93 	to eat 	ci	esse	
94 	to bite 	ciza		
95 	to suck 	tsotsa	tsitsen @ zitze = tit	
96 	to spit 	tofa		
97 	to vomit 	yi amai		
98 	to blow 	busa, hura	puste, hurl?	
99 	to breathe 	yi numfashi	nefes groten	
100 	to laugh 	yi dariya	dare;) дела delə! toll? do.rire  râde reverse ضَحِكَ‎ ḍaḥika dàaríyáa	
101 	to see 	gani	gucken, ku.kan	
102 	to hear 	ji		
103 	to know 	sani	sense	
104 	to think 	yi tsammani	𓋴.mens	
105 	to smell 	sansana	𓋴𓈖𓂉𓀁	
106 	to fear 	tsoro	𓋴 𓂋 𓅾 	
107 	to sleep 	yi barci		
108 	to live 	yi rai		
109 	to die 	mutu	𓏱	
110 	to kill 	kashe		
111 	to fight 	yi faɗa		
112 	to hunt 	yi farauta		
113 	to hit 	buga		
114 	to cut 	yanka		
115 	to split 	raba		
116 	to stab 	soka		
117 	to scratch 	karce		
118 	to dig 	haƙa		
119 	to swim 	yi iyo		
120 	to fly 	tashi		
121 	to walk 	yi tafiya a ƙas		
122 	to come 	zo		
123 	to lie (as in a bed) 	yi kwanciya (action), kwanta (state)		
124 	to sit 	zauna (action, state)		
125 	to stand 	miƙe tsaye (action), tsaya (state)		
126 	to turn (intransitive) 	juya		
127 	to fall 	faɗi	𓀒 ⇔ 𓊪 𓊗 faɗi fate …fall 𓀐 fallen victims  	
128 	to give 	ba	bare	
129 	to hold 	riƙe	𓂋𓂞𓂝 рѫка (rǫka) reichen/reach/reiñ/rhoi/ri@Celtic 	
130 	to squeeze 	matsa	mash matschen <> Matsch  mud misch mix	
131 	to rub 	goge		
132 	to wash 	wanke	~!	
133 	to wipe 	shafa		
134 	to pull 	ja		
135 	to push 	tura	1/tear	
136 	to throw 	jefa	jeet	
137 	to tie 	ɗaura		
138 	to sew 	ɗinka	<> Senkel	
139 	to count 	ƙidaya	< 𓍿𓈖𓌙𓅯𓏌𓅱𓏜 count², quantity	
140 	to say 	ce	cey	
141 	to sing 	rera waƙa		
142 	to play 	yi wasa		
143 	to float 	taso kan ruwa		
144 	to flow 	gudana		
145 	to freeze 	daskara	does.kara  <> ƙanƙara = snow @ ƙara = KUR	
146 	to swell 	kumbura		
147 	sun 	rana		
148 	moon 	wata	<> water?	
149 	star 	tauraro	"𓇼 stern <> Stier taur 𓃾
"	
150 	water 	ruwa	!!	
151 	rain 	ruwan sama		
152 	river 	kogi		
153 	lake 	tabki		
154 	sea 	teku		
155 	salt 	gishiri		
156 	stone 	dutse	таш taš !	
157 	sand 	rairayi		
158 	dust 	ƙurar ƙasa		
159 	earth 	kasa		
160 	cloud 	gajimare		
161 	fog 	hazo	haze	
162 	sky 	sama	𓋴 𓏠 𓈖 𓏌 𓍖 𓏥  𐌷𐌹𐌼𐌹𐌽𐍃 sky[[men]] shamash shimmel הימל‎ 	
163 	wind 	iska	brisk?	
164 	snow 	ƙanƙara	con.kara <> daskara	
165 	ice 	ayis, galas	modern?	
166 	smoke 	hayaƙi		
167 	fire 	wuta	phyat > hot pyre	
168 	ash 	toka		
169 	to burn 	ƙone		
170 	road 	haniya		
171 	mountain 	babban dutse	"𓈉 𓈙  𓊌 stone ⋍ таш taš.on
"	
172 	red 	ja		
173 	green 	kore	korein	
174 	yellow 	rawaya	𓇳𓇶 	
175 	white 	fari		
176 	black 	baƙi	blaƙi	
177 	night 	dare	dark	
178 	day 	rana, yini	rayn, gyne	
179 	year 	shekara		
180 	warm 	mai ɗumi		
181 	cold 	mai sanyi		
182 	full 	cikakke		
183 	new 	sabo	𓋴 𓌳 𓏮 𓅱 𓏜	
184 	old 	tsoho		
185 	good 	mai kyau	kyau.ma  kyau.de good	
186 	bad 	maras kyau		
187 	rotten 	ruɓaɓɓe	~	
188 	dirty 	mai dauɗa	dirty 	
189 	straight 	miƙaƙƙe	make acurate	
190 	round 	mai da’ira		
191 	sharp (as a knife) 	mai kaifi	𓆓 𓋴 𓅪  ?	
192 	dull (as a knife) 	maras kaifi		
193 	smooth 	mai santsi	𓋴 𓈖 𓂝 𓂝 𓏞 𓏛	
194 	wet 	jiƙaƙƙe		
195 	dry 	maras laima	¬	
196 	correct 	madaidaici		
197 	near 	kusa da		
198 	far 	mai nisa		
199 	right 	dama		
200 	left 	hagu		
201 	at 	a, wurin	à	
202 	in 	a, cikin		
203 	with 	da		
204 	and 	da, kuma		
205 	if 	in, idan	ien…	
206 	because 	don	denn	
207 	name 	suna 	sumero=numero name	
