№ 	English 	Best	PIE / SEM	EG	Malay 	Tagalog 	Cebuano 	Pampangan 	Pangasinan 	Sasak 	Chamorro 	Malagasy 	Tahitian 	Maori 	Sundanese 	Ibanag 	Itawit 	Javanese 	Ilocano 	
11	who 			𓋴, 𓊄 𓇋𓇋	sino 	kinsa 	ninu 	siopá, opa 	sai 	håyi 	iza 	vai 	ko wai, ko 	saha 	sinni 	sinni 	sapa, sinten 	asino 	
12	what 	apa, nanu 	pha?, nanu?	𓊪𓅱, 𓈖𓅓𓂝	ano 	unsa 	nanu 	antó 	ape 	håfa 	inona 	aha 	he aha 	naon 	anni 	hanna 	apa, punapa 	ania 	
13	where 	saan	thaan < donde	𓏏𓈖𓏮𓌙𓅯𓈐	saan, nasaan 	asa, hain, diin, dis-a 	nukarin 	iner 	leq mbe 	manu nai, mångge 	aiza 	tei hea 	kai whea, kai hea, kei hea, kei whea 	palihmana 	sitaw 	betiyaw 	endi, pundi 	ayan 	
14	when 	kanus-a	quandos	𓐍𓆑𓏏	kailan 	kanus-a 	kapilan 	kapigan, pigan 	piran 	ngaian '	oviana (past), rahoviana (future) 	ahea 	āhea, āwhea 	iraha 	kanni 	kanna 	kapan 	kaano 	
15	how 	bagaimana 	whaque manner, what manner	𓏇𓇋𓅓𓂝	bagaimana 	paano 	unsaon, giunsa 	makananu 	pano, panon 	kembe 	taimanu 	manahoana 	nāhea 	pēhea 	kumaha 	kunnasi 	kunnasi, manna 	kepriye, pripun 	kasano 	
16	not 	hindi, andí	inte, anti  2. but, bu 不	𓂜𓈖,𓂜𓏏, 𓄤𓊪𓅱	bukan, tidak 	hindi 	dili 	ali 	ag, aliwá, andí, aleg 	ndeq 	'åhe'', tis '	tsy 	'eaia 	ehara, kāhore (kaore), kāre, kīhai, kore, kaua, kauaka 	enteu, lain, sanés, teu 	ari 	mari 	dudu, ora 	saan 	
17	all 	todu	totall	𓏏 𓏏 𓏝	lahat 	tanan 	ngan 	amín 	slapuq 	puru, todu 	ny ... rehetra 	anaʻe 	katoa 	kabéh, sadaya 	ngamin 	ngammin 	kabeh, sedaya, sedanten 	amin 	
18	many 	marami, banyak \		ᵇmany	𓏠 ⲙⲏϣ 	marami 	daghan, sagad 	dakal 	dakél, amayamay 	 	bula 	betsaka 	rahi 	maha 	loba, seueur 	aru 	aru 	akeh, kathah 	adu 	
19	some 				ilan 	ubay-ubay, uban 	mapilan 	pigara, piga 	 	 	vitsivitsy 	nau, tau 	ētahi, tētahi 	sababaraha 	karuan 	karuan 	sawenèh 	dadduma 	
20	few 	kaunti 	kaum √quanti	𓂝 𓈖 𓂧 𓏏 𓅪	kaunti 	pipila, diyotay 	ditak, mapilan 	daiset 	 	 	kely 	maʻa 	takitahi, ruarua, torutoru 	saalit, saeutik, sakedik 	baddi 	bissang 	sithik, sekedhik 	sumagmamano 	
21	other 	aliua 	allo	…	iba 	lain 	aliua 	arom 	 	otru, palu 	hafa 	ʻē 	kē, atu, ētahi (atu), ērā (atu) 	séjén, lian 	duma 	tanakuan 	liya, sanes 	sabali 	
22	one 	iray, isa 	erste	𓏤, 𓌡 , 𓏏 𓅱	isa 	usa 	metung, isa 	isá, sakey 	sekeq, sai 	un (Spanish), håcha (native) 	iray, isa 	hōē '	tahi 	hiji 	tadday 	isa 	siji, setunggal 	maysa 	
23	two 	dua, hugua?	duo < twine	𓌢 𓏌 𓏮, 𓌢 𓈖 𓏌 𓏲 𓏮	dua 	dalawa 	duha 	adua 	'dua, dua''ra '	due 	dos (Spanish), hugua (native) 	roa 	piti 	rua 	dua 	duwa 	duwa 	loro, kalih 	dua 	
24	three 	telu, tatlo …	three, talath	𓏤 𓏤 𓏤 ≠ 𓐍 𓂸 𓏏	tiga, telu 	tatlo 	tulo 	atlu 	'talo, talo''ra '	telu 	tres (Spanish), tulu (native) 	telo 	toru 	toru 	tilu 	tallu 	tallu 	telu, tiga 	tallo 	
25	four 	upat	quphatro	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤	empat 	apat 	upat 	apat 	apat, apatira 	mpat 	kuatro (Spanish), fatfat (native) 	efatra 	maha 	whā 	opat 	'appa'' '	appat 	papat, sekawan 	uppat 	
26	five 	lima	<< (p)hand		lima, delima 	lima 	lima 	lima 	'lima, lima''ra '	lime 	sinko (Spanish), lima (native) 	dimy 	pae 	rima 	lima 	lima 	lima 	lima, gangsal 	lima 	
27	big 	besar, raya, maragul	ber < besser < bigger, ma.large, megal	𓅨 𓂋 𓈉	besar, raya 	malaki 	dako 	maragul 	báleg 	beleq 	dånkulu 	lehibe 	rahi 	nui 	ageung, gedé 	dakal 	dakal 	gedhe, ageng 	dakkel 	
28	long 		ma…	𓄫 𓅱	panjang 	mahaba 	taas 	makaba 	andokéy 	 	anåkko 	lava 	roa 	roa 	panjang, paos 	apiddu 	anaddu 	dawa, panjang 	tiddog 	
29	wide 		ma… 𓂾 ?		lebar, luas, lapang 	malapad 	lapad 	lapad, malapad 	malapar, maawang 	 	'fedda'' '	malalaka 	āano 	whānui, tīrara, pirara 	lega, rubak 	alawa 	alawa 	amba, jembar 	lawa 	
30	thick 	baga 	παχύς pakhús big	𓃀 𓅡 𓄿 𓎼 𓈗	tebal 	makapal 	baga 	kapal, makapal 	kapal, makapal 	 	potpot 	matevina 	meʻumeʻu 	mātotoru, pōruru, kukū 	kandel 	kannak, nakannak 	kannag, nakannag 	kandel 	puskol 	
31	heavy 	berat	baryth	^^	berat 	mabigat 	bug-at 	bayat, mabayat 	belat, ambelat 	 	makkat 	mavesatra 	teiaha, taimaha 	taumaha 	abot, beurat 	'dammo'' '	dammat 	abot, awrat 	dagsen 	
32	small 	kecil, maliit	cüc@Balkan … ma.lütt		kecil 	maliit, munti 	gamay 	lati, malati 	melag, melanting, tingot 	 	'dikiki'' '	kely 	iti 	iti 	alit, leutik 	baddi 	bissang, bissut 	cilik, alit 	bassit 	
33	short 	pendek, kuyad	pico, kurtz		pendek 	maliit, pandak 	mubo, putot 	kuyad, makuyad 	antikey, kulang, abeba 	 	kadada 	fohy 	poto 	poto 	pondok 	'alinno'' '	alinnat 	cendhek 	baba 	
34	narrow 	anggosto 	eng, sym.pit?	𓎛 𓆰 𓈖 𓋴 𓅪	sempit 	makitid 	gip-ot, hiktin, piot 	kitid, makitid 	mainget 	 	anggosto 	tery 	oaoa 	whāiti 	heurin, heureut, seredek 	'atazzi'' '	atazzit 	ciyut 	kikid 	
35	thin 	tipis, nipis 	pico?	𓊪 𓅮 𓈎 𓏗	tipis, nipis 	manipis 	nipis 	impis, maiimpis 	maimpis, mabeng 	 	kanifes 	manify, mahia 	rairai 	rahirahi 	ipis 	'eppi'' '	empit 	tipis 	ingpis 	
36	woman 	babai	Baby Babe <3 	𓃀 𓂓 𓏏 𓁑	perempuan 	babae 	babaye 	babai 	bií 	 	'palao''an '	vehivavy 	vahine 	wahine 	awéwé, istri, wanoja 	babay 	babay 	wadon 	babao 	
37	man (adult male) 	lulaki, tāne	Lakai, लोग log  λαός  2. Don	𒇽𓀁	lelaki 	lalaki 	lalaki 	lalaki 	laki, bolog 	 	låhi 	lehilahy 	tāne 	tāne 	lalaki, pameget 	lalaki 	lalaki 	lanang 	lalaki 	
38	man (human being) 	orang ʷutan	rén, manusia	𓂋 𓐝 𓍿 𓀀	orang, manusia 	tao 	tawo 	tau 	too 	 	taotao 	olombelona 	taʻata 	tangata 	jalmi, jelema, manusa 	tolay 	tolay 	wong, manungsa 	tao 	
39	child (a youth) 	kanak	kindk	𓐍 𓈖 𓏌 𓅱 𓀔,  𓈖 𓐍 𓈖 𓅱 𓀔	kanak, anak	bata, anak 	bata, anak 	anak 	anak, ogaw 	 	påtgon 	zaza 	tamariʻi 	tamaiti (singular); tamariki (plural) 	budak, murangkalih 	'ana'' '	anak 	anak, lare 	anak 	
40	wife 	isteri	Esther < sister?	𓊨 𓏏 𓁐,  𓊃 𓏏 𓁐	isteri 	asawa 	asawa 	asawa 	asawa, akolaw, kaamong 	 	asågua 	vady 	vahine faʻaipoipo 	wahine 	garwa, pamajikan, pibojong 	atawa 	atawa 	bojo, semah, garwa 	asawa 	
41	husband 	suami 	sym	𓌢𓈖𓀀, 𓎟 𓀀 pan	suami 	asawa 	bana 	asawa 	asawa, masiken, kaamong 	 	asagua, esposu 	vady 	tāne faʻaipoipo 	tāne 	carogé, salaki 	atawa 	atawa 	bojo, semah, garwa 	asawa 	
42	mother 	ina, nanay	Emma, nana		ibu, emak 	ina, nanay 	inahan (ina), nanay 	Ima 	ina 	 	nåna 	reny 	metua vahine 	whaea 	biang, ema, indung 	yena 	ina 	ibu 	ina 	
43	father 	bapa	bapa		bapa, ayah 	ama, tatay 	amahan (ama), tatay 	Tatang 	ama 	 	tåta 	ray 	metua tane 	matua 	abah, bapa, rama 	yama 	ama 	bapa, rama 	ama 	
44	animal 	haiwan 	haiwan  حیوان‎ heyvan	𓏠 𓈖 mananap	binatang, haiwan 	hayop 	mananap, hayop 	 	ayep 	 	'gå''ga'' '	biby 	manu 	kararehe 	sato 	ayam 	ayam 	sato, kewan 	ayup 	
45	fish 	isda	fishda < fithdan	𓆑 𓏏 𓏏 𓅱	ikan 	isda 	isda 	asan 	sira 	 	guihan 	trondro, hazan-drano 	'i''a '	ika 	lauk 	'manango'' '	manangat 	iwak, ulam 	ikan	 sida 
46	bird 	burung, paluma 	Burud ~ bird	𓊪 𓅮 𓅯	burung 	ibon 	langgam 	ayup 	ayep 	 	paluma 	vorona 	manu 	manu 	manuk 	'mammanu'' '	mammanuk 	manuk, peksi 	billit 	
47	dog 	Kuyuk , kurī	κυνη	𓃛 𓅱 𓃡	anjing, asu, kuyuk 	aso 	iro 	asu 	aso 	 	'ga''lågu '	alika, amboa 	'ūrī 	kurī 	anjing, guguk 	kitu 	atu 	asu, segawon 	aso 	
48	louse 	kuto	cootie (louse) kit=louse	𓎡 𓏏 𓏏 𓆨	kuto 	kuto 	kutu 	kuto 	 	hutu 	hao 	ʻutu 	kutu 	otét, puntang 	kutu 	kutu 	tuma 	kuto 	
49	snake 	bitin ahas	phyton, biting nahas ;)	𓆑 𓈖 𓏏 𓆙	ahas 	bitin, halas 	ubingan 	oleg 	 	kolepbla 	bibilava 	ōfī '	neke (from English) 	oray 	iraw 	zirian 	ula 	uleg 	
50	worm 	bulati, biges 	√bieg	^^	ulat 	uod, bulate 	ulod 	bulati 	biges 	 	 	kankana 	toʻe, tuʻa 	noke, toke, ngaio 	cacing 	karalang 	karalang 	uler 	igges 	
51	tree 	kiew, tanem	Kiefer, Tannen	𓈎 𓃀 𓆭, 𓍲 𓈖 𓆭	pokok, pohon, kayu 	punungkahoy, puno 	punoan, kahoy 	tanaman 	kiew, tanem 	 	tronkon håyu 	hazo 	'rā''au '	rākau 	tangkal 	kayu 	kayu 	wit 	kayo 	
52	forest 	hutan 	wooden (orang utan)	𓍲 𓈖 𓆭  𓆭 𓆭	hutan 	kakahuyan, gubat 	lasang 	gubat 	kakiewan, katakelan 	 	hålomtåno 	ala 	aru 	wao, ngahere 	leuweung 	kakayuan 	kakayuan 	alas, wono 	kakayuan 	
53	stick (of wood) 	patpat 	√beat?	𓆱 𓏏 𓏤 𓏤	kayu, batang, tongkat 	patpat 	pupot 	tingting 	bislak, sanga 	 	 	kibay, tehina 	mauhaʻa 	rākau, tokotoko 	régang 	'billa'' '	paluk 	pang 	kayo	 sanga 
54	fruit 	buah, prutas, …	frutas	𓉐 𓂋 𓏏 𓍁 𓈓	buah 	bunga, prutas < from Spanish /frutas/ 	bunga 	bunga 	bunga 	 	inasahan 	voankazo 	'mā''a '	hua 	buah 	vunga 	vunga 	woh 	bunga 	
55	seed 	binhi, pipitas, simiya 	ben, bit •penith	𓂸 𓏏 𓏲 𓏏 𓂺 𓏥	benih, biji 	binhi, buto 	binhi 	butul 	bokel 	 	pipitas, simiya 	voa 	huero 	kākano, purapura 	binih, siki 	vullung 	vukal 	wiji 	bin-i 	
56	leaf 	bulung	Blatt, down?		daun 	dahon 	dahon 	bulung 	bulong 	 	håggon 	ravina 	raoʻere 	rau 	daun 	don 	don 	godhong, ron 	bulong 	
57	root 	yamut, akar(t)		𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱𓇛, 𓇡 	akar 	ugat 	gamot 	yamut 	lamot 	 	'hale'' '	faka, fototra 	aʻa 	aka 	akar 	'gamu'' '	gamut 	oyod 	ramut 	
58	bark (of tree) 	kulit kayu 	kar		kulit kayu 	balat ng puno 	upak 	tangke 	obak 	 	 	hodi-kazo 	paʻa, ʻiri 	hīako, peha 	papagan 	 	 	klika 	ukis ti kayo 	
59	flower 	bulak,laklak	Blüte, lilac	𓃀 𓆰  𓆸 ⋍ 𓆹 	bunga 	bulaklak 	bulak 	sampaga 	bulaklak 	 	flores 	voninkazo 	tiare, pua 	putiputi, puāwai 	kembang, kusuma, puspa 	lappao 	lappao 	kembang, sekar 	sabong 	
60	grass 			𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 	rumput 	damo 	balili, sagbut 	dikut 	dika 	 	chåguan 	ahitra, bozaka 	ʻaihere, matie 	pātītī 	jukut 	'kaddo'' '	kaddat 	suket 	ruot 	
61	rope 	tali	<> tie	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 	tali 	tali, lubid 	pisi 	lubid 	singer, lubir 	 	tali 	tady 	taura 	taura 	tali, tambang 	'galu'' '	galut 	tali 	tali 	
62	skin (of a person) 			𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓂧 𓂋 𓄛 3. 𓄟 𓋴 𓂓 𓄛 4. 𓃀 𓅡 𓄇 𓄛  	kulit 	balat 	panit 	balat 	baog, katat 	 	låssas 	hoditra 	ʻiri 	kiri 	kulit 	'tabbi'' '	gaddang 	kulit 	kudil 	
63	meat (as in flesh) 			𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹  2. 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹	daging 	karne, laman 	unod, karne 	laman 	laman, iyan 	 	kåtne 	hena 	īnaʻi 	mīti (from English) 	daging 	pattak, karne 	pattag 	daging 	bagas 	
64	blood 	darah 	dashra 	𓂧 𓈙 𓂋 𓂐	darah 	dugo 	dugo 	daya 	dala 	 	'håga'' '	ra 	toto 	toto 	getih 	daga 	daha 	getih, rah 	dara 	
65	bone 	buto 	bent 𓂾 𓃀	𓈎 𓋴 𓌟 2. 𓄹,𓄺, 𓄻 , 𓌟 𓏤	tulang 	buto 	bukog 	butul 	pokel 	 	'to''lang '	taolana 	ivi 	wheua, kōiwi 	tulang 	tulang 	tulang 	balung 	tulang 	
66	fat (noun) 			𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥 2.  𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  3. 𓈎 𓈖 𓐎  4. 𓄡 𓊪 𓈖 𓃾 …	lemak, minyak 	taba 	tambok 	taba 	taba, mataba 	 	yommok 	taviny 	hinu 	ngako 	gajih 	taba 	taba 	gajih 	taba 	
67	egg 	telur 	𓏏 𓏥 (ler plural)	𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎	telur 	itlog 	itlog 	ebun 	iknol 	 	'chåda'' '	atody 	huero 	hēki, huamanu 	endog 	illuk 	ilug 	endhog, tigan 	itlog 	
68	horn 	tanduk, sungay 	thorn𓄏	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤	tanduk 	sungay 	sungay 	sagu 	saklor 	 	bibek 	tandroka 	tara 	pīhi, tara 	tanduk 	tagguk 	 	sungu 	sara 	
69	tail 	ekor buntot 	™!!	𓐍 𓃀 𓊃 𓏏 𓄢  	ekor 	buntot 	ikog 	iki 	ikol 	 	dadalak 	rambo 	ʻaero, hiʻu 	waero, hiku 	buntut 	'ifu'' '	ifut 	buntut 	ipus 	
70	feather (rather not down) 	bulu 	~ wool, fur?	𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸	bulu 	balahibo 	balhibo 	bulbul 	bago 	 	pulu 	penina, volom-borona 	hurhuru, hetehete 	awe, hou, huruhuru, piki 	bulu 	'duddu'' '	dudut 	wulu 	dutdut 	
71	hair 	buhok 	~ wool	𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 	rambut, bulu 	buhok 	buhok, balhibo 	buak 	buek 	 	gapotulu 	bolo 	rouru 	makawe 	buuk, rambut 	'vu'' '	ahuk 	rambut 	buok 	
72	head 	kepala, ulo 	cephal Köpferl 𓁷 𓂋 il < er	𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀	kepala, hulu 	ulo 	ulo 	buntuk 	ulo 	 	ulu 	loha 	upoʻo 	māhunga, uru, upoko 	hulu, mastaka, sirah 	ulu 	ulu 	endhas, sirah, mustaka 	ulo 	
73	ear 		<<<	1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔	telinga 	tenga, tainga 	dalunggan 	balugbug 	layag 	 	talanga 	sofina 	tariʻa 	taringa 	cepil, ceuli 	talinga 	talinga, daranggan 	kuping, talingan 	lapayag 	
74	eye 	mata	moythae	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  	mata 	mata 	mata 	mata 	mata 	 	måta, atadok 	maso 	mata 	mata, karu 	panon, soca 	mata 	mata 	mata, mripat, soca 	mata 	
75	nose 	ilong 	il.noce	𓆑 𓈖 𓂧 𓂉	hidung 	ilong 	ilong 	arung 	eleng 	 	'gui''eng '	orona 	ihu 	ihu 	irung, pangambung 	igung 	ihung 	irung 	agong 	
76	mouth 	mulut, ba-ba	mouth, le.pa	𓂋	mulut 	bunganga, bibig 	ba-ba 	asbuk, balungus 	sangi 	 	påchot 	vava 	vaha 	māngai, waha 	baham, sungut 	'simu'' '	simuk 	cangkem 	bibig 	
77	tooth (rather not molar) 	ipan 	Eben:Elfen:ivory	𓇋 𓃀 𓎛 𓄑 𓏤	gigi 	ngipin 	ngipon 	ipan 	ngipen 	 	nifen 	nify 	niho 	niho 	huntu, waos 	ngipan 	ngipan 	untu, waja 	ngipen 	
78	tongue 	lidah	glothe	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓	lidah 	dila 	dila 	dila 	dila 	 	'hula'' '	lela 	arero 	arero 	ilat, létah 	zila 	zila 	ilat 	dila 	
79	fingernail 	kuku	Kralle -	𓋁 𓃀 𓌟 𓄹 𓏤	kuku 	kuko 	kuko 	kuku 	kuko 	 	papakes 	hoho 	maiʻuʻu 	maikuku 	kuku, tanggai 	kuku 	kuku 	kuku 	kuko 	
80	foot 	paa, bitis	Pod / feet.1	𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 	kaki 	paa 	tiil 	bitis 	sali 	 	addeng 	tongotra 	'āvae 	waewae 	sampéan, suku 	takki 	taka 	sikil, suku, samparan 	saka 	
81	leg 	binti	Beine ^^	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹	binti 	paa, bitiis? 	bitis 	bikking 	 	addeng 	ranjo 	āvae '	waewae 	suku, tungkai 	takki 	taka 	sikil, suku, samparan 	gurong 	
82	knee 	pueg 2. lutut, tud 	√biegc 2. le thut	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾	lutut 	tuhod 	tuhod 	tud 	pueg 	 	tommo 	lohalika 	turi 	turi 	teku, tuur 	atuk 	 	dhengkul 	tumeng 	
83	hand 	kamot 	•Kante / t'hang <> “5” !	𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩	tangan 	kamay 	kamot 	gamat 	lima, gamet 	 	kånnai 	tanana 	rima 	ringa 	leungeun, panangan 	lima 	ima 	tangan, asta 	ima 	
84	wing 	kepak	Geflüg	𓂧 𓃀 𓄏	kepak, sayap 	pakpak 	pako 	pakpak 	pakpak 	 	pappa 	elatra 	pererau 	pākau, paihau, parirau 	jangjang 	'paya'' '	 	suwiwi 	payak 	
85	belly 	perut 	<> birth 𓄡 𓂂 𓏏	𓄡, 𓄡 𓏏 𓏤 , 𓄡 𓂂 𓏏	perut 	tiyan 	tiyan 	atian 	eges 	 	tuyan 	kibo 	'ōpū 	puku, kōpū 	beuteung, patuangan 	san, gutu '	 	weteng, padhaharan 	tian 	
86	guts 	usus, bituka 	isu, bisuka™ !!!	𓇋 𓋴 𓐎, 𓃀 𓋴 𓎡 𓅱 𓐎	usus 	bituka 	tinae 	bituka 	pait, bituka 	 	 	tsinay 	āau 	puku, piropiro 	peujit 	 	 	 	bagis 	
87	neck 	leeg, kakī	leg~neck, Gurgel ϧⲁϧ	𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿  5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  	leher 	leeg 	liog 	batal 	beklew 	 	'aga''ga'' '	vozona, tenda 	aī 	kakī 	beuheung, tengek 	tangngak 	 	gulu 	tengnged 	
88	back 	punggung 	•pugung •pusnek	𓊪 𓋴 𓆓 𓄪 𓄪 𓄪, 𓊪 𓊃 𓂧,  𓊪 𓂧 𓋴 𓅱 𓄪 𓏤, 𓇋 𓄿 𓏏 𓄦 𓏏 𓄻, 𓐟 𓏤, 𓐠 𓏤, 𓄻 𓄩 𓄦 𓄹, 	punggung 	likod 	likod 	gulut 	beneg 	 	'tatalo'' '	lamosina 	toa 	tuarā 	pungkur, tonggong 	likuk 	 	geger 	likod 	
89	breast 	tutoy, payudara	tits, Tzize, Brüste®	0. 𓏏𓏏 1. 𓃀 𓏏 𓄹, 𓃀 𓅌 𓏏,  𓅌 𓏏, 2. 𓈎𓄿𓃀𓏏𓄹, 3. 𓍲 𓈖 𓃀 𓏏 𓄹, 𓍲 𓈖 𓃀 𓅌 𓏏 𓂒, 4. 𓏠 𓈖 𓂧 𓂒	susu (former), payudara, buah dada 	suso 	tutoy, suso 	susu 	suso, pagew 	 	susu 	tratra 	'ōuma 	ū, uma 	pinarep, susu 	susu 	 	susu 	suso 	
90	heart 	puso 	patho 	𓄂 𓏏 𓏮 𓄣	puso 	kasingkasing 	pusu 	puso 	 	korason (Spanish) 	fo 	māfatu 	manawa 	jajantung 	futu 	 	 	puso 	
91	liver 	atay 	mastay?	𓅓 𓊃 𓏏 𓄹 𓈓,  𓈘 𓈇 𓋴 𓏏 𓄹 	atay 	atay 	ate 	altey 	 	higado (Spanish) 	aty 	ūpa''a '	ate 	ati, haté 	agal 	 	ati 	dalem 	
92	to drink 	minum	memnon	𓂝 𓈗, 𓇋 𓈗 𓏲 𓂧 𓆑 𓂻	minum 	inom 	inom 	minum 	inom 	 	gimen 	misotro 	inu 	inu 	leueut, nginum 	inum 	 	ombe 	inom 	
