№ 	English word 	Pe̍h-ōe-jī 	IPA 	PIE	Traditional Chinese 	Simplified Chinese														
55	seed 	chéng-chí 	tɕiŋ˥˥tɕi˥˧ 	see~seed	種子 	种子														
56	leaf 	hio̍h 	hioʔ˥˥ 		葉 	叶 hio̍h-á 	hioʔ˨˩a˥˧ 	叶仔												
57	root 	kun 	kun˥˥ 	Gene™	根 	根														
58	bark 	chhiū-phê 	tɕʰiu˨˩pʰe˧˥ 	Bar-kar cer-be	樹皮 	树皮														
59	flower 	hoe 	hue˥˥ 	@hue	花 	花														
60	grass 	chháu 	tsʰau˥˧ 		草 	草														
61	rope 	soh 	soʔ˩˩ 	Seil	索 	索 soh-á 	soʔ˥˧a˥˧ 	索仔												
62	skin 	phê 	pʰe˧˥ 	peal	皮 	皮 phê-hu 	pʰe˨˩hu˥˥ 	皮肤												
63	meat 	bah 	baʔ˩˩ 	fla.sh	肉 	肉														
64	blood 	huih 	huiʔ˩˩ 	(bl)huit	血 	血 hiat-e̍k 	hɪɛt˥˥ɪk˥˥ 	血液												
65	bone 	kut 	kut˩˩ 	cut?	骨 	骨 kut-thâu 	kut˥˥tʰau˧˥ 	骨头												
66	fat 	chi-hông 	tɕi˧˧hɔŋ˧˥ 		脂肪 	脂肪 jī-nn̂g 	ʑi˨˩nŋ˧˥ 	腻瓤												
67	egg 	nn̄g 	nŋ˧˧ 	Engg  <> ring?	卵 	卵 koe-nn̄g 	kue˧˧nŋ˧˧ 	鸡卵												
68	horn 	kak 	kak˩˩ 	khorkn	角 	角														
69	tail 	bé 	be˥˧ 	buschel	尾 	尾 bé-liu 	be˥˥liu˥˥ 	尾溜												
70	feather 	chiáu-mn̂g 	tɕiau˥˥mŋ˧˥ 	𓆄shu-wing	鳥毛 	鸟毛														
71	hair 	thâu-mn̂g 	tʰau˨˩mŋ˧˥ 	𓆄shair – 	頭毛 	头毛														
72	head 	thâu 	tʰau˧˥ 	top	頭 	头 thâu-khak 	tʰau˨˩kʰak˩˩ 	头壳												
73	ear 	hīⁿ 	hĩ˧˧ 	hear	耳 	耳 hīⁿ-á 	hĩ˨˩a˥˧ 	耳仔 hīⁿ-khang 	hĩ˨˩kʰaŋ˥˥ 		耳孔 	耳孔								
74	eye 	ba̍k-chiu 	bak˩˩tɕiu˥˥ 	Mboygen !!	目睭 	目睭														
75	nose 	phīⁿ 	pʰĩ˧˧ 	pinosio	鼻 	鼻 phīⁿ-á 	pʰĩ˨˩a˥˧ 	鼻仔												
76	mouth 	chhùi 	tsʰui˨˩ 	chew	嘴 	嘴														
77	tooth 	chhùi-khí 	tsʰui˥˧kʰi˥˧ 	Zinke	嘴齒 	嘴齿														
78	tongue 	chi̍h 	tɕiʔ˥˥ 	Zung	舌 	舌 chhùi-chi̍h 	tsʰui˥˧tɕiʔ˥˥ 	嘴舌												
79	fingernail 	chéng-kah 	tɕiŋ˥˥kaʔ˩˩ 	Zehen	指甲 	指甲														
80	foot 	kha 	kʰa˥˥ 	Zeh™	腳 or 跤 	脚 or 跤														
81	leg 	thúi 	tʰui˥˧ 		腿 	腿														
82	knee 	kha-thâu-u 	kʰa˧˧tʰau˨˩u˥˥ 	knee-^^	腳頭窩 	脚头窝														
83	hand 	chhiú 	tɕʰiu˥˧ 	cheiro	手 	手														
84	wing 	e̍k 	ɪk˥˥ 	???	翼 	翼 si̍t 	ɕɪt˥˥ 	翅 or 翼 si̍t-á 	ɕɪt˩˩a˥˧ 		翅仔 or 翼仔 	翅仔 or 翼仔 si̍t-kó͘ 	ɕɪt˩˩kɔ˥˧ 		翅股 or 翼股 	翅股 or 翼股				
85	belly 	pak-tó͘ 	pak˥˥tɔ˥˧ 	pot belly	腹肚 	腹肚														
86	guts 	tn̂g-á 	tŋ˨˩a˥˧ 	inner dinger	腸仔 	肠仔														
87	neck 	ām-kún 	am˨˩kun˥˧ 	?knick	頷頸 	颔颈														
88	back 	kha-chiah-phiaⁿ 	kʰa˧˧tɕiaʔ˥˧pʰiã˥˥ 	-- 	尻脊骿 	尻脊骿														
89	breast 	hiong 	hiɔŋ˥˥ 		胸 	胸 hiong-pō͘ 	hiɔŋ˧˧pɔ˧˧ 	胸部 heng-khám 	hiŋ˧˧kʰam˥˧ 	chest (generic) 	胸坎 	胸坎 leng-pông 	liŋ˧˧pɔŋ˧˥ 	female organ 	奶房 	奶房				
90	heart 	sim-chōng 	ɕɪm˧˧tsɔŋ˧˧ 	Soma! – 	心臟 	心脏														
91	liver 	koaⁿ 	kuã˥˥ 	gene™	肝 	肝 koaⁿ-chōng 	kuã˧˧tsɔŋ˧˧ 	肝脏												
92	drink 	lim 	lɪm˥˥ 	Linder treenk 	啉 	啉														
93	eat 	chia̍h 	tɕiaʔ˥˥ 	chew	食 	食														
94	bite 	kā 	ka˧˧ 	kau™	咬 	咬														
95	suck 	khip 	kʰɪp˩˩ 	tSip 	吸 	吸 chi̍p 	tɕɪp˥˥ 	suck 	吸 	吸										
96	spit 	phùi 	pʰui˨˩ 	pfui	呸 	呸 phùi-nōa 	pʰui˥˧nua˧˧ 	呸澜 phùi-chhùi-nōa 	pʰui˥˧tsʰui˥˧nua˧˧ 	lit. spit saliva (informal) 	呸嘴瀾 	呸嘴澜 phùi-thâm 	pʰui˥˧tʰam˧˥ 	lit. spit phlegm (informal) 	呸痰 	呸痰				
97	vomit 	áu 	au˥˧ 	vau	嘔 	呕 thò͘ 	tʰɔ˨˩ 	吐 áu-thò͘ 	au˥˥tʰɔ˨˩ 	formal 	嘔吐 	呕吐								
98	blow 	chhe 	tsʰe˥˥ 	𓆄shu / phoon™	吹 	吹 pûn 	pun˧˥ 	歕												
99	breathe 	ho͘-khip 	hɔ˧˧kʰɪp˩˩ 		呼吸 	呼吸 chhóan-khùi 	tsʰuan˥˥kʰui˨˩ 	喘气												
100	laugh 	chhiò 	tɕʰio˨˩ 	rigo	笑 	笑														
101	see 	khòaⁿ 	kʰuã˨˩ 	kan®	看 	看														
102	hear 	thiaⁿ 	tʰiã˥˥ 	thear	聽 	听														
103	know 	chai 	tsai˥˥ 	savy	知 	知 chai-iáⁿ 	tsai˧˧iã˥˧ 	知影 pat 	pat˩˩ 	to recognize 	捌 	捌								
104	think 	siūⁿ 	ɕiũ˧˧ 	think	想 	想														
105	smell 	phīⁿ 	pʰĩ˧˧ 	pinoscent	鼻 	鼻														
106	fear 	kiaⁿ 	kiã˥˥ 	<> Gans	驚 	惊														
107	sleep 	khùn 	kʰun˨˩ 	kruhen	睏 	困														
108	live 	o̍ah 	uaʔ˥˥ 		活 	活														
109	die 	sí 	ɕi˥˧ 	sick zieh	死 	死														
110	kill 	thâi 	tʰai˧˥ 	töte	刣 	刣														
111	fight 	oan-ke 	uan˧˧ke˥˥ 	Argue < Zank	冤家 	冤家 sio-phah 	ɕio˧˧pʰaʔ˩˩ 	相拍 sio-thâi 	ɕio˧˧tʰai˧˥ 	war 	相刣 	相刣								
112	hunt 	phah-la̍h 	pʰaʔ˥˧laʔ˥˥ 	Falle!!	拍獵 	拍猎														
113	hit 	phah 	pʰaʔ˩˩ 	beat	拍 	拍														
114	cut 	koah 	kuaʔ˩˩ 	CUT	割 	割 chhiat 	tɕʰiɛt˩˩ 	切 ka 	ka˥˥ 	scissors 	鉸 	铰								
115	split 	phòa-khui 	pʰua˥˧kʰui˥˥ 	Fäll-cut	剖開 or 破開 	剖开 or 破开 li̍h-khui 	liʔ˨˩kʰui˥˥ 	裂开 hun-khui 	hun˧˧kʰui˥˥ 	split up 	分開 	分开								
116	stab 	chhì 	tɕʰi˨˩ 	stabn	刺 	刺 chân 	tsan˧˥ 	剸 tu̍h 	tuʔ˥˥ 		突 	突								
117	scratch 	pê 	pe˧˥ 	peal	扒 	扒														
118	dig 	ó͘ 	ɔ˥˧ 	ore	挖 	挖 óe 	ue˥˧ 	挖 iah 	iaʔ˩˩ 		挖 	挖 liú 	liu˥˧ 		窌 	窌 ku̍t 	kut˥˥ 		掘 	掘
119	swim 	siû-chúi 	ɕiu˨˩tsui˥˧ 	swimak	泅水 	泅水														
120	fly 	pe 	pe˥˥ 	ply	飛 	飞														
121	walk 	kiâⁿ 	kiã˧˥ 	go	行 	行 kiâⁿ-lō͘ 	kiã˨˩lɔ˧˧ 	行路 pō͘-hêng 	pɔ˨˩hiŋ˧˥ 	go on foot (formal) 	步行 	步行 pō͘-kiâⁿ 	pɔ˨˩kiã˧˥ 	go on foot (formal) 	步行 	步行 pō͘-lián 	pɔ˨˩lɪɛn˥˧ 	go on foot (formal) 	步輦 	步辇
122	come 	lâi 	lai˧˥ 	arrive	來 	来														
123	lie 	tó 	to˥˧ 	Down → tot	倒 	倒														
124	sit 	chē 	tse˧˧ 	tsit	坐 	坐														
125	stand 	chām 	tsam˧˧ 	stamd	站 	站 khiā 	kʰia˧˧ 	徛 or 企												
126	turn 	oat 	uat˩˩ 	wend!	斡 	斡														
127	fall 	lak-lo̍h 	lak˥˥lɔʔ˥˥ 	< lieg,leg	落落 	落落														
128	give 	hō͘ 	hɔ˧˧ 	√hand	予 or 互 or 給 	予 or 互 or 给														
129	hold 	the̍h 	tʰeʔ˥˥ 		提 	提														
130	squeeze 	lu̍t 	lut˥˥ 	<> blut?	U+22BF0 	U+22BF0														
131	rub 	loán 	luan˥˧ 	<> line?	扌耎 	扌耎														
132	wash 	sóe 	sue˥˧ 	soap	洗 	洗														
133	wipe 	chhit 	tɕʰɪt˩˩ 		拭 	拭														
134	pull 	khiú 	kʰiu˥˧ 	<< zieh kar	扭 	扭 giú 	giu˥˧ 	扭												
135	push 	sak 	sak˩˩ 		拺 	拺														
136	throw 	tàn 	tan˥˧ 	Dan = ball	撣 	掸														
137	tie 	pa̍k 	pak˥˥ 	Pack ++	縛 	缚														
138	sew 	pâng 	paŋ˧˥ 	bindg	縫 	缝 thīⁿ 	tʰĩ˧˧ 	紩												
139	count 	siàu 	ɕiau˨˩ 	counto	數 	数														
140	say 	kóng 	kɔŋ˥˧ 	®	講 	讲														
141	sing 	chhiùⁿ 	tɕʰiũ˨˩ 	tsing	唱 	唱														
142	play 	sńg 	sŋ˥˧ 	Sing ^^	耍 	耍 chhit-thô 	tɕʰɪt˥˥tʰo˧˥ 	跮踱 or U+28468迌												
143	float 	phû 	pʰu˧˥ 	pflut	浮 	浮														
144	flow 	lâu 	lau˧˥ 	ƒlow LAUF	流 	流														
145	freeze 	kiat-peng 	kɪɛt˥˥piŋ˥˥ 	Kür-bing	結冰 	结冰														
146	swell 	phòng-tōa 	pʰɔŋ˥˧tua˧˧ 		膨大 	膨大														
147	sun 	thài-iông 	tʰai˥˧iɔŋ˧˥ 	太 Thysson! 阳	太陽 	太阳 ji̍t-thâu 	ʑɪt˩˩tʰau˧˥ 	日头												
148	moon 	ge̍h-niû 	geʔ˨˩niu˧˥ 	-- 	月亮 	月亮														
149	star 	chhiⁿ 	tɕʰĩ˥˥ 	stirn	星 	星														
150	water 	chúi 	tsui˥˧ 	sea	水 	水														
151	rain 	hō͘ 	hɔ˧˧ 	rhoi.n rain	雨 	雨														
152	river 	hô 	ho˧˥ 	rhoi.ver Rhone river	河 	河														
153	lake 	ô͘ 	ɔ˧˥ 	EAU	湖 	湖														
154	sea 	hái 	hai˥˧ 	HALI sHea ocEan	海 	海														
155	salt 	iâm 	ɪɛm˧˥ 		鹽 	盐														
156	stone 	chio̍h 	tɕioʔ˥˥ 	stone stein	石 	石 chio̍h-thâu 	tɕioʔ˨˩tʰau˧˥ 	石头												
157	sand 	soa 	sua˥˥ 	suand	沙 	沙														
158	dust 	thô͘-hún 	tʰɔ˨˩hun˥˧ 	dunst	土粉 	土粉														
159	earth 	tē-kiû 	te˨˩kiu˧˥ 	the KIU®	地球 	地球														
160	cloud 	hûn 	hun˧˥ 	dhunst	雲 	云														
161	fog 	bū 	bu˧˧ 	Bug > fog	霧 	雾														
162	sky 	thiⁿ 	tʰĩ˥˥ 	DAYN ^ THYs !	天 	天														
163	wind 	hong 	hɔŋ˥˥ 	phoong	風 	风														
164	snow 	seh 	seʔ˩˩ 	sneh senow	雪 	雪														
165	ice 	peng 	piŋ˥˥ 	;)	冰 	冰														
166	smoke 	hun 	hun˥˥ 	dhunst	薰 	薰														
167	fire 	hé 	he˥˧ 	fheir	火 	火														
168	ashes 	he 	he˥˥ 	he.sh	灰 	灰 hé-hu 	he˥˥hu˥˥ 	火灰												
169	burn 	hiâⁿ 	hiã˧˥ 	Bhian > fire burn	焚 	焚														
170	road 	lō͘ 	lɔ˧˧ 	rue	路 	路														
171	mountain 	soaⁿ 	suã˥˥ 	Schanze	山 	山														
172	red 	âng 	aŋ˧˥ 	hong®	紅 	红														
173	green 	le̍k 	lɪk˥˥ 	lake?	綠 	绿 chhiⁿ 	tɕʰĩ˥˥ 	青												
174	yellow 	n̂g 	ŋ˧˥ 	hong®	黃 	黄														
175	white 	pe̍h 	peʔ˥˥ 	pwhite	白 	白														
176	black 	o͘ 	ɔ˥˥ 	hei wu! ¬	烏 	乌														
177	night 	àm-sî 	am˥˧ɕi˧˥ 	abnd abm-δit	暗時 	暗时														
178	day 	ji̍t-sî 	ʑɪt˩˩ɕi˧˥ 	Just-δit	日時 	日时														
179	year 	nî 	ni˧˥ 	nyear	年 	年														
180	warm 	sio-lō 	ɕio˧˧lo˧˧ 		燒烙 	烧烙														
181	cold 	kôaⁿ 	kuã˧˥ 	cooln.de	寒 	寒														
182	full 	bóan 	buan˥˧ 	fulln more	滿 	满 móa 	mua˥˧ 	满 tīⁿ 	tĩ˧˧ 		滇 or 淀 	滇 or 淀								
183	new 	sin 	ɕɪn˥˥ 	gene™	新 	新														
184	old 	lāu 	lau˧˧ 	gero gelau’	老 	老 kū 	ku˧˧ 	旧												
185	good 	hó 	ho˥˧ 	ghood	好 	好														
186	bad 	pháiⁿ 	pʰaĩ˥˧ 	Pain / bane	歹 	歹														
187	rotten 	àu 	au˨˩ 	foul	餲 	餲 chhàu-nōa 	tsʰau˥˧nua˧˧ 	臭烂												
188	dirty 	lah-sap 	laʔ˥˧sap˩˩ 		垃圾 	垃圾														
189	straight 	ti̍t 	tɪt˥˥ 	strait stand > stit	直 	直														
190	round 	îⁿ 	ĩ˧˥ 	wind	圓 	圆														
191	sharp 	lāi 	lai˧˧ 		利 	利														
192	dull 	tūn 	tun˧˧ 	dumm	鈍 	钝														
193	smooth 	kng-ku̍t 	kŋ˧˧kut˥˥ 		光滑 	光滑														
194	wet 	sip 	ɕɪp˩˩ 	sip sweat	濕 	湿 tâm 	tam˧˥ 	沾												
195	dry 	ta 	ta˥˥ 	tary dry	焦 	焦														
196	correct 	tio̍h 	tioʔ˥˥ 	TJA!	著 	着 chèng-khak 	tɕiŋ˥˧kʰak˩˩ 	正确												
197	near 	kūn 	kun˧˧ 	con	近 	近														
198	far 	hn̄g 	hŋ˧˧ 	long	遠 	远														
199	right 	chiàⁿ 	tɕiã˨˩ 	zuo	正 	正														
200	left 	tò 	to˨˩ 		倒 	倒														
201	at 	tī 	ti˧˧ 	to at	佇 or 於 	佇 or 于														
202	in 	tī...lāi 	ti˧˧...lai˧˧ 	de inili < at innere	佇...裡 	佇...里														
203	with 	kap 	kap˩˩ 	capture capt chand !!<	及 	及														
204	and 	kap 	kap˩˩ 	capture capt chand !!<	及 	及														
205	if 	nā-sī 	na˨˩ɕi˧˧ 	¿ si	若是 	若是														
206	because 	in-ūi 	ɪn˧˧ui˧˧ 	na weil	因為 	因为														
207	name 	miâ 	miã˧˥ 	mnaime	名 	名														
