 № 	English 	Ket 	PIE ≠ TURK	Tlingit 	Navajo 	'Dena''ina '	PIE/CN	Hupa 	Slavey 	Kott 	Eyak
51	tree 	ōks, oˑksʸ 	oak, Esche ++ <<	aas 	tsin 	cʼ-pa-la, čʼ-wa-la, čʼ-va-la 		king, kʰʸiŋ, (wood, firewood) čʰʷič 		atči, atče, (older sources) ačši 	lis (poss. Russian borrowing)
52	forest 	hɯssej, areŋ 	^^	aas gutú (‘among trees’) 	tsintah 			king-xołiwhin (heavy forest), sikin-chwing (archaic pine forest)			
53	stick (of wood) 	ə̄ɣ 	'cache stick chik''a king'	ḵáas’ 	gish 	'chik''a (wood) '		king, kʰʸiŋ, (wood, firewood) čʰʷič 		hupuš 	t=kʰĩh
54	fruit 			tléiḵw (‘berry’) 	neestʼą́						
55	seed 	īm 	ᵋᵚamen, corn	'tukayátx’i (''small ones inside it''), x’aakeidí '	akʼǫ́ǫ́ʼ 	n=cʼǝs-(ʔ)a		'mina:'' (pit), =saːy, =saːy-ʔ (small seeds) '			Err:509
56	leaf 	əə, ɜː 		kayaaní 	atʼąąʼ 	'k''t''tun '		#NAME?		dʸipi 	tʼahɬ (also, feather)
57	root 	tìr 	tyr:red x̱aat ~ root 	x̱aat 	bikétłʼóól 	#NAME?		qus, xay (conifer, esp. pine or spruce), qat, qut (esp. willow) 		tʰe(ː)m-pul, (in older sources) tˈiːembulaŋ, lgiembulaŋ, ačigan 	qeːcʼ (spruceroot), (root-stump, plant roots), (only attest. in compounds) =kʰũː
58	bark (of tree) 	iŋolt, ɨːn 	ᵓinde, kara@birkh	a daayí (‘outer surface’), loon (outer bark), ḵéetlʼ (phloem), sáxʼ (cambium), láx̱ʼ (sap bark), x̱eesh (cork), s’agwáat (hemlock), teey (yellow-cedar), tsaaxʼ (red-cedar) 	bitáshtʼóózh 	'k''elut''ich''a '		'k''ila:dosch''e'' (heavy conifer bark), =sicʼ (also skin, hide) '		farpax, farpag, pʰarpak 	qʰaht-ɬ, qʰahƛ, tʰah (hide, bark, shell)
59	flower 	aqta daan 		ḵ’eikaxwéin 	chʼil bílátah hózhóón 	ashana 		'k''ida:y'', k''ige:s (Indian sunflower) '		ešalyky-tan	
60	grass 	daan 	trávan@slov … ??	chookán, sháak (timothy grass), sooḵ (saltwater grass) 	tłʼoh 	'k''echan '		'tł''oh '		tönapul, keri 	'tl''ihx̣'
61	rope 	Àŋ ≠ tíx’	𓍿𓎀 tex(til) Tau Tuch 	tíx’ 	tłʼóół 	'tl''ił '		isdits (string)			
62	skin (of a person) 	iŋolt, î 		dook, ch’áatwu (epidermis) xáasʼ (fish), g̱wáatʼ (sheepskin), kaak (inner hide), táach (skin trimmings) 	akágí 	ses, yes 		'-sits'' (also, animal), =sicʼ (also bark) '			#NAME?
63	meat (as in flesh) 	īs, iˑsʸ 	ᵛᵎᵋisch	dleey 	atsįʼ 	'k''tsen '		'tsing'', =cʰiŋʼ, (only in roots) cʰinʼ or cʰin '		iːči 	#NAME?
64	blood 	sūl, sʸuˑlʸ 		shé, shéiy, shí 	dił 	del 		tse:lin, cʰeː=liŋ, cʰeː=lin 		šur 	tǝɬ, tiɬ
65	bone 	aˀt 	osteon	's''aaḵ, s’ooḵ (rib), xaak (skeleton, bivalve shell) '	tsʼin 	'ts''en '		'-ts''in, =cʼinʼ, =cʼiŋʼ, =cʼin-eʔ '		xagal, xakal, qagal 	cʼǝl, =cʼǝl-ih (anatomy), qʼahš (in meat, fish)
66	fat (noun) 	kiˀt, kɨʔt 	kfett	taay 	akʼah 	'k''eq''eh '		'łiq''a:w (it is fat) '		kiːr 	#NAME?
67	egg 	eˀj, ɛʔy 	EI	k’wát’ (bird), kaháakw (fish) 	ayęęzhii 	'k''eghazha '		'q''ong'' (fish), -we:whe'' '		šuley (poss. Samoyed loanword) 	#NAME?
68	horn 	qoˀ, qɔʔ 	qoˀrn, cut?	sheit 	adeeʼ 	'k''da '		'-de'' '		hau (horn, thumb, big toe) 	#NAME?
69	tail 	huut, hiˀs, huːʔut 	Haut?	'l''eet '	atseeʼ 	-ka 		'-ke'' '		fugay, fukay, pʰugay, (older sources) pukˈay 	Err:510
70	feather (rather not down) 	às, âsʸ 	ᵛᵋthaw	t’aaw 	atʼaʼ 	'k''t''u '		'-ch''il'' '		iči, iče 	tʼahɬ (also, leaf)
71	hair 	tə̄ŋ 		x̱aaw (body hair, fur) shax̱aaw (head hair) 	atsiiʼ 	-tsighu 		'-wa'', tsiwung'' (head hair), cʰi=wa-ŋʼ, =cʰi=wa-nʼ, =cʰi=waʔ-n-eʔ '		eːk (body hair, fur), heŋ-ay (most likely head hair) 	leːɬ, (fur, body hair) =χuʔ
72	head 	kəjga, kˈɜyga 	kopg	shá 	atsiiʼ 	'-tsi, -kin''i '		'-tse'', =eː=ta=ʔa-y, =cʰeː(dialectal/obsolete) '		tag-ay, tak-ay 	Err:508
73	ear 	ogde, ˈɔgdɛ 	votze	gúk 	ajaaʼ 	-jegha 		'-jiw'' '		kaloːx (most likely a Turkic borrowing) 	#NAME?
74	eye 	dēs, deˑsʸ 	2 wake deyes  eyen	waaḵ 	anááʼ 	'-nu''u, -nagha '		'-na:'' '		tiːš, (older forms, both pl.) tečagan, tieŋ 	#NAME?
75	nose 	olən, ˈɔlɨn, ˈɔlǝn 	long;)	lú 	áchį́į́h 	-nchix 		-nchwiwh 		aŋ, aːŋ 	Err:509
76	mouth 	qō 	kou kau	x̱’é, x̱ʼa-, ḵʼa- 	azééʼ 	'-zaq'' '		'-da'' '		hoːpi 	Err:509
77	tooth (rather not molar) 	ìt, ît, iːti, i(ː)tǝ, iːʔet 	ᵗᵒøt	oox̱ 	awooʼ 	-ghi 		'-wo'' '		iti, ite (older sources incl. a final n) 	Err:509
78	tongue 	ēj, eˑy, ɛːyǝ, ɛyǝ 	l’óot’ ?	l’óot’ 	atsooʼ 	-tsila 		-sa:sta:n 		alup, aluːp 	Err:509
79	fingernail 	ìn, înʸ (also, claw) 		x̱aakw 	áláshgaan 	-luggena 		'-la''-ke''ts'' (also, claw) '		halčiːg, halčix (nail, claw, hoof) (older sources have an x in place of h) 	#NAME?
80	foot 	kiˀs (leg), buˑlʸ 	buˑlʸ  𓃀	x̱’oos (foot/leg), xéesʼ (shin) 	akeeʼ 	-qa 		'xe'', =xe-ʔ '		pul 	-qʰiː-, =kʼahš (also, leg), (older form) =kʼʷahš
81	leg 	qopqul, qopqu, kiˀs 	<>	x̱ʼoos (foot/leg), xéesʼ (shin), saayee (underside of knee) 	ajáád 	'-qatl''na '		'-qe:, -ts''in'' '		pul 	Err:508
82	knee 	batpul, bˈat-pulʸ 	pod 𓂾𓃀	keey 	agod 	'-ch''esh '		'-qot'' '		arša, aršaːn, aranšaːn 	Err:509
83	hand 	hɜŋn (slightly diff. connotation), lʸaʔŋ, laŋat 	hɜŋn 	jín (hand/arm) 	álaʼ 	-lu, -gguna 		'-la'' '		keːgär, keːʔär 	-yǝ-, =yǝ=qʼaʔcʼ
84	wing 	keˀs 	<<	kích 	atʼaʼ 	'-ch''enla'					
85	belly 	hɯ̄j, hɨˑy 		yoow (torso), x̱’óol’ (paunch) 	abid 	'-vet'' '		'-imit'' '		tʰaloːx, tʰaloːk 	Err:509
86	guts 	tùl 		naas 	achʼííʼ 	'-chutl''a (stomach) '		'-kya:ne (abdomen, insides), -ch''e:k''e'' (intestines, soft belly)'			
87	neck 	kə̄qt, kǝˑqt, kǝˑqtǝ 		lidíx’ (back of neck), leitóox̱ (throat) 	akʼos 	'-q''es '		'-q''os '		fuymur, pʰuymur 	Err:508
88	back 	qovet 	Dos, …?	díx̱’ 	anághah 	'-iniq'' '		'-ne:q'' (behind, at the back of), -e:ne'' (spine), -ingkine'' (small of back) '		hapar, xabar, kogar	
89	breast 	maˀm, tˈɜɣa 	mammal, tits, chest	l’aa 	ayid 	'-t''uyts''ena (chest) '		'-ije:'', -its''o:'' (woman''s breast, udder), -it''ahdiye'' '		fa, pʰa 	cʼuː (female breast, nipple, milk), =šeːkʼ
90	heart 	huu 	huu®™	téix̱ʼ 	ajéídíshjool, ajéí 	'-kuz''in '		'-ikyun-sa''a:n '		šitap, (older forms) šitabu, šitabii, šitapu 	#NAME?
91	liver 	sēŋ, sʸeˑŋ 	Sein, sani, shen	'tl''óoḵ '	azid 	'-zet'' '		'-isit'' '		šičil 	#NAME?
92	to drink 	dop, u=rˈɔ ~ ulʸ=dˈɔ 	dip, drinaa	di-naa 	adlą́ 	'k''etnun '		'ta:dinung (drinking), ta:wina''n (drinking), =naːn '		oː=p-aŋ 	#NAME?
93	to eat 	sìj, sʸî, sʸîy 	e’sseij	ya-x̱aa 	ayą́, yiyą́ 	'k''elqat '		'ky-, k''iw-, ne:lya:-, no:k''in-, -ita:n '		toːp-aːk-ŋ 	#NAME?
94	to bite 	laptaq, lˈap-t-aq, lˈap-t-ɔq 		si-taax’, ya-yeeḵ 	adiłhash 	Err:509		'-xuts'', =xacʼ, =xucʼ, (light; to crunch, bite off) =qos, (heavy; same def.) =qocʼ '			#NAME?
95	to suck 	ut 	out, lick	'li-l''aa '	ałtʼoʼ, yitsʼǫǫs 	'k''ełt''et'' '		'-t''ot '		'alchut, balä''ut, ba''ütang'	
96	to spit 	ultij 		'ḵ''a-di-toox̱ '	jidizhah 	tezhah 		-xe, -wh 		hujungakng	
97	to vomit 	kɯˀŋ 	kotz ko.do	dli-ḵoo 	nákwi 	'nuk''ełvaq'' '		-xoy			
98	to blow (as wind) 	bēj 	blowj	ya-.oox 	doochʼih, yisoł, deeyol 			-yo:l 		baláfu, alfu, bafujang, balafujang	
99	to breathe 	ilbet 	il.breath	di-saa 	hanéíyol, ńdísdzih, yisdah nízin 			-diye:wh			
100	to laugh 	dàʁ 	Ya-shake ya<>yorum	ya-shooḵ 	anádloh 	'nk''edleq'' '		'-ło'' '		chakajang	
101	to see 	t=uŋ, t=oŋ 	tseen, sieh-an	ya-teen 	nílʼį́, yooʼį́ 	ʔan (to do, see, have, look)		-tsa:n, =cʰis (imperf.), =cʰaːn (perf.) 		tʰ=aːŋ-aŋ 	Err:509
102	to hear 	eqsaq, =da 	ecoute	ya-.aax̱ 	adiitsʼaʼ 	nǝ-x 		Err:508		h=oː=ti 	Err:509
103	to know (a fact) 	it - am, ˈit-ey 	ᵛit	si-koo 	hashniih 	(a fact) =ni, (to know, be aware) =yǝn, =zǝn 		'-ts''it, =cʼit '		ŋ=aːliga 	Err:508
104	to think 	anbet 	ponder?	ya-jee 	neeshtʼááʼ 			'-sin, -se''n'			
105	to smell (sense odor) 	īt 		dzi-neex’ 	honishchin 			-chwiwh, -chwe:n, -chwin 			(n.) čãh, čãʔ, chanh, chan
106	to fear 	qoran (noun) 		a-ka-dli-x̱eetl’ 	yináldzid 			-lgit			
107	to sleep 	usʸenʸ (to go to sleep), t=...=qot 	a’slee(ᵛen)	ya-taa 	ałhosh 	veł, nuł (noun), =l=taq 		'mił (noun), -wun, -wun'', =waŋ, =wuŋ '		dʸ=aːt-aŋ, čagal-aː-k-ŋ (to drowse), (older sources) a=l=ˈa=ten 	Err:509
108	to live 	dəˀq 	da.sein	ya-tseen 	hinílá 			'-xinay'' (alive)'			
109	to die 	qoreŋ, qɔ-rʸaŋ, qɔ-rʸeŋ 	kuren, no¬	ya-naa 	daatsaah 	Err:509		'-ch''it, =tʼeːn, =tʼiŋ '		dʸ=a=xa-y-aŋ 	#NAME?
110	to kill 	èj, ɛ̂y 	jagt	ya-jaaḵ 	yiyiiłhé 	čʰi==t=ɬ=yuq, (pl. subj.) =ʁun 		'-wa:n, -łte'' (get killed), =weː '		oga-ʔaː-če-aŋ 	Err:509
111	to fight 	kàl 	kill	ḵu-li-gaaw 	daʼahijigą́ 			'k''iłch''ixa:-'			
112	to hunt (transitive) 	assano 	chassen	'a-ya-l''oon '	njiljeeh 	shtuniyu 		'k''iwuna:y-'			
113	to hit 	tàr 	;)	sha-ya-x̱eech 	jooł jiikał 			'-wul, -wa:tł'', -kis (fist)'			
114	to cut 	doo 	Two 2	ya-xaash 	niyiiłgeesh 			'-t''us, -t''a:ts'			
115	to split 	untet 		li-x̱oot’ 	ałtániiłgizh, hadiiłkaal 			'-k''il'			
116	to stab (or stick) 	dontet 		ya-gwaal 	iijííł 			-qot			
117	to scratch (an itch) 	inkit 		ka-ya-x’oot’ 	deeshchʼił 			'-ts''e:k'' (claw, fingernail), -ge:s (fingers)'			
118	to dig 	qɯ̀r 	qɯ̀r@grab	ka-ya-haa 	hadahojigeed 			xa:-			
119	to swim 	sùj, sʸuy, sʸuːyi, sʸuː()yǝ 	sʸuːyi @shui/yu	ji-si-kwaan (around something), ya-x’aak (underwater) 	nanibé 	nughebał, =cʰi=l=kʰǝɬ (human), =laʁ (fishes, animals), =l=kʰit (across), =pa 		'-me:, -me'', -''il (along, around) '		ul=šuy 	Err:509
120	to fly 	dòq, dɔ̂q 	Take-off	di-ḵeen (sg.), dli-yeech, dli-heech (pl.) 	ndaatʼaʼ 	'nut''eh '		'-xis, -xits'' '		f=a=ta-g-a iːnaŋ (idiomatic express.) 	#NAME?
121	to walk 	ejiŋ, ˈe-iŋ, ˈey-iŋ=tnʸ (also, to go) 	gehjn	ya-goot (sg.), ya-.aat (pl.) 	joogááł 	gheyuł(sg. go) 		-ha:l (along, go) 		eä=xeːy-aŋ, iːn-aŋ (also, to go)	
122	to come 	igbes, ˈi-g-besʸ 	Ici-ba	ḵu-ya-teen 	jiníyá, yílyeed 	niyu, =yu 		-ya: 		i=toːy-aŋ 	#NAME?
123	'to lie (as on one''s side) '	t-tn, t=...=qot 	down	ya-tee, .aax̱ (cloth), la-.aat 	sitį́, jiztį́ 	ztan, =tʰa-n 		-si, -tiwh (down), -te:n (down), =tʰeː, =tʰeːčʼ 		i=teːn-aŋ (down), dʸ=aːt-aŋ 	Err:509
124	to sit 	ūŋ 	hin	ya-nook (sg.), ya-ḵee (pl.) 	sidá, jizdá 	zdu, =tu 		'-dil, -de:tł'' '			Err:509
125	to stand 	īn, iˑnʸ 	^^	ya-haan (sg.), ya-naaḵ (pl.) 	yiizįįh 	san 		ya:- 		f=a=ta-g-aːk-ŋ (to go to stand), ay yatˈɨk, yätɨk (I am standing), dʸ=a=tek-ŋ, dʸ=ä=tek-ŋ,	
126	to turn (change direction) 	ta - kil 		a-ya-di-goot 	néizgiz 			'-''eh (away from), na:-'			
127	to fall (as in drop) 	dəqŋ 	dropqn	ka-li-soos (drop) 	jootłish 			'-ts''it (drop), -xut('') (fall), -xi(t)s('') (fall over)'			
128	to give 	qəreŋ, n=...=o, aq 	care, re	ḵaa jèe 	yeiyíʼaah 			'-''awh, -''a:n '		hi=peːn-aŋ 	Err:508
129	'to hold (in one''s hand) '	utoq 	take 	li-shaat 	dah yootįįł 			-tun			
130	to squeeze 	hataŋbet 		li-g̱oots, ya-g̱ootl (also, to mash by squeezing) 	ałchʼįʼjiinih 			'-tik, -chwun'' (make something bulge by squeezing)'			
131	to rub 	kīt 		'lli-g̱eex̱'' '	bídinéyiizh 			'-łiw (something on), -q''a: (against)'			
132	to wash 	ulgaŋ 		'ya-.oos'' '	iigis, tánéígis 			-diw			
133	to wipe 	abbet 		li-g̱oo 	yitʼood 			-chwit			
134	to pull 	tàŋ 		ya-x̱óot’ (haul), si-xaat’ (haul heavy object), si-yeeḵ (string), 	déloʼ 			-yo:s			
135	to push 	telaŋij 		ya-gooḵ 	bíjooyił, naaʼííłhad 			-chwit			
136	to throw 	esdaq 		ya-g̱eech 	iijiłneʼ, ajiiłhan 			-mil, -me:tł			
137	to tie 	aŋej 		ya-doox’ 	beʼjitłʼó 	du 		'-loy'', -tł''o:wh (onto something), -tł''on'' (onto s.) '			'tl''i'
138	to sew 	həlsej 		ya-ḵaa 	náʼáłkad‎ 	'q''a '		-xut			
139	to count 	dèr 	> Tell demek sanamak	dzi-toow, dzi-teew 	óltaʼ 			-tuq			
140	to say 	sˈaɣ-a-bet, =ma 	sˈaɣ	ya-ya-ḵaa 	jiní 	ya, =ni, =nax (imperf.), =nak (perf.) 		'-ne'', -ne: '		dʸ=a=čagar-aŋ 	Err:509
141	to sing 	iˀl 		ya-shee 	hataał 			'-''aw(h), -''a:n'			
142	to play 	aniŋbet 		'ḵudzi.ook'' (quietly) '	naané 	chi 		'-ne:l (w/ game, toys, etc.), -ne: (music), -ne'' (music)'			
143	to float 	doqŋ 		li-haash, a-ka-ya-haa 	dah naaʼeeł 			'-ta''w (in air), -la:t (to there), -xiwh (off), -xe:n (off) '			łə-dux
144	to flow 	qɯ̄n 		ya-daa 	nílí 			(-win)-lin			
145	to freeze 	təəl 		li-t’eex’ 	dootį́į́ł						
146	to swell 	hɯˀŋ (noun) 		dli-x’ees’ 	dínóochał 			-yo:tł, -yol			
147	sun 	ī 	high hel hi@NIppon gün@Turk	g̱agaan 	shá, jóhonaaʼéí  !!! <<<	'ni''i, nu''uy, n=ʔu-yi, nu=ʔu-y, ni=ʔ-i '		jingkyo:wit-qa:l, de:di-qa:l, wha, ʍaː 		eːga, eːgä, (older sources) ˈega 	qǝtǝ=kǝɬ, qǝtǝ=kiɬ (formed from v. "to shrivel")
148	moon 	qīp 		dís 	ooljééʼ 	geljay, ʁǝ=l=ca-y, ʁǝ=l=ča(-y) 		'xitł''e''-wha, wha, ʍaː '		šuy (also, yellow) 	qʰǝχah
149	star 	qòʁ, qɔʔ, qoaɢ 	qòʁ, s’in, cʰiŋʼ 	ḵutx̱.ayanahá 	sǫʼ 	sem, sin, sǝm, sim 		'tsing'', cʰiŋʼ '		al=ag, al=ak, al=ˈax 	laʔχcʼ-ɬ
150	water 	ūl, uˑlʸ, uolʸ 	-- 	héen 	tó 	tu, minłni, vinɬni, piɬni, miɬni 		tʰaʔ=naːn, (body of water) tʰoː 		u(ː)l 	kiyah, (preverb) tʰaʔ (into water)
