10	there 	ol ýerde, o taýda 	at… au thereda	🗸	онда, анда 	унта, çавăнта, лере 	онно 	ында 	анда 	анда 	тегендә, анда, шул җирдә 	тегендә 	алайда, анда 	онда, анда 	тиги жакта, тиги жерде, анда 	u yerda, u yoqda, u yonda 	ئۇندا‎ (unda), ئۇ يەردە‎ (u yerde) 		ol ýerde, o taýda 	orada 	orada, ora, orası 	anda 	اَنْدا‎ (andā)
11	who 	kim 	Quem! 🗸	🗸	кiм 	кам 	ким 	кым 	кем 	кем 	кем 	кем 	ким 	кiм 	ким 	kim 	كىم‎ (kim) 		kim 	kim 	kim 	kim 	كِمْ‎ (kim)
12	what 	näme 	nam: nämlich → NA	½ !	не 	мĕн 	туох 	чүү (Khalkha) 	ниме 	неме, не 	нәрсә, ни 	нимә 	не 	не 	эмне 	nima, na 	نېمە‎ (nëme) 		näme 	nə 	ne 	ne 	نا‎ (nē), ناما‎ (nemē), ناكُو‎ (negǖ), قَيُو‎ (qayū)
13	where 	nirede 	que.here! Nar.at Near.da	🗸	қайда 	ăçта 	ханна 	кайда 	хайда 	кайда 	кайда 	ҡайҙа 	къайда 	қайда 	кайда, кана 	qayerda, qayda 	نەدە‎ (nede), قەيەردە‎ (qeyerde), قەيەر‎ (qeyer) 		nirede 	harada 	nerede, hani 	qayda 	قَنْدا‎ (qandā), قَيُودا‎ (qayūdā), قَنٖى‎ (qanï̄)
14	when 	haçan 	que.han ~ quand!	🗸🗸	қашан 	хăçан 	хаһан 	кажан 	хаӌан 	качан 	кайчан 	ҡасан 	къачан 	қашан 	качан 	qachon 	قاچان‎ (qachan), قانچىدە‎ (qanchide), نەچچىدە‎ (nechchide), haçan 		haçan 	ne zaman; kaç; kaçta (what time, hour) 	qaçan 	قَجانْ‎ (qačan)	
15	how 	necə, nətər 	que.men ~ comme! na.com	🗸	қалай, нешік 	мĕнле 	хайдах 	кандыг 	хайди 	кандый 	ничек 	нисек 	къалай 	қалай, нешік 	кандай, нечик 	qalay, qanday, nechik 	قانداق‎ (qandaq), nähili, niçik; häýsy (which) 		necə, nətər 	nasıl 	nasıl 	نَتَكْ‎ (neteg)	
16	not (adjectives) 	däl 	NeMis! Bes = des @slav deLa	🗸🗸	емес 	çук 	суох 	эвес, чок 	нимес, чох 	эмес, jok 	түгел 	түгел 	тюл, тюйюл 	емес 	эмес 	emas, yo'q 	يوق‎ (yoq), ئەمەس‎ (emes) 		däl 	deyil 	değil, yok (no!, not!) 	degil 	يُوقْ‎ (yōq), اَرْماسْ‎ (ermēs)
17	all 	ähli, hemme, her, bary	alle, summe?	🗸🗸	бәрi, бүкiл 	пĕтĕм, пур, пурте 	бары, бүтүн 	бүгү, хамык, шупту, дөгере 	прай, тикci, тооза 	кöндӱрe, ончо, ӱзе,бары 	бөтен, бары, һәммә 	бөтә 	бары, бютеу, битеу 	бәрi, бүкiл 	баары, бардык, бүткүл (the whole) 	barcha, hamma, butun, bari, borliq 	ھەممە‎ (hemme), بارچە‎ (barche), پۈتۈن‎ (pütün), بارلىق‎ (barliq) 		bary, hemme, ähli, her 	bütün, hamısı 	tüm; bütün; hep (Pers.) 	bütün, ep, episi 	قَمُغْ‎ (qamuɣ), بَرْجا‎ (barčā)
18	many 	çox 	beau’coup! Many köppan?	🗸	көп 	нумай 	элбэх, үгүс 	хөй; көвей (noun, rare) 	кöп 	кöп 	күп 	күп 	кёб 	көп 	көп 	koʻp 	كۆپ‎ (köp), köp 		çox 	çok 	çoq 	كُبْ‎ (köp), اُكُوشْ‎ (üküš)	
19	some 	birnäçe, berentak 	Bir=1=einige, some, kac 𓅱 	🗸	бiрнеше 	темиçе 	хас да, ханнык эрэ; аҕыйах (a few) 	каш (a few) ; бир каш, шала, кашкыйна 	нинӌе-де, кöп нимес (a few) ; сала 	бир канча (a few) 	берничә 	бер нисә 	талай, бир талай, бир ненча, бираз, бир кесек 	бiрнеше 	бир нече 	bir necha, bir qancha, ba'zi, ayrim 	بىر قانچە‎ (bir qanche) (a few) ; ئازراق‎ (azraq) (a little) ; بەزى‎ (bezi) 		birnäçe, berentak 	bəzi (some of the) ; bir neçə (a few) 	bazı, (Ar.) kimi; birkaç (a few) , biraz (a little) 	bazı (some of the) ; bir qaç (a few)	
20	few 	az 	az~1ige kac 𓅱	🗸	аз 	сахал 	аҕыйах 	эвээш, бичии; ас (almost, a little) 	ас 	ас 	аз 	аҙ 	аз 	аз 	аз 	oz, kam, picha 	ئاز‎ (az) 		az 	az 	az 	az 	اازْ‎ (āz)
21	other 	başqa, digər 	othern атын   b’othca	🗸	басқа 	урăх 	атын 	өске, ыынды; башка (separate) 	пасха 	башка 	башка 	башҡа 	башха 	басқа 	башка 	boshqa, o'zga 	باشقا‎ (bashqa), ئۆزگە‎ (özge), ئارتۇق‎ (artuq), başga 		başqa, digər 	başka, öbür, diğer (Per.) 	başqa, diger 	اَذِنْ‎ (aδïn), اَذْرُقْ‎ (aδruq), اُنْكٖى‎ (öŋī)	
22	one 	bir 	first, pro(to)	🗸	бiр 	пĕрре 	биир 	бир 	пир 	бир 	бер 	бер 	бир 	бiр 	бир 	bir 	بىر‎ (bir) 		bir 	bir 	bir 	bir 	بٖيرْ‎ (bīr)
23	two 	iki 	secon’	🗸	екi 	иккĕ 	икки 	ийи 	iкi 	эки 	ике 	ике 	эки 	екi 	эки 	ikki 	ئىككى‎ (ikki), ikki 		iki 	iki 	eki 	اِكّٖى‎ (ikkī)	
24	three 	üç 	Seü, (bth)yrs, thres үшsan	½ 	үш 	виççĕ 	үс 	үш 	ӱс 	ӱч 	өч 	өс 	юч 	үш 	үч 	uch 	ئۈچ‎ (üch) 		üç 	üç 	üç 	üç 	اُجْ‎ (üč)
25	four 	dört 	Tetra ✔	🗸🗸	төрт 	тăваттă 	түөрт 	дөрт 	тöрт 	тöрт 	дүрт 	дүрт 	тёрт 	төрт 	төрт 	toʻrt 	tört 		dört 	dörd 	dört 	dört 	تُورْتْ‎ (tȫrt)
26	five 	bäş, kelle 	pent, peth ✔  kall=whul	🗸	бес 	пиллĕк 	биэс 	беш 	пис 	беш 	биш 	биш 	беш 	бес 	беш 	besh 	besh 		bäş, kelle 	beş 	beş 	beş 	بٖيشْ‎ (bḗš)
27	big 	uly (older) ; çişik 	Biyig, ample, uly ole’ луг large	🗸🗸	үлкен 	пысăк, мăн 	улахан 	улуг 	улуг 	јаан 	зур 	ҙур, бөйөк 	уллу ; тамада, тамата (older) 	үлкен 	чоң 	katta, buyuk, ulkan 	büyük, yoghan,zor; chong (older) 		uly (older) ; çişik 	böyük 	büyük, ulu (great, grand) 	büyük 	بَدُكْ‎ (bedük), اُلُغْ‎ (uluɣ)
28	long 	uzyn 	wiδun	🗸?	ұзын 	вăрăм 	уһун 	узун 	узун 	узун 	озын 	оҙон 	узун 	ұзын 	узун 	uzun 	uzun 		uzyn 	uzun 	uzun 	uzun 	اُزُنْ‎ (uzun)
29	wide 	giňiş, giň 	긴, 길다 generous, groß ¬eng	<<	кең 	сарлака, анлă 	киэҥ, кэтит 	делгем, калбак; алгыг (clothes) 	чалбах, аллығ 	кэҥ 	киң 	киң 	кенг 	кең 	кең 	keng 	keng 		giňiş, giň 	geniş 	geniş, enli 	keñ, keniş 	كِنْكْ‎ (keŋ), يَسٖى‎ (yasï̄)
30	thick 	galyň 	gal:big≠klein,lang	🗸≠!	қалың 	хулăн 	халыҥ 	кылын 	халын 	калын, jooн 	калын 	ҡалын 	къалын 	қалың 	калың 	qalin, yo'g'on 	qélin 		galyň 	qalın 	kalın, yoğun (dense) 	qalın 	قَلِنْ‎ (qalïn)
31	heavy 	agyr 	gyr®	<<	ауыр 	йывăр 	ыар, ыарахан 	аар 	аар 	уур 	авыр 	ауыр 	ауур 	ауыр 	оор 	ogʻir 	éghir 		agyr 	ağır 	ağır 	ağır 	اَغِرْ‎ (aɣïr)
32	small 	kiçi, kiçijik 	küchiculn! 𓅱 nietsh!	🗸;)	кіші, кішкене, кішкентай 	пĕчĕк 	кыра, куччугуй, кыччыгый 	биче, бичии 	кiчиӌек 	кичинек, кичӱ 	кечкенә, кече 	бәләкәй, кесе 	гитче 	кіші, кішкене, кішкентай 	кичинекей, кичине 	kichkina, kichik 	kichik 		kiçi, kiçijik 	kiçik; balaca 	küçük 	kiçik 	كِجِكْ‎ (kičig), اُشَقْ‎ (ušaq)
33	short 	gysga 	Kurz++ 𓅱  chiculn!	🗸🗸	қысқа 	кĕске 	кылгас 	чолдак, кыска 	хысха 	кыска 	кыска 	ҡыҫҡа 	къысха 	қысқа 	кыска 	qisqa 	qisqa 		gysga 	qısa 	kısa 	qısqa 	قِسْغا‎ (qïsɣā), قِرْتْ‎ (qïrt)
34	narrow 	dar 	dürr!! <> door! Darben	🗸🗸??	тар 	ансăр; тăвăр (tight) 	кыараҕас, синньигэс 	тар, кызыы 	нiске (not wide), тaр (tight) 	тар 	тар 	тар 	тар 	тар 	тар 	tor 	tar 		dar 	dar 	dar 	tar 	تارْ‎ (tār)
35	thin 	inçe 	Thin ~! winz 	🗸	жiңiшке 	çӳхе, çинçе 	синньигэс; чараас (as clothes) 	чиңге, чуга 	чуғаӌах, чуға; niske 	чичке, jука 	нечкә, нәзек 	нәҙек 	ингичге 	жiңiшке 	ичке, жука 	ingichka, yupqa, nozik 	ingichka, yupqa 		inçe 	nazik, incə 	ince, yufka 	ince 	يِنْجْكا‎ (yinčgē), يُڤْقا‎ (yuvqā)
36	woman 	heleý, aýal 	girly, katrin,kardin:work, ische, amne	🗸	әйел, қатын 	хĕрарăм 	дьахтар 	херээжен, кадай, херээжен кижи 	ипчi кiзi 	ӱй кижи, эмеген (Mong.) 	хатын 	ҡатын 	тиширыу 	әйел, қатын 	аял 	ayol, xotin, qiz 	ayol, ayal 		heleý, aýal 	qadın 	kadın 	qadın 	اُراغُوتْ‎ (urāɣūt), اِشٖلارْ‎ (išīlēr)
37	man (adult male) 	erkek (adam) 	ER! < vir san~sir kek<>gök	🗸	ер, еркек 	арçын 	эр киһи 	эр (кижи) 	ир кiзi 	эр кижи 	ир 	ир 	эркиши, эркегирыу 	ер, еркек 	эркек 	erkak 	er, erkek 		erkek (adam) 	kişi 	erkek, er, adam (Ar.) 		اَرْ‎ (er)
38	man (human being) 	ynsan, adam, kişi 	<< insane, kysir, adam	🗸 <	кiсi, адам 	çын, этем 	киһи 	кижи 	кiзi 	кижи 	кеше 	кеше, әҙәм 	адам 	кiсi, адам 	киши, адам 	kishi, odam, inson 	insan, kishi 		ynsan, adam, kişi 	insan, adam 	insan (Ar.), kişi (person, individual) 	insan, adam, kişi 	كِشٖى‎ (kišī)
39	child (a youth) 	çaga 	chiculn! 𓅱 Balg	🗸	бала 	ача 	оҕо 	уруг 	пала, олған 	бала 	бала, сабый 	бала, caбый 	сабий, бала 	бала 	бала 	bola, chaqa 	bola 		çaga 	bala, uşaq, çağa 	çocuk 	bala 	كَنْجْ‎ (kenč)
40	wife 	aýal 	girl, kardin/kathrin, care	🗸	әйел, қатын 	арăм 	ойох, кэргэн 	кадай, амдыы кижи 	ипчiзi 	эмегени, ӱй кижизи,катын, 	хатын 	ҡатын 	къатын 	әйел, қатын 	аял, катын 	xotin, ayol, rafiqa 	xotun, xotin 		aýal 	arvad, əyal 	karı, avrat, kadın (woman) 	apay 	كِسْ‎ (kis)
41	husband 	är, adam 	ER, HusHer?	🗸	күйеу 	упăшка 	эр 	эр, ашак 	ирi 	öбöгöни, эр кижизи,эр 	ир 	ир 	эр 	күйеу 	күйөө 	er, kuyov 	er 		är, adam 	ər 	koca, er (man) 	aqay 	باكْ‎ (bēg)
42	mother 	eje 	ana, ama, inge, egen?	🗸	ана 	анне 	ийэ 	ие, ава 	иӌе, ине 	эне 	ана 	әсә 	ана 	ана 	эне 	ona, aya, oyi 	ana 		eje 	ana 	anne, ana 	ana 	اَنا‎ (anā), اَبا‎ (ebē)
43	father 	kaka 	papa, vata ! VS AMA! Köka	🗸	әке, ата 	атте 	аҕа 	ада, ача 	аба; ада 	ада 	ата 	ата 	ата 	әке, ата 	ата 	ota, ada 	ata, ota 		kaka 	ata 	baba, ata (ancestor) 	ata 	اَتا‎ (atā)
44	animal 	haýwan 	! hurvan™ хайван (Pers.)	🗸	хайуан, жануар 	чĕр чун, выльăх 	кыыл, харамай 	аң-мең, аң (beast) 	аң (beast) 	тынду; аҥ (beast) 	хайван (Pers.), җәнлек 	йәнлек, хайван 	хайыуан, джаныуар 	хайуан, жануар 	айбан, жаныбар, аң (beast) 	hayvon, jonivor 	haywan, janliq 		haýwan 	heyvan 	hayvan (Pers.) 	ayvan	
45	fish 	balyk 	Beluga bei.lake (l’aqua) !! uralic!	🗸	балық 	пулă 	балык 	балык 	палых 	балык 	балык 	балыҡ 	чабакъ 	балық 	балык 	baliq 	béliq 		balyk 	balıq 	balık 	balıq 	بَلِقْ‎ (balïq)
46	bird 	guş 	vo.guls 𒃲 𐍆𐌿𐌲𐌻𐍃 fugls cuch! 𓅱 	🗸?	құс 	кайăк 	көтөр; чыычаах (birdie) 	куш 	хус 	куш 	кош 	ҡош 	чыпчыкъ 	құс 	куш 	qush 	qush 		guş 	quş 	kuş 	quş 	قُشْ‎ (quš)
47	dog 	it; köpek (male); güýük 	Hunt : ит ! Köter 	🗸	ит 	йытă 	ыт 	ыт 	адай (Tung.?) 	ийт 	эт 	эт 	ит 	ит 	ит 	it, kuchuk, ko'ppak 	it 		it; köpek (male); güýük 	it, köpək 	köpek, it 	köpek, it 	اِتْ‎ (ït)
48	louse 	bit 	bit ~ beetle!	🗸	бит 	пыйтă 	быт 	быт 	пiт 	бийт 	бет 	бет 	бит 	бит 	бит 	bit 	pit 		bit 	bit 	bit 	bit 	بِتْ‎ (bit)
49	snake 	ýylan 	schlange!! kʊlɪn  curlen	🗸	жылан 	çĕлен 	моҕой (Even.) , эриэн үөн 	чылан 	чылан 	jылан 	елан 	йылан 	джылан 	жылан 	жылан 	ilon 	yilan 		ýylan 	ilan 	yılan 	yılan 	يِلانْ‎ (yïlān)
50	worm 	gurt, gurçuk 	Curled !	🗸	құрт 	ăман, хурт 	үөн 	курт, шыйлашкын 	хурт 	курт 	суалчан, чели 	ҡорт 	къурт 	құрт 	курт 	qurt 	qurut 		gurt, gurçuk 	qurd 	kurt, solucan 	qurt 	قُرْتْ‎ (qurt)
51	tree 	bag, agaç 	Mwood ++, bark	🗸	ағаш 	йывăç 	мас (Tung.) 	ыяш 	ағас 	агаш 	агач 	ағас 	терек 	ағаш 	бак, дарак 	daraxt; yogʻoch (wood) 	derex; yaghach 		bag, agaç 	ağac 	ağaç 	terek 	يِغَجْ‎ (yïɣač)
52	forest 	tokaý 	mùs 木 turkee tree	🗸	орман, тоғай 	вăрман 	тыа, ойуур 	арга, арыг, эзим 	ағас 	арка, агаш 	урман 	урман 	чегет, агъач 	орман, тоғай 	токой 	oʻrmon, toʻqay 	ormanliq 		tokaý 	meşə, orman 	orman 	orman	
53	stick (of wood) 	çöp; taýak (stick, cane) 	мод 木 stick~sтаяк ++ 	🗸	таяқ 	патак, туя 	мас; баалкы (Rus) ; тайах 	будук, даянгыыш, сып 	таях 	табық 	таяк 	ботаҡ, сыбыҡ 	таякъ 	таяқ 	таяк 	yogʻoch, tayoq 	choxmaq,soyla; tayaq (stick, cane) 		çöp; taýak (stick, cane) 	çubuq 	değnek; çubuk, dayak (support) 	çubuq 	جِبِقْ‎ (čïbïq)
54	fruit 	miwe 	Malve Mus ≠ kveret ~ guord gvruit	🗸🗸 ½ 	жемiс 	çимĕç 	фрукт (Rus) 	чимис 	фрукт, нимис 	јилек, јискен,јеммыш 	җимеш 	емеш 	кёгет 	жемiс 	жемиш 	meva 	méwe 		miwe 	meyvə 	yemiş, meyve (Pers.) 	meyva, yemiş 	يَمِشْ‎ (yémiš)
55	seed 	tohum 	tha'am Samen (f)urə 𓂋 ! ӱрен  fruit 	🗸<!	ұрық, тұқым 	вăрлăх, вăрă 	туораах, бурдук 	үрезин 	ӱрен 	ӱрен 	бөртек, орлык 	орлоҡ 	урлукъ 	ұрық, тұқым 	урук, үрөн 	urugʻ, tuxum 	uruq 		tohum 	toxum 	tohum (Pers.) , ur (lump, knob, tumor) 	urluq, tuhum 	اُرُغْ‎ (uruɣ)
56	leaf 	ýaprak 	𓌾  prak~blatt--	🗸 ~	жапырақ 	çулçă 	сэбирдэх 	бүрү 	пӱр 	бӱр, бӱри,јабрак 	яфрак 	япраҡ 	чапракъ 	жапырақ 	жалбырак 	yaproq, barg 	yopurmaq 		ýaprak 	yarpaq 	yaprak 	yaprak 	يَبُرْغاقْ‎ (yapurɣāq)
57	root 	kök; düýp (base) 	Kork~Bark √deep 	🗸🗸	тамыр 	тымар 	силис; төрдө (base) 	дазыл 	чилеге; тазыл 	таммыр 	тамыр 	тамыр 	тамыр 	тамыр 	тамыр 	ildiz, tomir 	yiltiz 		kök; düýp (base) 	kök, tüp 	kök, damar (vein) 	tamır 	كُكْ‎ (kök), تُوبْ‎ (tǖp), يِلْدِزْ‎ (yïldïz)
58	bark (of tree) 	gabyk 	*karbark кора (kora) barka	🗸🗸	қабық 	хупă, хуйăр 	хатырык 	чөвүрээ 	хахпас, хабых 	чобра,kabïq 	кабык 	ҡайыр, ҡабыҡ 	къабукъ 	қабық 	кабык 	qobiq, qobuq 	qowzaq 		gabyk 	qabıq 	kabuk 	qabuq 	قاسْ‎ (qās)
59	flower 	gül 	Sisilk << çiçək susank	<	гүл, шешек 	чечек, çеçке 	сибэкки; чэчик (rare?) 	чечек 	чахаях, порчо 	чечек 	чәчәк, гөл 	сәскә 	гокка (ханс), гюл 	гүл, шешек 	гүл 	gul, (chechak) 	chichek, gül 		gül 	çiçək, gül 	çiçek 	çiçek 	جَجَكْ‎ (čeček)
60	grass 	ot 	cUT, курăк~gracc~grass	🗸🗸	от, шөп 	курăк 	от 	оът 	от 	öлöн 	үлән 	үлән 	ханс 	от, шөп 	чөп, от 	oʻt, oʻlan 	ot, chöp 		ot 	ot 	ot 	ot 	اُتْ‎ (ot)
61	rope 	tanap, ýüp; urgan (thick) 	𓎛 бау tanar TAU++ ip 𓎛 	🗸🗸	жiп, арқан 	вĕрен, пăяв, çип 	быа; 	хендир, чеп, аркан, баг 	пағ, арғамӌы 	буу, армакчы 	бау, аркан 	бау 	джыджым, джиб 	жiп, арқан 	жип, аркан 	arqon, ip, bog' 	arqan 		tanap, ýüp; urgan (thick) 	ip 	ip; urgan (thick) 	arqan, yip, sıcım 	يِبْ‎ (yïp), اُرُقْ‎ (uruq)
62	skin (human) 	deri (animal); ham (human) 	derma++ 𓄛 leather	🗸🗸	терi 	тир 	тирии 	кеш, алгы (animal) 	теер 	тере 	тире 	тире 	тери 	терi 	тери 	teri 	tére 		deri (animal); ham (human) 	dəri 	deri 	teri 	تَرٖى‎ (terī)
63	meat (as in flesh) 	et 	eat ma.et	🗸🗸	ет 	аш, какай 	эт 	эът 	ит 	эт 	ит 	ит 	эт 	ет 	эт 	goʻsht; et 	gösh; et 		et 	ət 	et 	et 	اَتْ‎ (et)
64	blood 	gan 	sang! Xuen	🗸	қан 	юн 	хаан 	хан 	хан 	кан 	кан 	ҡан 	къан 	қан 	кан 	qon 	qan 		gan 	qan 	kan 	qan 	قانْ‎ (qān)
65	bone 	süňk 	Sang soma сööк<>gök™ сөяк korkn	< 	сүйек 	шăмă 	уҥуох 	сөөк 	сööк 	сööк 	сөяк 	һөйәк 	сюек 	сүйек 	сөөк 	suyak 	söngek 		süňk 	sümük 	kemik 	kemik, süyek 	سُنْكُكْ‎ (süŋük)
66	fat (noun) 	yağ 	yóu 油  𓅭 yā 鸭 yoil yog(hurt) mast	🗸<<	май 	çу 	сыа 	үс, чаг 	чағ, симiс, ӱс 	ӱс, jay 	май 	май 	джау 	май 	май 	yogʻ, moy 	yagh, may 		yağ 	yağ 	yağ 	yağ, may 	ياغْ‎ (yāɣ), اُزْ‎ (ǖz), جِرْ‎ (čïr)
67	egg 	ýumurtga 	<< jaun ¬murt? urtga~egg@KOR ƒ		жұмыртқа, тұқым (dialect) 	çăмарта 	сымыыт 	чуурга 	нымырха 	jымртка 	йомырка 	йомортҡа 	гаккы 	жұмыртқа, тұқым (dialect) 	жумуртка 	tuxum, yumurtqa 	tuxum 		ýumurtga 	yumurta 	yumurta 	yımırta 	يُمُرْتْغا‎ (yumurtɣā)
68	horn 	şah (Pers.) 	𓏠 𓈖 𓃒 𓏥 menges / şah (Pers.) Zahn	🗸🗸	мүйiз 	мăйрака 	муос 	мыйыс 	мӱус 	мӱӱс 	мөгез 	мөгөҙ 	мюйюз 	мүйiз 	мүйүз 	шох, (muguz) 	münggüz 		şah (Pers.) 	buynuz 	boynuz 	müyüz, boynuz 	مُنْكُزْ‎ (müŋüz)
69	tail 	guýruk 	Curück! <> curl?	🗸	құйрық 	хӳре 	кутурук 	кудурук 	хузурух 	куйрук 	койрык 	ҡойроҡ 	къуйрукъ 	құйрық 	куйрук 	dum, (quyruq) 	quyruq 		guýruk 	quyruq 	kuyruk 	quyruq 	قُذْرُقْ‎ (quδruq)
70	feather (rather not down) 	ýelek 	tail! toll@ural	🗸	жүн, қауырсын 	тĕк 	түү, куорсун 	чүг 	чӱг 	jун 	каурый 	ҡаурый 	тюк 	жүн, қауырсын 	жүн 	jun, tuk, pat 	pey 		ýelek 	tük 	tüy, yün (wool) 	tük 	يُوكْ‎ (yǖg), تُو‎ (tǖ, “hair”)
71	hair 	saç, tüý, gyl 	sack, tolle	🗸	шаш, түк, қыл 	çӳç 	баттах, ас, түү; кыл (horse’s) 	чаш, дүк; хыл 	сас, хыл 	чач; кыл (single) 	чәч, кыл 	сәс 	чач, тюк 	шаш, түк, қыл 	чач 	soch, qil; yol (horse’s) 	chach; tük, qil 		saç, tüý, gyl 	saç, qıl (on body) 	saç, kıl (on body) 	saç, qıl (on body) 	سَجْ‎ (sač), قِلْ‎ (qïl), تُو‎ (tǖ)
72	head 	baş 	boss! Kopf++ TOP!	🗸	бас 	пуç 	төбө, бас 	баш 	пас 	баш 	баш 	баш 	баш 	бас 	баш 	bosh 	bash 		baş 	baş 	baş 	baş 	بَشْ‎ (baš)
73	ear 	gulak 	Khores ++	🗸	құлақ 	хăлха 	кулгаах 	кулак 	хулах 	кулак 	колак 	ҡолаҡ 	къулакъ 	құлақ 	кулак 	quloq 	qulaq 		gulak 	qulaq 	kulak 	qulaq 	قُلَقْ‎ (qulaq), قُلْقاقْ‎ (qulqaq)
74	eye 	көз 	gaze ogeyes!	🗸🗸	көз 	куç 	харах 	карак 	харах 	кöс 	күз 	күҙ 	кёз 	көз 	көз 	koʻz 	köz 		көз 	göz 	göz 	köz 	كُوزْ‎ (kȫz)
75	nose 	burun 	thana’~nasha  burun? Myrrhenos	🗸?	мұрын 	сăмса 	мурун, мунну 	думчук 	пурун, тумзух, тунӌух 	тумчук,murïn,мурун 	борын 	танау 	бурун 	мұрын 	мурун 	burun 	burun 		burun 	burun 	burun 	burun 	بُرُنْ‎ (burun)
76	mouth 	agyz 	𓂋 !!! am/OS << agyz	🗸	ауыз 	çăвар 	айах 	аас 	аас 	оос 	авыз 	ауыҙ 	аууз 	ауыз 	ооз 	ogʻiz 	aghiz 		agyz 	ağız 	ağız 	ağız 	اَغِزْ‎ (aɣïz)
77	tooth (rather not molar) 	diş 	Teeth +++	🗸🗸	тiс 	шăл 	тиис 	диш 	тiс 	тиш 	теш 	теш 	тиш 	тiс 	тиш 	tish 	chish 		diş 	diş 	diş 	tiş 	تٖىشْ‎ (tï̄š)
78	tongue 	dil 	D del! Teil 𐍄𐌿𐌲𐌲𐍉	🗸<< ++ 	тiл 	чĕлхе 	тыл 	дыл 	тiл 	тил 	тел 	тел 	тил 	тiл 	тил 	til 	til 		dil 	dil 	dil 	til 	تِلْ‎ (tïl)
79	fingernail 	dyrnak 	tir.nagel	🗸	тырнақ 	чĕрне 	тыҥырах 	дыргак 	тырғах 	тырмак 	тырнак 	тырнаҡ 	тырнакъ 	тырнақ 	тырмак 	tirnoq 	tirnaq 		dyrnak 	dırnaq 	tırnak 	tırnaq 	تِرْنْغَقْ‎ (tïrŋaq)
80	foot 	aýak 	bethe bal al.gan 𓃀 JAGe	🗸🗸!	аяқ 	ура 	атах 	даван, тавангай, бут 	азах 	ayaq 	аяк 	аяҡ 	аякъ 	аяқ 	аяк 	oyoq 	ayaq 		aýak 	ayaq 	ayak, taban (sole of a foot) 	ayaq 	اَذَقْ‎ (aδaq)
