№	English	Kabyle						PIE	best
25	four	kuẓ	kuẓ	rebɛa	āƀɛa	kkuẓ, rbɛa	kkoz	quad/quat	kuẓ
26	five	semmus	semmus	xemsa	xəmsa	smmus, xmsa	smmos	quimthe	xəmsa
27	big	ameqqran	ameɣran	ameqran	aməqqṛan	axatar, amqqran	imqqur	omega, ma.gran.de	ameqran
28	long	aɣezfan	azegrar	azegrar	aziyrā	aɣzzaf	uɣzif, iɣzzif	sir?	
29	wide	wessiɛ, abaraw	yiraw	miryu	miriw	fliy, wsɛ	yusɛa	𓅱 𓋴 𓐍 𓎸 𓏛  !	
30	thick	azuran	azewwar	azwar	gđā	zur*	iṭṭubz, iḍni	iḍni ~ dense	
31	heavy	ẓẓay	yiẓẓay	zinzer	đqəř	ẓẓag, stil	iẓẓay		
32	small	ameẓjan, amecṭuḥ	xxxx	amekdud, amezyan	aməẓẓyan	amẓẓyan	imzziy	micro, immse mouse?	amecṭuḥ  imzziy
33	short	wezzil	agilal	aqudid	aquđ̣ađ̣	ašṭṭwan, gzil	igzzul		
34	narrow	uħṛis	xxxx	udar	ħsā	qmr	ikrruz	kurz	ikrruz
35	thin	rqiq	xxxx	xxx	azđađ		icḍaḍ, isdid		
36	woman	tameṭṭut	tameṭṭut	hameṭṭut	ŧaməṭṭuŧ 	tamṭṭutt	tamɣart	dame, mother, Magt	
37	man (adult male)	argaz	aryaz	argaz	āyaz	argaz	argaz	> aryaz@Tarifit  a'recke	argaz
38	man (human being)	amdan	alsi	argaz	ƀnađəm		afgan		
39	child	agrud	ahyuy	arrac, aḥzaw	aħənžia, řƀəẓẓ	lɛil, arba, iširri	afrux	a child	agrud
40	wife	tameṭṭut	tameṭṭut	hameṭṭut	ŧamɣāŧ	tamṭṭutt	tamɣart, lahl	dame	
41	husband	argaz	aryaz	argaz	āyaz	argaz	argaz		
42	mother	yemma	imma	imma	yəmma 	mma	inna, immi	Amme	
43	father	baba	xxxx	baba	ƀaƀa	bba	baba	papa	
44	animal	aɣersiw, aywal	amuder	xxxxx	lħayawan		lbhimt, lhwaych	𓄛 ma.der deer 	amuder
45	fish	aslem	aslem	aslem	asřəm	aslm	islm	salmon, asřəm 1.Rhem	𓋴 𓃀 𓈖 𓏌 fish 
46	bird	aylal	aylul, afruɣ	afrux	ažđ̣iđ̣	ajḍiḍ	agḍiḍ	a žđ̣iđ̣	agḍiḍ
47	dog	aqjun	aɣjun, aɣerzul, aydi	aqzin	aydi, aqzin, ahəggā	iydi	aydi	a chien	aqzin, aɣjun
48	louse	tilkit	tillegt	icelţ	tiššəšt	taxxuyt	tilkit	kit-louse	
49	snake	azrem	ifiɣer	fiɣer	fiɣā, ŧařəfsa	ifiɣr	alkmaḍ, ablinka	𓆑	fiɣā
50	worm	tawekka	tikeči	haxečča	ađan n tmuaŧ	awkkiw	tawkka, tabxxuyt		
51	tree	useklu	taseṭṭa, tasklut	xxxxx	ssəžžāŧ	asklu, axlijj	taddagt	𓋴𓆭	
52	forest	teẓgi	tagant, tiẓgi	heẓgi	řɣaƀəŧ	taɣya, ɛari	tagant	<<	
53	stick	aɛekkaz	aɣezzul	ageṭṭum	aɛəkkaz, ŧaɣɣašŧ	taɣrušt, taɣritt	akccuḍ		
54	fruit	yigumma, lfakya	aferwi, agummu	xxxxx	řxuđ̣āt		agemmu		
55	seed	amud	abruy	xxxxx	řħəbb	ifsan, zzrriɛt, amud	amod		
56	leaf	ifer	tifert	hifrit	ŧawṛiqŧ	tawriqt, ifr	ifr		
57	root	aẓaṛ	aẓar	azar	aẓwā	aẓur	aẓur		
58	bark (of a tree)	iclem	taɣcurt, iclem	aɣenbal	thašit	aqšur	tifrkkit, ifrkki		
59	flower	ajeǧǧig	taflurt, tajejjigt	xxxx	ŧanəwwašŧ	ayjjig	ajddig		
60	grass	tuga	tiffart, tuga	xxxxx	arrƀiɛ	tuga	tuga, afar		
61	rope	amrar	asɣun	hezra	asɣun	izikr, agatu	ccriṭṭ, izikr		
62	skin	aɣlim	aglim	aglim	azu	agʷlim, ahitur, aksum	ilm		
63	meat	aksum	aksum	aksum	aksum	aksum	tifyyi	𓇋 𓆑 𓄻 𓏥  Fleisch 	aksum
64	blood	idammen	idammen	iḍammen	iđammən	idammn	idamn	adam	
65	bone	iɣas	iɣes	iɣes	iɣəss	ixṣ	ixss	𓈎 𓋴 𓌟  Кость	
66	fat (noun)	eddhin	iddumt	igenfa	ŧađunt	ims, tadunt	tadunt		
67	egg	tamellalt	tamellalt	haqcurt	ŧaməǧǧač	taglayt	taglayt		
68	horn	iccew	iccaw	iqic	išš	isk	isk	<> ixṣ osteo 𓈎 𓋴 𓌟  Кость	
69	tail	aẓeɛkuk	talleqaḍt, tamɣilt	hajelalţ	akənnas	abrḍuḍ	acṭṭab, acwwaḍ	tail, …	talleqaḍt, tamɣilt
70	feather	incew	xxxxx	xxxxx	afā	rriš	abzzir	a bzzir, a feather	
71	hair	anẓad	azaw	anzaḍ	ašəwwaf	azzar	azzar, ajaffa	𓍲 𓈖 𓏮 𓁸 𓏥 Schnitt	
72	head	aqeṛṛu	iɣf	ixf	aqəyyua	aqṛṛu, aqšaš	agayyu	acurate guy?	
73	ear	ameẓẓuɣ	imejji, amẓuɣ	amezzuɣ	aməẓẓuɣ	amẓẓuɣ	amzzuɣ		
74	eye	tiṭ, allen	tiṭ, al	xxxxx	ŧiṭṭ	tiṭṭ	tiṭṭ		
75	nose	anzaren	anzaren, aɣenfuf	inzer	ŧinzā	tignzar, anzar	inxar	the.nose ŧinzā inzer	
76	mouth	imi	imi	imi	aqəmmum	aqmu, imi	imi	a mouth	
77	tooth	uɣel, tuɣmest	tiɣmest	hiɣmest	ŧiɣməsŧ	uxs	axs	tooth.mes III	tuɣmest
78	tongue (organ)	iles	iles	iles	iřəs	ils	ils	a lissan	
79	fingernail	accar	iccer	icer	iššā	aššr, iskr	iskr		
80	foot	aḍaṛ	aḍar	dar	đ̣ā	aḍar	abaklla, aḍar, tiqqrt	aḍaṛ < footer  ⲣⲁⲧ reverse	
81	leg	aḍaṛ	amessaḍ	dar	đ̣ā	aḍar	tiqqrt	amessaḍ < jambe…	
82	knee	aɣecrir	ifud	afuḍ	fuđ	afud	afud	ⲫⲁⲧ	
83	hand	afus	afus	afus	fus	afus	afus	Pfote > Fuß : Hand	
84	wing	afriw	afriw	afer	afriw	afr	ifr	𓇋 ifr 𓆃 	
85	belly	aɛəbbuḍ	xxxxx	taḍist	aɛəddis	aɛddis, adis	aḥlig, adis, ahbbuḍ, aḥrur	a body	ahbbuḍ
86	guts	ijeɣdan	xxxxx	ičrudan	ađan	isṛman, taduwwart	ibaɛlal, ilawan, irawdan		
87	neck	amgeṛḍ	iri	iri	iri	ḥnyi, amgrḍ	iggi umggrḍ, amggrḍ		
88	back	uɛrur	deffer	imerzi	aɛrua	tadawt	tiɣraḍ, timzaḍin		
89	breast	idmaren	taɛbbuct	abebbuc	ibbəš	abubbu, iff	admr		
90	heart	ul	ul	ul	uř	ul	ul	UL 𒌌?	
91	liver	tasa	tasa	hesa	ŧsa	tasa	tasa		
92	to drink	sew	sew	suw	su, ħřu	sw	su	sip < 𓋴𓅨𓂋 slurp	
93	to eat	ečč	ečč	eţ	šš	cc	c, ic, ctta	eat, esse	eţ, ečč
94	to bite	ɣeẓẓ	qqes	xxxxx	zɛəf, mmā’məš	qqs	bbi	bbi.tu bite (ab.do )	bbi
95	to suck	tetteḍ	xxxxx	xxxxx	ṭṭəđ̣đ̣	ssumm	ssum	saugem	ssum
96	to spit	susef	xxxxx	xxxxx	ssusəf	ssufs	ssufs	~	susef
97	to vomit	err	xxxx	xxxx	arr, ɛuqq	rar	trra		
98	to blow	adu	xxxx	xxxxx	ssuđ̣	ssuḍ	suff	wadu wind @ süd ?	adu, ssuđ̣
99	to breathe	neffes	xxxxx	xxxxx	arr nnəfs	ssunfs	cuncḍ	à nose	arr nnəfs
100	to laugh	yeṣṣ	xxxxx	xxxxx	đ̣ħəš	ṭs	ḍssa		
101	to see	ẓer	xxxxx	ezr	wařa	annay	ẓr, mnid, smuqql	see®	ẓer
102	to hear	sel	xxxxx	xxxxx	səř	sl	slla, slla		
103	to know	issin	xxxxx	xxxxx	ssən	isin	ssn	issin < wissen	
104	to think	xemmem	xxxxxx	xxxxx	xəmməm, pins’ā, tɣiř	xmmm	swingm	~ mens	
105	to smell	sfeħ	xxxxx	xxxxx	ttfuħ, šəmm	kḍu	kḍu		šəmm.el
106	to fear	ɣedd	xxxxx	xxxxx	xxx	ggʷd	kṣuḍ	𓋴 𓂋 𓅾 Gezitter	kṣuḍ
107	to sleep	ṭṭes	xxxxx	xxxxx	ṭṭəs	gn	ṭs	√night zzz ;)	gn ṭs
108	to live	zdeɣ	xxxxx	xxxxx	zđəɣ	zdeɣ	sul, ddr		
109	to die	emmet	xxxxx	xxxxx	mməŧ, nnuṛi	mmt	mmt	𓏱	mmt
110	to kill	enɣ	xxxxx	enɣ	nəɣ	nɣ	nɣ	end, negate s.o. 	"enɣ	nəɣ"
111	to fight	mecč	xxxxx	xxxxx	mmnəɣ	nnaɣ	mmaɣ	mess @ machete?	
112	to hunt	ṣeyyeḍ	xxxxx	xxxxx	ymā	gmr	gmr	𓎼 𓂋 𓍅 𓏲 𓀜  !	
113	to hit	weṭ	xxxxx	xxxxx	wwəŧ, ssqəř	gʷt	ut	ut < hit < wet < beat	ut < hit < weṭ < wwəŧ < gʷt 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡
114	to cut	gzem	xxxxx	xxxxx	qqəs, fři	bby	bbi	bipart 2  𓐝  <>	bbi
115	to split	beḍḍ	xxxxx	xxxxx	ƀđ̣a	stɣ, ṭṭiqs	bḍu	𓉐 part  𓄋𓊪𓏲𓏏𓏴𓀁	ƀđ̣a
116	to stab	iweṭ	xxxxx	xxxxx	wwəŧ s řmus, pikā	nqqb	syags	√steck	syags
117	to scratch	xebbec	xxxxx	xxxxx	šməz	kmz	krrj	kratz	krrj
118	to dig	ɣez	xxxxx	xxxxx	ɣəz	ɣz, andal	ɣz	geh? under	ɣez, andal
119	to swim	ɛum	xxxxx	xxxxx	fđəħ, ɛum	ɛum	aɛwm	swim (silent)	ɛum
120	to fly	afeɣ	xxxxx	xxxxx	đ̣u, fāfā	afrw	ayl	a'fly	afeɣ fāfā ayl 
121	to walk	eddu	xxxxx	xxxxx	uyua	ddu, azzal	fttu	foot	fttu > eddu
122	to come	as	xxxxx	xxxxx	as	as, ddu d	ackd, actt, aywad		
123	to lie (as in a bed)	ɣen	xxxxx	xxxxx	zzəř	gn	gn		
124	to sit	qqim	xxxxx	xxxxx	qqim	qqim	ggawr	𓋴 𓇛 𓅓 𓀼 !	
125	to stand	bedd	xxxxx	xxxxx	ƀədd	bdd	bidd	bide, abide @ podest	
126	to turn (intransitive)	zzi	xxxxx	xxxxx	qřəƀ	brrm, ḍuwr	ssutl	--	
127	to fall	ɣli	xxxxx	xxxxx	wđ̣a	ḍr, ttutty	ḍr		
128	to give	efk	xxxxx	xxxxx	əwš	kf	fk		
129	to hold	ṭṭef	xxxxx	xxxxx	šəbbā	ṭṭf, amẓ	amẓ, zzga		
130	to squeeze	zmeɣ	xxxxx	xxxxx	ẓəmm	ẓiyr, ẓm	ẓm	zermatschen, zusammen 𓊃 sym.mash/make	zmeɣ
131	to rub	ħekk	xxxxx	xxxxx	nħəđ, ħəkk	mry	ḥukku		
132	to wash	ssired	xxxxx	xxxxx	ssiađ, ssřiř	ssird	ssird	𓂋 𓐍 𓏏 𓂝 | wash 	
133	to wipe	sfed	xxxxx	xxxxx	msəħ	sfḍ	ṣfḍ	swiped	
134	to pull	jebbed	xxxxx	xxxxx	žƀəđ, žaṛṛ	ldi, nzɣ	awk	zerre, hook	žaṛṛ, awk
135	to push	demmer	xxxxx	xxxxx	ɛān	tħi, dfɛ	dḥi		
136	to throw	reɣ	xxxx	xxxx	nḍā, səyyəƀ, ħri	gr	luḥ		
137	to tie	qqen	xxxxx	xxxxx	qqən, šədd, šāf	ass, qqn, krs	ass, krs	<> ass, horse	ass, krs
138	to sew	xaḍ	xxxxxx	xxxxxx	xəyyəđ̣	gnu	gnu	knot gnu.tu	gnu
139	to count	ħseb	xxxxx	xxxxx	ħsəƀ	ḥasb	ḥasb	𓎛 𓋴 𓃀 𓅱 𓐎 𓏛	ħseb
140	to say	ini	xxxxx	xxxxx	ini	ini	ini		
141	to sing	cenn	cna, zel, ini	inziz	ɣənnəž	irir	tirir	Gesang, sing ~	cenn, ɣənnəž
142	to play	urar	irar	xxxxx	irā	hdr, urar	hḍr	hḍr < guitar < zitter ?	
143	to float	tfel	xxxxx	xxxxx	fđəħ	hzza	aywul		
144	to flow	eɣder	sazzel, scercer	xxxxx	azzəř	azzl, suddm, ngi	ngi		
145	to freeze	sseɣres	xxxxx	xxxxx	žās, žməđ	sseɣres	sɣr		
146	to swell	ceff	xxxxx	xxxxx	xxx	aff	uff		
147	sun	iṭij	tafuyt, tiṭṭijt	fwit	ŧfušŧ	xxx	tafukt	---	
148	moon	aggur	agur	xxxxx	yua	yr	ayyur	year 𓇺 月 yuèri  yuè Iah 	ayyur, yua
149	star	itri	itri	xxxxx	iŧri	itri	titrit	astra > iŧri	iŧri
150	water	aman	aman	aman	aman	aman	aman	eau.marine	
151	rain	aɣeffur	tametna, tigerret	xxxxx	anẓā	xxx	anẓar	wanẓar > wasser ?	anẓar
152	river	asif	isuf	iɣzeɣ	iɣzā	xxx	asif	Isa < Wasser ?  𓂋 𓏤 𓄂 𓏏 𓏤 𓈘  river mouth 	iɣzā
153	lake	ugelmim	agulmim	hamḍa	ařimam	agʷlmam	tamda	aqua.maim 𓈗	agʷlmam
154	sea	ilel	illel	xxxxx	řəƀħā	xxx	lbḥr	lake lol?	--
155	salt	lmelħ	tisent	xxxxx	ŧamməǧǧaħŧ	xxx	tisnt	--	
156	stone	aẓru	taẓrut	huqit	aẓṛu	aẓru, islli	aẓru	a chert aẓru l'azur (lapiz lazuli) 	
157	sand	ijdi	ijdi	ijeḍi	ižđi	xxx	amlal	𓈙 𓂝 𓈒 𓏥    •šda 𓂞	ižđi
158	dust	aɣɣebaṛ	xxxxx	xxxxx	ŧaɣəbbāŧ	xxx	agḍrur	ash…	
159	earth	axal	axal	cal	šař	xxx	akal	Acker	akal
160	cloud	asiɣna	asigna	asigna	asiynu	xxx	amdlu		
161	fog	aɣu	ayu	hawt	ŧayyuŧ	xxx	tagut		
162	sky	igenni	ajenna	ajenna	ažənna	xxx	ignna	𓋴 𓏠 𓈖 𓏌 𓍖 𓏥 | supports of sky | asman @Pers	
163	wind	aḍu	aḍu	xxxxx	arriħ	xxx	aḍu	vendu	aḍu
164	snow	adfel	adfel	aḍfel, hamačemţ	ađfəř	adfl	adfl		
165	ice	aɣris	xxxxx	azric	ažris	iwri	adfl	> ice	aɣris
166	smoke	abbu	aggu	xxxxx	ddəxxan	aggu	aggu	ash <> iɣed	
167	fire	timess	timess, taɛfiyt	himesi	ŧiməssi	afa	lɛfit, takat	<<< > thyss	
168	ash	iɣed	iɣed	iɣeḍ	iɣɣəđ	xxx	iɣd	ashed	
169	to burn	ṛeɣ	serɣ	eɣ	ssħā’q, šməđ̣	ɣus, kmḍ	jdr	smold, kamin, charm	šməđ̣, kmḍ
170	road	abrid	abṛiḍ	xxxxx	aƀriđ	abrid	aɣaras	a bridge > path, a cross 𒆜 RAŠ রাস্তা raśta	"aƀriđ	aɣaras"
171	mountain	adrar	adrar	aḍrar	ađmā	xxx	amadl, adrar	a mountell, a dar	amadl, adrar
172	red	azeggaɣ	azuggʷaɣ	azeggaɣ	azəggwaɣ	azggʷaɣ	azggaɣ		
173	green	azeɣzaw	azizaw	azegza	arrƀiɛi	azgza	azgzaw		
174	yellow	awṛaɣ	awṛaɣ	awraɣ	awṛaɣ	awraɣ	awraɣ		
175	white	amellal	amellal	amellal	ašəmřař	umlil	umlil, acumlil	à miel, mehl, ¬lila(night)	
176	black	aberkan	aberkan	aberxan	aƀāršan	abxxuš	axḍri, asggan		
177	night	iḍ	iḍ	iḍ	ǧǧiřəŧ	xxx	iḍ	~ 𒌓 id : day	
178	day	ass	ass	ass, azil	nnhā	ass, azal	ass	azal:sol 𓇳 azur:blue	azal
179	year	aseggas	aseggas	aseggʷas	asəggwas	xxx	asggʷas	ages  𓇳s	asggʷas
180	warm	azɣal	amezɣul	xxxxx	ħma	xxx	tirɣi		
181	cold	asemmiḍ	asemmiḍ	asemmid	asəmmađ̣	xxx	aṣmmiḍ		
182	full	ačaṛan	ameccur	xxxxx	ššua	xxx	iktar		
183	new	amaynu	atrar	xxxxx	žžđiđ	ujdid	ljdid		
184	old	aqbuṛ	ammɣar, awessar	awsar	aməqqṛan	xxx	aqdim		
185	good	yelha	amehlay, amalaɣ	azaim	ṣƀəħ	xxx	ifulki	ameliorate	amehlay
186	bad	yir	icmet	uxic	aɛəffan	gar, uriḥlin	ixcn	garstig, rogue	
187	rotten	yerka	xxxxx	xxxxx	xṣā	xxx	ihlk	yuck!	yerka
188	dirty	yumas	aɣamej, amerku	amaḥfun	marrəɣ	rku, umum	irkal		
189	straight	srid	usrid	xxxxx	nišan	nm, sggm	yuɣd		
190	round	imdewweṛ	xxxxx	akernennay	aquřay	amḍuwr	issutl		
191	sharp (as a knife)	yemsed mliħ	xxxxx	xxxxx	qđ̣əɛ	xxx	imsad		
192	dull (as a knife)	yeħfa	xxxxx	xxxxx	ħfa	xxx	iḥfa		
193	smooth	alewwaɣ	aleggʷaɣ, aslufan	xxxxx	ařəqqaɣ	alggʷaɣ	iḥrar		
194	wet	yibzeɣ	abzey	abzeg	uff	bzy	ibdag		
195	dry	akiwan	aɣuran	ancef	azəɣ	xxx	izwa		
196	correct	iseħħa, yelha	xxxxx, xxxxx	xxxxx, xxxxx	nišan	stitt	iṣḥa		
197	near	sdas	xxxx	xxxxx	ađəs	xxx	yaẓ		
198	far	bɛid	dunn	xxxxx	ggwəž	xxx	yaggug	weit, during	bɛid, dunn
199	right	uyeffus	azref, ameɣud	ayfus	afusi	afasi	afasi	a.fuß  𓃀/𓂾 	
200	left	uzelmaḍ	azelmaḍ	azelmad	aẓəřmađ̣	aẓlmaḍ	aẓlmaḍ	<<	
201	at	ɣef, d	xxxxx, d	ɣer, ɣ	ɣā	xxx, xxx	ɣ	à	ɣer
202	in	deg	xxxxx	deg, di, eg	đi	y	ɣ	à y de dagegen?	
203	with	akked	yid, yara	akid, d	akəđ	d	d	auch, et	akəđ
204	and	d	d, e	akid	u	d	d	et	e, d
205	if	ma	ma, mda	ma, kagella, lukan	mařa	xxx	iɣ	𓇋𓂋 ! if 𓇋𓂋 ifr @ Hausa	iɣ
206	because	acku	acku	si	laxaṭạ̄	xxx	acku	à.cause / car	acku
207	name	isem	isem	isem	isəm	xxx	ism	-ism	ism
