61	rope 	縄 	なわ 	nawa	navt: knot	++		
62	skin 	皮 	かわ 	kawa	cover	++		
63	meat 	肉 	にく, しし 	niku	inner 肉内nèi mitte:meat	+++		
64	blood 	血 	ち 	chi	chierm: red	+<		
65	bone 	骨 	ほね 	hone	bhone	++		
66	fat (noun) 	脂 	あぶら 	abura				
67	egg 	卵 	たまご 	tamago	tan.egg < tyrn			
68	horn 	角 	つの 	tsuno				
69	tail 	尾, 尻尾 	お, しっぽ 	o, shippo				
70	feather 	羽 	はね 	hane	haaren			
71	hair 	髪 	かみ 	kami	kamm	< 		
72	head 	頭 	あたま 	atama	heada.ma, tomp			
73	ear 	耳 	みみ 	mimi	;)			
74	eye 	目 	め 	me	moy			
75	nose 	鼻 	はな 	hana	hanas			
76	mouth 	口 	くち 	kuchi	™			
77	tooth 	歯 	は 	ha	zha			
78	tongue 	舌 	した 	shita	shinga	+--		
79	fingernail 	爪 	つめ 	tsume	tzoeh	++-		
80	foot 	足 	あし 	ashi	!!!			
81	leg 	足 	あし 	ashi				
82	knee 	膝 	ひざ 	hiza				
83	hand 	手 	て 	te	dextra shounte	!-		
84	wing 	翼 	つばさ 	tsubasa				
85	belly 	腹 	はら 	hara	chara 𓄡 scrot	++		
86	guts 	腸,肝/胆 	はらわた,きも 	harawata,kimo	chara 𓄡 𓏇 cimo !!	++ <<<		
87	neck 	首 	くび 	kubi	kopp’	+?		
88	back 	背 	せ 	se		< 		
89	breast 	胸 	むね 	mune	mamma	++		
90	heart 	心 	こころ 	kokoro, shinzō	kocoeur	++!		
91	liver 	肝 	きも 	kimo, kanzō	𓏇 cimo !!	< 		
92	to drink 	飲む 	のむ 	nomu	nom nom;)			
93	to eat 	食べる 	たべる 	taberu	table			
94	to bite 	噛む 	かむ 	kamu	Khamm;) kaum			
95	to suck 	吸う 	すう 	suu	suuck			
96	to spit 	吐く 	はく 	haku				
97	to vomit 	吐く 	はく 	haku				
98	to blow 	吹く 	ふく 	fuku	fauch	+++		
99	to breathe 	息する 	いきする 	ikisuru				
100	to laugh 	笑う 	わらう 	warau				
101	to see 	見る 	みる 	miru	meyr	+++		
102	to hear 	聞く 	きく 	kiku	Khearku 	+--		
103	to know 	知る 	しる 	shiru	sure	++™		
104	to think 	思う 	おもう 	omou		<<<	<>deep	
105	to smell 	嗅ぐ 	かぐ 	kagu				
106	to fear 	恐れる 	おそれる 	osoreru				
107	to sleep 	寝る 	ねる 	neru	@night,moon			
108	to live 	生きる 	いきる 	ikiru				
109	to die 	死ぬ 	しぬ 	shinu	scheiden			
110	to kill 	殺す 	ころす 	korosu	kor~kill 𓌨			
111	to fight 	闘う 	たたかう 	tatakau				
112	to hunt 	狩る 	かる 	karu	@kur	++<>		
113	to hit 	叩く 	たたく 	tataku	hitata			
114	to cut 	切る 	きる 	kiru	ki…	½ 		
115	to split 	割る 	わる 	waru				
116	to stab 	刺す 	さす 	sasu		~		
117	to scratch 	掻く 	かく 	kaku		~		
118	to dig 	掘る 	ほる 	horu	kor	™		
119	to swim 	泳ぐ 	およぐ 	oyogu	eauyu			
120	to fly 	飛ぶ 	とぶ 	tobu				
121	to walk 	歩く 	あるく 	aruku	ir.go	++-		
122	to come 	来る 	くる 	kuru	occur	< 		
123	to lie (as in a bed) 	寝る 	ねる 	neru	@night,moon			
124	to sit 	座る 	すわる 	suwaru				
125	to stand 	起きる 	おきる 	okiru	𓌨			
126	to turn (intransitive) 	回る 	まわる 	mawaru				
127	to fall 	落ちる 	おちる 	ochiru	𓌨			
128	to give 	贈る 	おくる 	okuru	occur			
129	to hold 	持つ 	もつ 	motsu	Mot™ <<			
130	to squeeze 	絞る 	しぼる 	shiboru		~		
131	to rub 	擦る 	こする 	kosuru				
132	to wash 	洗う 	あらう 	arau				
133	to wipe 	拭く 	ふく 	fuku	wish vuch fuk			
134	to pull 	引く 	ひく 	hiku				
135	to push 	押す 	おす 	osu	(p)oshu			
136	to throw 	投げる 	なげる 	nageru	nagel;)			
137	to tie 	結ぶ 	むすぶ 	musubu				
138	to sew 	縫う 	ぬう 	nuu	< navt: knot			
139	to count 	数える 	かぞえる 	kazoeru	cou∑	½ +-		
140	to say 	言う 	いう 	iu	s’yue.do  u.ta utter	+™		
141	to sing 	歌う 	うたう 	utau				
142	to play 	遊ぶ 	あそぶ 	asobu				
143	to float 	浮く 	うく 	uku	aqua	+?		
144	to flow 	流れる 	ながれる 	nagareru	naigir 𓈖 naukra	<<<	Von🗻 ?	
145	to freeze 	凍る 	こおる 	kōru	Kryo 🗻	+++		
146	to swell 	膨らむ 	ふくらむ 	fukuramu				
147	sun 	日 	ひ 	hi	High hel	+++		
148	moon 	月 	つき 	tsuki				
149	star 	星 	ほし 	hoshi	hasta, si.bho			
150	water 	水 	みず 	mizu	𓄟 miz 𓈗 mvthur 𓋤 näss	++?		
151	rain 	雨 	あめ 	ame				
152	river 	川 	かわ 	kawa	aqua kawa			
153	lake 	湖 	みずうみ 	mizuumi	𓄟𓈗 zea			
154	sea 	海 	うみ 	umi				
155	salt 	塩 	しお 	shio		+		
156	stone 	石 	いし 	ishi		™		
157	sand 	砂 	すな 	suna		+		
158	dust 	塵 	ちり 	chiri				
159	earth 	土 	つち 	tsuchi	Tuerra –			
160	cloud 	雲 	くも 	kumo	cumulus			
161	fog 	霧 	きり 	kiri	Quri 𓈎 𓂋 𓇋 𓇲 🗻 	++++	𓎼 𓊪 𓈗	
162	sky 	空 	そら 	sora	skyora	+++<		
163	wind 	風 	かぜ 	kaze	Karze <> kōru: cold 🗻 	+<		
164	snow 	雪 	ゆき 	yuki				
165	ice 	氷 	こおり 	kōri	Kryo 🗻	++++		
166	smoke 	煙 	けむり 	kemuri	Κάμῑν Chimney chem 𓊮	+++<	Kamin Kammer	
167	fire 	火 	ひ 	hi 	fhir 𓊮  火=Fó/hér 	+++~	<> heith hothothot	
168	ash 	灰 	はい 	hai	fhair 𓊮	+		
169	to burn 	燃える 	もえる 	moeru	mboerun!!	++<<!		
170	road 	道 	みち 	michi	mix	<<<		
171	mountain 	山 	やま 	yama	yamount 𓇺	+++!		
172	red 	赤 	あか 	aka	ocre	+++		
173	green 	緑 	みどり 	midori				
174	yellow 	黄 	き 	ki	kyello			
175	white 	白 	しろ 	shiro	🌕			
176	black 	黒 	くろ 	kuro	🌑 kara=black	++++		
177	night 	夜 	よる 	yoru				
178	day 	日 	ひ 	hi	hori	+++		
179	year 	年 	とし 	toshi	Taurusi 🌙 turnus			
180	warm 	暖かい 	あたたかい 	atatakai	hothothot	™		
181	cold 	寒い 	さむい 	samui	vs kor, charm			
182	full 	満ちる 	みちる 	michiru				
183	new 	新しい 	あたらしい 	atarashii				
184	old 	古い 	ふるい 	furui	gvero	+++		
185	good 	良い 	いい 	ii	EU, liáng – 	+++	--	
186	bad 	悪い 	わるい 	warui				
187	rotten 	腐る 	くさる 	kusaru				
188	dirty 	汚い 	きたない 	kitanai				
189	straight 	直ぐ 	すぐ 	sugu		~		
190	round 	丸い 	まるい 	marui	ma.ruindey	~		
191	sharp (as a knife) 	鋭い 	するどい 	surudoi	surup.dey	~		
192	dull (as a knife) 	鈍い 	にぶい 	nibui	nibu.y 𓋞!?	+?		
193	smooth 	滑らか 	なめらか 	nameraka	𓈗?			
194	wet 	濡れる 	ぬれる 	nureru	naurer	++		
195	dry 	乾く 	かわく 	kawaku	secco	+--		
196	correct 	正しい 	ただしい 	tadashii	tada;)			
197	near 	近い 	ちかい 	chikai				
198	far 	遠い 	とおい 	tōi	ftoir, further, 東太大			
199	right 	右 	みぎ 	migi				
200	left 	左 	ひだり 	hidari				
201	at 		で 	de	at, to	™		
202	in 		で 	de		++		
203	with 		と 	to	to=add=and	++		
204	and 		と 	to	to=add=and	++		
205	if 		もし, なら, -ば 	moshi, nara, ba	mo.shi (mwenn sei)	++		
206	because 		から 	kara	car	++		
207	name 	名 	な 	na	na.me	½ ++	“Na mein néeffe, gut, ne”! +++ kein witz	
