14	CHIN	чӏениг	çʼenɪɡ	çʼen ~ chin	ацламкəыгə	ɑč ʰlɑmkʼəɨɡə		ნიკაპი	nikˀɑpˀi	@cephal? kˀɛpʰɑ Kiefer <> neck	կզակ	kəzɑk	kazach χεῖλος <> cheek, mouth	
15	JAW	мочхал	moçxəl	mouth?	ацламҳəа	ɑč ʰlɑmħəɑ		ყბა	qˀbɑ	guba, gumba	ծնոտ	čənɔt	𓏲 𓎼 𓏏 𓄒 ⲟⲩⲟⲛϫϥ 	!!!!
16	THROAT	къамкъарг	qʼəmqʼərɡ	gurgel?	ахəда	ɑχədɑ 	a throatda	ყელი	qˀɛli	Kehle	կոկորդ	kokoɾd	Gurgel	ok?
17	NECK	ворта	vortə	vortex --	ахəда	ɑχədɑ 		ყელი	qˀɛli 	Kehle	վիզ	viz		
18	NAPE (OF NECK)	кӏесаркӏаг	kʼēsərkʼəɡ	gurgel?	ахəдаџьал	ɑχədɑ d͡ʒɑl		კეფა	kˀɛpʰɑ	<> cover, cephal, Kiefer	ծոծրակ	čɔčɾɑk	"Gurgel <> кӏесаркӏаг	kʼēsərkʼəɡ"	+++
19	HEAD	корта	kortə	<> core	ахы	ɑχɨ	ἄρχω archi…	თავი	tʰɑvi	top	գլուխ	ɡəluχ	cephalux	
20	BACK	букъ	bu͡ʊqʼ	bu͡ʊqʼ back	азқəа	ɑzkʰəɑ		ზურგი	zurɡi	zurück 𓋴𓐠𓂋𓏘 sark@Tocharian	մեջք	mɛd͡ʒkʰ		
21	BELLY	кийра	kiːrə	core	амгəа	ɑmɡəɑ	umbilical	მუცელი	mučʰɛli	𓏇 ~ ma.𓄡 	փոր	pʰɔɾ	pot	
22	NAVEL	цӏонга	čʼonɡə	≠zunge	аҷапан	ɑçʼɑpʼɑn	| napel ®	ჭიპი	çˀipˀi	çippel ~ nipple ~ nabel > navel	պորտ	pɔɾt	/	
23	BREAST	зударийн накха	zu͡ʊdərɪɪ̆n nə̄qə	zitze nahr?	агəыҧҳəы	ɑɡəɨpʰħəɨ		ძუძუ	d͡zud͡zu	tits => dud=milk	ծոց	čɔčʰ	zitze	+++
24	CHEST	накха	nə̄qə		агəышҧы	ɑɡəɨʂpʰɨ		მკერდი	mkˀɛrdi	ma.court > CHEST	կուրծք	kuɾčkʰ	kuɾčkʰt ~ chest	<++
25	SHOULDER	белш	belʃ		ажəҩахыр	ɑʐəɥɑχɨr		მხარი	mxɑri	m.shourder	ուս	us	受 aus-halten zhǒu 肘	
26	ARM	пхьарс	pʜərs	brachio	амахəар	ɑmɑχəɑr	arma…	ხელი	xɛli	> Elle	թեւ	tʰɛv	𓂞   2 𓂝𓂝 	!!
27	ELBOW	пхьаьрсан гола	pʜærsən ɡolə	<<	амашьхəылҵ	ɑmɑʃχəɨlčʼ	arm.keil?	იდაყვი	idɑ qˀvi		արմունկ	ɑɾmuŋk	𓂝 1 𓂜	!!
28	HAND	куьг	kyɡ	kadj ---	анапы	ɑnɑpʼɨ	handpi	ხელი	xɛli	Keil	ձեռք	d͡zɛrkʰ	chirog χείρ 𓐍𓂧	✓!!
29	PALM OF HAND	кераюкъ	kērəjuqʼ		анапсаргəыҵа	ɑnɑpʼsɑrɡəɨčʼɑ	hand.cheirox	ნები	nɛbi 29	<> neben?	ափ	ɑpʰ	𓂩 up <> аҧ ~ opus? a palm 𓃆	
30	FINGER	пӏелг	pʼelɡ	𓃆 palm penj : 5 	анацəа	ɑnɑč ʰəɑ	hands…	თითი	tʰitʰi	𓂷ma.thumb toes təˀq zeig,  <> title 𓂭𓅱𓏏𓍶 Siegel 	մատ	mat	𓂷 <> 𓂭 մատն matn mount <> meet/meat?	
31	FINGERNAIL	мӏара	mʡərə		анапхыц	ɑnɑpʼχɨčʰ		ფრჩხილი	pʰrçxili	part.xɛli	եղունգ	jɛʁuŋkʰ	finjɛʁŋkʰ ŋuk<Nagel	ok??
32	FINGERNAIL OR TOENAIL	мӏара	mʡərə		ашьапхыц	ɑʃɑpʼχɨčʰ	ɑʃɑ.pai	ფრჩხილი	pʰrçxili		եղունգ	jɛʁuŋkʰ	jɛʁuŋ <> horn	ok?
33	TOE	кога пӏелг	koɡə pʼelɡ		ашьацəа	ɑʃɑč ʰəɑ	ɑʃɑ.Zeh	ფეხის თითი	pʰɛxis tʰitʰi	Fuss toes	ոտքի մատ	ʋɔtkʰi mɑt	footoe 𓂷	✓
34	FOOT	ког	koɡ	---	ашьапсыргəыҵа	ɑʃɑpʼsɨrɡəɨčʼɑ	ɑʃɑ.cheirox	ტერფი	tˀɛrpʰi 	the pʰi 𓃀  terra.pʰi  pʰi.ter	ոտք	ʋɔtkʰ	ոտ ᶠot ոտն ᶠotn  footke = plural -ße 	✓
35	HEEL	кӏажа	kʼəʒə		ашьхəа	ɑʃχəɑ	ɑʃ.heal	ქუსლი	kʰusli	kHeesl @ chase,Hase? <> kitzel	գարշապար	ɡɑɾʃɑpɑɾ	ge.ferse	ok?
36	KNEE	гола	ɡōlə	<< angle	ашьамхы	ɑʃɑmχɨ	ɑʃ.mix?	მუხლი	muxli	ɑʃ.mix <> knicks <> gones	ծունկ	čuŋk	knees reverse <> ᵗangle gon.chen	✓
37	THIGH	варе	vəre		ауаҭəа	ɑuɑtʰəɑ	a'thigh	ბარძაყი	bɑrd͡zɑqˀi	𓃀.thigh	ազդր	ɑzdəɾ	haxti 𐬵𐬀𐬑𐬙𐬌‎   𓄗 𓍇 haxe	✓?
38	LEG	ког	koɡ	--	ашьапы	ɑʃɑpʼɨ	ɑʃɑ.pai	ფეხი	pʰɛxi	𓃀	ոտք	ʋɔtkʰ	foot.ke	✓
39	BODY	хӏума	hu͡ʊmə	human	ацəеижь	ɑč ʰəɛiʒ	<>	ტანი	tˀɑni 	soma	մարմին	mɑɾmin	ma.armin 𓂝𓂝  <> 𓏱man मर्मन् marman 	++
40	SKIN	чкъор	çqʼor	DER! чкъор dçer 𓆓𓎛𓂋𓄜 dermis 𓄟𓂓𓄛 चर्म carmis 	ацəа	ɑč ʰəɑ	a tskin	კანი	kˀɑni	as.kˀɑni skin	մաշկ	mɑʃk	𓄟𓂓𓄛	+++
41	BLOOD	цӏий	čʼɪɪ̆	xue	ашьа	ɑʃɑ	<<	სისხლი	sisxli	Soße Sax	արյուն	aɾjun	<> jeun արիւն ariwn արեան- arean- Aryan	<<<++++
42	VEIN	пха	pxə		ада	ɑdɑ 	Ader	ძარღვი	d͡zɑrɣvi		երակ	jɛɾɑk	x:  𐫡𐫍𐫃‎ rhg  رگ‎ rag  ਰਗ  (Rück-Arterie^)	<<++
43	TENDON	хьорзам	ʜorzəm		адаш	ɑdɑ ʂ	a dash<<	მყესი	mqˀɛsi	𓍿?	ջիղ	d͡ʒiʁ	ջիղ ǰił  <> ջղային ǰłayin jumpy	<<??
44	BONE	даьӏахк	dæʡəxk		абаҩ	ábɑɥ	a bonҩ	ძვალი	d͡zvɑli	--	ոսկոր	ʋɔskɔɾ	ostheo < Fuß 𓃀 ʋɔtkʰ 𓃀 bone = bein 	✓!
45	BRAIN	хье	ʜē		ахшлыбаҩ	ɑχʂlɨbɑɥ		ტვინი	tˀvini	twin:2	խելք	χɛlkʰ	Schalk;) @skull <> schlau(ig)!	+++
46	HEART	дог	doɡ	;)	агəы	ɑɡəɨ		გული	ɡuli	couere	սիրտ	siɾt	couert	
47	STOMACH	зорх	zorx	;)	аца	ɑč ʰɑ	ɑč ʰɑ.mah	კუჭი	kˀuçˀi	guts	ստամոքս	əstɑmɔkʰs	a stomach στόμαχος 	
48	LIVER	доӏах	doʡəx		агəаҵəа	ɑɡəɑč ʼəɑ	a guts	ღვიძლი	ɣvid͡zli	guts	լյարդ	ljɑɾtʰ	~	✓<
49	BREATH	садеӏар	sədeʡər	"< სუნთქვა	suntʰkʰvɑ"	аҧсыҧлагаҩгара	ɑpʰ sɨpʰlɑɡɑ ɥɡ ɑrɑ		სუნთქვა	suntʰkʰvɑ	<> Gesund	շունչ	ʃunçʰ	𓊃 𓈖 𓆑 𓏮 𓊡 Schwung <> Zunge	!!
50	HUNGER	мацалла	məčəlːə	@meat?	амла	ɑmlɑ	famila/famine	შიმშილი	ʃimʃili	<<	քաղց	kʰɑʁčʰ	hun.kʰɑʁčʰ <> karg:lack	ok??
51	TEAR (OF EYE)	бӏаьрхи	bʡærxɪ		алабжыш	ɑlɑb ʐɨʂ	al.abzess	ცრემლი	čʰrɛmli	Tränle	արտասուք	aɾtasukʰ	~	
52	TASTE	чам	çəm	<	агьама	ɑɡʲemɑ	a'gum <> sense	გემო	ɡɛmɔ	gum, yum	համ	ham	@gum,yum	
53	FLAVOR	хьожа	ʜoʒə		афҩы	ɑfɥɨ		სუნი	suni	sense	հոտ	hɔt	hot;)	
54	SLEEP (STATE)	наб	nəb	nap	ацəа	ɑč ʰəɑ		ძილი	d͡zili	d͡ziliip sleep	քուն	kʰun	knarz	
55	DREAM	гӏан	ɣən		аҧхыӡ	ɑpʰ χɨd͡z		სიზმარი	sizmɑri	Märe	երազ	jɛɾaz	𓈎𓂋𓊃𓁀 > ratzⁿ 𓂋𓋴𓅱 rast rest	++++
56	SKY	стигал	stɪɡəl	steig? GUL?	ажəҩан	ɑʐəɥɑn	a Sky.ɑn	ცა	čʰɑ	ʐha ~ sky	երկինք	jɛɾkin	"𓇯 air հող	hɔʁ երկիր erkir 󴃙 = 𓇯𓏏 earth  երկաթ      <> ɑʐəɥɑn"	
57	SUN	малх	məlx	<<--	амра	ɑmrɑ	Sum.Ra	მზე	mzɛ	mizra, m.sun	արեւ	ɑɾɛv	saRah	
58	MOON	бутт	bu͡ʊtː	<> ⲁⲃⲟⲧ month	амза	ɑmzɑ	Sumn.Za <<	მთვარე	mtʰvɑrɛ	mnt Mond	լուսին	lusin	lune/somne √leuchten	
59	STAR	седа	sēdə	sēdər	аеҵəа	ɑɛčʼəɑ	astra	ვარსკვლავი	vɑrskˀvlɑvi		աստղ	astəɣ	astra	
60	AIR	xӏаваъ	xʡəvəʔ	<<	аҳаир	ɑħɑir	air	ჰაერი	hɑɛri		օդ	ɔtʰ	ort, wet<petru	
61	WIND	мох	mox	--	аҧша	ɑpʰ ʂɑ	a pusta	ქარი	kʰɑri	𓈎 𓂋 𓂋 𓊡	քամի	kʰɑmi	𓈎𓂋𓂋𓊡 𒅎 IMᴵ <> Kamin   	
62	WAVE	тулгӏе	tu͡ʊlɣē	turn, tolle	ацəқəырҧа	ɑč ʰəkʰəɨrpʰɑ	??	ტალღა	tˀɑlɣɑ	turn, tolle	ալիք	alikʰ	wellig	
63	WATER	хи	xɪ	x	аӡы	ɑd͡zɨ	wadzer	წყალი	čˀqˀɑli	šaqua@Quelle	ջուր	d͡ʒuɾ	azur	
64	ROCK	тӏулг	tʼu͡ʊlɡ	tjrock --	ахаҳə	ɑχɑħə	a chocke	ქვა	kʰvɑ	quartz, chert	քար	kʰɑɾ	quarz, chert	
65	GROUND	цӏенкъа	čʼenqʼə		адгьыл	ɑdɡʲil	eard.geol	მიწა	mičˀɑ	mud	գետին	ɡɛtin	grounden	
66	EARTH (SOIL)	латта	lətːə	µata латта Land	адгьыл	ɑdɡʲil	eard.geol	ნიადაგი	niɑdɑ ɡi	nature	հող	hɔʁ	ha.eretz 𒄯 Ḫar < KAR	
67	DUST	чан	çən	<>	асаба	ɑsɑb ɑ	a¬sauba --	მტვერი	mtˀvɛri		փոշի	pʰɔʃi	pust	
68	SMOKE (EXHAUST)	кӏур	kʼu͡ʊr	@kur	алҩа	ɑlɥɑ		ბოლი	bɔli 	blow?	ծուխ	čux	Zug	
69	SPARK	суй	su͡ʊɪ̆		акəиц	ɑkʼəičʰ		ნაკვესი	nɑkˀvɛsi		կայծ	kɑjč		
70	FIRE	цӏе	čʼe	thyssen 	амца	ɑmčʰɑ	am.thyssa	ცეცხლი	čʰɛčʰxli	thyssen 	կրակ	kɾak	!	
71	LIGHT (RADIATION)	серло	serlo		алашара	ɑlɑʂ ɑrɑ	al'Sara	შუქი	ʃukʰi 71		լույս	lujs	leuy	
72	SHADE	ӏиндагӏ	ʡɪndəɣ	¬…	ашəшьыра	ɑʂəʃɨrɑ		ლანდი	lɑndi 72	<> lantern--	ստվեր	əstəvɛɾ	a shadver @ეთი~east?	
73	WEATHER	хенан хӏоттам	xenən hotːəm	heute?	амш	ɑmʂ	times	ამინდი	ɑmindi	mental mind mood windi	եղանակ	jɛɣanak		
74	FOG	дохк	doxk	dust	анаҟəа	ɑnɑqʼəɑ	a Nebqel	ნისლი	nisli	Niesel	մեգ	mɛkʰ		
75	CLOUD	марха	mərxə	--	аҧсҭҳəа	ɑpʰ stʰħəɑ		ღრუბელი	ɣrubɛli	ɣrubɛl <~> cloud	ամպ	amp		
76	RAIN (PRECIPITATION)	догӏа	doɣə	--	ақəа	ɑkʰəɑ		წვიმა	čˀvimɑ	swim	անձրև	and͡zɾɛv	𓊹! (r)unter?	
77	SNOW	ло	lo	long	асы	ɑsɨ	Eis	თოვლი	tʰɔvli	-- <> cur	ձյուն	d͡zjun	δjuno snow	
78	ICE	ша	ʃə	~	аҵаа	ɑč ʼɑɑ	Eis	თოში	tʰɔʃi 78		սառույց	sɑrujčʰ	< karice	
79	FROST	шело	ʃēlō	chill	аҵаа	ɑč ʼɑɑ	Eis	ყინვა	qˀinvɑ		սառնամանիք	sɑrnɑmɑnikʰ	G!	<
80	CHILL	шело	ʃelo	chill	ахьҭа	ɑχʲtʰɑ	Eis't	სიცივე	sičʰivɛ	≠chitze	դող	dɔʁ		
81	HEAT	йовхо	ɪ̆ɔ͡ʊxō	??	ашоура	ɑʂɔurɑ	a'shora	სიცხე	sičʰxɛ	chitze	շոգ	ʃɔkʰ	shock ;)	
82	HOARFROST	йис	ɪ̆ɪs	--	аҵааҧшқа	ɑč ʼɑɑpʰ ʂkʰɑ		ჭირხლი	çˀirxli 82		ցօղեղեամ	čʰɔʁɛʁɛɑm	>hoar	
83	RAINBOW	стелаӏад	steləʡəd	stell@stɪɡəl	ацəаҟəа	ɑč ʰəɑqʼəɑ		ცისარტყელა	čʰisɑrtˀqˀɛlɑ		ծիածան	čiɑčɑn	circle	
84	THUNDER	ткъес	tqʼes	t…	адыд	ɑdɨd	Adad!	ქუხილი	kʰuxili	"𓈎 𓂋 𓊡 <> ქარი	kʰɑri"	որոտ	ʋɔɾɔt	𓈎 𓂋 𓊡 qvrot > coort 	
85	CURRENT	дӏаэхар	dʡəexər		аиасра	ɑiɑsrɑ	wasser	დინება	din ɛbɑ	DON	հոսանք	hɔsɑŋkʰ	𓈉𓋹?	
86	DROP (OF LIQUID)	тӏадам	tʼədəm	tropf	ацəыкəбар	ɑč ʰəɨkʼəbɑr		წვეთი	čˀvɛtʰi	sweat	կաթիլ	katʰil	< čˀvɛtʰi @cattle	
87	FOAM	чопа	çopə	<.m	ашəах	ɑʂəɑχ		ქაფი	kʰɑpʰ i 87		փրփուր	pʰəɾpʰuɾ	~?	
88	DIRT	хатт	xətː	<	алымт	ɑlɨmtʼ		ჭუჭყი	çˀuçˀqˀi 88	çuçq 𓐍𓐍	կեղտ	kɛʁt	dirt kehrt kara™	
89	LAKE	ӏам	ʡəm	maim	аӡиа	ɑd͡ziɑ	wadzer	ტბა	tˀbɑ	tube, te.Bad	լիճ	liç	lake	✓
90	SWAMP	уьшал	yʃəl	≠isle	аӡмах	ɑd͡zmɑχ	wadzer.marsh	ჭაობი	çˀɑɔbi	tswampi	ճահիճ	çɑhiç	chad	
91	MOOR	уьшал	yʃəl	≠isle				ტორფნარი	tˀɔrpʰnɑri		ճահիճ	çɑhiç	chad	
92	MEADOW	бай	bəɪ̆	<> vɛli	адəы	ɑdəɨ	ma.eadow@Eden	ველი	vɛli 92	Feld	մարգագետին	mɑɾkʰɑkʰɛtin	mark™	
93	FOREST	хьун	ʜu͡ʊn	Hein	абна	ábnɑ		ტყე	tˀqˀɛ	trees?	անտառ	ɑntɑr	tree.n	✓
94	HILL	гу	ɡu͡ʊ	Gu'	ахəы	ɑχəɨ		ბორცვი	bɔrčʰvi	Berg	բլուր	bəluɾ	berg!	
95	ELEVATION	акъари	ə̄qʼərɪ	√quer	аҳаракыра	ɑħ ɑrɑkʼɨrɑ		მაღლობი	mɑɣlɔbi	megalobe > levi.tate	բարձունք	baɾd͡zunkʰ	^^	
96	MOUNTAIN	лам	ləm	??	ашьха	ɑʃχɑ	a shan	მთა	mtʰɑ	mnta mount	լեռ	lɛɾ		
97	SUMMIT	бохь	boʜ	@bərz	ацəқəа	ɑč ʰəkʰəɑ		მწვერვალი	mčˀvɛrvɑli	mnt.sherva <<	գագաթ	ɡɑkʰɑtʰ		
98	CAVE	хьех	ʜex	Hexer;)	аҳаҧы	ɑħɑpʰ ɨ	a capve	მღვიმე	mɣvimɛ	mɣv 𓃬	քարայր	kʰɑɾɑjɾ	carve@Kar	
99	PRECIPICE	басе	bəse	?	анаара	ɑnɑːrɑ	hang <> neige	ფერდობი	pʰɛrdɔbi	√part?	լանջ	lɑɲd͡ʒ	Land!	
100	SPRING (OF WATER)	шовда	ʃɔ͡ʊdə		аҵҵырҭа	ɑč ʼčʼɨrtʰɑ	wasser.da	წყარო	čˀqˀɑrɔ	qˀɑrɔ > quell 𓎟	աղբյուր	ɑʁbjuɾ	orb, ob	
101	BROOK	татол	tətol		акəараҷҷа	ɑkʼə ɑrɑçʼçʼɑ		რუ	ru	Ruhe,Rhein, river	վտակ	vətɑk	water.ka	
102	RIVER	хи	xɪ	x <> shui	аӡиас	ɑd͡ziɑs	wadzer	მდინარე	mdinɑrɛ	µ.DON	գետ	ɡɛt	gvt gewet gewässer	
103	SHORE	хийист	xiːɪst		ахықə	ɑχɨkʰə		კიდე	kˀidɛ	küste > cote	ծովափ	čɔvɑpʰ	shorve	
104	COAST	йист	ɪ̆ɪst		ахықə	ɑχɨkʰə		ნაპირი	nɑpˀiri	nau.___	ափ	ɑpʰ		
105	MAINLAND	латта	lətːə	Land	абарра	ɑb ɑrrɑ	<> terra	ხმელეთი	xmɛlɛtʰi	homelandi	ցամաք	čʰɑmɑkʰ	𓊃 Zimmer : earth, ground	
106	SEA	xӏорд	xʡord	<<	амшын	ɑmʂɨn	maim 𓈗 sean (3)	ზღვა	zɣvɑ	zea!	ծով	čɔv	zea, ocean	
107	BAY	чож	çoʒ		аӡбжьахала	ɑd͡zbʒɑχɑlɑ	wadzer.bay…	ყურე	qˀurɛ	(se)cure	հաչիւն	hɑçʰivn	hutson <> hoçean 	
108	ISLAND	гӏайре	ɣəɪ̆re	𓈀 ma.geore ⲙⲟⲩⲓ 𓈎	адгьылбжьаха	ɑdɡʲilbʒɑχɑ		კუნძული	kˀund͡zuli	kundnsula > insula --	վղզի	vəʁzi	𓈀 < 𓇉𓅱𓎟𓎟𓎟  ⲛⲏⲥⲱⲥ nestos covers<KVRs	
109	FLOWER	зезаг	zezəɡ	Susan <+	ашəҭ	ɑʂətʰ	ϩⲣⲏⲣⲓ f (hrēri)	ყვავილი	qˀvɑvili	ফুল qphul qflower  гүл gül цвят cvjat گوڵ‎ gull	ծաղիկ	čaɣik	ծաղիկ całik <> qvɑvilik	
110	GRASS	буц	bu͡ʊč		аҳасакьын	ɑħɑsɑkʼʲin	sec:cut	ბალახი	bɑlɑxi	balast	խոտ	χɔt	cut, hay™, root	
111	ROOT	орам	ōrəm		адац	ɑdɑ č ʰ	roots	ძირი	d͡ziri	jiroot	արմատ	ɑɾmɑt		
112	TREE	дитт	dɪtː	dendrit	аҵла	ɑč ʼlɑ	a trila	ხე	xɛ	ξύλο xýlo esche	ծառ	čaɾ	ծaree	
113	TREE TRUNK	гӏад, тайпа	ɣəd, təɪ̆pə		ашьапы	ɑʃɑpʼɨ	a.təɪ̆pə	ტანი	tˀɑni	tran.que trunc	իրան	iɾɑn	!	
114	BARK	кевстиг	kevstɪɡ		ацəа	ɑč ʰəɑ		ქერქი	kʰɛrkʰi	kork™	կեղեւ	kɛʁɛv	kork	
115	BRANCH	га	ɡə	Gamma<>Gabel	амахə	ɑmɑχə	a Mast, um Ast	ტოტი	tˀɔtˀi	zweig tˀɔtˀi twoti √2	ճյուղ	çjuʁ	kork	
116	TWIG	га	ɡə		амахə	ɑmɑχə	a Mast, um Ast	შტო	ʃtˀɔ	Sto.que stock	ճյուղ	çjuʁ		
117	LEAF	гӏа	ɣə	^	абҕьы	ɑb ʁʲi	a Blattj	ფოთოლი	pʰɔtʰɔli	phytal vital Blatt	տերեւ	tɛɾɛv	treeof	
118	BIRCH	дакх	dəq		аҵааҵла	ɑč ʼɑɑč ʼlɑ	ash	არყი	ɑrqˀi	oak	ցարասի	čʰɑɾɑsi	𓋴𓆭	
119	PINE	бага	bəɡə	birch ;)	амза	ɑmzɑ		ფიჭვი	pʰiçˀvi	phytne > pine	սոճի	sɔçi	𓋴𓆭	
120	WILLOW	дак	dək		аҧслыш	ɑpʰ slɨʂ		ტირიფი	tˀiripʰi	tree.phyt	ուռենի	urɛni		
121	FIR	база	bəzə	≠Buche	аҧсаӡ	ɑpʰ sɑd͡z		ნაძვი	nɑd͡zvi	Nadelbaum nature 	եղեւին	jɛʁɛvin		
123	FEATHER	пелаг	peləɡ	++ Flug	ахӡы	ɑχd͡zɨ		ფრთა	pʰrtʰɑ	pthra	փետուր	pʰɛtuɾ		
124	FUR	цӏока	čʼokə		ацəа	ɑč ʰəɑ		ტყავი	tˀqˀɑvi	<> чкъор dçer	մորթի	mɔɾtʰi	morti	
125	WING	тӏам	tʼəm	@tier	амҵəыжəа	ɑmčʼəɨʐəɑ		ფრთა	pʰrtʰɑ	pthra	թեւ	tʰɛv	tʰɛv.in thewing	
126	CLAW	мӏара	mʡə̄rə		ашьапхыц	ɑʃɑpʼχɨčʰ		კლანჭი	kˀlɑnçˀi	Klaue(ntsh)	չանչ	çʰɑnçʰ	cancer <> crabs grab	
127	PAW	тlод	tlod					ტორი	tˀɔri	toe@Tier	ճանկ	çɑŋk	cancer <> crabs grab	
128	TAIL	цӏога	čʼoɡə		аҵыхəа	ɑč ʼɨχəɑ		კუდი	kˀudi	Köddel	պոչ	pɔçʰ	pushel posterior	
129	EGG	xӏoa	xʡoa		акəтаӷь	ɑkʼətʼɑʁʲ	egg…	კვერცხი	kˀvɛrčʰxi	quartz;)	ձու	d͡zu		
130	NEST	бен	ben	born, den	аҭра, аҵысҭра	ɑtʰrɑ, ɑč ʼɨstʰrɑ	<<	ბუდე	budɛ	Bude, beith birth	բույն	bujn	born@bird	
131	LAIR	lуьрг	lyrɡ	lyrɡ ~ lair ++	аҭыҩра	ɑtʰɨɥrɑ		სორო	sɔrɔ	𓆼𓄿𓇰 @ shirkan 	որջ	ʋɔɾçʰ	Burg Bergung	
132	ANIMAL	дийнат	dɪɪ̆nət	deer.nat	аҧстəы	ɑpʰ stʼəɨ	ɑpʰ .Stier	ნადირი	nɑdiri	nature na.Tiere	կենդանի	kɛndani	𓃡/𓃹 chien/cunicul ≠ 𓄏 𓏤 horn	
133	FLOCK (OF SHEEP)	жа	ʒə		агəарҭа	ɑɡəɑrtʰɑ		ფარა	pʰ ɑrɑ	pʰ ɑrɑ.que flock	հոտ	hɔt	𓋾𓅱𓏏𓃙  𓎛 𓅱 𓂸 𓃒 𓏥 cattle herd	
134	COW	етт	etː	--	ажə	ɑʐə	oxe ажə	ფური	pʰuri	bull	կով	kɔv	kɔv	
135	BULL	сту	stu͡ʊ	stier	ацə	ɑč ʰə	oxe ажə, a Taur	ხარი	xɑri	Txauri ɑč ʰər oxer	ցուլ	čʰul	thul < thaur > bull?	
136	HORSE	говр	ɡɔ͡ʊr	ghor.s @IND	аҽы	ɑʈ͡ʂʰɨ	ass	რაში	rɑʃi	hraš Ross horse	ձի	d͡zi	assi	
137	SHEEP	жий	ʒiː	ʒiːp sheep	ауаса	ɑuɑsɑ	wasa™	ცხვარი	čʰxvɑri	tSchafer	ոչխար	ʋɔçʰχɑɾ	ʋɔ Scharf	
138	PIG	хьакха	ʜəqə	ьig	аҳəа	ɑħəɑ	a Sau	ღორი	ɣɔri	<<	խոզ	χɔz	Sau sus	
139	DOG	жӏаьла	ʒʡælə	Töle, kläff	ала	ɑlɑ	--	ძაღლი	d͡zɑɣli	dackel, dog	շուն	ʃun	chien	
