22	One 1	Fokh / ĩmwe 	1 First / eim um a’wone	++	fokh (E) fɔ́’ɔ́ 	imosi 	mɔ́kɔ, -ɔ́kɔ 	moti, imoti 	ĩmwe 	imo 	imwe 	ewo̱ 	moja 	mosi, imosi 	mósi 	moxi																																																										
23	Two 2	bi’beï 	2 bi	++	bè (E) bɛ̌ 	bi’beï 	míbalé, -íbalé 	babɛ, ibɛ 	igĩrĩ 	ibili 	wa-bili 	beba 	mbili 	zôle 	zóle 	iari																																																										
24	Three 3	√ithatũ 	3 thirt thalath	+?	lal (E) láa 	bi’tatu 	mísáto, -ísáto 	basaɔ, isaɔ 	ithatũ 	idatu 	ndatu 	belalo 	tatu 	tatu 	tátu 	tatu																																																										
25	Four 4	√nvir* iya  nii 	4 fia nil@Ural 	+?	né (E) nii 	bi’na 	mínei, -ínei 	gena, nne 	inya 	ine 	kane 	bene̱i 	nne 	ya 	iya 	uana																																																										
26	Five 5	√betanu 	5 penta	+ -	tan (E) tân 	bi’ranu 	mítánɔ, -ítánɔ, mpáta 	bɔku 	ithano 	itaano 	hnano 	betanu 	tano 	tânu 	tánu 	tanu																																																										
	Six 6	sita																																																																								
	Seven 7	saba																																																																								
																																																																										
																																																																										
																																																																										
27	big 	monɛ́nɛ	many!	+++		monɛ́nɛ, -nɛ́nɛ 	angbo, mbota -nene 		-kubwa -nene -néne 	mundundu		ekokoto, monɛ́nɛ																																																														
28	long 	monɛ́nɛ laí 	many! ~long	++-	ayo (E) ayǎ 		monɛ́nɛ, -nɛ́nɛ, -laí 	aende, koa 	ndaya, -raya 	ihu -tali -refu -nda 	índa 	bwabá 	anda																																																													
29	wide 					-laí -gbae 	athamia, -ariĩ 	kwasama -ahama -pana 		néne 	muhenda	ebapa 																																																														
30	thick 	tung		+--	afîp (E) afǐp 		monɛ́nɛ, -nɛ́nɛ -tete 	kũnora, -tungu 	ginu 	kuneneha -nene 				uajimba																																																												
31	heavy 	Azir ~ schwer	kilo barys adzǐt?	+-	azir (E) adzǐt 		bozitó, kiló, molito 	adoko -ritũ 	ito 	dibanza, dikwa -zito -zitu 	kiló, kuléma -aneme	didi 																																																														
32	small 	Nini mokɛ́	mini micre	+		mokɛ́, -kɛ́ 	abhɔa -nini, -nyinyi 	do 	ndodo -dogo -fyôti, -ndwêlo, -n'ke 	fyóti, fyéti -ofele		son 																																																														
33	short 	-kuhĩ kúsé	kurz	++	étun (E) etun 	gufise 	mokúsé, -kúsé -ngbi 	nguhĩ, -kuhĩ 	guhi 	guhi -fupi -nkufi -nkúfi 	buta	isungu 																																																														
34	narrow 	Fang mokɛ́	Micre		mbamda, fanga (E) -tɔ́k, fǎnfana 		mokɛ́, -kɛ́ 		cecenia, -ceke 	kushina -ibana -embamba 			-jola																																																													
35	thin 	(t)hinja mokɛ́	Thin Micre	++-	ékekep, ôkekep (E) -tɔ́k 	vonu, digasu 	mokɛ́, -kɛ́ -nyɛbɛ 	hinja, -ceke 	kukonda -soka -embamba 				uabele																																																													
36	woman 		muta ma	++	mônga, manga (E) miniŋá 	mugétu 	mwǎsí 	nke 	mũtuma, mũndũ mũka 	nkima 	mtwanzi 	muto 	mwanamke, bibi, gashi 	nkento, ndumba 	nkénto, nkéntu 	mukaji, muhatu, mumama																																																										
37	man 		macho man(d)	++	fam (E) fâm 	dibale 	mobáli 	moko 	mwanake, mũndũ mũrũme 	nyanda 	nzugwana 	mume, mwanake	mwanamume 	bakala 	bakála 	riala																																																										
38	human 	mũndũ moto	mentsch 𓂋 𓍿 tout-le-mond	++	môr (E) mot, mor 	mutu 	moto 	nkpa 	mũndũ 			moto 	mtu 	muntu 	múntu 	mutu																																																										
39	child 	miki mɔ́ŋ 	mikri minor		mon (E) mɔ́ŋ 	nwane 	mwǎna 	miki 	mwana 	ng'wana 	mwana 	muna 	mtoto 	mwana 	mwána 	muana																																																										
40	wife 	mũka ngáá 	mausi;) nigga~gyn	-?	ñgal (E) ngáá 	mugétu, mugatsi 	bolóngai, mwǎsí 	nka 	mũka 	nke 	mke 	muto 	mke 	n'kento, -busi 	nkénto, nkéntu 	mukaji																																																										
41	husband 	munya 	man 	+	Err:509	mulumi 	bolóngani, mobáli 	munya 	mũrũme 	ngoshi 	mume 	mume 	mume 	bakala 	bakála 	mulume																																																										
42	mother 	mamá 	mama	++	nya [ɲa] (E) nané, nana; ñuá; ñiá 	mame 	mamá 	mma 	maitũ 	mayu 	mama 	iyo, mama, yeye, ńango 	mama 	ngudi 	máma, ngúdi 	mama, nguri																																																										
43	father 	tatá, papá 	daddy papa 	+++	ésa (E) tará; ésuá; ésaá, ésiá 	taji 	tatá, papá 	abhɛ 	baba, awa 	baba 	tata 	tete̱, te, sango, papá 	baba 	sé, tata 	táta 	tata																																																										
44	animal 	(a)nyama tsir 	aniamal Tier !!!	+++	tsir (E) tsít 	ibulu 	nyama 	nyama, (small) mbau 	nyamũ 	ndimu 	nyama 	ńama 	mnyama 	bulu 	nyama 	kiama																																																										
45	fish 	Kos sue 	kod shui?	+ --	ko, kos (E) kɔ̌s 	wabe, lobe 	mbísi 	su, isingɔ, musephe, nsami 	tega, kĩũngũyũ 	shi, ndilo, guzuba 	somba 	sue 	samaki 	mbizi 	mbísi 	mbiji																																																										
46	bird 	nyuni 	鸟 niǎo 	+-	ônon (E) onǒn 	tsoli 	ndɛkɛ 	mbu, njinji 	nyoni 	noni 	nyuni 	ino̱n 	ndege 	nuni 	ndeke, núni 	njila																																																										
47	dog 	mvú 	mwau mbark 	+ O 	mvu (E) mvú 	mondi 	mbwá 	mbɔa 	ngui, ngitĩ 	mva 	dibwa 	mbo̱ 	mbwa 	mbwa 	ímbwa 	mbua																																																										
48	louse 		lonsili 	+-	nyin [ɲin] (E) ñǐn 		lonsili 	bamba 	ndaa 	nda 	mhani 		chawa 	nyanzi 	nyánzi 	ína																																																										
49	snake 	nzoka nhoka	(s)nake	+++	nyo [ɲɔ] (E) ñó 	ñoge 	nyóka 	njɔka 	nyamũ yathĩ 	nzoka 	zoka 	Ńama-bwabá, njɔka 	nyoka 	nioka 	nyóka 	nhoka, nioka																																																										
50	worm 	mhani 	≠made	--	nsoñ (E) nsɔ́ŋ 		mpambó, mósɔ́pi, limpiká 	nyɔmbɔ 					mnyoo, nyungu-nyungu 	ngambu 		ribuka																																																										
51	tree 	mũtĩ 	muthree	+++	éli (E) elé 	nwiri 	nzeté, mweté 	me 	mũtĩ 	linti 	biki 	bwele, mweté 	mti 	m'ti 	ínti 	muxi																																																										
52	forest 	mwitu mũtitũ 	mwoodh	++	afan, ésana (E) afan 	musiru, dijombi 	zámba 	nkanda 	kĩrĩti, mũtitũ 	ipolu 	mwitu 	eyídí 	msitu, mwitu 	mfinda 	mfínda 	muxitu																																																										
53	stick 	ebongó 		+	éfalga (E) elé 	namise 	nzeté 	ɛsɛndɛ, mutumbɔ, gbutu 	mũkuanju 	nang'ha 	kimbwego 	ebongó 	fimbo -bota 		mbasá																																																											
54	fruit 	epuma 	pluma	+?	ébmuma (E) ebuma 	mulunde 	mbuma 	mpua 	itunda 		hnunda 	epuma 	tunda 	mbutu, mbuma 		ndende, rikezu																																																										
55	seed 		New bag?	--	mvoñ, fes (E) mvɔŋ, fěs, mebí 	maswiri 	nyǎ, mbóto, bɔpɔ́ 	mbuka 	mbegũ 	mbiyu, mbegu 	mbegu 	díso̱ 	mbegu 	nginga 		mbutu																																																										
56	leaf 				ôkekè (E) okíɛ́ñ 		nkásá 	kasa 	ithangũ 	idutu 	tepo, jani 	eyadi 	jani -kaya 	likása 	kisaba, rifu																																																											
57	root 	mũri 	Möhre dungànzi<<	<<	nzi (E) ndzi, nkǎŋ 	dungànzi 	ntína 	migi, tina 	mũri 	nzwi 	mzizi 	bwanga 	mzizi, shina 	mwanzi 	mwánsi 	ndanji																																																										
58	bark (tree) 		ibalu~bark	-	évîn (E) evîn 	ibalu 	lomposo 	kekoba 	ikoni 	igula 	kwame 	eyobo 	gamba -bâla 		kibatu																																																											
59	flower 	fulɛ́lɛ / ihũa 	flower lilie huā 花	+++	sam (E) sǎm 	ngondi 	fulɛ́lɛ, lómbé 		ihũa 	bulabo 	malua 	mbonji, fulɛ́lɛ	ua 		kifúla 	kitulu, ribemba																																																										
60	grass 		Muhs… ;)	+--?	ôbur (E) obut 		litíti 	ɔphɔ 	muti, mũmera, nyeki 	maswa 	usoti 	ewudu 	nyasi 	tîti 	matíti 																																																											
61	rope 	nsi’nga	schlinga coil	+?	ñkol (E) nkɔɔ́ 		nsi nga, moniɔlɔ́lɔ, likósi 	ngoi, nsinɔ 				musinga 	kamba 	m'singa 		mukolo, ngoji																																																										
62	skin 	nkeke	Kerke ~ carne	++?	ékô (E) eko 	mukate 	lomposo 	nkeke, (hide) okoa 	gĩkonde, ikoro 	ikoba 	kwembe, ganda 	eyobo 	ngozi 	m'kanda 		kiba, kikonda																																																										
63	meat 		Nyum ;) nom;)	+--	tsir, nnam (E) tsít, mvyan 	ñame 	monsuni 	kisuku, mabɔɛ, nyama 	nyama 	nyama 	nyama 	ńama 	nyama 	m'suni 	nyama 	xitu																																																										
64	blood 		damu, magia	++	mekî (E) mekǐ 	malungu 	makilá 	magia 	thakame 	mininga 	damu 	mayá 	damu 	menga 	ménga 	manhinga																																																										
65	bone 	ivisi  iguha 	Ivy’  / khorn	++?	évi (E) evěs 	ivisi 	monkúwa 	nkua 	ihĩndĩ 	iguha 	mfupa 	ewesé 	mfupa 	visi 	múkwa 	kifuba, visi																																																										
66	fat (n.) 	mafúta 	ma.fúta fat	+-	avoñ (E) avɔ̂ŋ 	matsi 	mafúta 	mua 	maguta 	nonu 	dinoga 	diwo̱ngi 	mafuta, mori 	mâzi 	mafúta 																																																											
67	egg 		egg 𓅓	+++	akî (E) akǐ 	diaki 	likeí, líki 	eke 	itumbĩ 	igi 	finga 	mue̱ń 	yai 	dîki, diaki 	díki, méki 	riiaki																																																										
68	horn 		??		nlakh (E) nlak, nnak 		liséké, boséba 	ndeka, mbengu, mbɔngɔ 	muguongo, rũhĩa 	ipembe 	mhembe 	tó̱ngo̱ 	pembe 	mpoka 	mpoko 	ngela, xiia																																																										
69	tail 		makak?		ñgyem (E) ngíém 		mokɔndɔ́, mokíla 	nkondo 	mutingoe, mũcuthi 	nkila 	mkila 	móndó 	mkia 	m'kila 		mukila																																																										
70	feather 	Esáó  / endeŋ 	feather, Ende	++?	asè (E) mvɔ̌t, endeŋ 		lonsálá 		ruoya 			esáó 	unyoya 	nsala 	lusála, nsála 	kisala																																																										
71	hair 	seka 	Sekar ~ shair	+-	ésil (E) nkɔ́ 	nange, munaku 	nsúki 	seka 	njuĩrĩ 	luywili 	mvili 	ńō̱ 	nywele 	nsuki 	súki 	ndemba																																																										
72	head 		muras motto l’ob!	<<	nlô (E) nló 	muru 	motó 	mɔ 	mũtwe, kĩongo 	ntwe 	ditwi 	mulopo 	kichwa 	m'tu 	íntu 	mutue																																																										
73	ear 		'alo? Ecout	+--	alo (E) alɔ́ 	dituji 	litói 	ketue 	gũtũ 	gutu 	gutwi 	tói 	sikio 	kutu 	dikútu 	ritui																																																										
74	eye 		l’see visio	++	zir (E) dzís 	disu 	líso 	iso 	riitho 	liso 	siso 	díso̱ 	jicho 	disu 	dísu 	risu																																																										
75	nose 		rizunu	+--	zṽi (E) dzúiñ 	mbasu 	zólo 		iniũrũ 	lyulu 	mhula 	mpemba 	pua 	m'zunu 	mbómbo 	rizunu																																																										
76	mouth 	munu 	munu+d / anus;)	+++	anyu (E) anu 	munu 	mɔnɔkɔ 	aphe-nɔkɔ 	kanua 	nomo 	mulomo 	mudumbu 	kinywa 	m'nwa 	ínwa 	rikanu																																																										
77	tooth 	zhino dinu songá  	Zähne, den, Zunge, lingo ++	+++!	asôñ (E) asǒŋ 	dinu 	líno 	minyɔ 	igego 	lino 	zhino 	songá 	jino 	dinu 	dínu 	riju																																																										
78	tongue 	lolému líno	lol líno~lingua:tooth ;)	--	dem, ôyem (E) dêm, oyêm 	mbémbu 	lolému 	edaka 	rũrĩmĩ 	lulimi 	lulimi 	eyéme̱ 	ulimi 	ludimi 	ndínga, ludíma 																																																											
79	fingernail 	dzɛ̂ñ	Zehen	+?	zè [ʣɛ] (E) dzɛ̂ñ 		linzáka 	caa 	rwara 	njala 	nhombe 	ńándi 	ukucha 	nzala 	nzála 	kiala																																																										
80	foot 	abo √mopendé gur	abo, pede/bein, √gir move	++ -	abo (E) abɔ 		mopendé, lokolo 	ecinji, (sole) abho 	kũgũrũ, (sole) ikinya 	gugulu 	mgulu 	mwendé 	mguu, (sole) wayo 	kulu, ntambi 	litámbi, dikúlu 	ki kinama ê																																																										
81	leg 	mbíén lokolo 	Bein jamben leg	+++	abo (E) mbíén, abɔ 	dikulu 	lokolo 	ecinji 	kũgũrũ 	gugulu, saluta 	mgulu 	mukala 	mguu 	kulu 	dikúlu, likúlu 	kinama																																																										
82	knee 	Vindi / aboñ  	wend/bend@Bein ^^	+?	aboñ (E) abɔ́ŋ 	dikotulu 	libɔ́lɔ́ngɔ́, libɔ́ngɔ́ 	moanku 	iru 	izwi 	vindi 	dibó̱ngo̱ 	goti 		dibóngo 	kipumuna																																																										
83	hand 	nkono dikàke 	hkon[d] dia!	+-	wo (E) wɔ́ 	dikàke 	lobɔ́kɔ 	njaga 	guoko 	nkono 	mkono 	diá 	mkono 	kôko 	dibóko 	riaku																																																										
84	wing 	afǎp 	a’fap flap	+-	afap (E) afǎp 		lipapú 		ithagu 			dipupulan 	ubawa -ve 	dipapá 	ribaba																																																											
85	belly 	abmum	Abdom ++ bum	<<	abmum (E) abum 		libumu 	sɔphɔ 	nda 	ng'humbi 	hnumbo 	dibum 	tumbo 	vumu 	kivúmu 	rikebe, rimala, rivumu, tumbu																																																										
86	guts 	minna	m’inner	+?	minna, miṉya (E) minya 		nsɔpɔ́ 	mɛla, suba 				mieya 	utumbo 	m'dia 		míria																																																										
87	neck 	kîñ nkíngó	Kinn / Genick / neck	+++	kîñ (E) kíŋ 	kingu 	nkíngó 	kingo 	ngingo 	nhingo 	ugosi 	ńíngo 	shingo 	nsîngu 	nsíngu 	xingu																																																										
88	back 		𓏏 𓂋	 dumo@slav		mvur (E) mvús 		mokɔngɔ 	ngɔngɔ 	mũgongo 	ngongo 	mgongo 	mo̱ngo̱ 	mgongo 	nima 	mbísa 	rima																																																									
89	breast 		torso	~+-	tsṽi (E) nkuk, tsúiñ 		ntólo 	ɛbɛ, (chest) egogo 	nyondo 	mbele 	matombo 	bwangá 	ziwa, (chest) kifua 	ntulu 	dibéne, ntúlu 	petu, pupa, tulu																																																										
90	heart 		min’ coeur	+?	nlem (E) nlêm, nnêm 	murime 	motéma 	mema 	ngoro 	ng'holo 	zoyo 	muléma 	moyo 	mbundu, m'tima 	ntíma 	muxima																																																										
91	liver 	libale itima 	liver tome a’sankh men’	++	ésekh (E) esék 		libale 	ebae, mingi 	ini 	itima 	ini 	dibadi 	ini 			nzundu																																																										
92	to drink 	kung'wa 	KU ~ TO agwa	+-	nyu (E) áñú 	nu -mɛlɛ -noa -nyua 	kung'wa 	ku-ngwa 	kunywa, -nywa 	nwa 	kúnwa 		kunua																																																													
93	to eat 	ádzí 	Adze ~ eat / dine	+-	zi (E) ádzí 	ji -lía -ea -rĩa 		ku-dya -la 	kudia 	kúdya 	kuanda	da 																																																														
94	to bite 	gake koka 	Kaukau! 	koruku@Drawid		lô (E) áló 	rabile, gake -swâ -gɔta, -koka -rũma 	kuluma 	ku-luma -uma, -ng'ata 	tatika 	kutatúka 	kulumata	kukwa 																																																													
95	to suck 		^drink	-	vyôle (E) ávíli 	fife -nyúnya, -núnga -muma; (suckle) -unga, -boea -onga 	kuBipa, kong'ha 	ku-kong'ha, ku-fyonza -fyonza; (suckle) -nyonya, -amwa 			kufefenha, kuxiba																																																															
96	to spit 	metê 	Emit vomit	+?	sè meti (E) ásɛ metê 	lúge -bwáka nsɔ́i -sua -tua mata 	kuswa mate 	ku-bwanda mate -tema 		kulósa mánte 	kuta mate																																																															
97	to vomit 			/	yô (E) áyó 	-sánza -ɔka -tahika 	kuluka 	ku-deka -tapika 	luka 	kulúka 	kuilusa																																																															
98	to blow 	vuñle ávúŋu 	wind	+++	(wind) vuñle (E) (mouth) ávúŋu 	banze (???) -pémela, -pɛpɛ 	(mouth) -ophia, (wind) -sinda -huha 	kufula 	ku-huzila 	(mouth) -puliza, (wind) -vuma 	fula 	wungea 		kubusa																																																												
99	to breathe 	vume -péma 	pheme, vebe	+?	vebe, vemle (E) ávebe 	vume -péma -phɛkuma -hũmũka, -huhia 	kwifula 	ku-humula -pumua 	fulumuna 	kuwumína 	kubuima																																																															
100	to laugh 	awe cheka 	Yodlo ;) shake	+-?	wé (E) áwe 	dikèki -sɛkɛ -tɛbha, -tɔa, -tɛtɛaga -theka 	kusega 	ku-seka -cheka 	seva 	kuséka 	kuelela	yo̱ lo̱, lo̱ 																																																														
101	to see 	mona áyên 	moyn  áyên lolook	++™	yen (E) áyên 	labe -mɔ́nɔ -ɔna -ona 	kubona 	lola -ona 	mona 	kumóna 	kutala, kumona	je̱ne̱ 																																																														
102	to hear 	wôkh áwɔ́k 	Wake Owak ἀκούω@Greek	++	wôkh (E) áwɔ́k 	gulu -yóka -ɔka -igua 	kwigwa 	ku-hulika -sikia 	wa 	kúwa 	kuivua	so̱ngo̱ 																																																														
103	to know 	Zaya zaba manya	savy meniam@mind	++-	yem (E) áyem 	jabe -yéba -ubha -menya 	kumana 	ku-manya -jua, -fahamu 	zaya, zaba 	kuzába 	kuijia	bia 																																																														
104	to think 	banza	sinne, ponder	<<	sima (E) ásíman 	tase -bánza, -kanisa -kanisia, -ianaga 	gwĩciria, -ĩciria 	kwiganika 	ku-gelegeza -waza, -fikiri, -dhani 	yinda, banza 		jo̱nge̱le̱ 	kubanza																																																													
105	to smell 		ONO@nose		nyum (E) ánum 	mbunge -núsa -umbí, -yɔka 	kununga 	kunung'ha 	ku-nungila, ku-nuh'gaa -nusa; (sweet) -nukia, (bad) -nuka 				kutola																																																													
106	to fear 	bánga	Bange!	+++	ko woñ (E) ákɔ wɔ̌ŋ 	gome -bánga -banga -ĩtigĩra 	boba 	moga -ogopa, -hofu 		bóma 	kuoma	bo̱ngo̱ 																																																														
107	to sleep 	kulála áyále 	Eye@Koje Lala ;)	+?	yè, yale (E) áyê, áyále 	bundeme -lála -da -koma 	gulala tulo 	utulo, ku-asa utulo -lala 	lêka 	kulála, tólo 	kuzeka	ko̱ iyo̱ 																																																														
108	to live 	Vanda zînga 	™	+<<	nyiñ (E) átáabe, ániŋ 	-vánda -enda -tũũra 		-ishi 	zînga 		kuala, kukala	be̱ longe̱ 																																																														
109	to die 	kufa	fahr 死亡 sǐwáng, kuall	+-?	wu (E) áwú 	fu -kúfa -kua -kua 	kucha 	ku-fa -fa 	fwa 	kúfwa 	kufa, kufua	wo̱ 																																																														
110	to kill 	koma buré	coma! Bury	++	yṽi, buré (E) áwúiñ 	boke -boma -moa -ũraga 	kubulaga 	koma -ua 	gônda, vonda 	kúfwa 	kujiba																																																															
111	to fight 				luma (E) álúman 	divite -bɛ́tɛnɛ, -bunda -mana -rũa 	kwikenya 	ku-ibiga -pigana< (hit) -piga+na, (obs) -wana 	nwana 	kunwána 	kubanga, kutonga	jana 																																																														
112	to hunt 				some (E) ásomo 	sanze -bengana -ta 	guĩma 	kuhiga 	ku-pelemba -winda, -saka 	konga, wela 	kubinga 	bwéma (n.) 	kutomba																																																													
113	to hit 				yir, sip (E) áyít, ásíp 	gubene, bèmbe, bagule, dimbe -bɛ́tɛ -bɛta, -binda -hurira 	kukomanga 	ku-toa -piga, -gonga, -chapa, -zaba, -bobota, -limba, -puta, -nesa 	zuba 	kubúla 	kubeta	dipa  -bɛ́tɛ 																																																														
114	to cut 	ásék -káta -gɔta	sek™ cut	+++	kîkh (E) ákík, ásék, ásaŋ 	tabule, riabe -kátakata, -káta -gɔta, -tena -tinia, acũhia, una ngu 	kusunzula, kupunza, kugihya 	ku-kahna -kata, -tema 	zenga 	kuzénga 	kusosa, kubatula, kutála, kuzua	ke̱ 																																																														
115	to split 	pase, gabe 	gabel cut^^	+++	sal (E) ása 	pase, gabe -pasola -bhoma -atũra 	kubulaga, kubinza, kubela 	ku-tulika -pasua, -atua, -chana 	bâsa, bâsula 		kutandula, kutolola																																																															
116	to stab 		bash, dash, coma	+?	bekh (E) abé 		-tusa, -tɔdɛa -theeca 		-choma, -dunga 																																																																	
117	to scratch 	Kũrũta 	kratz	+++	kul (E) ákul 	gorule, gombe, tsindule -kóta, -nyaka, -kpaka, -kpala -dua 	kũrũta 	kushina 	ku-zega -kuna, -parua, -kwaruza 	kwanza 			kubutila																																																													
118	to dig 	fakh	fakir?	<<	fakh, soñ (E) áfák, ásɔŋ 	time -tímola -tongea, -kpua, -cuma -cimba, -enja 	kusimba 	ku-himba -chimba, -chokoa 	tima 		kubala																																																															
119	to swim 	riale -nyanya	riva nager	-?	zokh (E) ádzɔ́k 	riale -nyanya, -túnga -ɔga, -tena 			-ogelea 			ńoye̱ 	kuzoua																																																													
120	to fly 	gula, yel	flügel? 𒃲	<<	yele (E) áyéle 	puremuge, dage -pimbwa -yaa -ũmbũka 	ngi, gulala 	nhonzi, ko-guluka -paa, -ruka 		kudumúka 	kukisa	jiba 																																																														
121	to walk 		~walk yul~journ		wule (E) áwulu 	wènde -támbola -tamba -ceera, -thĩil 	kuyela 	ku-choza, ku-tembela -tembea, -enda 	diata, zieta 	kutambúla 	kuenda	dangwa 																																																														
122	to come 		'alo? Ecout		nẑu (E) ánzu 	ruge, duke -yâ, -yáa, -úta -bhika, -jua -ũka, ingĩra 	kwiza, koya 	ku-iza -ja 	kuiza 	kukwísa, kukóta 	kuiza, kutula	po̱ 																																																														
123	to lie (bed) 		coma!	++<	bôme, bôe (E) álôm, ábúi 	siale (stay), timbe (doze) -lálisana -bonda -koma 	gusagalala (lie on one's back), gu lala (lie down) 	ku-asa ugata (lie on one's back), ku-igolosa (lie down) -gona 	lêka, lambalala 		kuzendalala																																																															
124	to sit 		kissan	-	tabe (E) átɔbɔ 	bandimine -vánda, -kisa -ika -ikara 	kwigasha 	ku-kala -keti 	vuanda 	kuvánda 	kuxikama	je 																																																														
125	to stand 		Stelle ~ tele	!?	kü (E) ákúiñ 	-lamuka, -télema -mama -rũgama 	gwimila 	kw-ima -simama 	telema, sikama 		kuta	dámwe̱ 																																																														
126	to turn 		 thiũrũ rück	+++	kiñla (E) ákiŋ 	gudige, puge, bète -balula -kendua 	inamia, thiũrũrũka, -garũra, cenjia 	kukundika, kwiyungula, gugaluka 	ku-zunguluka -pindua 	baluka 			kubiluka, kubilula, kufukula																																																													
127	to fall 		kur bwall	+--	ku (E) áku 	bèruge -kpâ -gua -gwa 		ku-gwa -anguka 	bwa 	kúbwa 	kubala	ko̱ 																																																														
