130	to squeeze 	vắt, siết		
131	to rub 	cọ, cà, chà, cạ		
132	to wash 	giặt	guß, xi	
133	to wipe 	lau, chùi		
134	to pull 	kéo		
135	to push 	đẩy		
136	to throw 	ném, chọi, quăng, quẳng		
137	to tie 	trói, buộc, bó	trie, bintc	
138	to sew 	khâu, may		
139	to count 	đếm	deem	
140	to say 	nói		
141	to sing 	hát		
142	to play 	chơi	koy joy	
143	to float 	nổi	nau 	
144	to flow 	chảy		
145	to freeze 	đông lại, đóng băng		
146	to swell 	sưng lên		
147	sun 	mặt trời	MatRi @ maTrian	<<
148	moon 	trăng, mặt trăng	<<<<	
149	star 	sao	sabo	
150	water 	nước	nautc	
151	rain 	mưa	myua	
152	river 	sông	cong	
153	lake 	hồ	he	
154	sea 	biển	haibian	
155	salt 	muối	@mare	
156	stone 	đá	ditu	
157	sand 	cát	√cut –	
158	dust 	bụi	blow -	
159	earth 	đất	ditu	
160	cloud 	mây	mêek smog	
161	fog 	sương mù	Smog ~~	
162	sky 	trời	trian	<<
163	wind 	gió	giro	
164	snow 	tuyết	цас tsast	
165	ice 	nước đá, băng	bing	
166	smoke 	khói 	Qualm ควัน  khwan 	
167	fire 	lửa	fluame	
168	ash 	tro	Trog –	
169	to burn 	cháy	Char, coal, huo	
170	road 	đường		
171	mountain 	núi	nagar	
172	red 	đỏ	tan	
173	green 	xanh	gxeenh	
174	yellow 	vàng	vhong	
175	white 	trắng	??	
176	black 	đen	dim / dunkel	
177	night 	đêm	dim	
178	day 	ngày	nday	
179	year 	năm	niao	
180	warm 	ấm	wam	
181	cold 	lạnh	lengh	
182	full 	đầy	dou tout	
183	new 	mới	mneu	
184	old 	cổ, cũ (thing), già (person)	gero	
185	good 	tốt, ngon, hay (act), giỏi (work)	giod, top?	
186	bad 	xấu, tồi, dở, kém	cuo, tou(fu), khem	
187	rotten 	thối, ung, mục, mủn, ruỗng		
188	dirty 	bẩn, dơ		
189	straight 	thẳng		
190	round 	tròn	turn	
191	sharp (as a knife) 	sắc, bén	sharpc	
192	dull (as a knife) 	mòn, cùn, cùi		
193	smooth 	mịn, trơn, nhẵn		
194	wet 	ướt	uuet	
195	dry 	khô		
196	correct 	đúng	dui	
197	near 	gần	gen	
198	far 	xa		
199	right 	phải		
200	left 	trái		
201	at 	ở	au	
202	in 	trong	innereng	
203	with 	với	voith	
204	and 	và	ve	
205	if 	nếu	nam	
206	because 	vì, bởi vì	weil	
207	name 	tên	title--	
