name	glotto_code	iso_code	family	subfamily	latitude	longitude
Northern Yukaghir	nort2745	ykg	Yukaghir	Northern Yukaghir	69	155
Southern Yukaghir	sout2750	yux	Yukaghir	Kolymic	65.75	150.83
Itelmen	itel1242	itl	Chukotko-Kamchatkan	Itelmen	56.7798	156.906
Chukchi	chuk1273	ckt	Chukotko-Kamchatkan	Chukotian	68.6436	170.045
Nivkh	gily1242	niv	Nivkh	Nivkh	52.59	140.681
Hokkaido Ainu	ainu1240	ain	Ainu	Hokkaido-Kuril Ainu	43.633654	142.46167
Korean	kore1280	kor	Koreanic	Korean	37.5	128
Japanese	nucl1643	jpn	Japonic	Japanesic	35	135
Aleut	aleu1260	ale	Eskimo-Aleut	Aleut	52.1228	-174.29
Central Siberian Yupik	cent2128	ess	Eskimo-Aleut	Eskimo	63.4308	-170.272
Kalaallisut	kala1399	kal	Eskimo-Aleut	Eskimo	69.3761	-52.864
Kannada	nucl1305	kan	Dravidian	South Dravidian	13.5878	76.1198
Malayalam	mala1464	mal	Dravidian	South Dravidian	9.59208	76.7651
Tamil	tami1289	tam	Dravidian	South Dravidian	10.520219	78.825989
Telugu	telu1262	tel	Dravidian	South Dravidian	16.4529	78.7024
Burushaski	buru1296	bsk	Burushaski	Burushaski	36.2161	74.8236
Georgian	nucl1302	kat	Kartvelian	Georgian-Zan	41.850397	43.78613
Basque	basq1248	eus	Basque	Basque	43.2787	-1.31622
Abkhaz	abkh1244	abk	Abkhaz-Adyge	Abkhaz-Abaza	43.056218	41.159115
Adyghe	adyg1241	ady	Abkhaz-Adyge	Circassian	44.65	40
Avar	avar1256	ava	Nakh-Daghestanian	Daghestanian	41.7047	46.558
Tsez	dido1241	ddo	Nakh-Daghestanian	Daghestanian	42.2646	45.8096
Lak	lakk1252	lbe	Nakh-Daghestanian	Daghestanian	42.1328	47.0809
Lezgian	lezg1247	lez	Nakh-Daghestanian	Daghestanian	41.5157	47.8951
Dargwa	darg1241	dar	Nakh-Daghestanian	Daghestanian	42.4257	47.4388
Chechen	chec1245	che	Nakh-Daghestanian	Nakh	43.5	45.5
Standard Arabic	stan1318	arb	Afro-Asiatic	Semitic	27.9625	43.8525
Modern Hebrew	hebr1245	heb	Afro-Asiatic	Semitic	31.1056	35.0179
Mandarin Chinese	mand1415	cmn	Sino-Tibetan	Sinitic	40.0209	116.228
