omoq, oməq / omok / omokʰ 	n. 	arm, wing, branch, sleeve 	
gemət, tsi-mət, ni-gimət 	n. 	belly, stomach, intestine 	
haŋki 	n. 	neck 	
eyəŋ 	n. 	upper back 	
pətse a-d-i; pətse ə-go (imp) 	vt. 	'to return; to give back (lit. ''do return'') '	
pətse e-d-i 	vt. 	'to return, give back (lit. ''give return'') '	
yaɢʕsi, yaːqsi / yase 	n. 	lower back, waist 	
ambu / ambo 	n. 	breast, udder, milk 	
gebʰusa 	n. 	breast, milk 	
gobloq 	n. 	heart, lung 	
idu / idəu 	n. 	liver 	
kon-da-d-n̩, kon-da-d-i 	vt. 	to cause to drink, to give drink 	
qon 	vt. 	'imperative form of ''drink'' '	(see also ts-oɴʕ-on)
ts-oɴʕ-ən; qon (imp), n-oɴʕ ə-yin (proh) 	vt. 	to drink 	
t-əm-ən; n-əm-ən (2nd); am, am-to (imp), n-əm-in (proh) 	vt. 	to eat 	
kʰam-tsi-n, kʰam-tsi-du, kʰam-dzi; kʰam-to (imp), kʰam-in (proh) 	vt. 	to bite, chew 	
wak (Nep.) 	n. 	vomit 	
dzõwə-d-n̩, dzõwə-d-i 	vt. 	to blow on fire 	
ubə-go (imp) 	vt. 	to blow 	
qaːi hur-ən 	vt. 	to breathe (lit. throw breath) 	
nikʰe a-t-n̩, nikʰe-d-i; nikʰe ə-g-ən (3rd) 	vi. 	to laugh 	
-ə 	vt. 	'root of the verb ''talk, speak'' '	(see also ts-ə ə-d-n̩ and n-ə ə-n-i)
-əg 	vi. 	'root of the verb ''go'' '	(see also ts-əg-ən, n-əg-ən, d-əg-əi)
əiga 	vt. 	'imperative form of ''fetch, bring'' '	(see also ts-iw-ən and -i)
at-to 	vt. 	'imperative form of ''say'' '	(see also ts-oɴʕ-on)
d-əg-əi 	vi. 	'third person form of ''go'' '	(see also ts-əg-ən and da)
gãɴʕ-no (imp) 	vt. 	'imperative form of ''see'', look'' '	(see also ts-aɴʕ-dzi)
g-oɢʕ-on 	vt. 	'third person form of ''put, set aside'' '	(see also ts-oɢʕ-on)
haɴʕ-no 	vi. 	'imperative form of ''sit'' '	(see also s-aɴʕ-an and ɲ-aɴʕ-an)
-i 	vt. 	'root form of the verb ''fetch, bring'' '	(see also ts-iw-ən and əiga)
-ig- 	vt. 	'root form of the verb ''put in'' '	(see also ts-ig-ən)
-ip- 	vi. 	'root form of the verb ''sleep'' '	(see also ts-ip-n̩ and n-ip-n̩)
-it- 	vi. 	'root form of the verb ''say'' '	(see also ts-it-n̩ and n-it-n̩)
mãχ ts-ãɴʕ-dzi 	vi. 	to dream (lit. see a dream) 	
-mi 	vt. 	'root form of the verb ''forget'' '	(see also tsə-mi-n)
miː-to 	vt. 	'imperative form of ''forget'' '	(see also tsə-mi-n)
n-ig-ən 	vt. 	'second person form of ''put in'' '	(see also ts-ig-ən and -ig-)
ni-mi-n 	vt. 	'prohibitive form of ''forget'' '	(see also tsə-mi-n)
n-ip-n̩ 	vi. 	'second person form of ''sleep'' '	(see also ts-ip-n̩ and -ip-)
n-it-n̩ 	vi. 	'second person form of ''say'' '	(see also ts-it-n̩ and -it-)
n-iw-ən 	vi. 	'prohibitive form of ''go'' and ''bring'' '	(see also -əg and əiga)
n-oɢʕ-on 	vt. 	'second person form of ''put, set aside'' '	(see also ts-oɢʕ-on)
ɲ-aɴʕ-dzi 	vt. 	'second person form of ''see'' '	(see also ts-aɴʕ-dzi and gaɴʕ-no)
oɢʕ-da-d-n̩, oɢʕ-da-d-i 	vt. 	to kill 	(see also orə-d-n̩)
orə-d-n̩, ora-d-i; orə-g-ən (3rd) 	vt. 	to kill 	(see also oɢʕ-da-d-n̩)
qon 	vt. 	'imperative form of ''drink'' '	(see also ts-oɴʕ-on)
ts-aɴʕ-dzi; ɲ-aɴʕ-dzi (2nd); g-aɴʕ-dzi (3rd); gaɴʕ-no (imp) 	vt. 	to see, look 	
məːbə-d-n̩, məːbə-d-i; məːbə-go (imp), məːbə-yin (proh) 	vt. 	to hear, listen 	
t-uk-an; n-ukan (imp) 	vt. 	to know 	
imba-d-n̩, imba-d-i; imbə ə-go (imp) 	vt. 	to think, remember 	
gəndzi 	n. 	smell, odor, aroma 	
gəndzibur 	n. 	stench, bad smell 	
gəndzi ə-go (imp) 	vt. 	to smell something 	
gəndzi u-g-i (3rd) 	vi. 	'to smell, give off odor (lit. ''smell comes'') '	
qʰai-d-n̩, qʰai-dzi-n; qʰai-ni-n (2nd); qʰai-to (imp), qʰai-nin (proh) 	vi. 	to fear, be frightened 	
-ip- 	vi. 	'root form of the verb ''sleep'' '	(see also ts-ip-n̩ and n-ip-n̩)
ip-da-d-n̩, ip-da-d-i; ip-da ə-go (imp) 	vt. 	to put to sleep 	
ip-to 	vi. 	'imperative form of ''sleep'' '	
n-ip-n̩ 	vi. 	'second person form of ''sleep'' '	(see also ts-ip-n̩ and -ip-)
ts-ip-n̩; n-ip-n̩ (2nd); g-ip-n̩ (3rd); ip-to (imp) 	vi. 	to sleep 	
əgi 	adj. 	live, living 	
əgi-da-d-n̩, əgi-da-d-i 	vt. 	to make live, to rescue 	
əigi-d-n̩, əigi-d-i; əigi-no (imp) 	vi. 	to live, to survive 	
t-oɢʕ-an; oɢʕ-do (imp), nə-du (imp), n-oɢʕə-yin (proh) 	vi. 	to die 	
oɢʕ-da-d-n̩, oɢʕ-da-d-i 	vt. 	to kill 	(see also orə-d-n̩)
orə-d-n̩, ora-d-i; orə-g-ən (3rd) 	vt. 	to kill 	(see also oɢʕ-da-d-n̩)
limu-dzi, limu-tsi-n 	vi. 	to fight, quarrel 	
amba padə-g-ən 	vt. 	to hunt (lit. to hunt meat) 	
dərpu ə-go (imp) 	vt. 	to hit, strike 	
pumba-d-n̩, pumba-d-i; pumba ə-go (imp), pumba ə-yin (proh) 	vt. 	to hit, strike 	
pʰo a-d-n̩; pʰo ə-g-ən (3rd) 	vt. 	to hit, strike; to shoot a gun 	
yeŋ dəi ə-g-ən 	vt. 	'to kick (lit ''hit with leg'') '	
kəla-d-n̩, kəla-d-i; kəla-g-ən (3rd); kəla ə-go (imp), kəla ə-yin (proh) 	vt. 	to break, smash (as a jug); to cut, split wood 	
kisa-d-n̩ 	vt. 	to cut meat, clear brush 	
kəla-d-n̩, kəla-d-i; kəla-g-ən (3rd); kəla ə-go (imp), kəla ə-yin (proh) 	vt. 	to break, smash (as a jug); to cut, split wood 	
yibiu ə-g-ən 	vt. 	to scratch 	
myaqə-t-n̩, myaqə-d-i; myaqə-g-ən (3rd); myaqə-go (imp) 	vt. 	to dig 	
huː-dzi; huː-do (imp), huː-in (proh) 	vi. 	to fly 	
bibi-dzi, bibi-to 	vi. 	to walk 	
ləbu u-g-ən / ləbbo 	vi. 	to be angry (lit. anger to come) 	
t-ug-un; əga (imp), n-ug-in (proh) 	vi. 	to come 	
kəba 	n. 	lie, falsehood 	
kəba aːdzi / kaba-dze ə-g-ən 	vt. 	to lie (lit. to say a lie / to do a lie) 	
kulum 	n. 	lie, falsehood 	
leː 	n. 	lie, falsehood 	
leː ə-g-ən 	vt. 	to lie (lit. to do a lie) 	
yuŋ-tsi-n, yuŋ-tsi-du; yuŋ-to (imp) 	vi. 	to lie down 	
haɴʕ-no 	vi. 	'imperative form of ''sit'' '	(see also s-aɴʕ-an and ɲ-aɴʕ-an)
s-aɴʕ-an; haɴʕ-no (imp) 	vi. 	to sit 	
dʰũ-tsi-n; dʰuŋ-to (imp) 	vi. 	to stand 	
dʰũ-wa-d-n̩, dʰũ-wa-d-i 	vt. 	to make stand 	
muruŋ-to, mərəŋ əgo 	vi. 	to turn over, roll over 	
bem-n̩, bem-tsi-n, bem-to 	vi. 	to fall, trip 	
bemə-g-ən 	vt. 	to fall 	
pʰeb-a-d-n̩, pʰeb-a-d-i 	vt. 	to make fall, knock over 	
pʰep-n̩; pʰep-to (imp), pʰeb-in (proh) 	vi. 	to drop, fall over 	
e-d-n̩, e-d-i; e-go (imp), e-yin (proh) 	vt. 	to give 	
gəndzi u-g-i (3rd) 	vi. 	'to smell, give off odor (lit. ''smell comes'') '	
gimi e-d-i 	vt. 	'to pay (lit. ''to give money'') '	
kon-da-d-n̩, kon-da-d-i 	vt. 	to cause to drink, to give drink 	
pətse a-d-i; pətse ə-go (imp) 	vt. 	'to return; to give back (lit. ''do return'') '	
pətse e-d-i 	vt. 	'to return, give back (lit. ''give return'') '	
pʰã ə-g-ən 	vt. 	to help, give aid 	
gya-d-n̩, gya-d-i; gya ə-go (imp), gya ə-yin (proh) 	vt. 	to press, hold 	
həbə-o (imp) 	vt. 	to hold in hand 	
kawa ə-go (imp) 	vt. 	to hold under arm 	
nya ə-go (imp) 	vt. 	to hold in two hands 	
sya ə-go (imp) 	vt. 	to hold tightly 	
ərdzo ə-g-ən 	vt. 	to squeeze 	
ambu tsilip ə-g-ən 	vt. 	to milk (lit. to squeeze udder) 	
tsilip ə-g-ən (3rd); tsilip ə-go (imp) 	vt. 	to squeeze, wring, to milk 	
lə a-d-n̩, lə ə-g-ən / lãhãgo 	vt. 	to apply, rub in 	
pʰya ə-go (imp) 	vt. 	to wash clothes 	
sowa-d-n̩, sowa-d-i, sowa-go 	vt. 	to wash pots 	
bʰəra-d-n̩, bʰəra-d-i 	!!	to break rope, pull in two 	
ruːə-d-i; ruːə-go (imp) 	vt. 	to pull, drag 	
dusə ə-d-i; dusə ə-go (imp) 	vt. 	to push 	
hurə-d-i / hurra ə-g-ən (3rd) 	vt. 	to throw, throw away 	
qaːi hur-ən 	vt. 	to breathe (lit. throw breath) 	
tsʰãːn, tsʰãː-d-i, tsʰãː ə-g-ən 	vt. 	to tie, bind 	
toba ə-d-i; toba ə-go (imp) 	vt. 	to sew 	
pimba ə-go (imp) 	vt. 	to count 	
at-to 	vt. 	'imperative form of ''say'' '	(see also ts-oɴʕ-on)
-it- 	vi. 	'root form of the verb ''say'' '	(see also ts-it-n̩ and n-it-n̩)
kəba aːdzi / kaba-dze ə-g-ən 	vt. 	to lie (lit. to say a lie / to do a lie) 	
n-it-n̩ 	vi. 	'second person form of ''say'' '	(see also ts-it-n̩ and -it-)
ts-it-n̩; n-it-n̩ (2nd); i-dzi (3rd) 	vi. 	to say (quotative) 	
ts-oɴʕ-on; at-to (imp) 	vt. 	to say 	
məŋ ə-g-ən 	vt. 	'to sing (lit. ''do song'') '	
libũ-dzi, libũ-tsi-n; libũ-to (imp), libũ-nin (proh) 	vi. 	to play 	
hyo-da-d-n̩, hyo-da-d-i 	vt. 	to swell 	
iŋ 	n. 	sun 	
iŋ miː-dzi 	vi. 	to set (of sun) 	
niku, nigu 	n. 	moon 	
sa.am / sam 	n. 	star 	
ata gidaŋ / atta gitaŋ 	n. 	saliva (lit. mouth water) 	
bʰorlə-d-n̩, bʰorlə-d-i; bʰorlə ə-go (imp), bʰorlə ə-yin (proh) 	vt. 	to boil water 	
kəre / kəri 	n. 	pot, vase, water container 	
kola-d-n̩, kola-d-i; kola ə-go (imp) 	vt. 	to draw water 	
konda-gi 	vt. 	to water animals 	
taŋ 	n. 	rain, water 	
taŋ pəiyo 	n. 	'thirst (lit. ''thirst water'') '	
tsʰut ə-g-ən 	vt. 	to cross river 	
huki / hukki 	n. 	salt 	
tsəmaq tʰagən yeŋgu 	n. 	flint (lit. steel striking stone) 	
yeŋgu 	n. 	coin (lit. stone) 	
yeŋgu / yiŋgu 	n. 	stone, pestle 	
yeŋgu əota 	n. 	cave (lit. stone door) 	
dum 	n. 	soil, sand, earth 	
dum 	n. 	soil, sand, earth 	
bəm 	n. 	sky, cloud 	
pãːyi / pãi 	n. 	cloud 	
dʰundi 	n. 	fog 	
bəm 	n. 	sky, cloud 	
qaːi / kai 	n. 	wind, air, steam 	
yaq 	n. 	hail, snow 	
dimi 	n. 	smoke 	
bələ-d-i; bələ-go (imp), bələ-yin (proh) 	vt. 	to remove from fire 	
dʰaː a-t-n̩, dʰaː ə-d-i; dʰaː ə-go (imp) 	vt. 	to put on fire 	
dza 	n. 	fire 	
dza hõː-d-i 	vt. 	to burn fire 	
dzõwə-d-n̩, dzõwə-d-i 	vt. 	to blow on fire 	
tsəmaq 	n. 	steel for striking fire 	
tsəmək 	n. 	tinder, fire fibers 	
un 	n. 	trail, road 	
un, uŋ 	n. 	road, path, trail 	
dibaŋ 	n. 	mountain, cliff 	
koidzu 	n. 	red deer 	
kʰərgun 	adj. 	red 	
pʰurluŋ 	adj. 	red 	
hərgun 	adj. 	green 	
pətsʰe haq 	n. 	leafy vegetable, green leaf 	
kəpaŋ bəyo 	n. 	yellow 	
kasi, kasige / kasigi 	adj. 	white, light color 	
soksogərəm, soksodi 	adj. 	black 	
iŋao / iŋau 	n. 	night 	
qoturaq 	adv. 	day after tomorrow 	
toɢʕon 	adv. 	day before yesterday 	
bəsə (Nep.) 	n. 	year 	
oran bəsə 	adv. 	next year 	
pyai dəgən bəsə 	adv. 	last year 	
təinan bəsə 	adv. 	this year 	
kʰəŋgu, χəŋgu 	adj. 	cold (of food) 	
yaɢʕu, yaːʕu / yaχəu 	adj. 	cold (weather) 	
pʰirun, pʰirut-n̩ 	v., adj. 	full 	
dzəŋən / dzaŋ 	adj. 	new 	
dʰya 	n. 	old man 	
dzəgəl 	n. 	old woman 	
purano (Nep.) 	adj. 	old 	
wen, weyən 	adj. 	good 	
gəndzibur 	n. 	stench, bad smell 	
kolom, qolom 	adj. 	bad 	
qaudzi 	adj. 	rotten 	
hoigən, huigin 	adj. 	dirty, filthy, rubbish, litter 	
guluŋ 	adj. 	round 	
kan 	adj. 	sharp 	
dzoɢʕ-a-d-n̩, dzoɢʕ-a-d-i 	vt. 	to soak, make wet 	
dzoq-n̩; dzoq-to (imp) 	vi. 	to get wet 	
qaien, qaiɢʕun, qaidzi 	adj. 	dry, wither 	
istə 	adv. 	near 	
hũtu 	adv. 	far 	
at 	n. 	headstrap, noose, snare 	
at-to 	vt. 	'imperative form of ''say'' '	(see also ts-oɴʕ-on)
ts-oɴʕ-on; at-to (imp) 	vt. 	to say 	
ao bʰaŋ 	n. 	hole in ground 	
budun 	n. 	father-in-law 	
bʰəra-d-n̩, bʰəra-d-i 	vt. 	to break rope, pull in two 	
bʰiŋga ə-g-ən 	vt. 	to carry wound in a coil 	
dʰəbə-d-n̩, dʰəbə-d-i; dʰabə (imp), dʰəb-in (proh) 	vt. 	to cover; to shut, close 	
dzʰəm ə-g-ən (3rd); dzʰəm-to (imp), dzʰəm-in (proh) 	vi. 	to weep, cry 	
gaŋno (imp) 	vt. 	to encircle, fence in 	
gesali 	n. 	wife’s sister, sister-in-law 	
getsebəi 	n. 	daughter-in-law 	
gyaudzi 	n. 	mother-in-law 	
həbə-o (imp) 	vt. 	to hold in hand 	
huː-dzi; huː-do (imp), huː-in (proh) 	vi. 	to fly 	
-ig- 	vt. 	'root form of the verb ''put in'' '	(see also ts-ig-ən)
in-da-d-n̩, in-da-d-i; in-da ə-go (imp), in-da-yin (proh) 	vt. 	to feed, nurse 	
kʰam-tsi-n, kʰam-tsi-du, kʰam-dzi; kʰam-to (imp), kʰam-in (proh) 	vt. 	to bite, chew 	
lə a-d-n̩, lə ə-g-ən / lãhãgo 	vt. 	to apply, rub in 	
n-ig-ən 	vt. 	'second person form of ''put in'' '	(see also ts-ig-ən and -ig-)
nya ə-go (imp) 	vt. 	to hold in two hands 	
pinda 	adv. 	before, in front of 	
pʰep-n̩; pʰep-to (imp), pʰeb-in (proh) 	vi. 	to drop, fall over 	
qatraq 	n. 	son-in-law 	
sip-n̩, sip-tsi-n; sip-to (imp), sip-in (proh) 	vi. 	to enter 	
solo-q-n̩ 	vi. 	to break in two 	
t-əm-ən; n-əm-ən (2nd); am, am-to (imp), n-əm-in (proh) 	vt. 	to eat 	
t-ug-un; əga (imp), n-ug-in (proh) 	vi. 	to come 	
ts-ig-ən; n-ig-ən (2nd) 	vt. 	to put in (Nep. hal-nu) 	
-ma 	aff. 	with 	
yeŋ dəi ə-g-ən 	vt. 	'to kick (lit ''hit with leg'') '	
-ə 	vt. 	'root of the verb ''talk, speak'' '	(see also ts-ə ə-d-n̩ and n-ə ə-n-i)
əiga 	vt. 	'imperative form of ''fetch, bring'' '	(see also ts-iw-ən and -i)
d-əg-əi 	vi. 	'third person form of ''go'' '	(see also ts-əg-ən and da)
haɴʕ-no 	vi. 	'imperative form of ''sit'' '	(see also s-aɴʕ-an and ɲ-aɴʕ-an)
-i 	vt. 	'root form of the verb ''fetch, bring'' '	(see also ts-iw-ən and əiga)
-ip- 	vi. 	'root form of the verb ''sleep'' '	(see also ts-ip-n̩ and n-ip-n̩)
-it- 	vi. 	'root form of the verb ''say'' '	(see also ts-it-n̩ and n-it-n̩)
n-ig-ən 	vt. 	'second person form of ''put in'' '	(see also ts-ig-ən and -ig-)
n-ip-n̩ 	vi. 	'second person form of ''sleep'' '	(see also ts-ip-n̩ and -ip-)
n-it-n̩ 	vi. 	'second person form of ''say'' '	(see also ts-it-n̩ and -it-)
n-iw-ən 	vi. 	'prohibitive form of ''go'' and ''bring'' '	(see also -əg and əiga)
ɲ-aɴʕ-dzi 	vt. 	'second person form of ''see'' '	(see also ts-aɴʕ-dzi and gaɴʕ-no)
taqsi 	n. 	boys and girls 	
nən nohən 	conj. 	because 	
