Page	Dravidian	English	PIE	Basque	English	
200	elli (Te)	night	laila, a¬loon?	ilun	darkness	
200	lamba (S.Dr)	to totter	--	laban	slippery, sliding	
201	ema (Ta)	mother, female	Amme	ama	mother	
201	amma (Ka)	female	Amme < femme	ama	mother	
201	pen (S.Dr)	woman	;)	pena	sorrow, grief	
201	ali	woman	??	alaba	daughter, native of...	
201	al	male	El male, a vir, we are	ar	male	
202	unmu (Ka)	birth	@Amme	ume	child	
202	maintu (Ta)	love	meriten > amour	maita	love	<> MINCAT 😻
202	maru-vu (Ta)	intimacy	Amore 😻 MEERCAT?	marruskatze	fondling, pawing	
203	manju (S.Dr)	amiable	mögen	maina	liking, pampering	
202	appu (Ka)	to embrace	<>	apatz	to kiss	
203	iru (Ta)	come into existence 	appear> bear > werden	iruditu	to appear	
203	uru (Ta)	to give birth	bear	aru (Berber)	to be born	
204	atta (Malto)	grandfather	Atta = Vater	aita	father	
204	apa (S.Dr)	father	Apa = Papa / Opa	ata	father (child's)	
204	ana (Ta)	brother	𓌢 𓈖 𓀀  ⲥⲟⲛ conée	anai	brother	
204	asa (Kui)	daughter	𓈙 𓂋 𓇋 𓏏 𓅁 a’cherie	aizpa	sister	
204	ari	she		arreba	sister	
205	ila (Ta)	youth		iloba	niece	
207	maran (Ta)	bravery	--	mardul	robust, strong	
207	marru	enemy	𓊤 𓅱 𓀐 ⲙⲉⲧϫⲁϫⲓ –	amarru	cunning, shrewd	
208	buti (Ka)	man servant	𓃀𓅡𓄿  butler 	botoi	man servant	
210	burade (S.Dr)	head	bu.ratio !	buru	head	
210	bhuka	opening	𓃀 𓏏 𓏛 – 	bukatu	to end	<> 𓊪 𓋴 𓈙|
210	kara	height	great	garai	high	
210	gubbi (Ka)	hump	^^	gupi	deformed spine	
210	kerki (Tulu)	throat	Gurgel	gurka	throat	
210	suri (S.Dr)	to pour	Usher 💦	isuri	to pour	
210	kiram (Ta)	old	Gero > era	kira	period of time	
210	konku	curved	Concave –	makur	roundness	
210	in (Brahui)	to say	mind?	min	tongue	
210	pura (Malto)	belly	+++	para	belly	
358	ari	rock	ore 	arri	rock	
359	kabi	cave, hollow	cover < cabin	kabia	nest, hollow	
360	kam	something round 	krumm	kamuts	blunt	
360	men (Ma)	mound, hillock	mount!	mendi	mountain	
360	murru	wall, quarry	mura = Mauer	murru	wall	
361	padu	village	paddock, beith!	padur etxe	lake dwelling	
361	turu	hill, mound	tower	torre	tower	
361	mugul (Ka)	flower bud	<3	mugil	flower bud	
362	bar (Ka)	stream, to flow 	Ibar <river, ripa	ibar	river valley	
362	tura-i	stream, ond	iter²	iturri	source of water	
362	ala (Te)	wave, surge	gale?	olatu	wave	
362	garo (Kui)	deep hollow,dig 	@core, carry	goratu	to raise, to carry up	
363	pani (Ta)	rain		panin (Zuber)	water	
