№	English	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!				
7	this	𓏏𓄿		 this, the	da,der,thea, dar@Pers	
7	this	𓏏𓅱		 this, that	den, dem, denn, darin این in 	
7	this	𓏏𓅱𓇋𓇋		 this, that	•dawie	
7	this	𓏏𓈖		 this	den این in 	
8	that	𓈖𓆑		 that, those	آن ån वह vah 	
8	that	𓈖𓆑 𓄿		 that, those	آن ån वह vah 	
8	that	𓊪𓅱𓇋𓇋		 this, that	whoi: who	
8	that	𓊪𓆑		 that 	•phosen ποιος poios <> whose  	
8	that	𓊪𓆑 𓄿 𓈐		 that 	че qpho <> qva quad quad  	
8	that	𓊪𓆑 𓏮		 that 	whos / pfush / of	
8	that	𓏏𓅱		 this, that	tun, den, dem, denn	
8	that	𓏏𓅱𓇋𓇋		 this, that		
8	that	𓏏𓆑		 that 	αυτό (aftó) 	
8	that	𓏏𓆑		 that 	diesen!	
8	that	𓏏𓆑 𓄿		 that 	dieser	
9	here	𓂧 𓏮 𓈐		here, there 	da / dort! there++	
9	here	𓈖𓄿		 this, these, the, here, hither 	nah 那 nà 	
9	here	𓉻 𓂝 𓄿 𓇋𓇋𓈐		here, there, yonder	‘a‘here‘	
9	here	𓉻 𓂝 𓈐		here, there, yonder	ahere	
9	here	𓉻 𓂝 𓈐		here, there, yonder	dort / doat ⇔ Duat	
10	there	𓂧 𓏮 𓈐		here, there	there++ / da / thy-pass / dry-pass / le.ther._ 2 ➙ / there	
10	there	𓇋𓅓		there, therein, therewith, therefrom	over, im @ SEM  ena@Celt  آنجا ånjå@Pers    ƒtherefrom 𓇋𓅓	
10	there	𓉻 𓂝 𓄿 𓇋𓇋𓈐		here, there 	thaairee there <> Tor!  <> آنجا ånjå@Pers ?	
11	who	𓅓 𓂝		 who ?, what ?	mwho? / mwa?  ποιος (poios) 	
11	who	𓅓 𓂟		 who ?, what ?	mwho?	
11	who	𓈖𓅓 𓂝		who ?	mnwo? who?	
11	who	𓊄	 𓇋𓇋	who ?, what ?	qui? che? que? ⇔ zieh? si? !! ←	
11	who	𓊄 𓏮 𓏛		who ?, what ?	qui? / que?	
11	who	𓊪𓅱		 who ?, what ?	pw: who	
11	who	𓊪𓏏𓂋		 who ?, what ?	what are / whater?	
11	who	𓋴		who ?, what ?	ge? que / is? / ws?	
11	who	𓏶		who is in, which is in	"whom / west? / ""who is it"""	
12	what	𓂋 𓅓 𓅓 𓂡 𓏴		 to what purpose ?	refur for what END	
12	what	𓅓 𓂝		 who ?, what ?	mwho? / mwa?	
12	what	𓅓 𓂟		 who ?, what ?	mwho?	
12	what	𓇋𓅱𓂜 𓏏𓏏		what is not, does not exist	‘ain‘t / anti / unnotith / ein-nitth‘	
12	what	𓇋𓍱 𓈙 𓋴𓏏		what ?, wherefore ?	eschschsht?? ++  / ⇔	
12	what	𓇋𓍱 𓊃𓏏𓀁		 what ?	veschzt?	
12	what	𓇋𓐍 𓏛		then, therefore, what ?	echt? ←	
12	what	𓇓𓅱𓏏𓆑		what is his	... sunt sin +	
12	what	𓈖𓅓 𓂝		who ?, what ?	nam nämlicher? nehme… (an)? mnwo? who? no why. / an fro? / nma?	
12	what	𓊄		who ?, what ?	qui? che? que? ⇔ zieh? !! ←	
12	what	𓊄		who ?, what ?	sid  cid  quod	
12	what	𓊄 𓇋𓇋		who ?, what ?	si? τι ti 	
12	what	𓊄 𓏮 𓏛		who ?, what ?	qui? / que?	
12	what	𓊪𓅱		 who ?, what ?, whichever	who	
12	what	𓊪𓏏𓂋		 who ?, what ?	what are / whater?	
12	what	𓋴		who ?, what ?	ge? / is? / ws?	
12	what	𓏏𓊪𓏮 𓆵 𓀁		 who ?, what ?	abbrev: ittr ⇔ interogate ← / weather? / what	
12	what	𓐍 𓏮		what ?	ѥi? / ge? / que? / qui? / what? / geht? / gut?	
13	where	𓍿𓈖𓌙 𓅯		 where ?, whence ?	 cuand cwhence quando?	
13	where	𓏏𓈖𓏌𓅱𓌙 𓅯		 where ?, whence ?	~donde! +++++ ES	
13	where	𓏏𓈖𓏮 𓌙 𓅯 𓈐		  where ?, whence ?	"donde? ++++ / ""way?"" = where ++"	
14	when	𓐍 𓆑 𓏏	qvnd++	when, according to, at the time of	quando, qũd@SUMER kuwati@Luwian кай хэзээ çıweğt <> question +++ 	
14	when	𓅓		with, by means of, from, out of, as, namely, when, as, though, together with	mi,mwi	
14	when	𓅯𓅯	quan	when?	 quando? qwhen swan 𓍿𓈖𓌙𓅯 quenta whence	
14	when	𓅯𓅯		when?	 随时 suíshí 何时 héshí 几时 jǐshí	
14	when	𓐍 𓆑		when, according to, at the time of	<> quando	
14	when	𓐍 𓏏𓆑		when, according to, at the time of	‘krdvn according къгда kŭgda‘	
15	how	𓅱	hw!?	 how !	how	
15	how	𓅱𓏮		 how !	moi! ma? mwy = my ! ja moi! ma: ...,ma?,ne? / hun??  /  hown?	
15	how	𓏇 𓇋𓅓 𓂝		 how ?	Comment? Mi fro? / like what?	
15	how	𓐍 𓏮 𓐪 𓂧 𓂂 𓏛 𓎡		how are you ?	Comment … kyou / ¿Qué pasa tu? ES!	
16	not	𓂜		 not		
16	not	𓂜 𓃹 𓈖𓏏		there is/are not	no sant <> anti  / nich find << no phund +++	
16	not	𓂜 𓅱𓏏		who.......not, which.......not	nix ... und	
16	not	𓂜 𓅱𓏏𓏏		what is not, does not exist	no entitee ! ?!? !?	
16	not	𓂜 𓇋𓋴		indeed not, if not, unless	nix is!	
16	not	𓂜𓈖		 not	nein!	
16	not	𓂜 𓏏𓏏𓅪  𓏥		what is not, does not exist 	not t*val ?	
16	not	𓂜 𓏏𓏮 𓅪		who.......not, which.......not 		
16	not	𓇋𓂋 𓆑		not	Irrsinn <>	
16	not	𓄤 𓆑 𓂋 𓊪𓅱		not	never bu 不 ver¬…	
16	not	𓄤 𓈖		not	ne faire ++ 	
16	not	𓄤 𓊪𓅱		not, there is not	bu 不	
16	not	𓅓		 do not	mne! manno mano mei 沒 méi ! ⇔ 莫 mò = no ¬	
16	not	𓅓 𓁹		 do not	ver-meid ++ DE / mei 沒 méi ! ⇔ 莫 mò = no ¬	
16	not	𓅓 𓂋 𓂝		let not	mero? / faire-a ES+	
16	not	𓅓 𓂜		 do not	ma...! / mno...! / ne...! / nma..! / nimmer = niemals...! / nma..! make.not	
16	not	𓅓 𓂝		 	ma?	
16	not	𓅓 𓂟		 		
16	not	𓅱𓂜	mun-	 not	 !! 没 [沒] méi	
16	not	𓅱		 not	un- !! @ EN / mo @ GR ++	
16	not	𓇋𓅱𓂜 𓍘 𓇋		who.......not, which.......not	‘un-noti / unti / ‘noti‘	
16	not	𓇋𓅱𓂜 𓏏		who.......not, which.......not		
16	not	𓇋𓅱𓂜 𓏏𓏏		what is not, does not exist	‘ain‘t / anti / unnotith / ein-nitth‘	
17	all	𓎟		any, every, all	all < kall < •kwhol / kwr > whole, her	
17	all	𓂋 𓋴 𓋴		quite, entirely, at all	rest, der Rest ++++ EN/DE	
17	all	𓂋 𓏤 𓋴𓏮 𓈐		quite, entirely, at all	ἅπᾱς hápās   𓂋=pa  πᾶς pâs	
17	all	𓅅		‘hor+all = ‘al.ho‘n =falcon?‘	her@Uralic ++	
17	all	𓅓 𓃀 𓅱𓌡 𓏤		all together	im pan! ← / ample   many for 1	
17	all	𓇾 𓅓 𓅱𓀀 𓏥 𓁐		all men	terra…human !   ← chaimans	
17	all	𓇾 𓍃 𓅓 𓏥		all men	toute-mond  tout-all :total 	
17	all	𓇿 𓇿 𓈅 𓈅 𓏏𓍃 𓀀 𓏥 𓁐		all men	tout… þeudō *tewtéh₂ 	
17	all	𓇿 𓇿 𓍃 𓅓 𓏛 𓀀 𓁐 𓏪		all men	tout le monde	
17	all	𓇿 𓇿 𓍃 𓅱		all men	tout le monde	
17	all	𓇿 𓇿 𓏏 𓍃 𓅓 𓏜		all men		
17	all	𓏏 𓏏 𓏝		full, entire	total +	
17	all	𓎛 𓂝 𓄻 𓃒		all people	Herren <> her@Uralic 𓎟<> hor 𓅅 human : 𓏠𓈖𓃒𓏪 	
17	all	𓐍 𓏏		all well and good	great > gut!	
18	many	𓁨 𓈖		many	Hoch / Many : /  the Fen! goddess <> Pan	
18	many	𓂝 𓈙 𓄿 𓆈		many, numerous, much, plentiful, ordinary, quantity, multitude	esher / exa ~> extra... qed  achka@Quechuan < manscha (𓂝 : manu)  𓆈:salaMander	
18	many	𓄜 𓆄		many coloured of plummage 		
18	many	𓅨 𓂋		great, much, many, eldest, important	verry	
18	many	𓆈 𓄿 𓏏𓀀 𓏥		multitude, company, the many, the masses	exart?  𓆈:salaMander	
18	many	𓉻 𓏏𓏯 𓈙 𓏥		 many, numerous	exatalis?	
19	some	𓈖 𓉔 𓅪  𓈒 𓏥		some, a little, a few	nonulli noen   nějaký <> μερικά meriká 	
19	some	𓈖 𓉔 𓅱𓏮 𓀀 𓏥		some, a little, a few	némelyek néhányan	
19	some	𓈖 𓉔 𓏮 𓅪  𓈒 𓏥		some, a little, a few 	nonulli! / ⇔ DE/EN?	
19	some	𓈖 𓎡 𓏏 𓏲 𓅪  𓏥		some, a little 	nichtig nǫkkurr  *ne-wait-ek-hwarjaʀ  "not-know-I-who" nescio quis	
19	some	𓈖 𓎡 𓏏 𓏴 𓏛		some, a little, something, piece, profit, advantage		
20	few	𓂝 𓈖 𓂧 𓅪		few, scarcity, fewness, be diminished 	scant? / handvoll / under-full	
20	few	𓂝 𓈖 𓂧 𓏏𓅪		the few  	handvoll+	
21	other	𓎘 𓅱𓆓 𓏛		see other entries under wD 	wother	
21	other	𓎡 𓏏		 other, another	cētera 	
21	other	𓎡 𓏮		 other, another	ceteri *ke-etero‑ co-other (of two)	
22	one	𓌡		one	harpoon > one, haken > ek.un, sole, single > angle	
22	one	𓏏 𓅱		one	ton: man <<< !? ≠ two!!	
23	two	𓋴 𓈖 𓏮		them two,  they two	sem / them	
23	two	𓌢 𓈖 𓏌 𓏲 𓏮		two	twinur  <> 𓋴𓈖𓏮   they two, them two  𓍿𓈖𓏮 you two, your	
23	two	𓌢 𓏌 𓏮		two	twinur	
24	three	𓐍 𓂸 𓏏		three	cird 𐎘𐎍𐎘 circ shamn𓏏 Ϣomte@COPT ⇔ Ξ ξan san 三 theen	
24	three	𓏏 𓂋 𓅱 𓆵		season	three-suns ➙ seasons	
25	four	𓆑 𓂧 𓅱 𓏤 𓏤 𓏤 𓏤		four, qvadre	ЧⲦⲞⲞⲨ  𐍆𐌹𐌳𐍅𐍉𐍂 < •qvtoor > четꙑре  četyre quadro	
25	four	𓆑 𓂧 𓏤 𓏏 𓏤 𓏤 𓏤		four, quartette 	quartetre qvuart qfourt tetra	
25	four	𓇋 𓆑 𓂧 𓏏 𓏥		a four, quartette	‘fthtr ~ vi‘ert/fourtht vs 5th! pstuan‘	
26	five	𓏥 𓏮 𓏏𓅱𓂻		five parts	penta tome / dom@Pers •teilma	
27	big	𓅨 𓂋 𓈉		very 	ευρύς evrýs : wide,   𓅨 𓂋 𓏏 great	
28	long	𓄫 𓅱		long, length 	span ← !! ?	
28	long	𓇥 𓂋 𓂝 𓏤		 long ago	<> dura?  old	
28	long	𓈐		far, long ago, for a long time past, go	past, far<>fahr,fort,furt	
28	long	𓍯 𓄿 𓀜		far, long ago, for a long time past, go	‘roa‘ rachowq@SEM ++ / roga ➙ go! / gero ➙ hiero‘	
28	long	𓍯 𓄿 𓈐		far, long ago, for a long time past, go	‘rachiyq / rachowq @HEB
29	wide	𓋴 𓐍 𓎺		broad, wide, extensive, breadth	scope <> εὐρῠ́ς <>  სქელი (skeli) thick	
29	wide	𓅱 𓋴 𓐍 𓎸 𓏛 		broad, wide, extensive, breadth	scope	
29	wide	𓋴 𓅱 𓋴 𓐍 𓎸 𓏛		widen, make wide, make spacious, extend 	широкий shuzokhet / shusokhen / shurokij 	
29	wide	𓋴 𓅱 𓊃 𓐍 𓌤		widen, make wide, make spacious, extend 	shuzokhe <> skopos?	
30	thick	𓃀 𓅡 𓄿 𓎼 𓈗		thick 	παχύς pakhús þicce𓃀 pthick broad  breit πυκνός puknós	
30	thick	𓅱 𓂸 𓏏 𓏛	phat™	thick (cloth, wall)	µphat ➙ fat  <> mast?	
30	thick	𓋴 𓅱 𓂸 𓏏 𓏛		make thick, make stout 	~ stout	
31	heavy	𓀋 𓀜		be heavy laden 	‘tra‘n:‘	
31	heavy	𓆓 𓈖𓋴𓍘 𓏜		heavy, overburdened, weighty	dense þungr PIE •tengʰ  tingùs tęžьkъ  θanǰáyati  | хүнд khünd	+++
31	heavy	𓂧 𓈖𓋴𓍖 𓊌		heavy, irksome, burdensome, overburdened, weighty	dense ++   2. δwairens ⇔ schwer! 	
31	heavy	𓅱𓂧 𓈖𓍖 𓈒 𓏥		be heavy, weigh, become difficult	weightens > EN:dense ++	
32	small	𓀔 𓏥 𓈖𓂣	niño?	 small children ?		
32	small	𓈖𓆓 𓋴 𓅪		little / small, dim, dull, poor, 	nietlich, niedrich	
32	small	𓈖 𓐍 𓅪		youthful, small ?, brief ? 	mickrig  νεανίας youth neo.niñas	
32	small	𓈙 𓂋 𓂋 𓅪  𓀀		small, lowly man 	sorry-ful	
32	small	𓈙 𓂋 𓇋𓅪  𓀀		small, lowly man 		
32	small	𓎡 𓏏 𓏏 𓅪		small, trifling, a trifle 	cute	
33	short	𓅪		 little, meagre, younger, junior, short, small		
33	short	𓈙 𓂋 𓂋 𓅪		 little, meagre, younger, junior, short 	sorry <> short	
33	short	𓎛 𓂝 𓅪		short	khor: court/kurz! DE/FR ++ / ⇔	
33	short	𓎛 𓂝 𓅱 𓂢 𓀀 𓏥		short men	Kurden ;)	
33	short	𓎛 𓅱𓂝 𓅪		short 	‘khuor : court/kurz/short ++ vs lat: art=kurz ➙ s‘art:short‘	
34	narrow	𓎛 𓆰 𓈖 𓋴 𓅪		narrow, constricted 	~ constricted 	
34	narrow	𓎼 𓄿 𓎣 𓅪		be narrow, constricted 	𐌰𐌲𐌲𐍅𐌿𐍃 aggwus  ကျဉ်း  kyany: eng   kapea	
34	narrow	𓎼 𓄿 𓐎 𓅪		be narrow, constricted, languish, lack, be lacking 	tgar  צר‎  __? ⇔ Kercer Karcer	
35	thin	𓊪 𓅮 𓄿 𓈎 𓏏 𓂂		thin part of bone in skull	flach	
35	thin	𓅮 𓈎 𓏗	flat	a flat thin cake or biscuit	flat-kuchen QED +++ ⇔ Fladen 	
35	thin	𓆁 𓈎 𓏗		a flat thin cake or biscuit	panqueque / pancake / PfannKuchen 	
35	thin	𓊪 𓈎 𓏗		a flat thin cake or biscuit	poqu <> pancake	
36	woman	𓃀 𓂓 𓏏 𓁑		pregnant woman	~pregnant ? (re)becka bekkath	
36	woman	𓅓 𓏏 𓏏 𓀐		dead woman	Mutti, muerta vs mard < mortal	
36	woman	𓅓 𓏏 𓏏 𓏱 𓈟 𓏏𓁐		dead woman		
36	woman	𓉿 𓅓 𓏏 𓁐		Asiatic woman	𓉿 Mutter	
36	woman	𓇋𓄿 𓇋𓇋𓏏𓀗 𓁐		old woman	<> vieille viaiit alt	
36	woman	𓇋𓄿 𓇋𓇋𓏏𓁐		old woman	⇔ Hark : haggard hag ⇔ Hexe / harlot=whore / ⇔ Karies? / ⇔ Hirten! YES:	
36	woman	𓇋𓄿 𓏏𓀗		old woman	fatima?	
36	woman	𓈟 𓏏 𓁐		woman, wife	brünnt ⇔ Braut	
36	woman	𓊃 𓏏 𓁐		woman, wife	Persian: زن‎ zan ख़ातून xātūn ज़न zan Elamite: zana,  жанчы́на žančýna  𐌵𐌹𐌽𐍉 qinō gyne	
36	woman	𓊃 𓏏 𓁐		woman, wife	‘Sit! / Zt! / zan @Pers! / Xanthippe Xant~kin,hoebe=love ← / Zeter / ‘Schöness‘ / Gyneth ⇔ queen / ku-na-ja/ ku-na-ki-si / hamharem@Pers‘	
36	woman	𓊃 𓏏 𓁐 𓈞 𓏏 𓁐		woman, wife	‘Zant Brünt / Xanthippe زٔنؠ‎ zạn‘ ترٕٛے‎ trụٛy  
36	woman	𓊃 𓏏 𓈟 𓏏 𓁐		woman, wife	zynt > gyneth  زُوجَة‎  zōja زینه‎ zine  Zote(ƒ) aššatu 𒁮 Dame	
36	woman	𓋴 𓆛		woman who breast feeds	←	
36	woman	𓌰 𓅓 𓎛 𓇋𓇋 𓅪  𓏏		free woman ?  	messferi / messfrei ⇔ messfrau wald??	
36	woman	𓐣 𓏏𓏛 𓁐		divorced woman	Divath++ divorthe EN++ VS	
37	man	𓀀 𓀀 𓀀	MEN	 man, men, mankind, Egyptians	𓀀 mein=man@Pers 𒌋𒌋𒌋 moons <> many	
37	man	𓀻 𓋴𓀀		nobleman, wealthy man	Monsir = Mr.	
37	man	𓀻 𓋴𓋴		wealthy man  Y	Monssir = Mr.	
37	man	𓁷 𓂋 𓇯 𓀀		head man	Oberherr / afasir: officer++ @ Kurd	
37	man	𓐍 𓅓 𓁸		ignorant man	‘igmo / Gabi‘  / grey-hair / old = ignorant / buuh‘	
37	man	𓂋 𓂢 𓈎 𓅪  𓄣 𓏤		disaffected man 	Ekel? / racker / wreck? / Recke / ?? / ⇔ recht-hand/arm	
37	man	𓂋 𓈖 𓊪 𓆳 𓀔 𓀀		young man	Reiner ^^ / Renault / renphujer ➙ renphuter / Ren-Viecher?	
37	man	𓂋 𓍃 𓀀 𓏥		 man, men, mankind, Egyptians	RMC ^^ vs RTTN Ratten  / Ramesser ^^	
37	man	𓂋 𓍿 𓀀		man, men, mankind, Egyptians	ru-h, RUH.MEŠ @ Elam	
37	man	𓂋 𓍿 𓀀		man, men, mankind, Egyptians	Ramcer ^^ 2*with M  abr. / developed / Race / erster? / Earther / Erder	
37	man	𓂋 𓍿 𓏏 𓀀 𓏥		 man, men, mankind, Egyptians	Rechte Richte Rest <> Rudel	
37	man	𓂋 𓏏 𓀀 𓏥 𓁐		 man, men, mankind, Egyptians	Röter / Retter / Rieter / VS Ramether with M 2* above! Ramosser	
37	man	𓂋 𓐍 𓏛 𓀀		wise man	Rechter Richter	
37	man	𓂋 𓐍 𓏛 𓏏𓐍 𓏛 𓏥 𓀀		wise, learned man	"rector-teacher" <<<	
37	man	𓂋 𓐝 𓍿 𓀀 𓁐		 man, men, mankind, Egyptians	®mensch > humanc <> Manche Romanx	
37	man	𓂋 𓐝 𓍿 𓀀 𓁐		 man, men, mankind, Egyptians	Ramesser +++ ← >>> Mizraim / RenMinCa ?? / re-parther / Remsi ⇔	
37	man	𓅓 𓏏 𓀐		dead man, mortal man	mortal +++	
37	man	𓅓 𓏏 𓏱		dead man	mard:man @ Pers murto / parti	
37	man	𓅖 𓇋𓇋 𓅱 𓈗		semen, seed of man	mayn seas : men seed = semen ++++ N / ~milch? vs / susar@Persia! ⇔ essence Soße!	
37	man	𓅮 𓏏 𓏗 𓍘 𓇋		man of ancient family		
37	man	𓅷 𓄿 𓇋𓇋𓂺 𓀀		male, man	•Patterson	
37	man	𓅷 𓄿 𓇋𓇋𓂺 𓀀		male, man	para.sen = para.jeun = parente ! DEEP parisen ⇔ per-ibsen / ⇔ senior	
37	man	𓅷 𓇋𓇋		male, man	Vati phai ⇔ boy 	
37	man	𓆂 𓏏 𓏥		 man, men, mankind, Egyptians		
37	man	𓆄 𓏲 𓅪 𓀀		needy man	schwenz voll  / ~Schwindler / Sinuhe!! / ⇔ Swizz--	
37	man	𓆑 𓄿 𓎡 𓀀		shorn man		
37	man	𓆓 𓆑 𓄿 𓇋𓇋𓏳 𓀀		a well - provided man	Schnösel 	
37	man	𓆓 𓈖𓏌𓏲		angry man		
37	man	𓇅 𓆓 𓏛 𓀀		fortunate man	Richter! ⇔ / Richer / Richard ⇔ chard	
37	man	𓇇 𓅱 𓀀		marsh - man		
37	man	𓇉 𓄿		naked man	 nude / hairy	
37	man	𓇉 𓄿 𓏮 𓅱 𓋳 𓀀		naked man		
37	man	𓇋 𓂧 𓎛 𓇋𓇋 𓇇 𓀀		marsh-man		
37	man	𓇋 𓂧 𓎛 𓇋𓇋 𓇇 𓊖 𓀀		marsh - man	Fischer ++ / Watery / ~Idher : river	
37	man	𓇋 𓃀  𓈗 𓀁		a thirsty man  E }		
37	man	𓇋 𓃀 𓃙 𓀁𓀀		thirsty man	pthbhty ~ δiψ.y = thirsty original GR! ++ / vs aba ƒth ⇔ aber ab💧 ob? abvi aqui aqua ? / fthr⇔wasser?	
37	man	𓇋 𓄿 𓀗		old man	hier / ⇔	
37	man	𓇋 𓄿 𓅱 𓀀		old man	hieren	
37	man	𓋴 𓆑 𓅱𓂉 𓀁		the gentle man	genus …	
37	man	𓋴 𓐟		wise man	saba <> sapiens savant ++	
37	man	𓋴 𓐟 𓄿 𓂋 𓌗 𓇋𓇋𓅪		needy man   	spare sparrow ? <> savant!--	
37	man	𓋴 𓐟 𓄿 𓆭		needy man		
37	man	𓋴 𓐟 𓄿 𓇋		needy man		
37	man	𓋴 𓐟 𓄿 𓐎 𓅪  𓂝 𓏤		the weak of arm, weak man 	Speier speien ++ DE / Spacker Spacken  ƒ no K	
37	man	𓋺 𓏏 𓏤		shade, spirit 	Sunshade a type of small	
37	man	𓌳 𓂋 𓌗		wretched man, pauper *		
37	man	𓌳 𓄿 𓂋 𓌗 𓅪  𓀀		wretched man, pauper 		
37	man	𓌳 𓄿 𓅱𓏏𓏛		wretched man, pauper	~ nul-laud	
37	man	𓌳 𓄿 𓇋𓂋 𓌗 𓇋𓇋𓅪  𓀀		wretched man, pauper   	liar?	
37	man	𓌳 𓄿 𓊨 𓏏𓂾		knee, hock 	Leiste  / mest ➙ knest	
37	man	𓌳 𓄿 𓊨 𓏏𓂾		knee, hock 	maher sit Bein	
37	man	𓌳 𓄿 𓊨 𓏏𓂾		knee, hock 	knisit Bein	
37	man	𓌳 𓇋𓂋 𓌗 𓅪		wretched man, pauper 	Liar	
37	man	𓌳 𓋴𓏏𓂾		knee, hock 		
37	man	𓌳 𓋴𓏏𓂾		knee, hock 	Mast Bein / Last Bein	
37	man	𓌴 𓁹 𓄿 𓂋 𓌗 𓅪  𓀀		wretched man, pauper  	Schalk-- / Mayer	
37	man	𓍋 𓅓 𓂋 𓅁		sick man   be displeasing to}		
37	man	𓍲 𓈖𓍘 𓇋𓇋𓀜		quarrelsome man, foe, courtier		
37	man	𓍲 𓈖𓏏𓀜 𓀀		quarrelsome man, foe, courtier		
37	man	𓍿𓂋 𓀀 𓁐 𓏥		 man, men, mankind, Egyptians	human / Egypt ⇔ kaiman	
37	man	𓍿𓂋 𓀀 𓁐 𓏥		 man, men, mankind, Egyptians	CRman / common / black human / Kurer / Jurer / Tschurer / Syrer ?? / an.thropia / ^^^^^^^^^ ← !!!! / adami : human / insani : human AR lol	
37	man	𓍿𓈖𓇋𓀘		old man		
37	man	𓍿𓈖𓇋𓀘		old man, elder	δyni / ⇔ cyniker, gonie	
37	man	𓎛 𓃹 𓈖𓀔		child, young man		
37	man	𓎛 𓃹 𓈖𓇬 𓀔		child, young man	‘Hase / Hansen  / ‘Hunsen‘ / Hosen-voll‘	
37	man	𓎛 𓅨 𓂋 𓅱𓀔 𓀀		poor, humble man, despicable person		
37	man	𓎛 𓅨 𓂋 𓅱𓀔 𓅪  𓀀		poor, humble man, despicable person  		
37	man	𓎛 𓇉 𓄿 𓏏𓀀		naked man	häscherter / ⇔ horny  / ]	
37	man	𓎛 𓇬 𓈖		child, young man  D	Hasen-schard / Hasen-schard	
37	man	𓎛 𓈎 𓂋 𓀁𓀀		hungry man		
37	man	𓎛 𓈎 𓂋 𓅁		hungry man		
37	man	𓎼 𓂋 𓀁𓀀		the silent man		
37	man	𓎼 𓂋 𓅱𓀁𓀀		the silent man	Grimmer / Gramer / Gruner ⇔ grantig / Greiner / Groller	
37	man	𓏏𓍯 𓄿 𓀢 𓀀		man of low station, inferior		
37	man	𓏏𓍯 𓄿 𓇋𓇋𓏲 𓀢 𓀁𓀀		man of low station, inferior	Traueri	
37	man	𓏠 𓈖𓅪  𓀀		sick man		
37	man	𓏠 𓈖𓏏𓂾		thigh, haunch 		
37	man	𓐍 𓅓 𓁸		ignorant man	‘igmo / Gabi‘  / grey-hair / old = ignorant / buuh‘	
37	man	𓐢 𓂋 𓏛		provide, equip, acquire, incur, man 		
38	man	𓀀 𓀀 𓀀	MEN	 man, men, mankind, Egyptians		
38	man	𓀻 𓋴𓀀		nobleman, wealthy man	Monsir = Mr.	
38	man	𓀻 𓋴𓋴		wealthy man  Y	Monssir = Mr.	
