№ 	English 	Ilocano 	Malay 	Tagalog 	Cebuano 	Pampangan 	Pangasinan 	Sasak 	Chamorro 	Malagasy 	Tahitian 	Maori 	Sundanese 	Ibanag 	Itawit 	Javanese 
61 	rope 	tali 	tali 	tali, lubid 	pisi 	lubid 	singer, lubir 	[[]] 	tali 	tady 	taura 	taura 	tali, tambang 	galu' 	galut 	tali 
62 	skin (of a person) 	kudil 	kulit 	balat 	panit 	balat 	baog, katat 	[[]] 	låssas 	hoditra 	ʻiri 	kiri 	kulit 	tabbi' 	gaddang 	kulit 
63 	meat (as in flesh) 	bagas 	daging 	karne, laman 	unod, karne 	laman 	laman, iyan 	[[]] 	kåtne 	hena 	īnaʻi 	mīti (from English) 	daging 	pattak, karne 	pattag 	daging 
64 	blood 	dara 	darah 	dugo 	dugo 	daya 	dala 	[[]] 	håga' 	ra 	toto 	toto 	getih 	daga 	daha 	getih, rah 
65 	bone 	tulang 	tulang 	buto 	bukog 	butul 	pokel 	[[]] 	to'lang 	taolana 	ivi 	wheua, kōiwi 	tulang 	tulang 	tulang 	balung 
66 	fat (noun) 	taba 	lemak, minyak 	taba 	tambok 	taba 	taba, mataba 	[[]] 	yommok 	taviny 	hinu 	ngako 	gajih 	taba 	taba 	gajih 
67 	egg 	itlog 	telur 	itlog 	itlog 	ebun 	iknol 	[[]] 	chåda' 	atody 	huero 	hēki, huamanu 	endog 	illuk 	ilug 	endhog, tigan 
68 	horn 	sara 	tanduk 	sungay 	sungay 	sagu 	saklor 	[[]] 	bibek 	tandroka 	tara 	pīhi, tara 	tanduk 	tagguk 	[[]] 	sungu 
69 	tail 	ipus 	ekor 	buntot 	ikog 	iki 	ikol 	[[]] 	dadalak 	rambo 	ʻaero, hiʻu 	waero, hiku 	buntut 	ifu' 	ifut 	buntut 
70 	feather (rather not down) 	dutdut 	bulu 	balahibo 	balhibo 	bulbul 	bago 	[[]] 	pulu 	penina, volom-borona 	hurhuru, hetehete 	awe, hou, huruhuru, piki 	bulu 	duddu' 	dudut 	wulu 
71 	hair 	buok 	rambut, bulu 	buhok 	buhok, balhibo 	buak 	buek 	[[]] 	gapotulu 	bolo 	rouru 	makawe 	buuk, rambut 	vu' 	ahuk 	rambut 
72 	head 	ulo 	kepala, hulu 	ulo 	ulo 	buntuk 	ulo 	[[]] 	ulu 	loha 	upoʻo 	māhunga, uru, upoko 	hulu, mastaka, sirah 	ulu 	ulu 	endhas, sirah, mustaka 
73 	ear 	lapayag 	telinga 	tenga, tainga 	dalunggan 	balugbug 	layag 	[[]] 	talanga 	sofina 	tariʻa 	taringa 	cepil, ceuli 	talinga 	talinga, daranggan 	kuping, talingan 
74 	eye 	mata 	mata 	mata 	mata 	mata 	mata 	[[]] 	måta, atadok 	maso 	mata 	mata, karu 	panon, soca 	mata 	mata 	mata, mripat, soca 
75 	nose 	agong 	hidung 	ilong 	ilong 	arung 	eleng 	[[]] 	gui'eng 	orona 	ihu 	ihu 	irung, pangambung 	igung 	ihung 	irung 
76 	mouth 	bibig 	mulut 	bunganga, bibig 	ba-ba 	asbuk, balungus 	sangi 	[[]] 	påchot 	vava 	vaha 	māngai, waha 	baham, sungut 	simu' 	simuk 	cangkem 
77 	tooth (rather not molar) 	ngipen 	gigi 	ngipin 	ngipon 	ipan 	ngipen 	[[]] 	nifen 	nify 	niho 	niho 	huntu, waos 	ngipan 	ngipan 	untu, waja 
78 	tongue 	dila 	lidah 	dila 	dila 	dila 	dila 	[[]] 	hula' 	lela 	arero 	arero 	ilat, létah 	zila 	zila 	ilat 
79 	fingernail 	kuko 	kuku 	kuko 	kuko 	kuku 	kuko 	[[]] 	papakes 	hoho 	maiʻuʻu 	maikuku 	kuku, tanggai 	kuku 	kuku 	kuku 
80 	foot 	saka 	kaki 	paa 	tiil 	bitis 	sali 	[[]] 	addeng 	tongotra 	'āvae 	waewae 	sampéan, suku 	takki 	taka 	sikil, suku, samparan 
81 	leg 	gurong 	tungkai 	binti 	paa, bitiis? 	bitis 	bikking 	[[]] 	addeng 	ranjo 	'āvae 	waewae 	suku, tungkai 	takki 	taka 	sikil, suku, samparan 
82 	knee 	tumeng 	lutut 	tuhod 	tuhod 	tud 	pueg 	[[]] 	tommo 	lohalika 	turi 	turi 	teku, tuur 	atuk 	[[]] 	dhengkul 
83 	hand 	ima 	tangan 	kamay 	kamot 	gamat 	lima, gamet 	[[]] 	kånnai 	tanana 	rima 	ringa 	leungeun, panangan 	lima 	ima 	tangan, asta 
84 	wing 	payak 	kepak, sayap 	pakpak 	pako 	pakpak 	pakpak 	[[]] 	pappa 	elatra 	pererau 	pākau, paihau, parirau 	jangjang 	paya' 	[[]] 	suwiwi 
85 	belly 	tian 	perut 	tiyan 	tiyan 	atian 	eges 	[[]] 	tuyan 	kibo 	'ōpū 	puku, kōpū 	beuteung, patuangan 	san, gutu' 	[[]] 	weteng, padhaharan 
86 	guts 	bagis 	usus 	bituka 	tinae 	bituka 	pait, bituka 	[[]] 	[[]] 	tsinay 	'ā'au 	puku, piropiro 	peujit 	[[]] 	[[]] 	[[]] 
87 	neck 	tengnged 	leher 	leeg 	liog 	batal 	beklew 	[[]] 	aga'ga' 	vozona, tenda 	'a'ī 	kakī 	beuheung, tengek 	tangngak 	[[]] 	gulu 
88 	back 	likod 	punggung 	likod 	likod 	gulut 	beneg 	[[]] 	tatalo' 	lamosina 	toa 	tuarā 	pungkur, tonggong 	likuk 	[[]] 	geger 
89 	breast 	suso 	susu (former), payudara, buah dada 	suso 	tutoy, suso 	susu 	suso, pagew 	[[]] 	susu 	tratra 	'ōuma 	ū, uma 	pinarep, susu 	susu 	[[]] 	susu 
90 	heart 	puso 	jantung 	puso 	kasingkasing 	pusu 	puso 	[[]] 	korason (Spanish) 	fo 	māfatu 	manawa 	jajantung 	futu 	[[]] 	[[]] 
91 	liver 	dalem 	hati 	atay 	atay 	ate 	altey 	[[]] 	higado (Spanish) 	aty 	'ūpa'a 	ate 	ati, haté 	agal 	[[]] 	ati 
92 	to drink 	inom 	minum 	inom - root verb 	inom 	minum 	inom 	[[]] 	gimen 	misotro 	inu 	inu 	leueut, nginum 	inum 	[[]] 	ombe 
93 	to eat 	mangan 	makan 	kain - root verb 	kaon 	mangan 	akan, mangan, kamot 	[[]] 	kånno', chocho 	mihinana 	ʻamu 	kai, kamu 	dahar, jajablog, neda, nyatu, tuang 	kuman 	[[]] 	mangan 
94 	to bite 	kagat 	gigit 	kagat - root verb 	paak, ingkit, kagat 	ket, ketan 	ketket 	[[]] 	åkka' 	manaikitra 	hōhoni 	ngau 	gogot, gégél, nyeureud 	kaga' 	[[]] 	cokot 
95 	to suck 	supsop 	hisap 	sipsip, suso - root verbs 	supsop, tupos 	sisipan 	supsup, suso 	[[]] 	chopchop 	mifiaka 	ʻote 	momi, ngote 	kenyot, nyerot, seuseup 	sussup 	[[]] 	[[]] 
96 	to spit 	tupra 	ludah 	luwa, dura - root verbs 	luwa 	luran 	lutda 	[[]] 	to'la' 	mandrehoka 	tuha 	tuha, tuwha 	ciduh, ludah 	lusak 	[[]] 	idu 
97 	to vomit 	uta 	muntah 	suka - root verb 	suka 	manyuka 	uta 	[[]] 	muta' 	madoa 	pihaʻe 	ruaki 	luga, utah 	uta 	uta 	utah 
98 	to blow (as wind) 	puyot 	tiup, hembus 	ihip - root verb 	huyop 	labulan 	sibok 	[[]] 	guaife 	mitsoka 	farara 	puhi, pupuhi 	niup, tiup 	sup 	[[]] 	[[]] 
99 	to breathe 	anges 	hirup, nafas 	hinga - root verb 	ginhawa 	mangisnaua 	ingas, anges, dongap, linawa 	[[]] 	hågong 	miaina, misefo 	huti i te aho 	ngā 	ambekan, rénghap 	inango' 	[[]] 	ambegan 
100 	to laugh 	katawa 	tawa, ketawa 	tawa - root verb 	katawa 	maili 	elek 	[[]] 	chålek 	hehy, tokelaka 	ʻata 	kata 	gumujeng, seuri 	galo' 	[[]] 	guyu 
101 	to see 	kita 	lihat, nampak, tengok 	tingin, kita - root verbs 	kita 	akit, lauen 	nengneng, mata 	[[]] 	li'e' 	mahita 	hiʻo 	kite 	nempo, ningal, tinggali, neuleu 	innan ("to see" in itself, no known root) 	[[]] 	deleng 
102 	to hear 	dengngeg 	dengar 	dinig, kinig - root verbs 	dungog 	damdam, makiramdam 	dengel 	[[]] 	ekungok, hungok 	maeno 	faʻaroʻo 	rongo 	dangu, ngadéngé, kuping 	ginna 	[[]] 	rungu 
103 	to know (a fact) 	ammo 	tahu 	alam - root verb 	kahibalo 	baluan 	amta, kabat 	[[]] 	tungo' 	mahafantatra 	'ito 	mōhio 	nyaho, terang, uninga 	ammu 	[[]] 	ngerti, mudheng 
104 	to think 	panunot 	fikir, rasa 	isip - root verb 	hunahuna 	isipan 	isip, nonot 	[[]] 	hasso 	mieritreritra 	manaʻo 	whakāro 	ngamanah, mikir 	panono' 	[[]] 	mikir 
105 	to smell (sense odour) 	angot 	hidu, cium, bau 	amoy - root verb 	simhot 	bauan 	angob, amoy 	[[]] 	nginge' 	manambolo 	hauʻa 	hongi 	ambung, ngambeu, ngangseu 	aguk 	[[]] 	ambu 
106 	to fear 	kuteng 	takut 	takot - root verb 	hadlok 	takut 	takot 	[[]] 	ma'a'ñao 	mataotra 	mataʻu 	mataku 	gimbir, sebér, sieun 	anassing 	[[]] 	wedi 
107 	to sleep 	turog 	tidur 	tulog - root verb 	tulog 	tudtud 	ogip 	[[]] 	maigo' 	matory 	taoto 	moe 	bobo, héés, kulem, saré 	katuruk 	[[]] 	turu 
108 	to live 	biag 	hidup 	buhay 	buhi 	bie, kumabie 	bilay 	[[]] 	lå'la' 	velona 	ora 	ora 	hirup, jumeneng 	tolay 	[[]] 	urip 
109 	to die 	matay 	mati 	patay - root verb 	matay 	mate, mete 	patey, onpatey 	[[]] 	måtai 	maty 	mate, pohe 	mate 	maot, paéh, pati, pupus 	matay 	matay 	mati 
110 	to kill 	mangpatay 	bunuh 	patay, paslang - root verbs 	buno, patay 	paten, makamate 	patey, mamatey 	[[]] 	puno' 	mamono, mahefaty 	tapataparahi-pohe-roa, haʻapohe 	patu 	maéhan, maténi, patos, telas 	patay 	[[]] 	pateni 
111 	to fight 	agapa 	lawan, gaduh, tarung, kelahi, juang 	laban - root verb 	away, bugno 	laban 	laban, kolkol, bakal 	[[]] 	mumu 	miady 	taputō 	kakari, kairiri 	gelut, jogol, tarung 	dama 	[[]] 	[[]] 
112 	to hunt (transitive) 	anup 	buru 	mangaso 	mangayam 	man-ayup 	managnop, anop, manpana, manpaltog 	[[]] 	ega'ga', peska 	mihaza 	aʻuaʻu puaʻa 	whaiwhai 	bujeng, moro 	[[]] 	[[]] 	[[]] 
113 	to hit 	pangor 	pukul, ketuk 	tama, hampas - root verbs 	igo, tama 	turan, paturan 	tira, nakna, pekpek 	[[]] 	galuti, panak 	mikapoka 	taparahi 	patu 	babuk, teunggeul, tinggang 	kanna 	[[]] 	[[]] 
114 	to cut 	balsig 	potong 	putol - root verb 	putol 	putut 	tegteg, putot, batang 	[[]] 	chåchak, utot 	mandidy 	tāpū 	tā 	teukteuk, tuar 	kattu 	[[]] 	kethok 
115 	to split 	bisak 	belah, pisah, bahagi 	biyak, hati - root verbs 	pikas, bugha, batak 	bika, pitnan 	puter, pisag 	[[]] 	ipe', må'pe 	mamaki 	tuha, vāhi 	wāwāhi 	beulah, duum 	bakki 	[[]] 	[[]] 
116 	to stab (or stick) 	dugsol 	tikam 	saksak - root verb 	dunggab, dugmak, duslak 	akdakan, tandusan 	saksak, doyok 	[[]] 	dulok, si'ok 	mantsatoka-antsy 	pātia 	oka 	nojos, nyolok, tewek, tubles 	dudduk 	[[]] 	[[]] 
117 	to scratch (an itch) 	kudkod 	garu, cakar, gores 	kamot - root verb 	katol, kamras, gadlas 	gamusan 	kiki, gugo 	[[]] 	kassas 	mikiki, mikaoka 	pāra'u 	rakuraku 	garo 	kabbang 	[[]] 	[[]] 
118 	to dig 	kali 	korek, gali 	hukay - root verb 	kalot, kabkab, kalaykay 	kulkul, kulkulan 	kotkot 	[[]] 	guaddok 	mihady, mandavaka 	pao, tūpā, 'ō 	keri 	kali 	kokkok 	[[]] 	[[]] 
119 	to swim 	langoy 	renang 	langoy - root verb 	langoy, salom 	kaue 	langoy 	[[]] 	ñanguo'mak 	milomano 	ʻau 	kau 	ngojai 	tafuk 	[[]] 	nglangi 
120 	to fly 	tayab 	terbang 	lipad - root verb 	lupad, ligtiw 	sulapo 	tekyab 	[[]] 	gupu 	manidina 	mau'e 	rere 	hiber, ngapung 	kagak 	[[]] 	mabur 
121 	to walk 	magna 	jalan 	lakad - root verb 	lakaw 	lakad, lumakad 	akar 	[[]] 	famokkat, mamokkat 	mandeha 	haera 	haere a waewae 	badarat, leumpang, papah 	lakak 	[[]] 	mlaku, mlampah 
122 	to come 	umay 	datang 	dating - root verb 	ari, anhi 	ume, datang 	sabi, gala, onna 	[[]] 	maila' 	avy, tonga ,tamy 	haere mai 	haere mai 	datang, dongkap, sumping 	umay 	umang 	teka, rawuh 
123 	to lie (as on one's side) 	idda 	baring, bentang 	higa, hilata - root verbs 	higda 	magkera 	dokol 	[[]] 	dagi 	mivelatra 	tārava 	takoto 	golér, kedeng 	idda 	[[]] 	ngapusi 
124 	to sit 	tugaw 	duduk 	upo - root verb 	lingkod 	lukluk 	yorong 	[[]] 	fatå'chong, matå'chong 	mipetraka 	pārahi 	noho 	calik, diuk, linggih 	tubang 	[[]] 	lungguh, lengah, pinarak 
125 	to stand 	takder 	diri 	tayo - root verb 	barog, tindog 	tikdo 	alagey 	[[]] 	tohge, kahulo' 	mifoha, mitsangana 	ʻotiʻatiʻa 	tuu 	adeg, nangtung 	taddak 	[[]] 	ngadek, jumeneng 
126 	to turn (change direction) 	likko 	belok, pusing 	liko - root verb 	liko 	mildis 	liko, telek 	[[]] 	bira 	mihodina 	tīoi 	huri 	méngkol 	buelta 	[[]] 	[[]] 
127 	to fall (as in drop) 	tinnag 	jatuh 	hulog - root verb 	hulog 	mitomba, manabu 	tumba, pelag 	[[]] 	poddong, matomba 	mianjera 	topa 	makere 	labuh, ragrag 	taga' 	tanag 	tiba, dhawah 
128 	to give 	ited 	beri, bagi 	bigay - root verb 	hatag 	ibie, dinan 	itdan, iter 	[[]] 	na'i 	manome 	hōro'a 	hoatu 	bikeun, méré, pasihan, parin 	yawa' 	[[]] 	weneh, paring, atur 
129 	to hold (in one's hand) 	mangiggem 	pegang 	hawak - root verb 	hawid, kupot 	talnan 	benben 	[[]] 	go'ti 	mitantana 	mau 	pupuri 	cepeng, cekel, muntang 	tammi' 	[[]] 	cekel, cepeng, asta 
